created_at,pull_requests
2022-06-01,3
2022-06-02,2
2022-06-03,1
2022-06-04,2
2022-06-05,2
2022-06-06,2
2022-06-08,1
2022-06-10,1
2022-06-14,2
2022-06-15,4
2022-06-17,1
2022-06-19,1
2022-06-20,4
2022-06-22,3
2022-06-23,5
2022-06-24,2
2022-06-25,1
2022-06-26,1
2022-06-27,1
2022-06-28,1
2022-07-03,1
2022-07-04,2
2022-07-05,3
2022-07-06,1
2022-07-08,2
2022-07-11,5
2022-07-13,3
2022-07-14,1
2022-07-18,2
2022-07-20,1
2022-07-21,1
2022-07-22,7
2022-07-26,2
2022-07-28,1
2022-07-31,1
2022-08-01,2
2022-08-03,3
2022-08-04,3
2022-08-05,2
2022-08-07,1
2022-08-08,1
2022-08-09,1
2022-08-10,1
2022-08-11,4
2022-08-12,1
2022-08-14,1
2022-08-15,2
2022-08-17,1
2022-08-18,1
2022-08-20,1
2022-08-21,1
2022-08-22,1
2022-08-23,1
2022-08-24,1
2022-08-25,1
2022-08-26,1
2022-08-29,4
2022-08-30,1
2022-08-31,1
2022-09-01,1
2022-09-04,1
2022-09-06,1
2022-09-08,2
2022-09-10,1
2022-09-13,1
2022-09-14,4
2022-09-16,1
2022-09-17,2
2022-09-20,5
2022-09-21,3
2022-09-22,1
2022-09-23,1
2022-09-24,1
2022-09-25,2
2022-09-26,1
2022-09-27,1
2022-09-28,1
2022-09-29,2
2022-10-03,1
2022-10-04,1
2022-10-05,1
2022-10-11,3
2022-10-12,1
2022-10-14,1
2022-10-15,3
2022-10-17,2
2022-10-18,2
2022-10-19,3
2022-10-20,4
2022-10-21,3
2022-10-24,2
2022-10-27,2
2022-10-28,6
2022-10-29,2
2022-10-31,2
2022-11-01,1
2022-11-03,3
2022-11-04,1
2022-11-05,3
2022-11-06,1
2022-11-07,1
2022-11-08,1
2022-11-09,1
2022-11-10,3
2022-11-11,4
2022-11-14,6
2022-11-15,2
2022-11-17,4
2022-11-18,4
2022-11-20,1
2022-11-21,3
2022-11-23,1
2022-11-24,1
2022-11-25,4
2022-11-28,1
2022-11-29,2
2022-11-30,1
2022-12-01,2
2022-12-03,1
2022-12-04,1
2022-12-05,1
2022-12-06,2
2022-12-07,7
2022-12-08,3
2022-12-10,1
2022-12-19,1
2022-12-22,1
2022-12-26,3
2022-12-27,3
2022-12-28,4
2023-01-04,5
2023-01-05,2
2023-01-06,1
2023-01-09,6
2023-01-10,1
2023-01-11,4
2023-01-13,2
2023-01-16,1
2023-01-17,1
2023-01-18,3
2023-01-22,1
2023-01-31,2
2023-02-01,5
2023-02-02,6
2023-02-06,1
2023-02-07,3
2023-02-10,1
2023-02-13,2
2023-02-14,1
2023-02-15,1
2023-02-17,2
2023-02-20,2
2023-02-21,3
2023-02-22,1
2023-02-23,2
2023-02-24,2
2023-02-27,3
2023-02-28,3
2023-03-01,1
2023-03-02,1
2023-03-07,1
2023-03-09,1
2023-03-10,2
2023-03-13,4
2023-03-14,1
2023-03-15,1
2023-03-16,1
2023-03-17,2
2023-03-18,1
2023-03-20,2
2023-03-22,1
2023-03-23,1
2023-03-24,2
2023-03-27,3
2023-03-30,3
2023-03-31,1
2023-04-03,1
2023-04-05,1
2023-04-07,1
2023-04-10,6
2023-04-11,1
2023-04-13,1
2023-04-18,3
2023-04-20,1
2023-04-21,3
2023-04-22,1
2023-04-24,3
2023-04-26,2
2023-04-27,1
2023-05-05,5
2023-05-06,2
2023-05-11,1
2023-05-15,2
2023-05-16,1
2023-05-18,1
2023-05-21,1
2023-05-25,3
2023-05-26,2
2023-05-29,2
2023-05-30,1
2023-05-31,1
2023-06-02,1
2023-06-03,1
2023-06-07,1
2023-06-12,2
2023-06-14,4
2023-06-16,1
2023-06-17,1
2023-06-19,3
2023-06-21,1
2023-07-03,2
2023-07-06,7
2023-07-12,1
2023-07-17,1
2023-07-19,2
2023-07-20,1
2023-07-22,1
2023-07-23,2
2023-07-24,1
2023-07-28,2
2023-07-31,1
2023-08-01,1
2023-08-03,1
2023-08-04,5
2023-08-07,1
2023-08-08,1
2023-08-10,1
2023-08-11,1
2023-08-15,2
2023-08-17,4
2023-08-18,1
2023-08-23,2
2023-08-25,2
2023-08-31,1
2023-09-01,3
2023-09-03,1
2023-09-06,1
2023-09-07,1
2023-09-09,3
2023-09-14,1
2023-09-16,1
2023-09-18,1
2023-09-22,2
2023-09-26,5
2023-09-27,1
2023-10-10,2
2023-10-16,1
2023-10-23,1
2023-10-24,1
2023-10-25,2
2023-10-31,1
2023-11-03,3
2023-11-06,2
2023-11-08,1
2023-11-10,1
2023-11-14,1
2023-11-15,5
2023-11-17,1
2023-11-18,2
2023-11-21,2
2023-11-29,1
2023-11-30,1
2023-12-01,1
2023-12-04,1
2023-12-05,1
2023-12-07,3
2023-12-11,1
2023-12-12,1
2023-12-15,1
2023-12-16,1
2023-12-17,1
2023-12-25,2
2023-12-26,1
2024-01-02,1
2024-01-08,1
2024-01-10,1
2024-01-11,1
2024-01-12,3
2024-01-16,1
2024-01-18,1
2024-01-23,1
2024-01-27,1
2024-01-28,1
2024-01-30,2
2024-02-01,1
2024-02-02,1
2024-02-04,2
2024-02-06,1
2024-02-20,3
2024-02-27,1
2024-03-06,1
