created_at,pull_requests
2020-01-07,1
2020-01-08,2
2020-01-13,1
2020-01-15,2
2020-01-16,3
2020-01-21,1
2020-01-23,21
2020-01-25,3
2020-01-27,1
2020-01-28,4
2020-01-29,7
2020-01-30,2
2020-01-31,2
2020-02-02,1
2020-02-03,4
2020-02-04,1
2020-02-06,2
2020-02-07,4
2020-02-08,1
2020-02-10,3
2020-02-11,3
2020-02-12,5
2020-02-13,3
2020-02-14,1
2020-02-15,4
2020-02-16,1
2020-02-17,2
2020-02-18,4
2020-02-19,2
2020-02-20,3
2020-02-21,3
2020-02-22,2
2020-02-23,2
2020-02-24,7
2020-02-25,2
2020-02-26,6
2020-02-27,1
2020-02-28,4
2020-02-29,5
2020-03-02,2
2020-03-04,2
2020-03-05,1
2020-03-06,2
2020-03-07,1
2020-03-09,2
2020-03-10,2
2020-03-11,2
2020-03-12,1
2020-03-13,4
2020-03-16,1
2020-03-17,1
2020-03-19,3
2020-03-20,1
2020-03-21,3
2020-03-25,1
2020-04-01,2
2020-04-05,1
2020-04-08,3
2020-04-09,10
2020-04-10,10
2020-04-11,3
2020-04-12,1
2020-04-13,6
2020-04-14,10
2020-04-15,2
2020-04-16,1
2020-04-17,3
2020-04-18,5
2020-04-19,2
2020-04-20,2
2020-04-21,3
2020-04-22,3
2020-04-24,4
2020-04-27,2
2020-04-28,3
2020-04-29,1
2020-05-01,1
2020-05-07,5
2020-05-08,5
2020-05-09,4
2020-05-11,4
2020-05-12,4
2020-05-13,4
2020-05-14,4
2020-05-15,11
2020-05-16,6
2020-05-17,3
2020-05-18,4
2020-05-19,14
2020-05-20,7
2020-05-21,3
2020-05-22,3
2020-05-24,2
2020-05-25,1
2020-05-27,4
2020-05-28,3
2020-05-29,1
2020-06-01,1
2020-06-02,4
2020-06-03,2
2020-06-04,3
2020-06-05,1
2020-06-08,1
2020-06-09,1
2020-06-10,4
2020-06-11,8
2020-06-12,6
2020-06-13,2
2020-06-14,1
2020-06-15,2
2020-06-16,3
2020-06-17,2
2020-06-18,1
2020-06-19,2
2020-06-20,2
2020-06-21,1
2020-06-22,4
2020-06-24,5
2020-06-25,2
2020-06-27,1
2020-07-01,1
2020-07-02,1
2020-07-03,1
2020-07-07,1
2020-07-08,1
2020-07-09,1
2020-07-10,1
2020-07-11,3
2020-07-13,3
2020-07-14,1
2020-07-15,2
2020-07-17,1
2020-07-18,1
2020-07-19,1
2020-07-21,2
2020-07-22,2
2020-07-23,2
2020-07-24,3
2020-07-26,1
2020-07-27,1
2020-07-28,3
2020-07-29,2
2020-07-31,2
2020-08-01,2
2020-08-03,2
2020-08-04,2
2020-08-05,3
2020-08-06,3
