created_at,pull_requests
2018-04-03,1
2018-04-04,1
2018-04-08,1
2018-04-21,1
2018-04-27,1
2018-05-15,1
2018-05-20,2
2018-05-26,1
2018-05-27,3
2018-05-28,1
2018-07-08,1
2018-07-10,1
2018-07-29,1
2018-08-22,1
2018-08-24,1
2018-08-29,1
2018-09-10,1
2018-10-02,1
2018-10-03,1
2018-10-22,1
2018-11-20,1
2018-12-03,1
2018-12-04,2
2018-12-12,1
2018-12-14,1
2018-12-19,1
2019-02-06,1
2019-02-08,1
2019-03-27,1
2019-04-06,1
2019-04-13,1
2019-05-21,1
2019-07-11,1
2019-08-26,6
2019-08-29,2
2019-09-30,1
2019-10-10,2
2019-10-20,1
2019-12-06,1
2020-02-15,2
2020-03-13,1
2020-03-14,1
2020-07-13,1
2020-07-16,2
2020-07-30,1
2020-09-08,1
2020-10-19,1
2020-10-20,1
2020-12-11,1
2020-12-21,1
2021-01-06,1
2021-02-27,1
2021-03-09,1
2021-03-12,1
2021-05-07,1
2021-05-08,1
2021-05-25,2
2021-05-29,1
2021-06-24,6
2021-07-02,1
2021-08-10,2
2021-09-21,1
2022-01-15,1
2022-04-08,2
2022-04-15,1
