created_at,pull_requests
2010-10-09,1
2010-10-14,1
2010-10-18,1
2010-11-03,1
2010-11-04,1
2010-11-11,1
2010-11-16,1
2010-11-20,1
2010-11-24,1
2010-12-05,1
2010-12-16,1
2010-12-20,1
2011-01-19,1
2011-01-24,1
2011-02-05,1
2011-02-24,1
2011-02-28,1
2011-03-22,1
2011-03-28,1
2011-03-31,2
2011-04-01,1
2011-04-05,1
2011-04-06,1
2011-04-15,1
2011-04-22,1
2011-04-26,1
2011-05-04,1
2011-05-10,1
2011-05-16,1
2011-06-13,1
2011-06-22,1
2011-06-23,1
2011-07-05,1
2011-07-11,1
2011-07-12,1
2011-07-26,1
2011-07-30,1
2011-07-31,1
2011-08-07,1
2011-08-08,1
2011-08-15,1
2011-09-15,1
2011-09-19,1
2011-10-11,2
2011-10-12,1
2011-10-15,1
2011-10-18,1
2011-10-20,1
2011-10-27,1
2011-10-28,1
2011-11-06,1
2011-11-07,1
2011-11-20,1
2011-11-24,1
2011-12-17,1
2011-12-19,2
2012-01-06,1
2012-01-15,1
2012-02-02,1
2012-02-06,1
2012-02-14,1
2012-02-16,1
2012-02-17,1
2012-02-20,1
2012-02-28,1
2012-03-08,1
2012-03-12,2
2012-03-22,1
2012-04-02,1
2012-04-03,1
2012-04-09,1
2012-04-11,1
2012-04-18,1
2012-04-19,1
2012-04-21,1
2012-04-22,1
2012-04-24,1
2012-04-26,1
2012-04-28,1
2012-05-02,1
2012-05-09,2
2012-05-19,1
2012-06-09,1
2012-06-13,1
2012-07-05,1
2012-07-06,1
2012-07-11,2
2012-07-13,2
2012-07-20,1
2012-07-23,1
2012-08-01,2
2012-08-26,1
2012-09-11,1
2012-09-17,1
2012-09-18,1
2012-09-19,1
2012-09-20,1
2012-09-21,2
2012-09-22,1
2012-10-01,1
2012-10-10,1
2012-10-11,1
2012-10-15,2
2012-10-31,2
2012-11-06,1
2012-11-16,3
2012-11-20,1
2012-11-23,1
2012-11-28,1
2012-11-30,1
2012-12-03,1
2012-12-12,1
2013-01-01,1
2013-01-02,1
2013-01-05,1
2013-01-07,3
2013-01-15,1
2013-01-22,1
2013-01-27,1
2013-01-29,1
2013-02-01,1
2013-02-04,1
2013-02-05,1
2013-02-06,1
2013-02-09,1
2013-02-10,1
2013-02-24,2
2013-02-25,1
2013-02-26,1
2013-03-01,1
2013-03-05,1
2013-03-07,2
2013-03-12,1
2013-03-24,1
2013-03-25,1
2013-04-13,1
2013-04-16,1
2013-04-23,1
2013-04-29,1
2013-05-05,1
2013-05-21,1
2013-05-28,2
2013-05-29,2
2013-06-08,1
2013-06-16,1
2013-06-18,1
2013-06-22,1
2013-06-28,1
2013-07-24,1
2013-07-30,1
2013-08-02,1
2013-08-19,2
2013-08-23,1
2013-08-24,1
2013-08-26,1
2013-08-27,1
2013-08-30,1
2013-09-03,1
2013-09-12,1
2013-09-14,1
2013-09-24,2
2013-09-25,6
2013-09-28,3
2013-10-01,2
2013-10-03,1
2013-10-05,1
2013-10-11,3
2013-10-12,1
2013-10-15,1
2013-10-21,1
2013-10-22,1
2013-11-02,1
2013-11-07,1
2013-11-08,2
2013-11-14,1
2013-11-16,1
2013-11-17,1
2013-11-24,1
2013-11-26,1
2013-11-29,2
2013-12-17,1
2013-12-25,2
2013-12-26,19
2014-01-08,3
2014-01-10,1
2014-01-11,1
2014-01-21,1
2014-01-22,1
2014-01-27,1
2014-01-30,1
2014-02-05,1
2014-02-09,1
2014-02-19,1
2014-02-25,1
2014-02-26,1
2014-03-02,1
2014-03-07,1
2014-03-12,2
2014-03-28,1
2014-04-01,1
2014-04-08,1
2014-04-09,1
2014-04-11,1
2014-04-18,1
2014-05-05,1
2014-05-06,1
2014-05-09,3
2014-05-24,1
2014-05-28,1
2014-05-29,1
2014-06-07,1
2014-06-17,1
2014-06-20,1
2014-06-25,1
2014-06-27,2
2014-07-04,1
2014-07-12,1
2014-07-23,1
2014-07-28,1
2014-08-05,1
2014-08-08,1
2014-08-09,1
2014-08-10,1
2014-08-17,1
2014-08-18,1
2014-08-20,1
2014-08-21,1
2014-08-23,3
2014-08-24,2
2014-08-29,1
2014-08-30,1
2014-08-31,1
2014-09-06,1
2014-09-08,1
2014-09-09,1
2014-09-22,1
2014-09-24,1
2014-09-25,1
2014-09-29,2
2014-10-03,1
2014-10-06,1
2014-10-15,1
2014-10-16,2
2014-10-17,1
2014-10-31,1
2014-11-11,1
2014-11-30,1
2014-12-01,4
2015-01-09,2
2015-01-12,1
2015-01-19,3
2015-01-22,2
2015-01-23,2
2015-02-01,1
2015-02-02,2
2015-02-03,1
2015-02-09,1
2015-02-11,2
2015-02-12,1
2015-02-13,1
2015-02-18,2
2015-02-27,2
2015-03-02,2
2015-03-04,1
2015-03-05,1
2015-03-09,1
2015-03-12,1
2015-03-18,1
2015-03-19,1
2015-03-20,1
2015-03-25,1
2015-03-30,1
2015-04-03,1
2015-04-05,1
2015-04-07,1
2015-04-09,1
2015-04-10,1
2015-04-17,1
2015-04-27,2
2015-05-01,1
2015-05-04,2
2015-05-05,1
2015-05-07,1
2015-05-08,1
2015-05-17,1
2015-05-18,1
2015-05-22,1
2015-05-25,1
2015-05-27,2
2015-05-30,1
2015-06-02,1
2015-06-09,1
2015-06-10,1
2015-06-14,1
2015-06-15,1
2015-06-18,2
2015-07-01,1
2015-07-06,1
2015-07-07,1
2015-07-18,1
2015-07-28,1
2015-08-01,2
2015-08-04,2
2015-08-05,1
2015-08-12,1
2015-08-13,1
2015-08-14,2
2015-08-19,1
2015-08-27,1
2015-08-28,1
2015-08-30,1
2015-09-18,1
2015-09-25,1
2015-09-29,1
2015-09-30,1
2015-10-13,1
2015-10-18,1
2015-10-20,1
2015-10-23,1
2015-10-26,1
2015-10-29,1
2015-11-01,1
2015-11-17,1
2015-11-19,1
2015-11-20,1
2015-12-04,1
2015-12-07,1
2015-12-09,1
2015-12-13,1
2015-12-15,1
2015-12-17,1
2015-12-28,3
2016-01-08,1
2016-01-12,1
2016-01-14,1
2016-01-15,1
2016-01-18,3
2016-01-19,2
2016-01-25,1
2016-01-26,1
2016-01-27,2
2016-02-04,1
2016-02-05,1
2016-02-07,2
2016-02-08,1
2016-02-09,1
2016-02-11,1
2016-02-14,1
2016-02-17,1
2016-02-18,3
2016-02-19,1
2016-02-20,1
2016-02-25,1
2016-02-28,2
2016-03-07,1
2016-03-11,1
2016-03-16,1
2016-04-11,1
2016-04-12,1
2016-04-15,1
2016-04-16,1
2016-04-19,2
2016-04-22,1
2016-04-28,1
2016-05-03,3
2016-05-06,1
2016-05-10,1
2016-05-16,1
2016-05-18,1
2016-05-27,2
2016-05-29,1
2016-05-30,2
2016-05-31,1
2016-06-04,1
2016-06-08,1
2016-06-23,1
2016-06-24,1
2016-06-25,4
2016-06-26,2
2016-06-28,1
2016-06-29,2
2016-07-04,1
2016-07-25,1
2016-07-26,1
2016-08-01,1
2016-08-10,1
2016-08-12,1
2016-08-15,1
2016-08-25,1
2016-08-26,1
2016-08-28,1
2016-08-31,1
2016-09-01,1
2016-09-04,3
2016-09-05,1
2016-09-06,1
2016-09-10,1
2016-09-12,1
2016-09-18,1
2016-09-20,1
2016-09-27,1
2016-10-11,1
2016-10-14,1
2016-10-19,1
2016-10-24,1
2016-10-31,1
2016-11-03,1
2016-11-12,1
2016-11-14,1
2016-11-24,1
2016-11-29,1
2016-12-01,1
2016-12-08,1
2017-01-03,1
2017-01-15,1
2017-01-23,1
2017-01-25,2
2017-01-27,1
2017-02-02,1
2017-02-12,1
2017-02-24,2
2017-02-28,1
2017-03-03,1
2017-03-08,1
2017-03-09,1
2017-03-16,1
2017-03-17,1
2017-03-21,1
2017-03-22,1
2017-04-03,1
2017-04-05,3
2017-04-07,1
2017-04-09,1
2017-04-18,2
2017-05-01,1
2017-05-03,1
2017-05-05,1
2017-05-15,2
2017-05-16,2
2017-05-24,1
2017-05-26,1
2017-05-29,1
2017-06-02,1
2017-06-09,1
2017-06-24,2
2017-06-25,1
2017-07-01,1
2017-07-02,1
2017-07-03,1
2017-07-05,1
2017-07-11,1
2017-07-12,1
2017-07-14,2
2017-07-19,1
2017-07-28,1
2017-08-09,1
2017-08-22,1
