created_at,pull_requests
2018-04-27,1
2018-05-01,1
2018-05-23,1
2018-06-07,1
2018-06-08,2
2018-06-22,1
2018-06-23,1
2018-07-19,1
2018-08-04,2
2018-08-07,1
2018-08-09,1
2018-09-06,1
2018-09-07,1
2018-09-10,1
2018-11-10,1
2018-11-18,1
2018-12-04,1
2018-12-22,1
2018-12-31,1
2019-01-03,1
2019-01-30,1
2019-02-08,1
2019-02-21,2
2019-02-22,1
2019-02-25,1
2019-02-26,1
2019-02-27,1
2019-02-28,1
2019-03-01,1
2019-03-05,1
2019-04-01,1
2019-04-04,1
2019-04-06,1
2019-04-24,1
2019-05-02,1
2019-06-11,1
2019-07-03,2
2019-07-17,1
2019-07-26,2
2019-07-31,2
2019-08-08,1
2019-08-14,1
2019-09-01,1
2019-09-23,1
2019-09-30,1
2019-10-16,1
2019-11-19,1
2019-12-16,1
2019-12-18,1
2020-01-19,2
2020-01-24,1
2020-01-30,1
2020-01-31,1
2020-02-23,1
2020-02-24,1
2020-03-09,3
2020-03-14,1
2020-03-31,1
2020-04-20,1
2020-05-05,1
2020-05-07,1
2020-05-29,1
2020-05-30,1
2020-05-31,1
2020-06-03,1
2020-06-15,1
2020-06-17,1
2020-06-29,1
2020-07-08,1
2020-07-11,1
2020-08-05,1
2020-08-18,1
2020-08-21,1
2020-09-11,2
2020-09-23,1
2020-09-25,1
2020-10-19,1
2020-10-27,3
2020-11-06,1
2020-11-18,1
2020-11-19,1
2020-11-23,1
2020-11-30,1
2020-12-17,1
2020-12-22,1
2021-01-17,1
2021-01-22,1
2021-02-06,1
2021-02-08,1
2021-02-21,2
2021-02-22,1
2021-02-23,1
2021-02-27,1
2021-03-06,1
2021-03-31,1
2021-04-06,1
2021-04-07,1
2021-04-22,1
2021-05-05,2
2021-05-06,1
2021-05-13,1
2021-05-18,1
2021-05-22,1
2021-05-27,2
2021-07-02,1
2021-07-07,1
2021-07-14,1
2021-08-05,1
2021-08-06,1
2021-08-11,1
2021-08-21,1
2021-08-27,1
2021-08-28,1
2021-08-31,1
2021-09-22,1
2021-10-07,1
2021-10-11,1
2021-10-13,1
2021-10-19,1
2021-10-23,1
2021-10-28,1
2021-11-19,1
2021-11-22,1
2021-11-28,1
2021-12-05,1
2022-01-13,3
2022-01-18,1
2022-01-21,2
2022-01-25,1
2022-02-15,1
2022-03-01,1
2022-03-05,1
2022-03-10,1
2022-04-01,1
2022-04-30,1
2022-05-19,1
2022-06-17,1
2022-06-18,2
2022-06-21,1
2022-07-02,2
2022-07-21,1
2022-08-04,1
2022-08-05,1
2022-08-16,1
2022-08-17,1
2022-08-25,1
2022-08-27,1
2022-09-01,1
2022-09-06,1
2022-09-09,1
2022-09-13,1
2022-10-03,1
2022-10-10,1
2022-10-19,1
2022-10-20,2
2022-10-22,1
2022-10-25,1
2022-11-20,1
2022-11-21,1
2022-12-09,1
2022-12-11,1
2022-12-16,1
2022-12-23,1
2023-01-26,1
2023-02-02,2
2023-02-11,2
2023-02-13,2
2023-03-09,1
2023-03-12,1
2023-03-14,1
2023-03-16,2
2023-03-21,1
2023-03-28,1
2023-04-08,1
2023-04-20,1
2023-04-25,2
2023-05-18,2
2023-05-27,1
2023-06-07,1
2023-06-12,1
2023-07-12,1
2023-10-02,1
2023-10-09,1
2023-10-13,1
2023-10-17,2
2023-10-31,1
2023-12-05,1
2024-02-19,1
2024-02-20,1
