created_at,pull_requests
2016-05-09,2
2016-05-10,1
2016-05-11,3
2016-05-13,1
2016-05-14,3
2016-05-15,2
2016-05-23,1
2016-05-26,1
2016-05-27,5
2016-05-28,3
2016-05-29,4
2016-06-03,1
2016-06-04,1
2016-06-10,2
2016-06-16,1
2016-06-22,1
2016-07-04,1
2016-08-19,1
2016-08-27,1
2016-10-17,1
2016-10-19,2
2016-10-20,1
2016-10-27,1
2016-10-29,1
2016-10-31,2
2016-11-05,1
2016-11-06,1
2016-11-12,1
2016-11-19,1
2016-11-25,1
2016-12-02,1
2016-12-06,1
2016-12-14,1
2016-12-26,1
2017-01-02,1
2017-01-15,1
2017-03-13,1
2017-03-23,1
2017-03-25,1
2017-03-26,2
2017-05-13,1
2017-05-17,1
2017-08-07,1
2017-08-11,1
2017-09-02,1
2017-10-09,1
2017-11-01,1
2017-11-09,1
2018-01-29,1
2018-02-15,1
2018-05-23,1
2018-08-10,1
2018-08-11,1
2018-08-24,1
2019-02-17,1
2019-03-31,1
2019-04-06,1
2019-04-07,1
2019-04-13,1
2019-04-26,1
2019-07-09,1
2019-08-22,1
2019-09-11,1
2020-04-10,1
2020-04-11,1
2020-12-07,2
2020-12-22,1
2021-01-28,1
2022-01-28,1
2022-02-22,1
2022-04-23,1
2022-08-20,1
2022-08-21,1
2022-08-31,1
2023-04-16,1
2023-05-03,1
2024-01-22,1
2024-02-08,1
