created_at,pull_requests
2014-04-26,1
2014-07-28,1
2014-07-30,1
2014-09-27,1
2015-09-24,1
2015-11-15,1
2016-01-29,2
2016-02-09,3
2016-02-12,1
2016-02-13,2
2016-02-16,1
2016-02-20,1
2016-03-01,1
2016-03-02,1
2016-04-05,1
2016-04-11,1
2016-04-12,2
2016-07-18,1
2016-07-19,1
2016-09-13,1
2016-10-09,1
2016-10-10,1
2016-10-12,1
2016-12-27,1
2017-01-11,4
2017-01-12,1
2017-01-13,3
2017-01-14,2
2017-01-16,1
2017-02-24,1
2017-05-02,1
2017-05-08,1
2017-05-11,1
2017-05-24,1
2017-06-18,2
2017-06-19,1
2017-06-20,1
2017-06-21,1
2017-06-22,1
2017-06-25,1
2017-06-27,1
2017-06-28,1
2017-06-29,1
2017-06-30,1
2017-07-02,1
2017-07-03,1
2017-07-04,1
2017-07-05,1
2017-07-06,1
2017-07-07,2
2017-07-08,1
2017-07-10,1
2017-07-11,4
2017-07-12,2
2017-07-13,3
2017-07-15,1
2017-07-16,1
2017-07-17,1
2017-07-18,1
2017-07-19,1
2017-07-20,2
2017-07-21,3
2017-07-22,1
2017-07-23,1
2017-07-25,1
2017-07-30,1
2017-08-04,1
2017-08-09,1
2017-08-24,1
2017-08-25,1
2017-09-01,1
2017-09-03,2
2017-09-20,1
2017-09-21,1
2017-10-01,1
2017-10-10,1
2017-11-05,1
2017-11-14,1
2017-11-16,1
2017-11-22,1
2017-11-23,1
2017-11-26,1
2017-12-07,1
2017-12-13,1
2017-12-17,1
2017-12-18,2
2017-12-19,1
2017-12-20,1
2017-12-28,1
2018-01-08,2
2018-01-14,1
2018-01-15,1
2018-01-16,1
2018-01-21,1
2018-02-12,1
2018-02-23,1
2018-02-27,1
2018-03-02,1
2018-03-08,1
2018-03-09,1
2018-03-13,1
2018-03-14,1
2018-03-16,3
2018-03-25,1
2018-03-29,2
2018-05-16,1
2018-05-18,1
2018-05-27,1
2018-05-29,1
2018-06-01,1
2018-06-02,1
2018-06-03,1
2018-06-05,1
2018-06-11,1
2018-06-14,1
2018-06-27,2
2018-06-28,2
2018-07-16,1
2018-09-20,1
2018-09-23,1
2018-10-16,2
2018-10-20,1
2018-10-28,1
2019-01-18,1
2019-01-28,1
2019-02-01,1
2019-02-25,1
2019-03-10,1
2019-03-14,1
2019-03-16,1
2019-03-20,1
2019-03-21,1
2019-04-07,1
2019-05-14,1
2019-05-17,1
2019-05-26,1
2019-07-15,1
2019-07-19,3
2019-08-18,1
2019-08-27,1
2019-10-16,1
2019-10-22,1
2019-10-27,2
2019-10-29,2
2019-11-16,1
2019-12-04,1
2019-12-08,1
2019-12-25,1
2020-01-02,1
2020-01-11,1
2020-01-13,1
2020-01-22,1
2020-01-26,1
2020-02-13,2
2020-02-18,1
2020-02-23,1
2020-02-27,1
2020-02-28,2
2020-03-02,1
2020-03-05,2
2020-03-06,1
2020-03-08,1
2020-03-10,1
2020-03-11,1
2020-03-17,1
2020-03-19,1
2020-03-25,1
2020-03-30,1
2020-04-02,1
2020-04-03,1
2020-04-05,1
2020-04-11,2
2020-04-13,1
2020-04-14,1
2020-04-15,3
2020-04-16,1
2020-04-18,2
2020-04-20,2
2020-04-22,1
2020-04-24,2
2020-04-30,1
2020-05-04,1
2020-05-10,1
2020-05-11,1
2020-05-13,2
2020-05-15,1
2020-05-20,2
2020-05-21,1
2020-06-01,1
2020-06-17,1
2020-06-25,1
2020-06-30,1
2020-07-02,1
2020-07-06,1
2020-07-10,1
2020-07-14,1
2020-07-15,1
2020-07-17,1
2020-07-20,1
2020-07-23,3
2020-07-25,1
2020-07-27,1
2020-07-30,1
2020-07-31,1
2020-08-01,1
2020-08-04,1
2020-08-05,1
2020-08-07,1
2020-08-08,2
2020-08-09,3
2020-08-10,2
2020-08-13,1
2020-08-15,2
2020-08-19,1
2020-08-20,1
2020-08-21,1
2020-08-25,1
2020-08-28,1
2020-08-29,1
2020-09-05,1
2020-09-07,1
2020-09-08,1
2020-09-09,1
2020-09-11,1
2020-09-12,1
2020-09-16,1
2020-09-18,1
2020-09-20,1
2020-09-23,2
2020-09-27,1
2020-10-05,1
2020-10-13,1
2020-10-17,1
2020-10-18,2
2020-10-22,1
2020-10-30,1
2020-11-14,1
2020-11-28,3
2020-12-10,1
2020-12-22,1
2020-12-24,1
2020-12-28,1
2021-01-07,1
2021-01-14,1
2021-01-17,1
2021-02-02,1
2021-02-10,1
2021-02-11,2
2021-02-12,1
2021-02-26,2
2021-02-27,1
2021-03-06,1
2021-03-10,1
2021-03-15,1
2021-03-16,1
2021-03-21,1
2021-03-22,1
2021-03-23,1
2021-03-27,1
2021-03-29,1
2021-04-01,1
2021-04-02,1
2021-04-04,2
2021-04-08,1
2021-04-09,1
2021-04-11,1
2021-04-13,1
2021-04-19,1
2021-05-01,1
2021-05-06,1
2021-05-11,1
2021-05-12,1
2021-05-13,1
2021-05-14,2
2021-05-15,1
2021-05-16,1
2021-05-18,2
2021-05-20,1
2021-05-22,2
2021-05-23,1
2021-05-24,1
2021-05-25,1
2021-05-26,1
2021-05-28,2
2021-06-04,1
2021-06-05,2
2021-06-06,2
2021-06-09,1
2021-06-15,2
2021-06-17,1
2021-06-20,1
2021-06-22,1
2021-06-30,2
2021-07-04,1
2021-07-09,2
2021-07-14,1
2021-07-17,1
2021-08-09,1
2021-08-15,1
2021-08-21,1
2021-08-23,1
2021-08-25,2
2021-08-28,1
2021-08-29,1
2021-10-20,1
2021-10-26,1
2021-10-27,1
2021-11-01,1
2021-11-10,1
2021-11-15,1
2021-11-16,1
2021-11-19,1
2021-11-22,2
2021-11-26,1
2021-11-28,1
2021-12-06,2
2021-12-10,1
2021-12-16,2
2021-12-20,1
2021-12-23,2
2021-12-24,1
2021-12-26,1
2022-01-01,1
2022-01-03,1
2022-01-13,2
2022-01-14,1
2022-01-17,1
2022-01-19,1
2022-01-20,1
2022-01-22,1
2022-01-23,1
2022-01-25,1
2022-01-26,1
2022-03-07,1
2022-03-08,1
2022-03-20,1
2022-03-21,1
2022-03-22,1
2022-03-27,1
2022-04-04,1
2022-05-01,1
2022-05-02,2
2022-05-11,1
2022-05-13,1
2022-05-19,3
2022-05-22,1
2022-05-24,1
2022-05-25,1
2022-05-27,1
2022-05-30,2
2022-06-09,1
2022-06-22,1
2022-06-25,1
2022-06-26,2
2022-06-27,2
2022-06-28,1
2022-07-04,1
2022-07-05,1
2022-07-11,1
2022-07-13,1
2022-07-14,1
2022-07-19,3
2022-07-24,1
2022-07-25,1
2022-07-27,1
2022-07-30,1
2022-08-05,1
2022-08-08,1
2022-09-01,1
2022-09-11,1
2022-09-18,1
2022-09-19,1
2022-09-21,1
2022-09-27,1
2022-09-28,1
2022-09-30,1
2022-10-06,1
2022-10-19,1
2022-10-25,1
2022-11-14,2
2022-12-02,1
2022-12-03,1
2022-12-05,1
2022-12-10,1
2023-01-03,1
2023-01-04,1
2023-01-05,2
2023-01-08,2
2023-01-15,1
2023-01-16,1
2023-01-21,1
2023-01-22,2
2023-02-16,1
2023-03-05,1
2023-03-10,1
2023-03-12,1
2023-03-23,2
2023-03-27,2
2023-03-29,1
2023-03-30,1
2023-03-31,1
2023-04-04,1
2023-04-13,2
2023-04-17,1
2023-04-21,1
2023-04-25,1
2023-04-26,1
2023-05-05,1
2023-05-08,1
2023-05-14,1
2023-05-16,1
2023-05-20,2
2023-07-16,2
2023-08-03,1
2023-08-05,1
2023-08-12,1
2023-08-13,1
2023-08-15,1
2023-10-12,1
2023-10-27,1
2023-11-20,1
2023-12-02,1
2023-12-06,1
2023-12-27,1
2024-01-02,1
2024-01-03,1
2024-01-08,1
2024-01-12,1
2024-01-13,1
2024-01-15,2
2024-01-16,2
2024-01-18,1
2024-01-22,1
2024-01-25,1
2024-02-07,1
2024-03-03,1
