created_at,pull_requests
2021-10-14,5
2021-10-18,2
2021-10-19,4
2021-10-20,2
2021-10-21,3
2021-10-22,3
2021-10-23,3
2021-10-24,1
2021-10-25,5
2021-10-26,2
2021-10-27,2
2021-10-28,6
2021-10-29,5
2021-10-30,1
2021-11-01,4
2021-11-02,4
2021-11-03,2
2021-11-04,1
2021-11-05,5
2021-11-07,2
2021-11-08,1
2021-11-09,2
2021-11-10,1
2021-11-11,4
2021-11-12,2
2021-11-13,1
2021-11-14,2
2021-11-15,1
2021-11-16,1
2021-11-17,4
2021-11-18,1
2021-11-19,4
2021-11-20,2
2021-11-23,2
2021-11-28,1
2021-11-29,2
2021-11-30,2
2021-12-01,4
2021-12-02,3
2021-12-03,1
2021-12-06,1
2021-12-07,1
2021-12-09,1
2021-12-10,1
2021-12-11,2
2021-12-12,1
2021-12-16,1
2021-12-18,1
2021-12-19,1
2021-12-20,2
2021-12-22,2
2021-12-23,1
2021-12-30,1
2021-12-31,1
2022-01-03,3
2022-01-04,1
2022-01-07,3
2022-01-10,1
2022-01-14,1
2022-01-17,2
2022-01-18,4
2022-01-19,2
2022-01-20,1
2022-01-21,2
2022-01-24,2
2022-01-26,3
2022-01-27,1
2022-01-28,2
2022-02-02,2
2022-02-03,1
2022-02-05,1
2022-02-06,1
2022-02-07,2
2022-02-08,4
2022-02-09,1
2022-02-18,2
2022-03-01,3
2022-03-02,1
2022-03-03,1
2022-03-07,2
2022-03-08,1
2022-03-10,1
2022-03-11,1
2022-03-12,1
2022-03-15,3
2022-03-16,1
2022-03-17,1
2022-03-18,1
2022-03-21,2
2022-03-22,1
2022-03-23,2
2022-03-24,4
2022-03-28,1
2022-04-04,1
2022-04-06,2
2022-04-07,3
2022-04-09,1
2022-04-11,1
2022-04-12,1
2022-04-13,5
2022-04-15,2
2022-04-16,1
2022-04-20,1
2022-04-21,3
2022-04-22,1
2022-04-25,1
2022-04-26,1
2022-04-28,1
2022-04-29,2
2022-05-04,2
2022-05-05,2
2022-05-06,1
2022-05-09,2
2022-05-10,2
2022-05-14,1
2022-05-15,1
2022-05-18,1
2022-05-19,1
2022-05-23,1
2022-05-24,3
2022-05-26,1
2022-05-30,1
2022-05-31,3
2022-06-01,2
2022-06-03,4
2022-06-04,1
2022-06-07,1
2022-06-08,2
2022-06-09,1
2022-06-13,1
2022-06-14,2
2022-06-21,2
2022-06-22,2
2022-06-27,2
2022-06-28,1
2022-06-30,1
2022-07-01,1
2022-07-03,3
2022-07-07,1
2022-07-21,1
2022-07-26,1
2022-07-27,1
2022-07-28,1
2022-08-08,2
2022-08-10,1
2022-08-11,2
2022-08-20,1
2022-08-25,2
2022-08-26,2
2022-08-30,1
2022-09-01,1
2022-09-02,2
2022-09-05,2
2022-09-06,2
2022-09-07,4
2022-09-09,2
2022-09-12,1
2022-09-13,1
2022-09-15,5
2022-09-16,4
2022-09-17,1
2022-09-19,2
2022-09-20,2
2022-09-21,4
2022-09-22,6
2022-09-23,16
2022-09-25,1
2022-09-26,1
2022-09-27,3
2022-09-28,1
2022-09-29,4
2022-09-30,4
2022-10-03,4
2022-10-05,3
2022-10-06,8
2022-10-07,1
2022-10-08,1
2022-10-09,1
2022-10-10,4
2022-10-11,1
2022-10-12,1
2022-10-13,1
2022-10-15,1
2022-10-20,1
2022-10-21,2
2022-10-24,1
2022-10-25,2
2022-10-26,2
2022-10-28,1
2022-11-02,3
2022-11-03,3
2022-11-04,4
2022-11-10,1
2022-11-11,1
2022-11-13,1
2022-11-14,4
2022-11-15,2
2022-11-20,1
2022-11-24,3
2022-11-25,2
2022-11-28,2
2022-11-29,1
2022-11-30,1
2022-12-06,3
2022-12-07,5
2022-12-08,6
2022-12-09,5
2022-12-12,4
2022-12-13,5
2022-12-14,2
2022-12-15,8
2022-12-16,2
2022-12-18,1
2022-12-19,1
2022-12-20,1
2022-12-21,1
2022-12-23,1
2023-01-05,2
2023-01-06,1
2023-01-09,1
2023-01-11,1
2023-01-12,2
2023-01-13,1
2023-01-19,1
2023-01-29,1
2023-01-30,1
2023-02-24,1
2023-02-28,1
2023-03-01,1
2023-03-20,1
2023-03-29,2
2023-04-04,1
2023-05-10,2
2023-05-11,1
2023-05-12,1
2023-05-25,1
2023-06-09,1
2023-06-12,1
2023-06-21,1
2023-07-17,1
2023-07-20,1
2023-07-21,1
2023-07-28,1
2023-08-01,1
2023-08-03,1
2023-08-05,1
2023-08-13,1
2023-08-26,1
2023-08-31,2
2023-09-01,1
2023-09-06,2
2023-09-21,1
2023-09-22,1
2023-09-26,1
2023-10-01,1
2023-10-05,1
2023-10-12,1
2023-10-13,6
2023-10-14,2
2023-10-19,1
2023-10-23,1
2023-10-24,2
2023-10-25,1
2023-10-27,1
2023-10-30,1
2023-10-31,1
2023-11-02,1
2023-11-06,1
2023-11-25,1
2023-12-21,1
2024-01-13,1
2024-01-18,1
2024-02-07,1
2024-02-08,1
2024-02-23,1
2024-02-27,1
2024-02-29,1
