created_at,pull_requests
2016-08-19,1
2016-08-24,1
2016-09-01,1
2016-09-07,1
2016-09-09,2
2016-09-21,1
2016-09-22,2
2016-09-24,1
2016-09-30,1
2016-10-30,1
2016-11-01,3
2016-11-02,3
2016-11-05,1
2016-11-06,1
2016-11-15,1
2016-11-16,1
2016-11-18,1
2016-11-20,1
2016-11-29,3
2016-12-01,2
2016-12-03,1
2016-12-04,3
2016-12-05,2
2016-12-08,2
2016-12-16,4
2016-12-17,1
2016-12-21,1
2016-12-24,1
2017-01-05,1
2017-01-06,1
2017-01-07,2
2017-01-11,1
2017-01-13,1
2017-01-18,1
2017-01-19,1
2017-01-21,1
2017-01-24,2
2017-01-25,1
2017-01-30,1
2017-01-31,3
2017-02-01,1
2017-02-02,1
2017-02-04,1
2017-02-05,1
2017-02-06,2
2017-02-07,1
2017-02-09,1
2017-02-10,3
2017-02-13,2
2017-02-14,1
2017-02-15,3
2017-02-17,1
2017-02-18,1
2017-02-22,1
2017-02-23,2
2017-03-02,2
2017-03-04,1
2017-03-05,1
2017-03-07,1
2017-03-08,1
2017-03-10,2
2017-03-12,3
2017-03-15,1
2017-03-16,1
2017-03-18,1
2017-03-21,1
2017-03-24,1
2017-03-31,1
2017-04-05,1
2017-04-07,1
2017-04-20,1
2017-04-26,1
2017-05-01,1
2017-05-04,1
2017-05-13,1
2017-05-18,1
2017-05-24,1
2017-05-27,2
2017-05-28,1
2017-05-29,2
2017-05-30,1
2017-05-31,1
2017-06-01,1
2017-06-02,1
2017-06-04,1
2017-06-08,3
2017-06-09,2
2017-06-11,1
2017-06-13,1
2017-06-16,1
2017-06-23,1
2017-06-25,2
2017-06-30,1
2017-07-02,1
2017-07-04,1
2017-07-06,1
2017-07-07,1
2017-07-10,1
2017-07-11,2
2017-07-15,1
2017-07-20,1
2017-07-21,1
2017-07-26,1
2017-08-07,1
2017-08-10,2
2017-08-11,3
2017-08-12,1
2017-08-13,1
2017-08-15,1
2017-08-17,1
2017-08-21,1
2017-08-22,2
2017-08-23,1
2017-08-24,1
2017-08-26,2
2017-08-27,1
2017-08-28,1
2017-08-30,2
2017-08-31,1
2017-09-03,1
2017-09-06,2
2017-09-08,3
2017-09-10,1
2017-09-12,3
2017-09-14,1
2017-09-17,1
2017-09-18,1
2017-09-19,1
2017-09-20,4
2017-09-21,2
2017-09-22,1
2017-09-23,1
2017-09-24,4
2017-09-25,2
2017-09-26,1
2017-09-28,2
2017-09-29,3
2017-09-30,1
2017-10-06,1
2017-10-10,1
2017-10-12,1
2017-10-14,1
2017-10-16,1
2017-10-20,1
2017-10-22,1
2017-10-26,1
2017-10-30,1
2017-10-31,2
2017-11-01,1
2017-11-08,2
2017-11-09,2
2017-11-13,1
2017-11-14,1
2017-11-15,3
2017-11-17,1
2017-11-21,1
2017-11-22,1
2017-11-26,1
2017-11-28,3
2017-11-30,3
2017-12-03,1
2017-12-04,4
2017-12-06,1
2017-12-13,2
2017-12-14,1
2017-12-18,2
2017-12-20,4
2017-12-21,1
2017-12-30,1
2018-01-07,1
2018-01-12,1
2018-01-16,2
2018-01-17,1
2018-01-18,1
2018-01-20,1
2018-01-21,1
2018-01-22,2
2018-01-23,1
2018-01-24,1
2018-01-27,1
2018-01-28,1
2018-01-29,1
2018-01-30,1
2018-01-31,2
2018-02-01,2
2018-02-02,2
2018-02-04,1
2018-02-05,1
2018-02-06,4
2018-02-07,4
2018-02-08,2
2018-02-09,2
2018-02-13,2
2018-02-16,1
2018-02-19,1
2018-02-21,1
2018-02-23,3
2018-02-26,1
2018-02-27,2
2018-02-28,2
2018-03-01,2
2018-03-02,3
2018-03-05,1
2018-03-07,1
2018-03-08,4
2018-03-09,1
2018-03-12,2
2018-03-13,2
2018-03-14,1
2018-03-20,1
2018-03-21,1
2018-03-22,3
2018-03-23,1
2018-03-25,1
2018-03-27,4
2018-03-29,1
2018-03-30,4
2018-04-02,2
2018-04-03,4
2018-04-04,1
2018-04-05,1
2018-04-06,2
2018-04-10,2
2018-04-11,1
2018-04-16,2
2018-04-17,1
2018-04-18,1
2018-04-19,1
2018-04-21,1
2018-04-25,1
2018-04-26,2
2018-04-28,2
2018-04-30,3
2018-05-01,1
2018-05-02,2
2018-05-04,1
2018-05-05,1
2018-05-08,1
2018-05-10,1
2018-05-11,1
2018-05-16,1
2018-05-17,2
2018-05-21,4
2018-05-22,3
2018-05-23,3
2018-05-24,1
2018-05-26,1
2018-05-28,1
2018-05-30,3
2018-05-31,3
2018-06-01,3
2018-06-05,3
2018-06-06,2
2018-06-07,4
2018-06-08,4
2018-06-09,1
2018-06-12,2
2018-06-13,2
2018-06-14,1
2018-06-15,1
2018-06-19,1
2018-06-25,1
2018-06-29,1
2018-07-02,1
2018-07-03,3
2018-07-04,6
2018-07-05,2
2018-07-07,2
2018-07-11,2
2018-07-13,1
2018-07-15,1
2018-07-16,2
2018-07-17,1
2018-07-19,1
2018-07-20,1
2018-07-25,2
2018-07-26,2
2018-07-27,2
2018-07-29,2
2018-07-30,1
2018-08-01,3
2018-08-02,2
2018-08-09,2
2018-08-13,3
2018-08-15,2
2018-08-16,2
2018-08-18,1
2018-08-21,1
2018-08-23,1
2018-08-29,1
2018-09-05,1
2018-09-06,1
2018-09-10,1
2018-09-11,2
2018-09-18,1
2018-09-19,1
2018-09-20,2
2018-09-21,1
2018-09-25,1
2018-09-27,1
2018-09-30,1
2018-10-01,2
2018-10-02,3
2018-10-10,1
2018-10-12,1
2018-10-15,1
2018-10-16,1
2018-10-17,1
2018-10-18,3
2018-10-19,1
2018-10-20,1
2018-10-24,1
2018-10-30,3
2018-10-31,3
2018-11-01,2
2018-11-03,1
2018-11-05,2
2018-11-07,3
2018-11-08,2
2018-11-13,2
2018-11-14,2
2018-11-15,2
2018-11-19,2
2018-11-20,1
2018-11-23,1
2018-11-24,1
2018-11-26,2
2018-11-29,1
2018-11-30,1
2018-12-05,2
2018-12-13,2
2018-12-17,2
2018-12-19,4
2018-12-20,1
2018-12-21,1
2018-12-24,1
2018-12-30,1
2019-01-02,2
2019-01-03,2
2019-01-07,1
2019-01-08,1
2019-01-11,2
2019-01-14,3
2019-01-16,1
2019-01-17,2
2019-01-18,3
2019-01-19,1
2019-01-20,3
2019-01-22,1
2019-01-23,1
2019-01-24,1
2019-01-26,2
2019-01-28,1
2019-01-29,2
2019-01-30,1
2019-02-04,1
2019-02-05,2
2019-02-08,1
2019-02-09,1
2019-02-11,1
2019-02-13,2
2019-02-18,1
2019-02-21,2
2019-03-01,1
2019-03-04,2
2019-03-11,3
2019-03-14,1
2019-03-15,1
2019-03-18,3
2019-03-19,1
2019-03-24,1
2019-03-25,1
2019-03-29,3
2019-04-02,1
2019-04-03,1
2019-04-04,1
2019-04-05,1
2019-04-09,2
2019-04-15,1
2019-04-22,1
2019-04-25,1
2019-04-26,1
2019-05-03,2
2019-05-06,1
2019-05-08,2
2019-05-09,3
2019-05-10,1
2019-05-16,1
2019-05-29,1
2019-05-30,3
2019-05-31,1
2019-06-01,1
2019-06-02,2
2019-06-03,3
2019-06-04,1
2019-06-13,1
2019-06-14,1
2019-06-19,5
2019-06-24,1
2019-06-26,1
2019-07-02,3
2019-07-03,2
2019-07-04,1
2019-07-07,1
2019-07-08,1
2019-07-09,1
2019-07-10,2
2019-07-12,1
2019-07-14,1
2019-07-15,3
2019-07-17,1
2019-07-18,1
2019-07-23,1
2019-07-24,2
2019-07-25,2
2019-07-26,4
2019-07-29,1
2019-07-30,2
2019-08-01,1
2019-08-05,1
2019-08-08,1
2019-08-11,1
2019-08-12,2
2019-08-13,4
2019-08-15,1
2019-08-19,2
2019-08-20,3
2019-08-21,2
2019-08-22,1
2019-08-23,1
2019-08-27,2
2019-08-28,1
2019-08-29,1
2019-08-30,3
