created_at,pull_requests
2014-06-02,1
2014-06-12,1
2014-06-30,1
2014-07-10,1
2014-07-30,1
2014-08-10,1
2014-08-21,1
2014-09-04,3
2014-09-21,1
2014-09-24,1
2014-10-01,1
2014-11-14,1
2014-11-25,1
2014-12-04,1
2014-12-11,1
2014-12-21,1
2014-12-24,1
2014-12-28,1
2014-12-30,1
2015-01-01,1
2015-01-08,1
2015-01-14,1
2015-01-23,1
2015-02-06,4
2015-02-07,2
2015-02-09,3
2015-02-16,1
2015-02-23,1
2015-02-24,1
2015-02-25,1
2015-03-04,1
2015-03-15,1
2015-03-22,1
2015-04-01,1
2015-04-05,1
2015-04-13,1
2015-04-16,1
2015-04-17,2
2015-05-15,1
2015-06-16,2
2015-06-19,1
2015-07-09,1
2015-07-11,1
2015-07-14,2
2015-08-02,1
2015-08-03,1
2015-08-04,2
2015-08-05,1
2015-08-12,1
2015-08-21,1
2015-08-30,1
2015-09-04,1
2015-09-06,2
2015-09-26,2
2015-10-05,1
2015-10-12,1
2015-10-28,1
2015-10-29,1
2015-11-12,1
2015-11-14,1
2015-12-03,1
2015-12-15,1
2016-01-13,1
2016-01-14,1
2016-01-19,2
2016-01-21,1
2016-01-22,1
2016-01-25,2
2016-01-26,2
2016-01-27,3
2016-01-28,2
2016-01-31,1
2016-02-02,1
2016-02-04,1
2016-02-10,2
2016-02-14,1
2016-02-27,1
2016-03-01,1
2016-03-05,1
2016-03-17,1
2016-03-31,1
2016-04-11,1
2016-04-29,1
2016-05-06,1
2016-05-15,1
2016-05-22,1
2016-05-24,1
2016-05-25,1
2016-06-02,1
2016-06-03,1
2016-06-08,1
2016-06-12,1
2016-06-14,1
2016-06-16,1
2016-06-22,1
2016-06-23,1
2016-06-27,1
2016-07-06,1
2016-07-11,1
2016-07-16,1
2016-07-21,2
2016-08-03,1
2016-08-09,1
2016-08-10,1
2016-08-24,1
2016-09-01,1
2016-09-15,1
2016-09-18,2
2016-09-21,1
2016-09-27,3
2016-10-02,1
2016-10-05,2
2016-10-15,1
2016-10-24,1
2016-11-04,1
2016-11-05,1
2016-11-23,1
2017-01-19,1
2017-01-23,1
2017-01-24,1
2017-01-27,1
2017-01-30,1
2017-02-01,2
2017-02-04,1
2017-02-11,1
2017-02-16,1
2017-03-02,1
2017-03-08,1
2017-03-09,1
2017-03-23,1
2017-03-28,1
2017-04-25,2
2017-04-26,1
2017-04-29,3
2017-05-03,1
2017-05-09,2
2017-05-10,1
2017-05-14,1
2017-05-16,3
2017-05-18,4
2017-05-19,1
2017-05-20,7
2017-05-28,1
2017-06-07,1
2017-06-30,1
2017-09-05,1
2017-09-24,2
2017-09-26,2
2017-09-27,3
2017-10-10,1
2017-10-16,1
2017-10-19,1
2017-10-25,1
2017-10-26,1
2017-10-28,3
2017-10-29,2
2017-10-30,1
2017-11-08,1
2017-11-09,1
2017-11-12,1
2017-11-14,1
2017-11-19,1
2017-11-20,1
2017-11-24,1
2017-11-29,1
2017-11-30,2
2017-12-01,1
2017-12-03,1
2017-12-07,3
2017-12-11,1
2018-01-05,1
2018-01-09,1
2018-01-11,1
2018-01-25,1
2018-01-30,1
2018-02-06,1
2018-02-12,1
2018-02-17,1
2018-02-20,2
2018-03-04,6
2018-03-05,1
2018-03-06,1
2018-03-08,1
2018-03-09,1
2018-03-11,2
2018-03-12,1
2018-03-13,1
2018-03-15,1
2018-03-17,2
2018-03-21,1
2018-03-24,2
2018-03-28,1
2018-03-29,1
2018-04-12,1
2018-05-26,2
2018-06-03,1
2018-06-07,1
2018-06-10,2
2018-06-14,1
2018-06-26,1
2018-07-04,1
2018-07-23,1
2018-07-24,1
2018-07-28,2
2018-07-29,1
2018-08-08,1
2018-08-10,1
2018-08-11,1
2018-08-13,2
2018-08-27,1
2018-09-14,1
2018-09-16,1
2018-09-20,1
2018-09-21,1
2018-09-27,1
2018-10-09,1
2018-10-17,1
2018-10-20,1
2018-11-05,1
2018-11-18,1
2018-11-23,1
2018-11-28,1
2018-11-30,1
2018-12-04,1
2018-12-06,1
2018-12-08,3
2018-12-14,1
2018-12-15,1
2019-01-26,2
2019-02-14,1
2019-02-17,1
2019-02-19,2
2019-02-20,2
2019-02-24,3
2019-02-25,2
2019-02-26,1
2019-02-28,2
2019-03-06,1
2019-03-10,1
2019-03-11,2
2019-03-13,3
2019-03-21,1
2019-03-27,1
2019-03-28,1
2019-04-02,1
2019-04-04,3
2019-04-05,1
2019-04-08,1
2019-04-11,1
2019-04-12,1
2019-04-20,1
2019-04-23,1
2019-04-25,2
2019-04-30,1
2019-05-05,1
2019-05-07,2
2019-05-28,3
2019-05-29,1
2019-06-07,1
2019-06-12,5
2019-06-14,2
2019-06-15,1
2019-06-26,1
2019-07-20,4
2019-07-31,1
2019-08-05,1
2019-08-15,1
2019-08-16,1
2019-08-17,1
2019-08-18,1
2019-08-26,1
2019-09-04,1
2019-09-05,1
2019-09-15,1
2019-09-16,1
2019-09-18,3
2019-09-20,1
2019-09-29,1
2019-10-04,1
2019-10-08,1
2019-10-10,1
2019-10-17,1
2019-10-18,1
2019-11-07,1
2019-11-12,1
2019-11-18,1
2019-11-19,2
2019-11-29,1
2019-12-03,1
2019-12-05,1
2019-12-10,1
2019-12-14,1
2019-12-18,1
2019-12-21,1
2019-12-27,1
2020-01-02,3
2020-01-09,1
2020-01-17,1
2020-01-18,2
2020-01-19,1
2020-01-24,2
2020-01-27,1
2020-01-31,1
2020-02-01,2
2020-02-03,1
2020-02-08,1
2020-02-09,1
2020-02-11,1
2020-02-13,3
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-18,1
2020-02-19,1
2020-02-21,1
2020-03-03,1
2020-03-04,1
2020-03-14,2
2020-04-14,1
2020-04-15,1
2020-04-16,1
2020-04-23,1
2020-04-24,2
2020-04-28,2
2020-04-29,1
2020-04-30,2
2020-05-01,2
2020-05-02,2
2020-05-04,1
2020-05-06,1
2020-05-12,1
2020-05-13,1
2020-05-15,1
2020-05-17,1
2020-05-18,1
2020-05-23,1
2020-05-24,1
2020-05-25,2
2020-05-26,1
2020-07-02,1
2020-07-21,1
2020-08-01,1
2020-08-08,1
2020-09-08,1
2020-09-12,1
2020-09-20,1
2020-09-24,1
2020-09-25,1
2020-09-26,1
2020-09-29,1
2020-10-05,1
2020-10-11,1
2020-10-15,2
2020-10-18,1
2020-10-23,1
2020-10-24,4
2020-10-31,1
2020-11-04,2
2020-11-07,1
2020-11-09,1
2020-11-13,1
2020-11-14,1
2020-11-15,3
2020-11-19,1
2020-12-11,1
2020-12-13,1
2020-12-14,2
2020-12-17,1
2020-12-20,1
2020-12-21,1
2020-12-29,1
2021-01-07,1
2021-01-08,1
2021-01-15,1
2021-02-04,1
2021-02-11,1
2021-02-20,1
2021-02-24,1
2021-03-14,1
2021-03-24,2
2021-04-15,1
2021-05-02,2
2021-05-12,2
2021-06-02,1
2021-06-06,1
2021-06-23,1
2021-06-29,1
2021-07-24,1
2021-08-09,1
2021-08-10,1
2021-08-11,1
2021-08-17,1
2021-08-20,1
2021-09-12,1
2021-09-24,1
2021-10-03,1
2021-10-05,1
2021-10-08,1
2021-10-09,1
2021-10-14,1
2021-10-25,1
2021-11-03,1
2021-11-04,1
2021-11-11,1
2021-11-19,3
2021-11-20,1
2021-11-29,1
2021-12-07,1
2021-12-14,1
2021-12-16,1
2021-12-20,1
2021-12-25,2
2021-12-29,1
2022-01-04,1
2022-01-05,1
2022-01-07,1
2022-01-08,1
2022-01-15,1
2022-01-16,5
2022-01-17,2
2022-01-24,1
2022-01-27,1
2022-01-31,1
2022-02-02,1
2022-02-23,2
2022-02-25,1
2022-03-15,1
2022-03-18,1
2022-03-28,1
2022-04-05,1
2022-04-11,1
2022-04-13,1
2022-04-15,1
2022-05-01,1
2022-05-07,1
2022-05-18,1
2022-05-31,1
2022-06-04,1
2022-06-23,1
2022-07-02,1
2022-07-13,1
2022-07-30,2
2022-08-02,1
2022-09-05,1
2022-09-15,2
2022-09-16,1
2022-09-17,1
2022-09-21,1
2022-09-25,1
2022-09-29,1
2022-10-02,1
2022-10-08,1
2022-10-10,1
2022-10-18,1
2022-10-19,1
2022-10-21,2
2022-10-22,1
2022-11-07,1
2022-11-09,1
2022-11-28,2
2022-12-15,1
2022-12-25,1
2022-12-26,1
2023-01-07,1
2023-01-24,1
2023-01-26,1
2023-02-04,1
2023-03-11,1
2023-03-18,1
2023-03-24,1
2023-03-25,2
2023-03-31,1
2023-04-02,1
2023-04-05,1
2023-04-08,1
2023-04-10,3
2023-04-12,1
2023-04-13,3
2023-04-15,1
2023-04-17,1
2023-04-18,1
2023-04-20,2
2023-04-21,2
2023-04-22,3
2023-05-09,1
2023-05-28,1
2023-06-06,2
2023-06-07,1
2023-06-09,1
2023-06-25,2
2023-07-15,1
2023-07-20,1
2023-08-01,2
2023-08-02,2
2023-08-03,1
2023-08-06,1
2023-08-15,1
2023-08-18,1
2023-08-22,1
2023-09-04,1
2023-09-10,1
2023-09-13,1
2023-10-03,2
2023-10-04,1
2023-10-14,1
2023-10-15,1
2023-10-20,1
2023-10-23,1
2023-10-25,1
2023-10-26,1
2023-11-01,1
2023-11-29,1
2023-12-19,1
2023-12-20,3
2023-12-21,1
2023-12-23,1
2024-01-04,1
2024-01-25,1
2024-01-29,1
2024-02-08,1
2024-02-09,2
2024-02-22,1
