created_at,pull_requests
2019-06-08,1
2019-07-23,11
2019-07-24,1
2019-07-26,2
2019-08-01,2
2019-08-02,2
2019-08-03,2
2019-08-05,1
2019-08-07,1
2019-08-08,6
2019-08-09,3
2019-08-12,1
2019-08-14,1
2019-08-15,1
2019-08-16,1
2019-08-18,1
2019-08-19,1
2019-08-20,1
2019-08-21,1
2019-08-26,1
2019-08-28,1
2019-08-29,1
2019-08-30,1
2019-09-04,4
2019-09-05,2
2019-09-06,2
2019-09-09,3
2019-09-10,1
2019-09-11,2
2019-09-13,2
2019-09-16,1
2019-09-17,2
2019-09-18,1
2019-09-23,1
2019-09-25,2
2019-09-26,1
2019-09-27,2
2019-09-30,1
2019-10-01,1
2019-10-02,1
2019-10-04,3
2019-10-06,1
2019-10-07,1
2019-10-09,1
2019-10-10,1
2019-10-12,1
2019-10-14,2
2019-10-15,3
2019-10-16,1
2019-10-17,1
2019-10-18,2
2019-10-21,2
2019-10-22,4
2019-10-23,2
2019-10-24,1
2019-10-25,3
2019-10-28,3
2019-10-29,1
2019-10-30,5
2019-10-31,1
2019-11-01,2
2019-11-02,1
2019-11-03,2
2019-11-05,6
2019-11-06,1
2019-11-07,1
2019-11-08,1
2019-11-10,2
2019-11-11,3
2019-11-12,1
2019-11-14,1
2019-11-15,1
2019-11-16,1
2019-11-17,2
2019-11-18,2
2019-11-19,2
2019-11-20,1
2019-11-22,2
2019-11-23,4
2019-11-24,3
2019-11-25,2
2019-11-27,1
2019-11-29,1
2019-12-02,1
2019-12-03,1
2019-12-04,1
2019-12-06,1
2019-12-08,1
2019-12-09,3
2019-12-10,3
2019-12-12,2
2019-12-15,1
2019-12-16,2
2019-12-17,3
2019-12-18,3
2019-12-19,1
2019-12-20,5
2019-12-21,1
2019-12-23,2
2019-12-24,1
2019-12-26,2
2019-12-27,1
2019-12-30,1
2020-01-01,2
2020-01-02,1
2020-01-03,3
2020-01-05,2
2020-01-06,3
2020-01-07,1
2020-01-08,1
2020-01-09,2
2020-01-12,1
2020-01-13,1
2020-01-14,2
2020-01-15,2
2020-01-16,3
2020-01-17,3
2020-01-18,1
2020-01-20,2
2020-01-21,1
2020-01-22,1
2020-01-23,3
2020-01-24,2
2020-01-25,1
2020-01-26,1
2020-01-27,1
2020-01-28,5
2020-01-29,2
2020-01-30,3
2020-01-31,1
2020-02-01,2
2020-02-02,2
2020-02-03,2
2020-02-05,1
2020-02-06,1
2020-02-08,2
2020-02-09,1
2020-02-10,1
2020-02-11,4
2020-02-12,2
2020-02-13,1
2020-02-15,2
2020-02-16,2
2020-02-18,1
2020-02-19,3
2020-02-20,2
2020-02-22,2
2020-02-23,1
2020-02-24,2
2020-02-25,2
2020-02-26,2
2020-02-27,2
2020-02-28,2
2020-02-29,2
2020-03-01,1
2020-03-02,1
2020-03-05,2
2020-03-06,1
2020-03-07,4
2020-03-08,1
2020-03-11,1
2020-03-13,1
2020-03-15,1
2020-03-18,1
2020-03-20,2
2020-03-22,2
2020-03-24,2
2020-03-25,2
2020-03-26,3
2020-03-27,1
2020-03-28,1
2020-03-29,1
2020-04-12,7
2020-04-14,2
2020-04-15,2
2020-04-17,2
2020-04-18,1
2020-04-19,1
2020-04-20,2
2020-04-21,2
2020-04-22,3
2020-04-25,1
2020-04-26,2
2020-04-27,1
2020-04-28,1
2020-04-29,2
2020-04-30,1
2020-05-02,1
2020-05-03,2
2020-05-05,1
2020-05-06,1
2020-05-07,1
