created_at,pull_requests
2020-03-20,4
2020-03-25,1
2020-03-27,4
2020-03-28,1
2020-03-29,1
2020-04-02,1
2020-04-10,2
2020-04-11,1
2020-04-20,1
2020-04-24,1
2020-04-26,1
2020-05-21,1
2020-07-11,1
2020-07-18,1
2020-07-19,1
2020-07-24,1
2020-07-26,1
2020-08-29,1
2020-09-03,1
2020-09-09,1
2020-09-20,1
2020-09-21,2
2020-09-23,1
2020-09-25,1
2020-10-02,1
2020-10-04,1
2020-10-05,1
2020-11-10,1
2020-11-14,1
2020-11-19,1
2020-11-25,1
2020-11-26,2
2020-12-09,1
2020-12-11,1
2020-12-14,1
2020-12-17,3
2020-12-27,1
2021-01-15,1
2021-01-22,1
2021-01-23,1
2021-01-31,1
2021-02-02,1
2021-02-03,2
2021-02-04,1
2021-02-05,3
2021-02-09,2
2021-02-19,1
2021-02-20,1
2021-02-23,1
2021-02-28,1
2021-03-04,1
2021-03-05,2
2021-03-08,1
2021-03-24,1
2021-03-26,1
2021-03-30,3
2021-04-02,1
2021-04-03,1
2021-04-05,1
2021-04-08,2
2021-04-12,1
2021-04-13,2
2021-04-15,1
2021-04-26,1
2021-04-27,1
2021-04-28,1
2021-04-30,1
2021-05-02,1
2021-05-06,1
2021-05-16,1
2021-05-19,1
2021-05-31,1
2021-06-01,1
2021-06-09,2
2021-06-10,2
2021-07-14,1
2021-08-16,1
2021-08-21,1
2021-08-26,1
2021-08-27,2
2021-08-28,2
2021-08-30,2
2021-09-01,1
2021-09-08,2
2021-09-10,2
2021-09-12,1
2021-09-13,2
2021-09-14,1
2021-10-29,1
2021-10-31,3
2021-11-07,1
2021-12-02,1
2021-12-11,1
2021-12-13,1
2021-12-14,1
2021-12-27,1
2022-01-23,1
2022-02-08,1
2022-02-14,2
2022-02-15,1
2022-02-16,2
2022-02-17,2
2022-02-28,2
2022-03-01,1
2022-03-05,1
2022-03-07,2
2022-03-10,1
2022-03-21,1
2022-04-20,1
2022-04-25,1
2022-05-08,1
2022-05-16,1
2022-06-03,1
2022-06-06,2
2022-06-07,1
2022-06-20,1
2022-06-27,1
2022-06-29,1
2022-07-04,1
2022-07-18,1
2022-07-19,1
2022-07-24,1
2022-07-25,1
2022-07-29,1
2022-07-31,1
2022-08-03,1
2022-08-04,2
2022-08-15,1
2022-08-23,3
2022-10-14,1
2022-10-20,1
2022-10-24,2
2022-10-26,1
2022-11-02,1
2022-11-03,1
2022-11-14,1
2022-12-29,1
2023-01-23,1
2023-01-30,1
2023-02-03,1
2023-02-13,2
2023-02-20,1
2023-02-24,1
2023-02-27,2
2023-03-08,1
2023-03-12,1
2023-03-15,1
2023-03-20,1
2023-04-11,5
2023-04-12,1
2023-04-13,4
2023-04-14,1
2023-04-17,2
2023-04-18,1
2023-04-19,1
2023-04-22,2
2023-04-23,1
2023-04-29,1
2023-05-05,1
2023-05-06,5
2023-05-07,1
2023-05-08,2
2023-05-09,3
2023-05-10,2
2023-05-11,2
2023-05-12,2
2023-05-13,1
2023-05-15,1
2023-05-16,1
2023-05-22,2
2023-05-24,1
2023-05-30,3
2023-05-31,1
2023-06-01,2
2023-06-02,1
2023-06-05,1
2023-06-09,2
2023-06-12,1
2023-06-20,1
2023-06-22,1
2023-06-30,1
2023-07-30,1
2023-07-31,1
2023-08-08,1
2023-08-16,1
2023-08-19,1
2023-08-20,1
2023-08-21,3
2023-08-23,1
2023-08-28,1
2023-08-29,1
2023-08-30,1
2023-08-31,4
2023-09-04,1
2023-09-05,1
2023-09-06,1
2023-09-07,1
2023-09-18,2
2023-09-19,1
2023-09-21,3
2023-09-29,1
2023-10-09,2
2023-10-10,1
2023-10-13,3
2023-10-22,1
2023-10-29,1
2023-10-30,2
2023-11-08,1
2023-11-09,5
2023-11-10,1
2023-11-13,1
2023-11-14,8
2023-11-16,1
2023-11-28,1
2023-12-07,1
2023-12-11,3
2023-12-12,1
2023-12-13,1
2023-12-14,1
2023-12-17,1
2023-12-18,3
2023-12-23,1
2023-12-26,1
2023-12-31,1
2024-01-02,1
2024-01-10,1
2024-01-11,1
2024-01-17,2
2024-01-21,1
2024-01-22,1
2024-01-29,1
2024-01-30,1
2024-02-02,2
2024-02-05,2
2024-02-12,1
2024-03-04,1
2024-03-05,1
