created_at,pull_requests
2021-05-26,2
2021-05-27,2
2021-05-28,3
2021-05-29,6
2021-06-04,1
2021-06-20,1
2021-07-06,1
2021-07-12,1
2021-07-21,1
2021-07-27,1
2021-07-29,2
2021-07-30,1
2021-07-31,2
2021-08-01,1
2021-08-03,9
2021-08-05,2
2021-08-16,1
2021-08-22,1
2021-08-26,1
2021-08-29,1
2021-09-02,1
2021-09-03,1
2021-09-06,1
2021-09-10,1
2021-09-17,1
2021-09-18,1
2021-09-19,1
2021-09-26,1
2021-09-27,1
2021-10-19,1
2021-10-22,1
2021-10-29,1
2021-10-31,1
2021-11-06,2
2021-11-10,1
2021-11-11,1
2021-11-23,1
2021-11-29,1
2021-11-30,1
2021-12-06,1
2021-12-10,1
2022-01-20,1
2022-01-23,1
2022-02-08,3
2022-02-09,1
2022-02-13,1
2022-02-25,2
2022-03-01,1
2022-03-08,2
2022-03-09,1
2022-03-18,1
2022-03-27,1
2022-03-29,1
2022-04-18,1
2022-04-19,1
2022-04-27,1
2022-05-02,1
2022-05-19,1
2022-05-27,1
2022-05-28,4
2022-06-04,1
2022-06-08,1
2022-06-21,1
2022-06-23,1
2022-06-26,1
2022-08-10,1
2022-08-15,1
2022-08-20,1
2022-08-23,1
2022-08-26,1
2022-08-27,3
2022-09-16,1
2022-10-12,1
2022-10-13,1
2022-10-15,1
2022-10-17,1
2022-10-26,2
2022-11-08,1
2022-11-14,1
2022-12-02,1
2022-12-03,1
2022-12-05,1
2022-12-09,1
2023-01-31,1
2023-02-09,1
2023-02-17,2
2023-02-18,1
2023-02-19,1
2023-02-21,2
2023-02-22,1
2023-03-24,1
2023-03-25,1
2023-03-30,2
2023-03-31,3
2023-04-02,2
2023-04-05,1
2023-04-22,1
2023-05-10,1
2023-06-01,2
2023-06-09,1
2023-06-13,1
2023-06-14,2
2023-06-19,1
2023-06-26,1
2023-06-29,1
2023-07-05,1
2023-07-21,1
2023-07-27,1
2023-08-03,3
2023-08-04,1
2023-08-22,1
2023-09-07,1
2023-09-09,2
2023-09-11,1
2023-09-27,2
2023-09-28,1
2023-10-09,1
2023-11-08,1
2023-11-24,1
2023-12-11,1
2023-12-14,1
2023-12-18,1
2023-12-21,1
2023-12-24,1
2024-01-12,1
2024-02-12,1
