created_at,pull_requests
2016-09-04,2
2016-10-12,1
2016-11-12,1
2016-11-20,1
2016-12-17,2
2016-12-18,2
2017-02-01,1
2017-02-17,1
2017-02-25,1
2017-02-26,2
2017-03-11,1
2017-03-12,1
2017-03-27,1
2017-04-04,2
2017-04-05,1
2017-04-06,1
2017-04-07,1
2017-04-08,2
2017-04-13,1
2017-04-27,2
2017-05-01,3
2017-05-02,1
2017-05-04,1
2017-05-05,1
2017-05-08,1
2017-05-09,1
2017-05-13,2
2017-05-17,1
2017-05-24,2
2017-05-30,1
2017-06-07,1
2017-06-10,1
2017-06-19,1
2017-06-28,1
2017-07-17,1
2017-07-21,1
2017-07-26,1
2017-08-14,1
2017-08-24,1
2017-09-03,1
2017-09-05,1
2017-09-11,1
2017-09-19,1
2017-09-28,1
2017-10-01,1
2017-10-04,1
2017-10-16,1
2017-10-20,1
2017-11-05,3
2017-11-16,1
2017-11-17,4
2017-11-18,1
2017-11-21,3
2017-11-22,2
2017-11-23,1
2017-11-28,1
2017-11-29,2
2017-12-06,1
2017-12-08,1
2018-01-08,1
2018-01-11,1
2018-02-23,1
2018-02-26,1
2018-02-27,1
2018-02-28,1
2018-04-13,1
2018-04-15,1
2018-04-17,1
2018-04-24,1
2018-04-27,1
2018-04-29,1
2018-05-02,1
2018-05-08,1
2018-05-11,1
2018-05-18,1
2018-07-03,1
2018-07-25,1
2018-07-26,1
2018-08-08,1
2018-08-16,1
2018-08-21,1
2018-08-23,1
2018-08-25,1
2018-08-27,1
2018-09-27,1
2018-10-03,1
2018-10-04,1
2018-10-27,1
2018-10-29,1
2018-11-09,1
2018-11-11,2
2018-11-28,1
2018-12-10,2
2018-12-13,1
2019-01-03,1
2019-01-04,1
2019-01-15,1
2019-01-16,1
2019-01-21,1
2019-01-30,1
2019-02-01,1
2019-02-03,1
2019-02-04,1
2019-03-12,1
2019-03-20,1
2019-03-28,1
2019-04-15,1
2019-04-19,1
2019-04-24,1
2019-05-03,1
2019-05-13,1
2019-06-10,1
2019-06-20,1
2019-07-14,2
2019-08-09,1
2019-08-19,1
2019-08-26,1
2019-08-27,1
2019-08-28,1
2019-09-04,1
2019-09-12,2
2019-09-20,1
2019-09-26,1
2019-10-19,1
2019-10-20,2
2019-10-21,1
2019-11-23,1
2019-11-26,1
2019-11-27,1
2019-11-28,1
2019-12-17,1
2020-01-03,1
2020-01-04,2
2020-02-03,1
2020-02-06,3
2020-02-10,1
2020-02-11,1
2020-02-18,1
2020-02-20,3
2020-02-24,1
2020-02-28,1
2020-02-29,1
2020-03-05,1
2020-03-16,1
2020-03-29,1
2020-03-31,1
2020-04-03,1
2020-04-06,1
2020-04-23,1
2020-04-27,1
2020-04-29,1
2020-05-01,3
2020-05-12,2
2020-05-30,1
2020-06-03,3
2020-06-04,1
2020-06-08,1
2020-06-13,1
2020-06-15,2
2020-06-16,1
2020-06-29,1
2020-06-30,1
2020-07-08,1
2020-07-16,3
2020-07-24,3
2020-08-02,1
2020-08-14,1
2020-08-28,1
2020-08-31,1
2020-09-01,1
2020-09-08,2
2020-09-09,4
2020-09-17,3
2020-10-04,1
2020-10-06,2
2020-10-29,1
2020-10-30,1
2020-11-12,1
2020-11-17,1
2020-11-24,1
2020-11-27,2
2020-11-30,1
2020-12-05,1
2020-12-07,1
2020-12-10,1
2020-12-18,1
2021-01-01,1
2021-01-14,2
2021-01-16,1
2021-01-17,1
2021-01-18,2
2021-01-23,1
2021-01-28,1
2021-01-30,2
2021-02-01,1
2021-02-11,1
2021-02-12,1
2021-02-13,1
2021-03-15,1
2021-03-24,1
2021-04-02,1
2021-04-09,1
2021-04-21,3
2021-04-22,1
2021-04-23,1
2021-04-26,2
2021-05-13,1
2021-05-24,1
2021-05-27,1
2021-06-14,1
2021-06-15,2
2021-06-18,1
2021-07-01,2
2021-07-10,1
2021-07-11,1
2021-07-13,3
2021-07-16,1
2021-07-28,1
2021-08-02,1
2021-08-06,1
2021-08-08,1
2021-08-20,1
2021-08-31,1
2021-09-10,1
2021-09-17,1
2021-09-26,1
2021-10-18,1
2021-10-22,1
2021-11-03,1
2021-11-17,1
2021-11-22,1
2021-11-29,1
2021-12-02,2
2022-03-07,1
2022-04-01,1
2022-04-18,1
2022-05-05,1
2022-05-10,1
2022-06-08,1
2022-07-11,1
2022-07-12,2
2022-07-17,2
2022-07-22,3
2022-07-27,2
2022-08-19,1
2022-09-02,1
2022-09-08,2
2022-09-19,1
2022-10-27,1
2022-11-16,1
2022-12-12,1
2022-12-30,1
2023-01-06,1
2023-01-09,1
2023-01-11,1
2023-01-17,1
2023-02-17,1
2023-02-25,2
2023-03-03,1
2023-03-08,2
2023-03-14,1
2023-03-15,1
2023-03-21,1
2023-03-22,1
2023-03-27,1
2023-03-28,3
2023-03-30,2
2023-04-03,1
2023-04-04,2
2023-04-10,1
2023-04-12,6
2023-04-16,1
2023-04-21,1
2023-04-26,2
2023-05-05,1
