created_at,pull_requests
2017-04-05,2
2017-06-04,1
2017-10-09,4
2018-10-30,1
2018-12-26,1
2019-05-16,1
2019-07-18,1
2019-08-14,1
2019-08-25,1
2019-08-26,1
2019-09-19,1
2019-10-03,1
2020-01-25,1
2020-04-26,1
2020-09-14,1
2020-09-22,1
2021-04-29,1
2021-09-16,1
2021-11-08,1
2022-01-30,1
2022-01-31,1
2022-02-03,2
2022-02-28,1
2022-03-08,1
2022-03-23,1
2022-04-25,1
2022-05-15,1
2022-06-07,4
2022-06-28,1
2022-07-29,1
2022-12-05,1
2023-02-17,1
2023-03-10,1
2023-03-26,1
2023-05-17,1
2023-06-08,1
2023-06-22,1
2023-07-12,3
2023-08-18,2
2023-09-07,1
