created_at,pull_requests
2012-01-05,1
2012-01-11,1
2012-01-23,1
2012-05-29,1
2013-03-07,1
2013-05-22,1
2013-06-17,1
2013-06-24,1
2013-08-28,1
2013-09-15,1
2013-09-30,1
2013-10-01,1
2013-10-03,1
2013-10-05,1
2013-10-22,1
2013-11-02,1
2013-11-11,1
2013-11-20,1
2013-11-21,1
2013-12-02,1
2013-12-15,1
2013-12-18,1
2014-01-03,1
2014-03-24,1
2014-04-01,1
2014-05-25,3
2014-07-28,1
2014-09-25,1
2014-10-13,1
2014-11-14,2
2014-12-02,1
2015-02-15,1
2015-03-24,1
2015-04-22,1
2015-05-19,1
2015-05-22,1
2015-07-10,1
2015-07-19,1
2015-08-15,1
2015-09-27,1
2015-10-12,1
2015-12-15,1
2016-01-10,1
2016-02-14,1
2016-02-15,1
2016-03-29,1
2016-04-02,1
2016-04-04,1
2016-04-05,1
2016-05-08,1
2016-05-23,1
2016-08-02,1
2016-10-07,1
2016-10-19,1
2016-10-31,1
2016-11-01,1
2016-12-21,1
2016-12-23,1
2017-02-03,1
2017-03-25,1
2017-03-27,1
2017-04-27,1
2017-05-09,1
2017-05-30,1
2017-07-16,1
2017-08-05,2
2017-08-07,1
2017-08-21,1
2017-09-30,1
2017-10-11,1
2017-10-15,3
2017-10-16,1
2017-10-19,1
2017-11-12,1
2017-11-17,1
2017-11-21,1
2017-12-11,1
2017-12-26,1
2018-01-11,1
2018-02-10,1
2018-03-20,1
2018-03-22,2
2018-05-13,2
2018-05-14,1
2018-05-28,1
2018-06-13,1
2018-06-14,1
2018-06-27,1
2018-07-04,1
2018-07-06,1
2018-08-21,1
2018-09-04,1
2018-09-19,2
2018-11-07,1
2018-12-05,1
2019-02-04,1
2019-02-05,1
2019-02-06,1
2019-02-14,1
2019-02-19,1
2019-04-14,1
2019-05-16,1
2019-05-24,2
2019-05-28,1
2019-06-07,1
2019-06-15,1
2019-06-17,2
2019-06-18,1
2019-08-28,1
2019-09-08,1
2019-11-11,1
2019-12-05,2
2020-01-15,1
2020-01-20,1
2020-01-22,1
2020-01-27,1
2020-02-07,1
2020-03-02,1
2020-03-06,1
2020-03-08,1
2020-03-10,1
2020-03-26,1
2020-04-12,1
2020-04-24,1
2020-05-01,1
2020-05-11,1
2020-05-12,1
2020-05-20,1
2020-05-22,2
2020-06-01,1
2020-06-02,2
2020-06-11,1
2020-06-15,1
2020-06-22,1
2020-07-28,1
2020-08-27,1
2020-09-02,1
2020-09-10,1
2020-10-02,1
2020-10-03,1
2020-10-06,1
2020-10-24,1
2020-11-02,1
2020-11-13,1
2020-11-14,1
2020-11-15,1
2021-01-12,1
2021-01-20,1
2021-03-08,1
2021-03-15,1
2021-04-01,1
2021-04-12,1
2021-05-06,1
2021-05-09,1
2021-05-12,1
2021-05-23,1
2021-06-12,1
2021-06-29,1
2021-08-26,1
2021-08-30,1
2021-09-13,1
2021-10-21,1
2021-10-22,1
2021-10-23,2
2021-11-08,1
2021-12-28,1
2022-03-02,1
2022-03-15,1
2022-04-22,1
2022-05-20,3
2022-05-27,1
2022-06-12,1
2022-07-02,1
2022-07-30,1
2022-09-11,1
2022-09-19,1
2022-09-30,1
2022-11-14,1
2022-11-19,1
2022-11-21,1
2022-12-10,1
2022-12-11,1
2023-01-05,1
2023-01-10,1
2023-01-25,1
2023-02-04,1
2023-04-01,1
2023-05-06,1
2023-05-14,1
2023-05-22,1
2023-06-02,1
2023-06-13,1
2023-06-21,1
2023-07-04,1
2023-07-11,2
2023-07-23,2
2023-07-25,1
2023-08-14,1
2023-11-22,1
2023-11-28,1
2023-12-28,1
2024-01-24,1
2024-02-16,1
2024-02-18,1
2024-03-04,1
2024-03-05,1
