created_at,pull_requests
2019-10-21,1
2019-10-22,1
2020-02-11,1
2020-06-05,1
2020-10-28,1
2020-11-29,1
2020-12-04,1
2020-12-05,1
2020-12-06,2
2020-12-09,1
2020-12-11,1
2020-12-13,2
2020-12-15,3
2020-12-17,1
2020-12-18,2
2020-12-19,1
2020-12-20,1
2020-12-22,1
2020-12-23,3
2020-12-24,1
2020-12-25,2
2020-12-27,1
2020-12-28,3
2020-12-29,4
2020-12-30,3
2020-12-31,2
2021-01-01,5
2021-01-02,9
2021-01-03,3
2021-01-04,3
2021-01-05,1
2021-01-06,4
2021-01-07,2
2021-01-08,4
2021-01-09,2
2021-01-10,9
2021-01-11,3
2021-01-14,6
2021-01-15,4
2021-01-16,3
2021-01-17,2
2021-01-18,3
2021-01-20,7
2021-01-21,4
2021-01-22,1
2021-01-23,2
2021-01-26,2
2021-01-29,3
2021-01-31,7
2021-02-01,3
2021-02-02,7
2021-02-03,4
2021-02-06,2
2021-02-10,1
2021-02-14,1
2021-02-17,4
2021-02-18,2
2021-02-20,2
2021-02-21,4
2021-02-23,3
2021-02-24,15
2021-02-25,4
2021-02-26,10
2021-02-28,12
2021-03-01,1
2021-03-02,1
2021-03-03,2
2021-03-04,2
2021-03-05,2
2021-03-06,6
2021-03-07,7
2021-03-08,4
2021-03-10,1
2021-03-12,2
2021-03-13,1
2021-03-14,4
2021-03-15,2
2021-03-16,3
2021-03-17,1
2021-03-18,3
2021-03-20,1
2021-03-23,1
2021-03-24,2
2021-03-27,1
2021-03-28,1
2021-03-30,1
2021-03-31,1
2021-04-01,1
2021-04-02,2
2021-04-03,1
2021-04-05,1
2021-04-06,3
2021-04-08,1
2021-04-09,1
2021-04-10,1
2021-04-11,1
2021-04-12,2
2021-04-14,1
2021-04-17,4
2021-04-18,3
2021-04-27,1
2021-04-28,1
2021-04-30,1
2021-05-02,1
2021-05-04,1
2021-05-05,2
2021-05-06,2
2021-05-07,2
2021-05-09,1
2021-05-11,1
2021-05-14,1
2021-05-15,3
2021-05-16,1
2021-05-17,1
2021-05-19,1
2021-05-22,2
2021-05-24,2
2021-05-26,1
2021-05-27,2
2021-05-29,1
2021-06-01,1
2021-06-03,2
2021-06-06,1
2021-06-09,1
2021-06-10,1
2021-06-12,1
2021-06-13,1
2021-06-14,1
2021-06-16,2
2021-06-19,1
2021-07-03,1
2021-07-05,1
2021-07-13,1
2021-07-16,2
2021-07-22,1
2021-07-23,1
2021-07-29,2
2021-07-30,1
2021-07-31,1
2021-08-04,2
2021-08-08,1
2021-08-09,1
2021-08-22,1
2021-08-26,1
2021-08-27,1
2021-08-30,1
2021-08-31,1
2021-09-01,1
2021-09-05,1
2021-09-08,1
2021-09-09,1
2021-09-10,2
2021-09-12,1
2021-09-13,1
2021-09-20,1
2021-09-24,1
2021-09-30,1
2021-10-07,1
2021-10-10,2
2021-10-15,1
2021-10-31,2
2021-11-01,1
2021-11-11,1
2021-11-15,1
2021-11-26,1
2021-12-05,2
2021-12-16,1
2021-12-29,1
2022-01-08,1
2022-01-13,2
2022-01-16,1
2022-01-23,2
2022-01-26,1
2022-01-27,1
2022-01-31,1
2022-02-10,1
2022-02-11,2
2022-02-15,2
2022-02-17,1
2022-02-19,1
2022-02-21,1
2022-02-26,1
2022-02-27,1
2022-03-01,1
2022-03-02,1
2022-03-03,1
2022-03-06,1
2022-03-11,1
2022-03-14,1
2022-03-22,1
2022-03-31,1
2022-04-22,1
2022-04-29,1
2022-05-26,1
2022-06-01,1
2022-07-05,1
2022-07-06,1
2022-07-15,1
2022-07-20,1
2022-07-26,1
2022-08-11,1
2022-08-23,1
2022-08-28,1
2022-09-08,1
2022-09-30,1
2022-10-02,1
2022-11-04,1
2022-11-08,1
2022-11-09,1
2022-11-16,1
2022-11-22,1
2022-12-08,2
2022-12-09,1
2022-12-14,1
2023-01-06,1
2023-01-31,1
