created_at,pull_requests
2010-09-16,1
2010-12-30,1
2011-01-02,1
2011-01-09,1
2011-04-09,1
2011-08-04,1
2011-09-23,1
2011-10-16,1
2011-11-27,1
2011-11-30,1
2011-12-20,1
2012-03-31,2
2012-04-10,1
2012-04-21,1
2012-04-24,1
2012-04-25,1
2012-06-07,1
2012-07-01,1
2012-07-24,1
2012-11-14,1
2012-12-31,1
2013-02-26,1
2013-08-01,1
2013-12-03,1
2014-01-28,2
2014-01-29,1
2014-03-10,1
2014-03-19,1
2014-07-07,1
2014-09-29,1
2014-10-12,1
2014-11-08,1
2014-12-02,1
2014-12-18,1
2014-12-24,1
2015-01-20,1
2015-01-30,1
2015-02-24,2
2015-03-03,1
2015-03-07,1
2015-03-17,1
2015-04-20,1
2015-05-19,1
2015-06-12,1
2015-06-23,1
2015-08-11,1
2015-08-16,1
2015-09-16,1
2015-09-17,1
2015-10-28,1
2015-11-25,1
2015-11-30,1
2016-01-17,1
2016-01-19,1
2016-05-17,1
2016-06-28,1
2016-07-18,1
2016-08-28,1
2016-09-19,1
2016-10-10,1
2016-11-05,1
2016-11-20,1
2016-11-26,1
2016-12-10,1
2016-12-19,1
2017-01-26,1
2017-04-22,1
2017-06-26,1
2017-08-04,1
2017-09-12,1
2017-09-15,1
2017-12-01,1
2018-02-08,1
2018-03-19,1
2018-04-18,1
2018-08-10,1
2018-08-13,2
2018-08-15,1
2018-08-25,2
2018-08-26,2
2018-09-13,1
2018-11-28,1
2018-12-05,1
2019-03-10,1
2019-04-22,1
2019-06-24,1
2019-09-19,1
2019-09-25,1
2019-09-30,1
2019-10-01,2
2019-10-09,1
2019-11-19,1
2020-01-12,1
2020-01-21,2
2020-01-27,1
2020-03-09,1
2020-04-16,1
2020-04-19,2
2020-04-26,1
2020-04-27,1
2020-04-29,2
2020-05-27,1
2020-08-14,1
2021-02-06,1
2021-04-22,1
2021-09-12,1
2021-10-07,1
2022-04-24,1
2022-05-01,2
2022-09-18,1
2022-10-03,1
2022-11-04,1
2022-11-17,1
2022-12-15,1
2022-12-16,1
2023-01-05,1
2023-01-19,1
2023-02-17,1
2023-02-18,1
2023-02-20,1
2023-03-08,1
2023-03-10,1
2023-03-16,1
2023-04-14,1
2023-05-20,1
2023-05-21,1
2023-05-23,1
2023-05-24,1
2023-05-25,1
2023-06-07,1
2023-06-25,1
2023-07-20,3
2023-07-23,1
2023-07-24,1
2023-08-12,1
2023-08-14,1
2023-08-15,1
2023-08-16,2
2023-09-10,1
2023-09-25,1
2023-09-26,1
2023-09-27,2
2023-09-30,4
2023-10-01,1
2023-10-02,1
2023-10-11,1
2023-10-14,2
2023-10-18,13
2023-10-19,2
2023-10-20,2
2023-10-21,3
2023-10-22,1
2023-10-23,2
2023-10-24,7
2023-10-25,1
2023-10-26,4
2023-10-27,1
2023-10-28,3
2023-10-29,3
2023-10-30,1
2023-11-03,3
2023-11-04,2
2023-11-05,1
2023-11-06,1
2023-11-07,3
2023-11-09,1
2023-11-10,1
2023-11-11,2
2023-11-13,1
2023-11-15,1
2023-11-16,3
2023-11-17,3
2023-11-18,1
2023-11-19,1
2023-11-20,2
2023-11-22,3
2023-11-24,7
2023-11-27,1
2023-12-01,1
2023-12-03,1
2023-12-04,1
2023-12-08,2
2023-12-09,3
2023-12-11,1
2023-12-14,1
2023-12-15,2
2023-12-19,1
2023-12-22,1
2023-12-28,1
2023-12-31,1
2024-01-02,1
2024-01-05,1
2024-01-07,1
2024-01-08,1
2024-01-09,2
2024-01-13,1
2024-01-16,3
2024-01-19,2
2024-01-22,1
2024-01-23,1
2024-01-26,1
2024-01-27,1
2024-01-28,1
2024-01-29,1
2024-01-31,1
2024-02-01,1
2024-02-02,2
2024-02-04,2
2024-02-06,1
2024-02-16,1
2024-02-17,1
2024-02-18,1
2024-02-20,1
2024-02-25,1
2024-02-26,1
2024-03-03,1
2024-03-04,1
2024-03-05,1
