created_at,pull_requests
2012-01-15,1
2012-01-18,1
2012-02-10,1
2012-03-12,2
2012-03-14,4
2012-03-15,4
2012-04-12,1
2012-04-15,1
2012-04-16,1
2012-05-08,1
2012-07-07,1
2012-07-09,1
2012-09-04,2
2012-09-08,1
2012-10-16,1
2012-10-19,1
2012-10-23,1
2012-11-14,1
2012-12-03,1
2013-01-03,1
2013-01-11,1
2013-01-20,1
2013-02-05,2
2013-02-11,1
2013-02-17,1
2013-03-09,2
2013-03-19,1
2013-03-30,1
2013-04-01,1
2013-04-10,1
2013-04-21,1
2013-05-03,1
2013-05-08,2
2013-05-13,1
2013-05-16,1
2013-05-17,2
2013-06-03,1
2013-06-05,1
2013-06-07,1
2013-06-08,1
2013-07-06,2
2013-08-10,1
2013-08-13,2
2013-08-19,1
2013-08-22,1
2013-08-24,1
2013-09-01,1
2013-10-01,1
2013-10-10,1
2013-10-11,1
2013-11-07,2
2013-11-13,1
2013-11-29,2
2013-12-03,1
2013-12-04,1
2013-12-09,1
2013-12-14,1
2013-12-23,1
2013-12-28,1
2014-01-08,1
2014-01-11,1
2014-01-14,1
2014-01-16,1
2014-01-22,2
2014-01-26,1
2014-02-05,1
2014-02-07,1
2014-02-12,1
2014-02-13,1
2014-02-15,1
2014-03-13,1
2014-03-14,3
2014-03-25,1
2014-04-06,1
2014-04-27,1
2014-05-20,1
2014-05-26,1
2014-05-28,2
2014-06-03,1
2014-06-08,1
2014-06-18,1
2014-06-22,1
2014-07-03,1
2014-07-15,1
2014-07-16,1
2014-08-01,1
2014-08-02,1
2014-08-25,2
2014-09-03,1
2014-09-16,1
2014-09-23,1
2014-09-24,1
2014-10-01,1
2014-10-08,1
2014-10-13,1
2014-10-14,3
2014-10-18,1
2014-11-01,1
2014-11-05,1
2014-11-06,1
2014-11-12,1
2014-11-27,1
2014-12-02,1
2014-12-04,1
2014-12-11,4
2014-12-21,1
2014-12-29,1
2014-12-30,1
2015-01-02,2
2015-01-21,1
2015-01-27,1
2015-02-03,2
2015-02-11,1
2015-02-16,1
2015-03-07,1
2015-03-13,1
2015-03-14,1
2015-03-20,1
2015-03-21,2
2015-03-24,1
2015-03-26,2
2015-03-28,1
2015-04-03,1
2015-04-04,2
2015-04-06,1
2015-04-08,1
2015-04-10,1
2015-04-21,1
2015-04-30,1
2015-05-06,1
2015-05-08,1
2015-05-09,1
2015-05-11,1
2015-05-15,1
2015-05-20,1
2015-05-24,2
2015-05-27,1
2015-05-28,1
2015-06-12,7
2015-06-14,1
2015-06-17,1
2015-06-19,1
2015-06-28,1
2015-06-29,1
2015-07-04,1
2015-07-05,1
2015-07-07,1
2015-07-08,1
2015-07-10,1
2015-07-11,1
2015-07-12,1
2015-07-15,1
2015-07-25,1
2015-07-26,1
2015-07-31,1
2015-08-06,1
2015-08-12,1
2015-08-16,1
2015-08-18,1
2015-09-01,3
2015-09-02,1
2015-09-06,2
2015-09-10,1
2015-09-11,2
2015-09-13,1
2015-09-14,2
2015-09-15,1
2015-09-28,1
2015-09-30,1
2015-10-04,1
2015-10-06,2
2015-10-10,1
2015-10-14,2
2015-10-27,1
2015-10-29,1
2015-10-31,1
2015-11-16,1
2015-11-19,1
2015-11-20,1
2015-11-21,1
2015-11-24,2
2015-11-26,2
2015-11-28,1
2015-11-29,2
2015-12-01,1
2015-12-05,5
2015-12-08,2
2015-12-09,3
2015-12-10,6
2015-12-11,1
2015-12-14,9
2015-12-15,2
2015-12-28,1
2016-01-04,1
2016-01-07,1
2016-01-08,14
2016-01-10,6
2016-01-11,2
2016-01-12,12
2016-01-13,1
2016-01-14,5
2016-01-15,5
2016-01-22,2
2016-01-25,2
2016-01-28,2
2016-02-03,3
2016-02-04,1
2016-02-07,1
2016-02-11,1
2016-02-12,3
2016-02-13,2
2016-02-14,1
2016-02-15,2
2016-02-16,1
2016-02-17,1
2016-02-18,2
2016-02-25,1
2016-02-26,3
2016-03-02,4
2016-03-03,1
2016-03-04,1
2016-03-05,4
2016-03-07,1
2016-03-08,1
2016-03-10,1
2016-03-12,1
2016-03-13,1
2016-03-14,1
2016-03-16,1
2016-03-27,1
2016-03-29,2
2016-04-03,2
2016-04-08,1
2016-04-09,1
2016-04-12,1
2016-04-15,8
2016-04-20,3
2016-04-21,1
2016-04-27,3
2016-05-01,1
2016-05-04,1
2016-05-07,1
2016-05-08,1
2016-05-10,1
2016-05-12,2
2016-05-20,2
2016-05-24,2
2016-06-01,1
2016-06-04,4
2016-06-05,1
2016-06-06,1
2016-06-08,1
2016-06-09,2
2016-06-11,12
2016-06-12,5
2016-06-15,3
2016-06-16,3
2016-06-20,2
2016-06-21,2
2016-06-23,1
2016-06-26,1
2016-07-01,1
2016-07-02,1
2016-07-03,2
2016-07-04,1
2016-07-05,1
2016-07-06,1
2016-07-08,2
2016-07-09,1
2016-07-11,1
2016-07-12,3
2016-07-14,2
2016-07-15,1
2016-07-19,1
2016-07-22,1
2016-07-25,1
2016-07-31,1
2016-08-10,1
2016-08-12,1
2016-08-26,1
2016-08-29,1
2016-08-31,1
2016-09-01,1
2016-09-15,1
2016-09-22,1
2016-09-24,1
2016-09-25,1
2016-10-02,2
2016-10-08,1
2016-10-09,4
2016-10-10,2
2016-10-12,3
2016-10-16,2
2016-10-21,1
2016-10-23,3
2016-10-24,1
2016-10-28,1
2016-11-10,1
2016-11-19,1
2016-11-20,2
2016-11-22,1
2016-11-24,1
2016-12-01,1
2016-12-04,3
2016-12-06,1
2016-12-08,1
2016-12-13,1
2016-12-19,1
2016-12-20,1
2016-12-23,1
2017-01-16,1
2017-01-18,1
2017-01-20,1
2017-01-23,1
2017-01-24,1
2017-01-25,1
2017-01-26,1
2017-01-27,1
2017-01-28,1
2017-01-31,1
2017-02-01,2
2017-02-03,1
2017-02-04,1
2017-02-11,1
2017-02-12,1
2017-02-15,1
2017-02-24,1
2017-03-02,1
2017-03-18,1
2017-03-25,1
2017-03-26,1
2017-03-27,1
2017-04-09,1
2017-04-11,1
2017-04-12,3
2017-04-17,1
2017-05-06,1
2017-05-10,3
2017-05-11,1
2017-05-14,1
2017-05-25,2
2017-06-02,2
2017-06-04,1
2017-06-05,2
2017-06-19,1
2017-07-02,1
2017-07-09,1
2017-07-19,1
2017-08-12,2
2017-08-13,3
2017-08-20,1
2017-08-21,3
2017-08-22,1
2017-08-27,1
2017-08-29,2
2017-09-01,1
2017-09-05,1
2017-09-09,3
2017-09-19,1
2017-09-23,1
2017-09-30,1
2017-10-04,1
2017-10-05,1
2017-10-14,1
2017-10-15,1
2017-10-16,1
2017-10-19,2
2017-10-23,1
2017-10-25,1
2017-11-02,1
2017-11-03,3
2017-11-08,1
2017-11-10,1
2017-11-13,1
2017-11-19,1
2017-11-20,1
2017-11-23,1
2017-11-24,1
2017-11-25,1
2017-12-05,1
2017-12-12,2
2017-12-15,2
2017-12-19,1
2017-12-21,2
2017-12-23,1
2017-12-26,1
2017-12-27,1
2017-12-29,2
2018-01-04,1
2018-01-18,1
2018-01-20,1
2018-01-25,1
2018-01-27,1
2018-02-10,1
2018-02-13,1
2018-03-31,2
2018-04-01,2
2018-04-03,1
2018-04-07,1
2018-04-10,1
2018-05-04,1
2018-05-17,1
2018-05-19,3
2018-05-20,2
2018-05-21,1
2018-05-22,3
2018-05-27,1
2018-05-28,1
2018-06-03,1
2018-06-07,1
2018-06-10,1
2018-06-12,1
2018-06-24,1
2018-06-28,1
2018-06-29,1
2018-07-04,1
2018-07-13,1
2018-07-28,1
2018-08-08,1
2018-08-09,1
2018-08-12,1
2018-08-18,1
2018-08-21,1
2018-08-26,2
2018-08-28,1
2018-08-30,1
2018-09-03,1
2018-09-04,1
2018-09-06,6
2018-09-07,3
2018-09-12,2
2018-09-15,1
2018-09-16,1
2018-09-17,1
2018-09-19,1
2018-09-21,1
2018-09-24,1
2018-09-25,1
2018-09-26,1
2018-09-30,1
2018-10-03,2
2018-10-05,3
2018-10-07,1
2018-10-09,1
2018-10-10,1
2018-10-11,2
2018-10-14,2
2018-10-16,1
2018-10-18,1
2018-10-20,3
2018-10-21,2
2018-10-22,1
2018-10-23,3
2018-10-24,3
2018-10-25,1
2018-10-29,1
2018-11-03,8
2018-11-05,1
2018-11-07,1
2018-11-08,1
2018-11-09,2
2018-11-10,3
2018-11-11,1
2018-11-12,1
2018-11-16,1
2018-11-17,2
2018-11-18,7
2018-11-19,1
2018-11-20,1
2018-11-21,1
2018-11-22,4
2018-11-23,4
2018-11-26,3
2018-11-29,2
2018-11-30,1
2018-12-02,1
2018-12-03,1
2018-12-08,1
2018-12-09,1
2018-12-10,6
2018-12-12,3
2018-12-13,1
2018-12-15,1
2018-12-16,1
2018-12-17,1
2018-12-18,1
2018-12-19,2
2018-12-20,1
2018-12-22,12
2018-12-27,1
2019-01-04,1
2019-01-07,1
2019-01-09,3
2019-01-10,2
2019-01-11,3
2019-01-12,3
2019-01-13,1
2019-01-14,1
2019-01-15,4
2019-01-17,4
2019-01-19,2
2019-01-20,3
2019-01-21,1
2019-01-25,4
2019-01-26,1
2019-01-27,3
2019-01-28,5
2019-01-29,3
2019-01-30,8
2019-01-31,9
2019-02-01,8
2019-02-02,7
2019-02-03,2
2019-02-04,4
2019-02-05,3
2019-02-06,5
2019-02-07,3
2019-02-08,1
2019-02-09,2
2019-02-10,1
2019-02-11,1
2019-02-12,3
2019-02-13,1
2019-02-17,2
2019-02-18,2
2019-02-19,3
2019-02-20,2
2019-02-24,2
2019-02-25,1
2019-02-26,3
2019-03-03,1
2019-03-06,1
2019-03-07,1
2019-03-08,1
2019-03-10,2
2019-03-11,1
2019-03-13,2
2019-03-15,3
2019-03-16,3
2019-03-17,2
2019-03-25,2
2019-03-29,1
2019-03-31,1
2019-04-03,1
2019-04-05,2
2019-04-06,1
2019-04-07,1
2019-04-08,2
2019-04-16,1
2019-04-18,1
2019-04-19,2
2019-04-24,1
2019-04-29,1
2019-04-30,3
2019-05-03,1
2019-05-05,1
2019-05-06,1
2019-05-09,1
2019-05-18,1
2019-05-19,2
2019-05-21,1
2019-05-26,1
2019-05-27,1
2019-05-28,1
2019-05-30,1
2019-05-31,2
2019-06-02,1
2019-06-03,2
2019-06-04,1
2019-06-05,1
2019-06-06,3
2019-06-07,1
2019-06-08,7
2019-06-10,3
2019-06-11,1
2019-06-12,1
2019-06-13,1
2019-06-16,2
2019-06-17,2
2019-06-18,1
2019-06-21,1
2019-06-22,2
2019-06-25,1
2019-06-26,3
2019-06-28,2
2019-06-30,1
2019-07-01,1
2019-07-08,1
2019-07-10,6
2019-07-13,1
2019-07-14,1
2019-07-15,1
2019-07-20,1
2019-07-23,1
2019-07-25,2
2019-07-27,1
2019-07-28,4
2019-07-30,2
2019-07-31,2
2019-08-02,1
2019-08-03,1
2019-08-09,1
2019-08-10,1
2019-08-15,1
2019-08-19,2
2019-08-22,1
2019-08-25,5
2019-08-26,3
2019-08-31,1
2019-09-01,2
2019-09-11,1
2019-09-12,1
2019-09-15,2
2019-09-16,2
2019-09-27,1
2019-09-29,2
2019-10-05,1
2019-10-06,1
2019-10-09,1
2019-10-14,1
2019-10-20,1
2019-10-27,1
2019-10-28,1
2019-10-30,1
2019-11-01,1
2019-11-09,1
2019-11-10,1
2019-11-11,1
2019-11-17,2
2019-11-24,2
2019-11-30,1
2019-12-04,1
2019-12-05,2
2019-12-07,1
2019-12-18,1
2019-12-22,2
2019-12-24,1
2019-12-27,1
2020-01-03,2
2020-01-22,1
2020-01-28,1
2020-02-16,1
2020-02-18,1
2020-02-20,1
2020-02-21,1
2020-02-24,4
2020-02-29,1
2020-03-01,2
2020-03-02,1
2020-03-10,1
2020-03-11,1
2020-03-14,1
2020-03-17,1
2020-03-22,3
2020-03-23,1
2020-03-24,4
2020-03-25,2
2020-03-26,2
2020-03-28,4
2020-03-30,6
2020-03-31,1
2020-04-01,8
2020-04-02,1
2020-04-03,4
2020-04-04,4
2020-04-08,1
2020-04-10,2
2020-04-11,1
2020-04-16,1
2020-04-18,1
2020-04-19,2
2020-04-20,2
2020-04-23,1
2020-04-24,2
2020-04-25,4
2020-04-26,1
2020-04-28,2
2020-04-29,1
2020-05-01,2
2020-05-07,6
2020-05-08,2
2020-05-09,6
2020-05-10,3
2020-05-11,1
2020-05-12,1
2020-05-13,4
2020-05-14,1
2020-05-16,2
2020-05-19,1
2020-05-20,3
2020-05-22,1
2020-05-30,4
2020-05-31,1
2020-06-01,1
2020-06-02,3
2020-06-03,3
2020-06-05,2
2020-06-08,2
2020-06-10,1
2020-06-18,1
2020-06-25,3
2020-06-27,1
2020-06-30,1
2020-07-05,3
2020-07-17,2
2020-07-25,1
2020-08-03,4
2020-08-04,2
2020-08-05,8
2020-08-07,2
2020-08-11,4
2020-08-12,1
2020-08-14,1
2020-08-19,1
2020-08-29,1
2020-09-11,2
2020-09-16,1
2020-09-25,2
2020-09-30,1
2020-10-02,1
2020-10-05,1
2020-10-12,1
2020-10-15,1
2020-10-17,1
2020-10-19,2
2020-10-20,2
2020-10-25,1
2020-11-03,3
2020-11-09,1
2020-11-15,2
2020-11-16,2
2020-11-27,1
2020-11-29,1
2020-12-02,2
2020-12-04,1
2020-12-15,1
2020-12-19,3
2020-12-22,1
2020-12-24,1
2020-12-25,1
2020-12-26,1
2020-12-28,3
2020-12-29,1
2020-12-30,2
2020-12-31,1
2021-01-01,2
2021-01-02,4
2021-01-03,2
2021-01-04,1
2021-01-05,1
2021-01-06,1
2021-01-07,2
2021-01-09,1
2021-01-11,1
2021-01-13,1
2021-01-22,2
2021-01-26,2
2021-02-01,1
2021-02-14,1
2021-02-17,3
2021-02-25,3
2021-02-28,1
2021-03-05,2
2021-03-09,1
2021-03-15,1
2021-03-25,1
2021-04-04,1
2021-04-07,1
2021-04-08,1
2021-04-21,1
2021-04-25,1
2021-05-04,1
2021-05-17,1
2021-05-19,1
2021-05-28,1
2021-06-11,1
2021-06-16,3
2021-06-30,1
2021-07-04,1
2021-07-08,2
2021-07-15,1
2021-07-26,2
2021-07-31,1
2021-08-03,2
2021-08-05,1
2021-08-22,1
2021-09-03,1
2021-09-04,1
2021-09-05,1
2021-09-06,1
2021-09-11,1
2021-09-25,2
2021-10-05,1
2021-10-09,1
2021-10-12,2
2021-10-15,1
2021-10-30,2
2021-10-31,1
2021-11-01,2
2021-11-11,1
2021-11-14,1
2021-11-27,1
2021-11-28,1
2021-12-01,2
2021-12-26,1
2021-12-29,1
2022-01-02,1
2022-01-13,1
2022-01-14,1
2022-01-17,3
2022-01-21,1
2022-01-23,1
2022-02-04,1
2022-02-05,2
2022-03-03,1
2022-03-06,1
2022-03-07,1
2022-03-08,2
2022-03-13,2
2022-03-17,1
2022-03-26,1
2022-03-29,1
2022-04-03,1
2022-04-06,1
2022-04-10,1
2022-04-11,1
2022-04-13,1
2022-04-14,1
2022-04-16,1
2022-04-18,3
