created_at,pull_requests
2017-02-13,1
2017-03-24,3
2017-03-26,3
2017-03-30,2
2017-04-05,1
2017-04-06,1
2017-04-09,2
2017-04-15,1
2017-04-21,1
2017-05-09,3
2017-05-11,1
2017-05-12,1
2017-05-20,1
2017-06-08,1
2017-06-09,1
2017-06-11,1
2017-07-22,1
2017-08-12,1
2017-09-03,1
2017-09-07,1
2017-09-23,2
2017-09-29,1
2017-10-09,1
2017-10-10,1
2017-10-28,1
2017-11-04,1
2017-11-11,1
2017-11-12,1
2017-11-25,2
2017-12-09,1
2017-12-15,2
2017-12-16,1
2017-12-19,1
2017-12-22,2
2017-12-23,1
2017-12-28,1
2018-01-06,2
2018-01-07,1
2018-01-27,1
2018-02-04,1
2018-02-24,1
2018-02-25,3
2018-03-04,1
2018-03-10,1
2018-03-17,1
2018-04-14,3
2018-04-15,1
2018-04-20,1
2018-04-24,1
2018-05-05,1
2018-05-12,2
2018-05-19,1
2018-05-22,1
2018-05-24,1
2018-05-26,1
2018-06-04,1
2018-06-30,2
2018-07-01,1
2018-07-06,1
2018-07-18,4
2018-07-20,1
2018-07-21,1
2018-07-25,1
2018-07-27,1
2018-07-29,1
2018-08-08,1
2018-08-25,1
2018-08-27,1
2018-09-04,1
2018-09-21,1
2018-10-05,1
2018-10-08,1
2018-10-13,1
2018-10-19,1
2018-10-20,1
2018-11-03,1
2018-11-15,1
2018-11-29,1
2018-12-06,1
2018-12-14,2
2018-12-30,1
2019-01-13,1
2019-02-05,1
2019-02-06,1
2019-02-07,1
2019-02-08,1
2019-02-13,2
2019-03-10,1
2019-03-23,1
2019-04-05,1
2019-04-13,1
2019-04-14,2
2019-04-16,1
2019-04-17,1
2019-04-20,1
2019-04-21,1
2019-05-06,1
2019-05-08,1
2019-05-11,3
2019-05-28,2
2019-05-31,1
2019-06-13,1
2019-06-16,1
2019-06-24,2
2019-06-30,1
2019-07-02,1
2019-07-04,3
2019-07-05,1
2019-07-08,2
2019-07-10,1
2019-07-17,1
2019-07-18,1
2019-07-22,1
2019-08-05,1
2019-08-07,2
2019-08-27,1
2019-08-29,2
2019-09-10,1
2019-09-17,1
2019-09-21,1
2019-09-23,1
2019-09-30,1
2019-10-23,1
2019-12-04,1
2019-12-20,1
2019-12-28,1
2020-02-11,1
2020-02-21,3
2020-02-28,1
2020-02-29,1
2020-03-12,1
2020-03-13,2
2020-03-16,1
2020-03-20,1
2020-03-22,1
2020-04-06,1
2020-04-22,1
2020-04-25,1
2020-05-05,1
2020-05-15,1
2020-06-06,2
2020-06-09,2
2020-06-12,2
2020-06-13,1
2020-06-25,1
2020-09-16,1
2020-10-03,2
2020-10-11,1
2020-11-10,1
2020-12-19,1
2021-03-02,1
2021-03-18,1
2021-03-19,1
2021-04-06,1
2021-04-08,1
2021-04-16,1
2021-04-24,2
2021-05-14,2
2021-06-01,1
2021-06-03,1
2021-06-07,1
2021-06-16,1
2021-06-18,1
2021-06-22,1
2021-07-05,1
2021-07-07,1
2021-07-08,2
2021-07-09,1
2021-07-13,1
2021-07-14,2
2021-07-19,1
2021-07-20,1
2021-07-21,1
2021-07-28,1
2021-07-31,1
2021-08-13,1
2021-08-30,3
2021-08-31,1
2021-09-06,1
2021-09-07,1
2021-09-09,2
2021-09-13,1
2021-09-14,2
2021-09-15,1
2021-10-18,1
2021-10-26,1
2021-11-12,1
2021-11-16,1
2021-11-17,1
2021-12-15,1
2021-12-20,2
2022-01-13,3
2022-01-24,1
2022-01-30,2
2022-02-10,1
2022-02-11,1
2022-02-14,1
2022-03-11,1
2022-03-22,1
2022-03-23,2
2022-03-24,2
2022-04-15,1
2022-04-19,3
2022-04-20,6
2022-04-22,1
2022-05-05,1
2022-05-06,2
2022-06-02,1
2022-06-20,1
2022-07-05,1
2022-07-13,1
2022-08-11,2
2022-08-18,2
2022-08-24,1
2022-09-02,1
2022-09-11,1
2022-09-14,1
2022-09-20,1
2022-10-08,2
2022-10-21,1
2022-10-28,1
2022-11-15,1
2022-11-16,1
2023-01-09,1
2023-01-12,1
2023-02-03,1
2023-02-15,1
2023-03-02,1
2023-03-07,1
2023-03-08,1
2023-03-27,1
2023-03-28,1
2023-03-29,2
2023-03-31,1
2023-04-04,1
2023-04-10,2
2023-04-24,1
2023-05-09,1
2023-05-23,1
2023-05-29,1
2023-06-11,1
2023-07-04,1
2023-07-07,1
2023-07-30,1
2023-08-21,1
2023-09-04,1
2023-09-13,2
2023-09-17,1
2023-10-03,1
2023-10-08,1
2023-11-02,1
2023-11-22,1
2023-12-17,1
2023-12-29,1
2024-01-22,1
2024-01-25,1
2024-02-07,1
