created_at,pull_requests
2017-11-16,2
2017-11-30,2
2017-12-01,1
2018-02-21,2
2018-02-22,1
2018-02-28,1
2018-03-22,1
2018-05-01,1
2018-05-20,1
2018-07-11,1
2018-07-15,1
2018-07-25,1
2018-07-31,2
2018-08-04,1
2018-08-07,1
2018-08-10,1
2018-08-11,1
2018-08-12,1
2018-08-17,1
2018-08-23,1
2018-08-25,1
2018-09-05,2
2018-10-06,1
2018-10-27,1
2018-11-10,1
2018-11-11,1
2018-12-09,1
2018-12-11,1
2018-12-20,1
2019-02-03,1
2019-03-07,1
2019-03-25,1
2019-04-03,1
2019-04-08,1
2019-04-19,1
2019-04-20,3
2019-05-02,2
2019-05-03,2
2019-05-10,1
2019-05-15,1
2019-05-16,1
2019-05-19,1
2019-05-20,1
2019-05-29,1
2019-06-04,1
2019-06-07,1
2019-06-19,1
2019-06-21,1
2019-07-01,1
2019-07-02,2
2019-07-03,1
2019-07-18,1
2019-08-05,1
2019-08-08,1
2019-08-15,1
2019-08-16,1
2019-08-27,1
2019-08-28,3
2019-08-29,1
2019-09-06,1
2019-09-11,1
2019-09-12,1
2019-09-17,1
2019-09-18,1
2019-09-30,1
2019-10-02,1
2019-10-09,1
2019-10-10,1
2019-10-24,1
2019-12-04,1
2019-12-05,1
2019-12-12,1
2019-12-17,2
2019-12-20,1
2019-12-23,1
2020-01-01,1
2020-01-05,1
2020-01-11,1
2020-01-13,1
2020-01-15,1
2020-01-17,1
2020-01-18,1
2020-01-24,1
2020-01-28,1
2020-01-29,2
2020-03-03,1
2020-03-04,1
2020-03-06,1
2020-03-12,3
2020-03-27,1
2020-04-02,1
2020-04-05,1
2020-04-07,2
2020-04-16,1
2020-04-21,1
2020-04-22,1
2020-05-11,1
2020-05-15,1
2020-05-20,1
2020-05-22,1
2020-06-12,1
2020-06-15,2
2020-07-07,1
2020-07-16,1
2020-07-23,2
2020-08-14,1
2020-08-27,1
2020-09-01,1
2020-10-01,1
2020-10-19,1
2020-11-03,1
2020-11-09,1
2020-11-11,1
2020-11-18,1
2020-11-22,1
2020-12-02,1
2020-12-11,1
2020-12-23,1
2021-01-09,1
2021-02-01,1
2021-02-04,1
2021-02-06,1
2021-02-09,1
2021-02-11,1
2021-02-12,1
2021-02-17,1
2021-02-18,1
2021-02-20,1
2021-02-23,1
2021-03-12,2
2021-03-15,2
2021-03-30,1
2021-04-01,1
2021-04-10,1
2021-04-11,1
2021-04-13,1
2021-04-20,2
2021-04-27,1
2021-05-01,1
2021-05-10,1
2021-05-17,1
2021-05-24,1
2021-05-29,1
2021-06-05,1
2021-06-06,1
2021-06-07,1
2021-06-08,1
2021-06-09,1
2021-06-12,1
2021-06-16,1
2021-06-17,1
2021-06-20,3
2021-06-28,3
2021-07-22,1
2021-07-27,1
2021-07-28,1
2021-09-09,1
2021-09-24,1
2021-09-28,1
2021-09-29,1
2021-10-06,1
2021-10-14,1
2021-10-17,1
2021-10-19,1
2021-10-21,1
2021-10-22,1
2021-11-13,1
2021-11-20,2
2021-11-22,1
2021-11-27,1
2021-12-03,1
2021-12-27,3
2022-01-04,2
2022-01-17,1
2022-01-24,1
2022-04-10,2
2022-04-25,1
2022-04-26,1
2022-05-06,1
2022-05-16,1
2022-05-24,1
2022-06-17,2
2022-06-21,1
2022-06-27,2
2022-08-05,1
2022-08-23,1
2022-09-05,2
2022-09-06,4
2022-09-16,1
2022-09-19,1
2022-10-05,1
2022-10-08,1
2022-10-10,1
2022-10-11,1
2022-10-20,1
2022-11-02,1
2022-11-11,1
2022-12-26,2
2023-01-08,1
2023-01-18,1
2023-01-25,1
2023-02-23,1
2023-03-01,1
2023-03-16,1
2023-04-04,1
2023-04-05,1
2023-04-24,1
2023-05-01,1
2023-05-22,1
2023-05-24,2
2023-05-27,1
2023-06-07,1
2023-06-15,1
2023-07-21,1
2023-08-03,1
2023-08-21,3
2023-09-01,1
2023-09-08,1
2023-09-26,1
2023-10-05,1
2023-10-09,1
2023-10-11,1
2023-10-12,1
2023-11-14,1
2023-12-18,1
2024-01-08,1
2024-02-01,1
