created_at,pull_requests
2021-04-13,2
2021-04-14,4
2021-04-15,4
2021-04-16,9
2021-04-17,5
2021-04-19,5
2021-04-20,4
2021-04-21,1
2021-04-22,3
2021-04-23,3
2021-04-25,3
2021-04-26,5
2021-04-27,2
2021-04-28,4
2021-04-29,2
2021-04-30,4
2021-05-01,1
2021-05-03,1
2021-05-04,3
2021-05-05,7
2021-05-06,2
2021-05-07,4
2021-05-08,2
2021-05-09,1
2021-05-10,3
2021-05-11,8
2021-05-12,5
2021-05-13,2
2021-05-14,1
2021-05-18,3
2021-05-19,2
2021-05-20,3
2021-05-21,2
2021-05-25,6
2021-05-26,4
2021-05-27,1
2021-05-28,2
2021-05-29,1
2021-06-01,1
2021-06-02,2
2021-06-03,1
2021-06-04,1
2021-06-07,2
2021-06-08,3
2021-06-09,3
2021-06-10,3
2021-06-11,1
2021-06-12,1
2021-06-14,1
2021-06-15,1
2021-06-16,2
2021-06-17,1
2021-06-18,1
2021-06-19,1
2021-06-22,1
2021-06-23,4
2021-06-24,3
2021-06-25,4
2021-06-28,4
2021-06-29,3
2021-06-30,4
2021-07-01,2
2021-07-06,1
2021-07-07,1
2021-07-13,1
2021-07-21,1
2021-07-22,1
2021-07-23,1
2021-07-26,2
2021-07-27,1
2021-07-28,1
2021-07-29,1
2021-08-03,2
2021-08-05,2
2021-08-06,2
2021-08-07,1
2021-08-09,3
2021-08-10,2
2021-08-11,2
2021-08-12,1
2021-08-13,2
2021-08-18,1
2021-08-19,3
2021-08-20,8
2021-08-21,2
2021-08-22,1
2021-08-23,4
2021-08-24,3
2021-08-25,2
2021-08-26,1
2021-08-27,3
2021-08-28,2
2021-08-30,1
2021-08-31,7
2021-09-01,4
2021-09-02,5
2021-09-03,2
2021-09-05,1
2021-09-06,2
2021-09-07,1
2021-09-08,6
2021-09-09,2
2021-09-10,7
2021-09-11,1
2021-09-13,3
2021-09-14,5
2021-09-15,8
2021-09-16,5
2021-09-17,2
2021-09-18,5
2021-09-20,4
2021-09-21,8
2021-09-22,2
2021-09-24,5
2021-09-25,2
2021-09-26,2
2021-09-28,5
2021-09-29,3
2021-09-30,2
2021-10-01,1
2021-10-02,2
2021-10-04,4
2021-10-05,1
2021-10-11,1
2021-10-15,1
2021-10-20,1
2021-10-21,1
2021-10-25,1
2021-10-26,1
2021-10-27,1
2021-10-28,1
2021-10-30,1
2021-11-05,1
2021-11-10,1
2021-11-14,1
2021-11-16,1
2021-11-18,1
2021-11-19,2
2021-11-20,1
2021-11-22,1
2021-11-23,1
2021-11-29,1
2021-12-06,2
2021-12-10,1
2021-12-13,1
2021-12-14,1
2021-12-16,1
2021-12-19,1
2022-01-03,1
2022-01-04,1
2022-01-05,2
2022-01-06,1
2022-01-07,1
2022-01-11,2
2022-01-12,1
2022-01-14,1
2022-01-18,1
2022-01-19,1
2022-01-21,1
2022-01-27,1
2022-01-30,1
2022-01-31,1
2022-02-01,3
2022-02-02,2
2022-02-08,1
2022-02-10,1
2022-02-14,1
2022-02-16,1
2022-02-18,2
2022-02-22,2
2022-02-24,2
2022-02-25,4
2022-03-01,1
2022-03-02,1
2022-03-03,1
2022-03-07,2
2022-03-08,1
2022-03-09,1
2022-03-10,3
2022-03-11,1
2022-03-12,1
2022-03-13,1
2022-03-14,2
2022-03-15,2
2022-03-16,1
2022-03-17,2
2022-03-18,4
2022-03-19,3
2022-03-21,8
2022-03-25,4
2022-03-26,6
2022-03-28,2
2022-03-30,3
2022-03-31,2
2022-04-01,6
2022-04-02,7
2022-04-03,1
2022-04-04,3
2022-04-05,6
2022-04-06,4
2022-04-07,2
2022-04-08,6
2022-04-09,4
2022-04-11,9
2022-04-12,5
2022-04-13,5
2022-04-14,7
2022-04-15,3
2022-04-16,5
2022-04-18,2
2022-04-19,7
2022-04-21,4
2022-04-22,1
2022-04-23,9
2022-04-24,2
2022-04-25,4
2022-04-26,3
2022-04-27,5
2022-04-28,3
2022-04-29,5
2022-04-30,4
2022-05-02,2
2022-05-03,2
2022-05-04,1
2022-05-05,2
2022-05-07,5
2022-05-08,1
2022-05-09,2
2022-05-10,1
2022-05-11,9
2022-05-12,2
2022-05-13,3
2022-05-14,3
2022-05-16,6
2022-05-17,4
2022-05-18,4
2022-05-19,3
2022-05-20,1
2022-05-21,5
2022-05-24,2
2022-05-25,1
2022-05-26,1
2022-05-27,1
2022-05-28,5
2022-05-31,1
2022-06-01,2
2022-06-02,2
2022-06-04,4
2022-06-05,1
2022-06-06,3
2022-06-07,2
2022-06-08,6
2022-06-09,2
2022-06-10,4
2022-06-11,5
2022-06-13,3
2022-06-14,2
2022-06-15,4
2022-06-17,1
2022-06-18,1
2022-06-20,5
2022-06-21,1
2022-06-22,2
2022-06-23,1
2022-06-24,4
2022-06-25,4
2022-06-27,1
2022-06-28,1
2022-06-29,1
2022-06-30,1
2022-07-01,2
2022-07-02,4
2022-07-05,4
2022-07-07,1
2022-07-09,3
2022-07-11,2
2022-07-12,2
2022-07-13,2
2022-07-14,3
2022-07-15,1
2022-07-16,5
2022-07-18,1
2022-07-20,1
2022-07-23,3
2022-07-24,1
2022-07-27,1
2022-07-30,3
2022-08-06,5
2022-08-08,1
2022-08-09,2
2022-08-12,2
2022-08-13,3
2022-08-15,1
2022-08-16,1
2022-08-17,2
2022-08-18,1
2022-08-19,1
2022-08-20,7
2022-08-22,2
2022-08-23,3
2022-08-24,3
2022-08-25,4
2022-08-26,5
2022-08-27,2
2022-08-29,2
2022-08-30,1
2022-09-01,1
2022-09-03,3
2022-09-09,1
2022-09-10,2
2022-09-11,1
2022-09-13,1
2022-09-14,2
2022-09-17,3
2022-09-18,1
2022-09-19,1
2022-09-21,1
2022-09-22,3
2022-09-24,3
2022-09-25,1
2022-09-26,2
2022-09-28,2
2022-09-29,1
2022-09-30,1
2022-10-01,5
2022-10-02,1
2022-10-03,5
2022-10-05,1
2022-10-06,1
2022-10-08,6
2022-10-10,3
2022-10-14,1
2022-10-15,5
2022-10-17,1
2022-10-19,1
2022-10-20,8
2022-10-21,1
2022-10-22,6
2022-10-24,1
2022-10-25,1
2022-10-26,2
2022-10-27,2
2022-10-28,4
2022-10-29,4
2022-10-30,3
2022-10-31,4
2022-11-01,1
2022-11-02,5
2022-11-03,7
2022-11-04,4
2022-11-05,2
2022-11-07,4
2022-11-08,5
2022-11-09,3
2022-11-10,4
2022-11-11,6
2022-11-12,2
2022-11-13,3
2022-11-14,4
2022-11-15,2
2022-11-16,4
2022-11-18,2
2022-11-19,5
2022-11-21,1
2022-11-23,2
2022-11-26,2
2022-11-29,4
2022-11-30,2
2022-12-01,2
2022-12-02,3
2022-12-03,3
2022-12-05,3
2022-12-06,2
2022-12-07,1
2022-12-08,1
2022-12-09,1
2022-12-10,7
2022-12-11,1
2022-12-12,5
2022-12-13,2
2022-12-14,2
2022-12-15,1
2022-12-16,1
2022-12-17,9
2022-12-18,2
2022-12-20,2
2022-12-23,6
2022-12-27,4
2022-12-29,1
2022-12-30,2
2022-12-31,6
2023-01-01,1
2023-01-02,2
2023-01-03,3
2023-01-04,1
2023-01-05,1
2023-01-06,1
2023-01-07,9
2023-01-09,3
2023-01-10,2
2023-01-11,7
2023-01-12,4
2023-01-13,1
2023-01-14,11
2023-01-16,1
2023-01-17,2
2023-01-18,4
2023-01-19,4
2023-01-20,3
2023-01-21,5
2023-01-22,1
2023-01-23,5
2023-01-24,5
2023-01-25,4
2023-01-26,3
2023-01-27,1
2023-01-28,7
2023-01-30,1
2023-01-31,3
2023-02-01,6
2023-02-02,11
2023-02-03,3
2023-02-04,6
2023-02-06,2
2023-02-07,1
2023-02-08,3
2023-02-09,4
2023-02-10,4
2023-02-11,3
2023-02-13,3
2023-02-14,5
2023-02-15,2
2023-02-16,3
2023-02-17,3
2023-02-18,4
2023-02-20,4
2023-02-21,3
2023-02-22,2
2023-02-23,1
2023-02-25,5
2023-02-27,1
2023-02-28,2
2023-03-04,3
2023-03-07,1
2023-03-08,3
2023-03-09,1
2023-03-10,1
2023-03-11,4
2023-03-14,4
2023-03-15,2
2023-03-16,1
2023-03-17,1
2023-03-18,9
2023-03-20,2
2023-03-21,2
2023-03-22,1
2023-03-23,1
2023-03-24,3
2023-03-25,5
2023-03-26,1
2023-03-28,1
2023-03-29,1
2023-03-30,4
2023-04-01,4
2023-04-02,1
2023-04-03,2
2023-04-04,2
2023-04-05,3
2023-04-06,4
2023-04-07,3
2023-04-08,7
2023-04-09,1
2023-04-10,1
2023-04-11,2
2023-04-12,4
2023-04-13,5
2023-04-14,2
2023-04-15,6
2023-04-17,1
2023-04-18,4
2023-04-19,2
2023-04-20,4
2023-04-21,1
2023-04-22,6
2023-04-24,2
2023-04-25,4
2023-04-26,4
2023-04-27,8
2023-04-28,3
2023-04-29,4
2023-04-30,1
2023-05-01,1
2023-05-02,4
2023-05-03,4
2023-05-05,1
2023-05-06,7
2023-05-08,3
2023-05-09,3
2023-05-10,6
2023-05-11,1
2023-05-12,1
2023-05-13,1
2023-05-14,1
2023-05-15,1
2023-05-16,1
2023-05-17,3
2023-05-18,1
2023-05-19,2
2023-05-20,3
2023-05-22,3
2023-05-23,6
2023-05-24,2
2023-05-25,2
2023-05-26,2
2023-05-27,3
2023-05-30,2
2023-05-31,1
2023-06-01,2
2023-06-03,5
2023-06-05,1
2023-06-06,4
2023-06-07,1
2023-06-08,3
2023-06-09,5
2023-06-10,5
2023-06-11,2
2023-06-12,5
2023-06-13,2
2023-06-14,4
2023-06-15,1
2023-06-17,4
2023-06-19,8
2023-06-22,3
2023-06-24,5
2023-06-26,1
2023-06-27,4
2023-06-28,2
2023-06-29,2
2023-06-30,3
2023-07-01,2
2023-07-06,2
2023-07-08,4
2023-07-11,2
2023-07-12,1
2023-07-14,1
2023-07-15,4
2023-07-17,3
2023-07-18,3
2023-07-19,6
2023-07-20,2
2023-07-22,4
2023-07-24,1
2023-07-26,3
2023-07-27,2
2023-07-28,3
2023-07-29,2
2023-07-31,1
2023-08-01,2
2023-08-02,1
2023-08-03,2
2023-08-04,2
2023-08-05,5
2023-08-07,5
2023-08-09,1
2023-08-10,1
2023-08-12,6
2023-08-15,2
2023-08-16,3
2023-08-17,1
2023-08-19,1
2023-08-21,4
2023-08-22,2
2023-08-23,2
2023-08-24,2
2023-08-26,3
2023-08-28,1
2023-08-29,3
2023-08-30,1
2023-08-31,1
2023-09-01,4
2023-09-02,2
2023-09-03,1
2023-09-04,2
2023-09-05,1
2023-09-06,1
2023-09-07,1
2023-09-09,6
2023-09-11,2
2023-09-12,3
2023-09-13,4
2023-09-14,1
2023-09-16,5
2023-09-18,4
2023-09-19,1
2023-09-20,3
2023-09-21,4
2023-09-22,1
2023-09-23,6
2023-09-24,1
2023-09-25,3
2023-09-26,1
2023-09-27,2
2023-09-28,1
2023-09-29,3
2023-09-30,5
2023-10-02,4
2023-10-03,2
2023-10-05,4
2023-10-06,2
2023-10-07,3
2023-10-10,1
2023-10-11,1
2023-10-13,1
2023-10-14,3
2023-10-16,1
2023-10-17,1
2023-10-19,1
2023-10-20,1
2023-10-21,4
2023-10-24,3
2023-10-25,4
2023-10-26,1
2023-10-27,1
2023-10-28,3
2023-10-31,2
2023-11-01,2
2023-11-03,1
2023-11-04,2
2023-11-06,1
2023-11-07,1
2023-11-08,3
2023-11-09,5
