created_at,pull_requests
2011-06-02,1
2011-09-08,1
2011-11-28,1
2011-12-06,1
2012-01-26,1
2012-02-10,1
2012-03-18,1
2012-08-24,2
2012-10-11,1
2012-10-15,2
2012-11-03,1
2012-12-26,1
2012-12-27,1
2013-05-08,1
2013-05-11,1
2013-06-05,1
2013-06-18,1
2013-06-20,1
2013-06-25,1
2013-07-04,1
2013-07-11,1
2013-07-26,1
2013-09-15,1
2013-09-20,2
2013-10-02,1
2013-10-07,1
2013-12-04,1
2013-12-06,1
2013-12-14,2
2014-01-03,1
2014-01-04,1
2014-01-05,1
2014-01-06,1
2014-01-10,3
2014-01-11,1
2014-01-24,1
2014-01-25,2
2014-01-26,2
2014-01-27,1
2014-01-31,1
2014-02-15,1
2014-02-22,1
2014-02-26,1
2014-02-27,1
2014-04-10,1
2014-04-29,1
2014-07-02,1
2014-07-04,1
2014-07-07,1
2014-07-08,1
2014-07-11,1
2014-07-17,1
2014-07-24,1
2014-07-27,1
2014-08-28,1
2014-08-29,1
2014-08-30,2
2014-09-04,1
2014-09-07,1
2014-09-11,3
2014-09-15,1
2014-09-18,1
2014-09-19,1
2014-09-23,1
2014-09-24,1
2014-09-26,1
2014-10-08,1
2014-10-23,1
2014-10-31,1
2014-11-02,1
2014-11-03,1
2014-11-06,1
2014-11-12,1
2014-11-18,1
2014-11-28,1
2014-12-06,1
2014-12-10,1
2014-12-12,1
2014-12-17,1
2015-01-11,1
2015-01-14,1
2015-01-15,3
2015-01-23,2
2015-01-25,1
2015-02-04,1
2015-02-05,1
2015-02-18,1
2015-02-19,1
2015-02-24,4
2015-02-26,1
2015-03-09,1
2015-03-10,1
2015-03-17,2
2015-03-24,1
2015-03-26,1
2015-04-04,2
2015-04-10,1
2015-04-28,1
2015-04-30,1
2015-05-06,2
2015-05-07,3
2015-05-08,1
2015-06-04,1
2015-06-05,1
2015-06-16,2
2015-06-24,1
2015-07-15,1
2015-07-16,1
2015-07-17,1
2015-07-20,1
2015-08-04,2
2015-08-06,1
2015-08-07,2
2015-08-10,2
2015-08-12,2
2015-08-16,1
2015-08-19,1
2015-08-21,1
2015-08-22,1
2015-08-24,3
2015-09-01,1
2015-09-11,1
2015-09-15,1
2015-09-17,2
2015-09-23,1
2015-09-30,1
2015-10-05,3
2015-10-06,1
2015-10-07,1
2015-10-08,1
2015-10-16,1
2015-10-30,2
2015-11-18,1
2015-11-26,1
2015-12-01,1
2015-12-18,1
2015-12-22,1
2015-12-31,1
2016-01-04,1
2016-01-07,1
2016-01-12,1
2016-01-19,1
2016-01-22,1
2016-01-23,1
2016-01-29,1
2016-02-03,1
2016-02-12,1
2016-02-23,1
2016-02-26,1
2016-02-27,5
2016-02-28,1
2016-02-29,1
2016-03-02,1
2016-03-07,1
2016-03-17,1
2016-03-25,1
2016-04-09,2
2016-04-14,3
2016-04-18,1
2016-04-30,1
2016-05-03,1
2016-05-04,1
2016-05-07,1
2016-05-12,1
2016-05-23,1
2016-05-29,1
2016-06-03,1
2016-06-04,2
2016-06-08,4
2016-06-11,2
2016-06-12,1
2016-06-13,1
2016-06-14,1
2016-07-05,1
2016-07-12,3
2016-07-18,1
2016-07-19,1
2016-07-26,1
2016-08-07,1
2016-08-15,1
2016-08-24,1
2016-08-31,1
2016-09-01,1
2016-09-10,1
2016-09-12,1
2016-09-30,1
2016-10-04,2
2016-10-07,1
2016-10-17,3
2016-11-02,1
2016-11-21,1
2016-11-28,1
2016-12-02,1
2016-12-09,1
2016-12-16,1
2016-12-19,1
2016-12-21,1
2016-12-26,1
2017-01-03,2
2017-01-26,1
2017-01-27,1
2017-02-01,2
2017-02-03,1
2017-02-04,1
2017-02-07,1
2017-02-08,1
2017-02-11,1
2017-02-13,2
2017-02-14,2
2017-02-15,1
2017-02-16,1
2017-02-17,3
2017-02-21,1
2017-02-26,1
2017-02-27,1
2017-03-07,1
2017-03-08,1
2017-03-10,1
2017-03-14,1
2017-03-19,1
2017-03-21,2
2017-03-22,1
2017-03-28,1
2017-03-29,3
2017-03-31,1
2017-04-24,1
2017-04-26,1
2017-05-01,1
2017-05-19,1
2017-05-24,2
2017-06-02,2
2017-06-04,1
2017-06-25,1
2017-07-06,1
2017-07-20,1
2017-08-01,1
2017-08-07,1
2017-08-08,1
2017-08-10,1
2017-08-16,1
2017-08-18,1
2017-08-22,1
2017-08-29,1
2017-09-10,1
2017-09-11,1
2017-09-18,1
2017-09-19,2
2017-09-20,1
2017-09-30,1
2017-10-02,1
2017-10-03,3
2017-10-10,1
2017-10-12,2
2017-10-13,1
2017-10-14,1
2017-10-18,1
2017-10-19,2
2017-10-28,1
2017-10-29,1
2017-11-03,4
2017-11-07,5
2017-11-08,3
2017-11-09,1
2017-11-10,3
2017-11-14,2
2017-11-16,2
2017-11-17,3
2017-11-20,1
2017-11-22,1
2017-11-24,5
2017-11-25,1
2017-11-27,2
2017-11-28,1
2017-11-29,1
2017-12-04,3
2017-12-06,4
2017-12-07,1
2017-12-12,1
2017-12-18,1
2017-12-19,1
2017-12-20,1
2017-12-21,1
2017-12-22,1
2018-01-04,1
2018-01-05,1
2018-01-06,1
2018-01-07,1
2018-01-09,3
2018-01-10,3
2018-01-17,1
2018-01-25,1
2018-01-27,1
2018-02-02,1
2018-02-06,1
2018-02-07,1
2018-03-01,1
2018-03-14,1
2018-03-17,1
2018-03-18,1
2018-03-19,2
2018-03-21,1
2018-03-27,1
2018-03-30,1
2018-04-01,1
2018-04-02,3
2018-04-05,1
2018-04-06,1
2018-04-10,1
2018-05-02,1
2018-05-03,1
2018-05-05,1
2018-05-07,1
2018-05-11,1
2018-05-14,1
2018-05-16,1
2018-05-19,2
2018-05-20,1
2018-05-21,1
2018-06-04,3
2018-06-06,4
2018-06-09,1
2018-06-19,1
2018-06-23,1
2018-06-27,1
2018-07-01,1
2018-07-11,1
2018-07-21,1
2018-07-22,1
2018-07-24,1
2018-07-28,1
2018-08-03,1
2018-08-04,1
2018-08-05,1
2018-08-10,2
2018-08-11,1
2018-08-16,2
2018-08-17,1
2018-08-28,1
2018-09-08,5
2018-09-09,1
2018-09-22,1
2018-09-23,1
2018-09-25,1
2018-09-26,9
2018-09-27,4
2018-09-28,1
2018-10-02,4
2018-10-03,1
2018-10-04,2
2018-10-05,1
2018-10-07,5
2018-10-12,1
2018-10-13,1
2018-10-14,1
2018-10-15,1
2018-10-21,2
2018-10-27,1
2018-10-28,1
2018-11-03,1
2018-11-06,1
2018-11-21,1
2018-11-25,2
2018-11-26,3
2018-11-27,10
2018-11-28,5
2018-11-29,4
2018-11-30,5
2018-12-01,3
2018-12-02,4
2018-12-11,1
2018-12-17,1
2018-12-19,1
2018-12-30,6
2019-01-03,8
2019-01-04,11
2019-01-06,1
2019-01-11,1
2019-01-12,1
2019-01-22,1
2019-01-28,1
2019-02-01,1
2019-02-07,1
2019-02-24,2
2019-02-28,2
2019-03-03,1
2019-03-05,1
2019-03-06,1
2019-03-07,2
2019-03-08,4
2019-03-09,2
2019-03-10,5
2019-03-13,2
2019-03-14,1
2019-03-18,2
2019-03-19,1
2019-03-27,2
2019-03-28,1
2019-04-16,2
2019-04-24,1
2019-04-30,3
2019-05-03,1
2019-05-09,1
2019-05-10,2
2019-05-19,1
2019-05-20,3
2019-05-22,1
2019-05-29,1
2019-05-31,1
2019-06-03,1
2019-06-06,1
2019-06-09,1
2019-06-12,1
2019-06-24,1
2019-07-03,1
2019-09-07,1
2019-09-21,6
2019-09-23,1
2019-09-25,1
2019-10-02,3
2019-10-03,1
2019-10-04,1
2019-10-05,1
2019-10-07,1
2019-10-09,1
2019-10-12,1
2019-10-19,1
2019-10-20,1
2019-10-23,2
2019-11-10,1
2019-11-29,1
2019-12-04,2
2019-12-05,1
2019-12-06,1
2019-12-11,1
2019-12-12,1
2019-12-16,1
2019-12-17,4
2019-12-18,2
2019-12-19,1
2019-12-29,1
2019-12-30,1
2020-01-08,1
2020-02-03,1
2020-02-13,1
2020-02-14,1
2020-02-21,1
2020-02-24,1
2020-02-26,1
2020-02-28,1
2020-03-02,1
2020-03-09,1
2020-03-10,1
2020-03-19,1
2020-03-20,1
2020-03-24,1
2020-03-26,1
2020-03-29,1
2020-04-18,1
2020-04-27,5
2020-04-29,2
2020-05-03,1
2020-05-06,1
2020-05-08,1
2020-05-13,1
2020-05-14,1
2020-05-15,1
2020-05-16,1
2020-05-20,2
2020-06-03,1
2020-07-01,2
2020-07-08,1
2020-07-16,1
2020-07-20,1
2020-07-21,2
2020-07-26,1
2020-08-05,1
2020-08-12,2
2020-08-13,2
2020-08-17,1
2020-08-18,1
2020-08-26,1
2020-09-02,1
2020-09-15,1
2020-10-01,1
2020-10-04,1
2020-10-05,1
2020-10-06,1
2020-10-13,2
2020-10-14,3
2020-10-15,3
2020-10-16,1
2020-10-21,2
2020-10-23,4
2020-10-24,1
2020-10-26,1
2020-11-03,1
2020-11-06,2
2020-12-09,1
2020-12-16,1
2020-12-17,1
2020-12-18,1
2020-12-26,1
2021-01-08,1
2021-01-17,1
2021-01-22,1
2021-01-30,2
2021-01-31,1
2021-02-01,1
2021-02-08,1
2021-02-09,2
2021-02-10,1
2021-02-13,1
2021-02-14,1
2021-02-23,2
2021-02-25,2
2021-03-01,2
2021-03-04,3
2021-03-16,1
2021-03-17,1
2021-03-21,1
2021-03-22,2
2021-03-29,1
2021-04-07,1
2021-04-19,1
