created_at,pull_requests
2013-08-24,1
2013-11-18,1
2013-11-20,1
2013-12-04,1
2014-02-12,1
2014-04-25,1
2014-11-09,1
2015-01-19,1
2015-02-28,1
2015-03-09,1
2015-03-15,1
2015-05-11,1
2015-05-15,1
2015-06-11,2
2015-06-27,1
2015-07-12,1
2015-09-02,1
2015-10-11,2
2015-10-13,3
2015-10-17,1
2015-11-16,1
2015-12-02,1
2016-01-07,1
2016-01-16,1
2016-03-20,1
2016-03-21,1
2016-04-27,1
2016-04-28,1
2016-04-29,1
2016-05-01,4
2016-05-03,1
2016-05-13,1
2016-05-15,1
2016-06-01,1
2016-06-03,1
2016-06-06,1
2016-06-07,1
2016-06-09,1
2016-06-10,1
2016-06-12,1
2016-06-16,1
2016-06-23,1
2016-06-24,2
2016-06-30,1
2016-07-10,1
2016-07-11,2
2016-07-12,2
2016-07-13,1
2016-07-24,1
2016-07-27,1
2016-07-28,2
2016-07-29,4
2016-08-01,1
2016-08-03,3
2016-08-14,1
2016-08-20,1
2016-08-21,1
2016-08-27,1
2016-08-29,1
2016-08-31,1
2016-09-07,1
2016-09-18,1
2016-09-19,3
2016-10-02,1
2016-10-04,1
2016-10-05,1
2016-10-06,1
2016-10-10,1
2016-10-17,1
2016-10-18,1
2016-11-01,1
2016-11-07,1
2016-11-08,1
2016-11-13,1
2016-11-18,1
2016-11-20,1
2016-11-21,1
2016-11-22,1
2016-11-23,1
2016-11-27,1
2016-11-28,1
2016-12-08,1
2016-12-11,1
2017-01-26,1
2017-01-31,1
2017-02-05,1
2017-02-14,1
2017-03-03,1
2017-03-24,1
2017-03-26,3
2017-04-13,2
2017-05-07,1
2017-05-15,1
2017-05-17,2
2017-05-21,1
2017-05-22,2
2017-05-23,2
2017-05-28,4
2017-05-29,4
2017-05-30,3
2017-06-02,2
2017-06-05,2
2017-06-06,1
2017-06-07,1
2017-06-22,1
2017-07-04,1
2017-08-13,1
2017-08-15,1
2017-09-11,1
2017-09-14,2
2017-09-23,1
2017-11-26,1
2017-11-28,1
2017-12-15,1
2017-12-19,2
2017-12-21,2
2017-12-27,1
2018-01-06,2
2018-01-07,4
2018-01-14,2
2018-01-17,1
2018-01-18,1
2018-01-23,1
2018-02-04,1
2018-02-15,1
2018-03-15,1
2018-03-17,1
2018-04-06,1
2018-04-29,2
2018-06-11,1
2018-06-17,1
2018-07-02,3
2018-07-03,2
2018-07-05,3
2018-07-11,5
2018-07-12,1
2018-07-22,1
2018-07-26,1
2018-08-05,1
2018-08-27,1
2018-09-09,2
2018-09-10,5
2018-09-14,1
2018-09-16,1
2018-09-17,1
2018-09-27,1
2018-10-02,1
2018-12-27,1
2018-12-30,1
2019-01-05,1
2019-02-21,1
2019-03-17,2
2019-04-25,1
2019-05-28,1
2019-06-28,1
2019-07-16,1
2019-07-18,3
2019-07-19,1
2019-08-28,1
2019-08-29,1
2019-09-04,1
2019-09-12,2
2019-09-14,1
2019-09-15,2
2019-09-16,1
2019-09-17,2
2019-10-27,2
2019-11-10,5
2019-11-11,1
2019-11-15,1
2019-11-22,1
2019-11-24,5
2019-11-26,2
2019-11-27,1
2019-12-02,1
2019-12-16,2
2019-12-17,1
2019-12-23,1
2019-12-30,1
2020-01-02,1
2020-01-03,1
2020-01-05,2
2020-01-06,1
2020-01-08,1
2020-01-21,2
2020-01-28,2
2020-01-29,1
2020-02-03,2
2020-02-10,1
2020-02-13,1
2020-02-24,1
2020-03-02,2
2020-03-04,1
2020-03-11,1
2020-03-19,1
2020-03-23,2
2020-03-24,1
2020-03-25,1
2020-04-07,1
2020-04-13,2
2020-04-15,1
2020-04-21,1
2020-04-24,2
2020-04-25,1
2020-04-27,1
2020-05-06,1
2020-05-11,1
2020-05-12,1
2020-05-14,2
2020-05-25,1
2020-05-26,1
2020-05-27,1
2020-06-03,1
2020-06-05,1
2020-06-23,1
2020-06-29,1
2020-07-04,1
2020-07-25,1
2020-08-02,1
2020-08-05,1
2020-08-17,1
2020-08-20,3
2020-08-24,1
2020-08-31,1
2020-09-02,1
2020-09-07,1
2020-09-10,1
2020-09-14,2
2020-09-21,2
2020-09-27,1
2020-09-28,1
2020-09-30,1
2020-10-01,1
2020-10-07,1
2020-10-19,1
2020-10-26,1
2020-11-06,1
2020-11-09,1
2020-11-11,2
2020-11-16,1
2020-11-20,1
2020-11-30,2
2020-12-02,2
2020-12-04,2
2020-12-05,2
2020-12-07,2
2020-12-08,2
2020-12-30,1
2021-01-20,1
2021-01-25,1
2021-02-04,1
2021-02-05,2
2021-02-17,1
2021-02-26,1
2021-03-08,1
2021-03-15,1
2021-03-22,1
2021-03-23,1
2021-03-30,1
2021-04-05,2
2021-04-09,1
2021-04-15,1
2021-04-19,1
2021-04-26,1
2021-04-27,3
2021-04-28,1
2021-05-06,1
2021-05-07,1
2021-05-08,3
2021-05-10,1
2021-05-11,1
2021-05-12,4
2021-05-14,1
2021-05-17,4
2021-05-21,1
2021-05-25,1
2021-06-07,1
2021-06-16,1
2021-06-17,1
2021-06-18,1
2021-06-21,1
2021-06-23,1
2021-06-24,1
2021-07-14,2
2021-07-19,1
2021-07-21,1
2021-07-23,1
2021-07-27,1
2021-08-16,2
2021-08-20,2
2021-08-25,1
2021-08-27,1
2021-09-10,1
2021-09-13,2
2021-09-20,2
2021-09-23,2
2021-10-04,3
2021-10-06,1
2021-10-08,1
2021-10-19,1
2021-10-25,1
2021-10-26,1
2021-10-27,1
2021-11-12,1
2021-11-15,1
2021-11-22,2
2021-11-24,2
2021-11-29,5
2021-12-10,1
2021-12-13,1
2021-12-14,2
2021-12-15,1
2021-12-17,1
2021-12-18,1
2021-12-19,5
2021-12-24,1
2021-12-27,1
2021-12-29,1
2022-01-03,1
2022-01-10,2
2022-01-14,1
2022-01-18,4
2022-01-25,1
2022-01-26,1
2022-01-31,1
2022-02-09,1
2022-02-18,1
2022-02-21,1
2022-02-27,1
2022-02-28,1
2022-03-02,1
2022-03-03,1
2022-03-04,1
2022-03-05,1
2022-03-06,1
2022-03-07,2
2022-03-08,2
2022-03-14,2
2022-03-29,1
2022-04-01,1
2022-04-02,3
2022-04-06,1
2022-04-11,1
2022-04-20,1
2022-05-24,1
2022-05-31,1
2022-06-01,1
2022-06-05,1
2022-06-06,2
2022-06-09,1
2022-06-13,2
2022-06-16,1
2022-07-04,1
2022-07-08,1
2022-07-15,1
2022-07-27,4
2022-08-01,1
2022-08-02,1
2022-08-03,1
2022-08-04,1
2022-08-07,1
2022-08-10,9
2022-08-13,1
2022-08-20,1
2022-08-22,1
2022-08-23,1
2022-08-27,1
2022-08-28,2
2022-09-05,4
2022-09-07,2
2022-09-14,1
2022-09-15,1
2022-09-16,1
2022-09-17,1
2022-09-18,1
2022-09-20,2
2022-09-28,1
2022-09-29,1
2022-09-30,2
2022-10-02,2
2022-10-07,1
2022-10-10,1
2022-10-15,2
2022-10-20,1
2022-10-22,1
2022-11-07,2
2022-11-08,1
2022-11-17,2
2022-11-18,1
2022-11-25,1
2022-11-28,1
2022-11-30,1
2022-12-07,2
2022-12-12,2
2022-12-28,1
2022-12-30,2
2022-12-31,2
2023-01-03,1
2023-01-06,1
2023-01-09,2
2023-01-10,3
2023-01-11,1
2023-01-13,3
2023-01-16,2
2023-01-17,1
2023-01-24,1
2023-01-31,1
2023-02-02,1
2023-02-06,3
2023-02-13,4
2023-02-17,2
2023-02-19,2
2023-02-21,1
2023-02-27,2
2023-02-28,1
2023-03-01,1
2023-03-11,1
2023-03-12,1
2023-03-15,1
2023-03-17,1
2023-03-18,5
2023-03-24,1
2023-03-30,1
2023-03-31,1
2023-04-03,1
2023-04-20,1
2023-04-21,4
2023-04-22,2
2023-04-25,2
2023-04-26,1
2023-05-02,1
2023-05-11,2
2023-05-14,2
2023-05-15,2
2023-05-21,1
2023-05-30,1
2023-05-31,1
2023-06-07,1
2023-06-14,1
2023-06-15,2
2023-06-20,1
2023-06-23,2
2023-06-26,3
2023-07-01,3
2023-07-03,1
2023-07-06,1
2023-07-23,1
2023-07-30,2
2023-08-03,3
2023-08-04,1
2023-08-09,1
2023-08-20,1
2023-08-21,2
2023-08-23,1
2023-08-31,1
2023-09-03,1
2023-09-04,1
2023-09-24,1
2023-09-27,1
2023-09-29,1
2023-09-30,2
2023-10-04,2
2023-10-05,1
2023-10-16,2
2023-10-20,2
2023-10-24,1
2023-10-26,1
2023-10-30,1
2023-11-01,1
2023-11-02,1
2023-11-03,1
2023-11-04,6
2023-11-05,1
2023-11-06,2
2023-11-07,1
2023-11-08,2
2023-11-09,1
2023-11-17,1
2023-11-19,1
2023-11-20,1
2023-11-23,1
2023-11-25,1
2023-11-27,1
2023-11-28,2
2023-11-29,1
2023-11-30,1
2023-12-01,5
2023-12-03,1
2023-12-13,1
2023-12-14,1
2023-12-19,1
2023-12-21,1
2023-12-27,2
2023-12-28,1
2023-12-29,1
2023-12-31,1
2024-01-01,1
2024-01-03,2
2024-01-08,1
2024-01-10,2
2024-01-24,1
2024-01-28,2
2024-01-29,2
2024-02-04,4
2024-02-05,2
2024-02-06,1
2024-02-11,2
2024-02-16,1
2024-02-17,2
2024-02-21,1
2024-02-22,1
2024-02-28,1
2024-03-02,1
2024-03-04,2
