created_at,pull_requests
2015-09-16,2
2015-09-26,2
2015-09-27,2
2015-09-29,5
2015-09-30,8
2015-10-04,1
2015-10-06,2
2015-10-09,1
2015-10-15,3
2015-10-19,2
2015-10-24,1
2015-10-27,2
2015-10-29,3
2015-10-30,2
2015-11-02,4
2015-11-03,1
2015-11-04,2
2015-11-06,1
2015-11-07,1
2015-11-08,3
2015-11-09,2
2015-11-10,2
2015-11-12,4
2015-11-13,1
2015-11-15,1
2015-11-17,8
2015-11-18,2
2015-11-19,3
2015-11-23,1
2015-11-24,2
2015-11-25,4
2015-11-26,1
2015-11-27,2
2015-11-28,2
2015-12-01,1
2015-12-08,1
2015-12-09,4
2015-12-10,1
2015-12-15,4
2015-12-16,1
2015-12-17,2
2015-12-30,2
2016-01-04,1
2016-01-05,1
2016-01-11,2
2016-01-14,1
2016-01-15,1
2016-01-19,1
2016-02-02,1
2016-02-12,2
2016-03-04,1
2016-03-16,2
2016-03-17,1
2016-03-25,1
2016-03-30,1
2016-03-31,1
2016-04-04,1
2016-04-07,1
2016-04-15,2
2016-04-18,1
2016-04-19,1
2016-04-21,3
2016-04-25,2
2016-04-26,1
2016-04-28,1
2016-04-29,1
2016-05-03,1
2016-05-09,3
2016-05-10,1
2016-05-12,3
2016-06-02,1
2016-06-10,1
2016-06-13,1
2016-06-15,4
2016-06-16,2
2016-06-17,2
2016-06-20,8
2016-06-21,7
2016-06-22,1
2016-06-23,5
2016-06-24,10
2016-06-25,1
2016-06-28,8
2016-06-29,18
2016-06-30,13
2016-07-01,4
2016-07-02,5
2016-07-04,8
2016-07-05,14
2016-07-06,8
2016-07-07,11
2016-07-08,16
2016-07-09,3
2016-07-11,6
2016-07-12,5
2016-07-13,4
2016-07-14,3
2016-07-15,1
2016-07-17,2
2016-07-18,1
2016-07-19,3
2016-07-20,1
2016-07-21,2
2016-07-22,4
2016-07-23,5
2016-07-24,1
2016-07-25,2
2016-07-26,5
2016-07-27,7
2016-07-28,12
2016-07-29,10
2016-07-30,3
2016-08-01,2
2016-08-02,2
2016-08-03,4
2016-08-04,3
2016-08-05,2
2016-08-07,2
2016-08-08,2
2016-08-09,2
2016-08-10,7
2016-08-11,15
2016-08-12,6
2016-08-15,3
2016-08-16,4
2016-08-17,2
2016-08-18,3
2016-08-19,3
2016-08-20,1
2016-08-22,2
2016-08-23,1
2016-08-24,2
2016-08-25,2
2016-08-26,1
2016-08-29,2
2016-08-30,3
2016-08-31,1
2016-09-01,5
2016-09-02,8
2016-09-03,4
2016-09-04,4
2016-09-05,4
2016-09-06,4
2016-09-07,3
2016-09-08,2
2016-09-09,5
2016-09-10,5
2016-09-11,1
2016-09-12,2
2016-09-13,2
2016-09-14,1
2016-09-15,3
2016-09-16,6
2016-09-17,6
2016-09-18,3
2016-09-19,2
2016-09-21,3
2016-09-22,3
2016-09-23,6
2016-09-26,1
2016-09-27,1
2016-09-28,9
2016-09-29,1
2016-09-30,4
2016-10-01,1
2016-10-03,2
2016-10-04,3
2016-10-05,2
2016-10-06,1
2016-10-07,3
2016-10-08,3
2016-10-09,2
2016-10-10,2
2016-10-11,3
2016-10-12,2
2016-10-13,5
2016-10-14,2
2016-10-17,1
2016-10-18,1
2016-10-19,7
2016-10-20,8
2016-10-21,3
2016-10-23,1
2016-10-24,4
2016-10-25,4
2016-10-27,2
2016-10-28,3
2016-10-29,2
2016-10-31,1
2016-11-02,2
2016-11-03,1
2016-11-04,2
2016-11-05,4
2016-11-06,1
2016-11-07,2
2016-11-08,1
2016-11-09,4
2016-11-10,2
2016-11-11,2
2016-11-13,1
2016-11-15,2
2016-11-16,2
2016-11-17,1
2016-11-18,2
2016-11-19,2
2016-11-20,1
2016-11-21,1
2016-11-22,2
2016-11-24,1
2016-11-26,1
2016-11-28,4
2016-11-29,1
2016-12-03,1
2016-12-05,1
2016-12-07,2
2016-12-09,3
2016-12-12,1
2016-12-13,2
2016-12-14,1
2016-12-15,4
2016-12-16,2
2016-12-21,2
2016-12-23,2
2017-01-04,1
2017-01-05,1
2017-01-07,12
2017-01-08,1
2017-01-09,4
2017-01-10,3
