created_at,pull_requests
2014-03-25,1
2014-10-22,1
2015-02-13,1
2016-08-29,1
2016-10-14,1
2017-01-01,2
2017-02-01,1
2017-10-02,1
2018-08-31,1
2018-09-16,1
2018-09-17,1
2018-12-03,1
2019-01-28,1
2019-08-14,1
2019-08-31,1
2019-09-03,4
2019-09-04,1
2019-09-06,2
2019-09-09,6
2019-09-11,1
2019-09-16,5
2019-09-23,2
2019-09-30,8
2019-10-07,4
2019-10-14,6
2019-10-21,3
2019-10-25,1
2019-10-27,1
2019-10-28,3
2019-11-09,1
2019-11-11,2
2019-11-18,9
2019-11-25,4
2019-12-02,6
2019-12-09,3
2019-12-13,1
2019-12-16,3
2019-12-23,5
2019-12-26,1
2019-12-30,6
2020-01-06,5
2020-01-13,9
2020-01-20,8
2020-01-25,1
2020-02-03,11
2020-02-04,1
2020-02-10,2
2020-02-17,5
2020-02-24,6
2020-03-02,6
2020-03-08,1
2020-03-09,5
2020-03-16,3
2020-03-23,4
2020-03-30,3
2020-04-06,3
2020-04-13,4
2020-04-20,4
2020-04-27,3
2020-05-04,5
2020-05-11,3
2020-05-18,5
2020-05-25,5
2020-05-30,1
2020-06-01,3
2020-06-08,2
2020-06-15,2
2020-06-22,4
2020-07-03,1
2020-07-06,6
2020-07-13,2
2020-07-20,3
2020-07-27,2
2020-08-03,2
2020-08-10,2
2020-08-17,1
2020-08-24,1
2020-08-31,3
2020-09-05,1
2020-09-07,3
2020-09-14,1
2020-09-21,4
2020-10-05,1
2020-10-12,3
2020-10-19,3
2020-10-24,1
2020-10-27,2
2020-10-30,1
2020-11-02,1
2020-11-16,1
2020-11-18,1
2020-11-22,1
2020-11-23,2
2020-12-02,1
2020-12-07,3
2020-12-14,5
2020-12-18,8
2020-12-21,2
2020-12-28,2
2021-01-03,2
2021-01-04,3
2021-01-11,3
2021-01-18,3
2021-01-25,3
2021-02-01,3
2021-02-08,4
2021-02-15,3
2021-02-18,1
2021-02-22,3
2021-03-01,4
2021-03-08,2
2021-03-15,1
2021-03-20,1
2021-03-22,1
2021-03-29,4
2021-04-05,3
2021-04-12,3
2021-04-19,3
2021-04-26,1
2021-05-03,1
2021-05-10,3
2021-05-17,3
2021-05-24,3
2021-05-31,3
2021-06-07,3
2021-06-14,2
2021-06-21,3
2021-06-28,2
2021-07-05,3
2021-07-12,4
2021-07-19,3
2021-07-26,2
2021-08-02,3
2021-08-16,2
2021-08-22,1
2021-08-30,3
2021-09-06,1
2021-09-11,1
2021-09-13,1
2021-09-20,1
2021-10-04,3
2021-10-25,1
2021-10-26,1
2021-11-07,1
2021-11-15,1
2021-11-29,2
2021-12-13,1
2022-02-28,1
2022-03-07,1
2022-03-21,1
2022-03-29,1
2022-04-04,2
2022-04-11,1
2022-04-25,1
2022-05-02,1
2022-05-16,1
2022-05-30,2
2022-06-06,2
2022-06-13,2
2022-06-20,2
2022-06-27,1
2022-07-11,3
2022-07-18,2
2022-07-25,2
2022-08-01,2
2022-08-08,2
2022-08-15,1
2022-08-22,3
2022-10-03,2
2022-10-17,2
2022-12-04,1
2022-12-10,1
2022-12-26,1
2023-01-02,1
2023-01-07,1
2023-01-09,2
2023-01-30,1
2023-02-02,1
2023-02-13,1
2023-02-16,3
2023-03-04,1
2023-03-20,1
2023-04-10,2
2023-04-24,1
2023-05-08,1
2023-05-19,1
2023-05-22,2
2023-06-05,2
2023-06-19,2
2023-07-03,2
2023-07-10,2
2023-07-17,1
2023-07-24,2
2023-07-31,1
2023-08-07,2
2023-08-14,1
2023-08-28,1
2023-09-11,2
2023-09-25,2
2023-10-16,1
2023-10-23,1
2023-10-30,2
2023-11-13,1
2023-11-20,1
2023-11-27,1
2023-12-18,1
2023-12-25,1
2024-01-08,1
