created_at,pull_requests
2010-09-05,1
2010-10-12,1
2010-10-31,1
2010-11-04,1
2010-11-10,1
2010-11-15,1
2010-11-30,1
2010-12-03,1
2010-12-15,1
2010-12-16,1
2011-02-21,1
2011-02-22,2
2011-03-03,1
2011-03-16,1
2011-04-05,1
2011-04-13,1
2011-04-20,1
2011-06-08,1
2011-06-15,1
2011-06-24,1
2011-07-26,1
2011-09-19,1
2011-10-02,1
2011-11-12,1
2011-11-20,1
2011-12-04,1
2011-12-12,1
2011-12-24,1
2011-12-30,1
2012-01-13,1
2012-01-18,1
2012-01-26,2
2012-02-16,1
2012-02-18,1
2012-02-21,1
2012-03-18,1
2012-04-12,1
2012-04-30,1
2012-06-01,1
2012-06-19,1
2012-07-06,1
2012-07-13,1
2012-07-28,1
2012-08-06,1
2012-08-12,1
2012-08-21,1
2012-09-12,1
2012-09-26,1
2012-09-30,1
2012-10-10,1
2012-10-12,1
2012-10-17,2
2012-10-26,1
2012-11-22,1
2012-12-12,1
2013-01-20,1
2013-01-22,1
2013-02-03,1
2013-02-06,1
2013-02-10,1
2013-02-17,1
2013-02-20,1
2013-02-21,1
2013-02-24,1
2013-03-03,1
2013-03-04,1
2013-03-12,1
2013-03-14,1
2013-03-16,3
2013-03-18,1
2013-03-25,2
2013-04-01,1
2013-04-22,1
2013-05-05,2
2013-05-10,1
2013-05-11,1
2013-05-16,3
2013-05-18,1
2013-05-29,1
2013-06-09,1
2013-06-11,1
2013-06-19,2
2013-07-18,2
2013-08-09,1
2013-11-05,1
2013-11-27,1
2013-12-14,1
2013-12-16,1
2014-01-02,1
2014-01-05,1
2014-01-07,1
2014-02-14,1
2014-03-12,1
2014-04-09,1
2014-04-18,1
2014-06-03,1
2014-08-10,1
2014-09-09,1
2014-09-13,1
2014-09-23,1
2014-10-10,1
2014-10-15,1
2014-11-07,1
2014-11-10,1
2014-11-30,1
2014-12-02,1
2014-12-10,1
2015-02-22,1
2015-04-18,1
2015-05-15,1
2015-06-26,1
2015-08-30,1
2015-09-19,1
2015-10-01,1
2015-10-21,1
2015-10-26,1
2016-01-27,1
2016-02-06,1
2016-04-08,1
2016-05-10,1
2016-05-13,1
2016-06-28,1
2016-08-09,1
2016-09-13,1
2016-10-25,1
2016-11-18,3
2016-12-01,1
2016-12-07,1
2016-12-08,1
2017-01-18,1
2017-03-30,1
2017-05-06,1
2017-05-25,1
2017-09-07,1
2017-09-26,1
2017-12-19,1
2018-02-06,1
2018-03-11,1
2018-06-24,4
2018-11-09,1
2019-03-02,1
2019-07-24,1
2019-09-05,1
2019-11-26,1
2019-11-27,1
2019-11-28,5
2019-11-29,1
2019-11-30,2
2019-12-06,2
2019-12-09,1
2019-12-10,1
2019-12-21,1
2020-01-07,1
2020-01-28,1
2020-01-29,21
2020-01-31,3
2020-02-06,1
2020-02-08,1
2020-02-12,1
2020-02-15,1
2020-02-20,1
2020-02-21,3
2020-02-25,2
2020-02-26,2
2020-03-09,1
2020-03-15,1
2020-03-20,1
2020-03-22,1
2020-03-23,1
2020-04-02,1
2020-04-06,2
2020-04-10,1
2020-04-11,5
2020-04-14,1
2020-04-20,1
2020-04-21,1
2020-04-23,3
2020-04-29,1
2020-05-01,1
2020-05-02,1
2020-05-04,3
2020-05-05,1
2020-05-06,1
2020-05-09,1
2020-05-17,1
2020-05-18,2
2020-05-30,1
2020-06-02,1
2020-06-05,1
2020-06-09,1
2020-06-12,1
2020-06-16,1
2020-06-22,2
2020-08-06,1
2020-09-05,1
2020-11-18,1
2020-12-04,1
2020-12-10,1
2020-12-13,1
2020-12-30,1
2021-01-23,1
2021-01-25,1
2021-01-26,1
2021-02-11,2
2021-02-16,3
2021-02-18,1
2021-03-03,1
2021-03-15,21
2021-03-18,1
2021-03-19,1
2021-03-25,1
2021-03-30,1
2021-03-31,1
2021-04-09,1
2021-04-22,1
2021-04-27,1
2021-05-07,1
2021-05-08,1
2021-05-09,1
2021-05-11,1
2021-05-26,1
2021-05-30,1
2021-06-11,1
2021-06-16,1
2021-07-02,1
2021-07-25,2
2021-08-11,1
2021-08-31,1
2021-09-14,1
2021-09-21,1
2021-09-26,1
2021-09-29,1
2021-10-04,1
2021-10-09,1
2021-10-30,1
2021-10-31,2
2021-11-01,1
2021-11-03,3
2021-11-10,1
2021-11-11,1
2021-11-15,1
2021-11-18,4
2021-11-20,1
2021-11-23,1
2021-11-26,1
2021-11-29,1
2021-11-30,1
2021-12-02,1
2021-12-06,1
2021-12-11,1
2021-12-18,1
2021-12-21,1
2021-12-27,2
2022-01-01,1
2022-01-02,1
2022-01-03,1
2022-01-11,3
2022-01-13,1
2022-01-26,1
2022-02-03,1
2022-02-12,1
2022-03-19,1
2022-03-26,1
2022-04-03,15
2022-04-08,1
2022-04-26,2
2022-04-30,1
2022-05-18,1
2022-05-19,1
2022-08-22,1
2022-09-20,1
2022-10-01,1
2022-10-04,1
2022-10-06,1
2022-10-13,1
2022-10-16,1
2022-10-23,1
2022-11-25,1
2022-12-01,1
2022-12-12,2
2023-01-07,1
2023-01-12,1
2023-01-24,1
2023-03-04,1
2023-03-26,1
2023-06-16,1
2023-06-28,1
2023-07-05,1
2024-01-06,3
