created_at,pull_requests
2015-03-25,1
2015-05-23,1
2015-05-26,1
2015-05-31,1
2015-06-03,1
2015-06-09,1
2015-06-19,1
2015-08-20,1
2015-09-23,1
2015-10-13,1
2015-11-04,1
2015-11-07,1
2015-11-12,1
2015-11-25,1
2015-11-28,1
2015-12-31,2
2016-01-17,1
2016-02-03,1
2016-02-12,1
2016-02-16,1
2016-02-17,1
2016-02-25,1
2016-03-02,1
2016-03-04,1
2016-04-14,1
2016-04-27,1
2016-05-18,1
2016-05-23,2
2016-06-02,2
2016-06-08,1
2016-07-06,1
2016-07-10,1
2016-07-12,1
2016-07-13,1
2016-09-19,1
2016-09-29,3
2016-10-01,1
2016-10-05,1
2016-10-11,1
2016-10-28,1
2016-11-11,1
2016-12-02,1
2016-12-08,1
2016-12-09,1
2017-01-10,1
2017-02-01,1
2017-02-14,1
2017-02-24,1
2017-03-16,1
2017-03-25,1
2017-04-06,1
2017-04-26,1
2017-05-08,1
2017-05-11,1
2017-05-23,1
2017-07-03,1
2017-07-07,1
2017-07-14,1
2017-07-21,1
2017-08-18,1
2017-08-21,1
2017-08-22,5
2017-09-11,1
2017-09-13,1
2017-09-14,1
2017-09-20,2
2017-10-23,1
2017-10-28,1
2017-10-30,1
2017-11-09,1
2017-11-10,1
2017-11-11,1
2017-12-12,3
2018-01-05,2
2018-01-24,1
2018-02-01,1
2018-02-03,1
2018-02-14,1
2018-03-23,1
2018-04-03,1
2018-04-05,1
2018-04-18,1
2018-04-24,1
2018-04-25,1
2018-05-10,2
2018-05-11,1
2018-05-14,1
2018-06-28,1
2018-07-07,1
2018-09-13,1
2019-05-18,1
2019-07-10,1
2019-10-22,1
2019-11-09,1
2020-02-17,1
2020-02-21,1
2020-05-04,3
2020-08-10,1
2020-09-26,1
2021-08-17,1
2021-08-30,1
2021-09-21,1
2022-11-17,1
2022-12-06,1
2023-01-24,1
2023-09-12,1
