created_at,pull_requests
2018-06-07,3
2018-06-08,3
2018-06-20,1
2018-06-22,1
2018-06-23,2
2018-06-25,6
2018-06-26,3
2018-06-27,1
2018-06-28,3
2018-06-29,1
2018-06-30,5
2018-07-01,4
2018-07-27,1
2018-09-12,2
2019-06-19,1
2019-07-19,6
2019-08-23,1
2019-09-11,1
2019-12-11,1
2020-04-22,2
2020-05-22,3
2020-05-23,1
2020-05-25,1
2020-05-26,4
2020-05-29,1
2020-06-01,1
2020-06-04,1
2020-06-21,1
2020-06-22,1
2020-07-04,1
2020-07-10,1
2020-07-19,1
2020-09-30,1
2020-11-09,1
2020-11-15,1
2020-11-29,1
2021-01-05,1
2021-01-19,1
2021-02-25,2
2021-07-17,1
2021-11-04,1
2021-11-10,1
2022-10-05,1
2023-02-25,2
2023-07-11,1
2023-08-29,1
2023-12-06,1
