created_at,pull_requests
2010-11-07,1
2010-12-20,1
2011-02-17,1
2011-04-20,1
2011-04-25,1
2011-04-29,1
2011-05-01,1
2011-05-13,1
2011-05-14,1
2011-05-19,1
2011-05-22,1
2011-06-14,1
2011-06-16,1
2011-06-30,1
2011-07-01,2
2011-07-07,2
2011-07-12,1
2011-07-25,1
2011-07-26,1
2011-08-05,1
2011-08-30,1
2011-09-20,1
2011-09-26,1
2011-10-01,1
2011-10-06,1
2011-10-07,1
2011-10-10,1
2011-10-11,1
2011-10-23,1
2011-11-09,1
2011-11-21,1
2011-11-25,1
2011-12-03,1
2011-12-14,1
2011-12-15,1
2011-12-31,1
2012-01-05,2
2012-01-06,1
2012-01-18,1
2012-01-24,1
2012-02-05,2
2012-03-05,1
2012-03-12,1
2012-03-13,6
2012-03-21,1
2012-04-05,1
2012-04-11,1
2012-04-27,1
2012-05-10,1
2012-05-18,1
2012-05-20,1
2012-05-23,1
2012-05-31,1
2012-07-04,1
2012-07-05,1
2012-07-12,1
2012-07-19,1
2012-07-21,1
2012-09-21,1
2012-09-28,1
2012-10-03,1
2012-10-12,2
2012-11-01,1
2012-11-18,1
2012-11-22,1
2012-11-25,1
2012-12-01,1
2012-12-18,1
2013-01-11,1
2013-01-13,1
2013-01-15,1
2013-02-15,1
2013-02-18,1
2013-02-19,2
2013-02-20,1
2013-02-23,1
2013-02-27,1
2013-03-01,1
2013-03-18,1
2013-03-22,1
2013-03-28,1
2013-04-15,2
2013-04-16,1
2013-04-23,1
2013-05-01,1
2013-05-08,1
2013-05-14,1
2013-05-17,2
2013-05-18,12
2013-05-22,1
2013-05-25,3
2013-05-26,3
2013-05-28,1
2013-05-29,1
2013-06-03,1
2013-06-06,2
2013-07-04,3
2013-07-13,1
2013-07-16,1
2013-07-29,1
2013-08-16,1
2013-08-21,1
2013-09-03,1
2013-09-13,2
2013-10-27,1
2013-10-30,1
2013-11-01,1
2013-11-17,1
2013-11-21,1
2013-11-22,1
2013-11-29,1
2013-12-30,1
2014-01-08,1
2014-01-10,1
