created_at,pull_requests
2019-03-14,1
2019-03-19,1
2019-03-29,1
2019-07-10,1
2019-09-01,1
2019-09-26,1
2019-10-19,1
2020-01-15,1
2020-02-24,1
2020-04-04,1
2020-04-18,1
2020-07-01,1
2020-08-10,1
2020-09-03,1
2020-09-05,1
2020-11-23,1
2020-11-24,1
2020-12-30,1
2021-03-23,1
2021-04-30,1
2021-05-13,1
2021-05-18,1
2021-06-21,1
2021-06-30,1
2021-08-16,1
2021-09-02,2
2021-10-15,1
2021-11-08,1
2021-11-12,2
2021-11-20,1
2022-01-22,1
2022-03-04,1
2022-03-05,1
2022-03-29,1
2022-04-21,1
2022-04-25,1
2022-04-26,1
2022-05-01,2
2022-07-26,2
2022-08-09,1
2022-09-20,1
2022-10-26,1
2022-11-14,1
2022-12-20,1
2023-02-06,1
2023-02-08,1
2023-02-23,1
2023-03-03,1
2023-03-06,1
2023-05-07,1
2023-05-29,1
2023-06-05,1
2023-06-12,1
2023-06-26,1
2023-07-01,1
2023-07-17,1
2023-09-01,1
2023-09-11,1
2023-10-12,1
2023-10-24,1
2023-11-06,1
2023-12-23,1
2024-02-18,1
2024-02-19,1
