created_at,pull_requests
2022-05-27,1
2022-05-31,1
2022-06-01,1
2022-06-03,1
2022-06-04,1
2022-06-11,7
2022-06-13,3
2022-06-14,1
2022-06-15,1
2022-06-16,1
2022-06-17,2
2022-06-20,3
2022-06-21,2
2022-06-22,2
2022-07-06,2
2022-07-08,2
2022-07-11,3
2022-07-12,2
2022-07-27,1
2022-09-01,2
2022-09-13,1
2022-09-19,1
2022-09-20,1
2022-09-22,1
2022-09-24,2
2022-09-26,1
2022-09-28,1
2022-09-29,1
2022-09-30,3
2022-10-02,2
2022-10-03,3
2022-10-06,1
2022-10-12,1
2022-10-15,2
2022-10-20,1
2022-10-23,2
2022-10-24,2
2022-10-25,2
2022-10-26,3
2022-10-27,3
2022-10-28,2
2022-10-29,2
2022-10-30,1
2022-10-31,2
2022-11-01,3
2022-11-03,1
2022-11-04,3
2022-11-05,1
2022-11-06,3
2022-11-07,4
2022-11-08,1
2022-11-10,1
2022-11-11,2
2022-11-14,2
2022-11-16,1
2022-11-17,4
2022-11-18,1
2022-11-19,2
2022-11-20,3
2022-11-21,3
2022-11-22,5
2022-11-25,1
2022-11-26,3
2022-11-28,2
2022-11-29,4
2022-12-02,3
2022-12-03,1
2022-12-05,1
2022-12-06,8
2022-12-08,2
2022-12-09,4
2022-12-10,1
2022-12-11,2
2022-12-14,1
2022-12-21,1
2023-01-01,1
2023-01-05,1
2023-01-11,1
2023-01-14,2
2023-01-15,1
2023-01-16,2
2023-01-17,1
2023-01-19,2
2023-01-21,2
2023-01-23,2
2023-01-25,1
2023-01-26,2
2023-01-28,1
2023-01-29,1
2023-02-03,2
2023-02-04,1
2023-02-06,2
2023-02-09,1
2023-02-11,1
2023-02-17,2
2023-02-19,1
2023-02-20,1
2023-02-21,1
2023-02-26,2
2023-02-27,2
2023-02-28,6
2023-03-02,1
2023-03-07,1
2023-03-08,1
2023-03-09,1
2023-03-13,2
2023-03-14,1
2023-03-15,2
2023-03-16,1
2023-03-17,1
2023-03-18,1
2023-03-20,1
2023-03-21,3
2023-03-22,1
2023-03-24,2
2023-03-26,2
2023-03-27,2
2023-03-29,2
2023-03-30,3
2023-04-05,1
2023-04-06,4
2023-04-07,4
2023-04-08,2
2023-04-09,1
2023-04-10,2
2023-04-11,2
2023-04-13,2
2023-04-16,1
2023-04-19,4
2023-04-21,3
2023-04-22,1
2023-04-24,1
2023-04-25,1
2023-04-26,1
2023-04-28,1
2023-04-29,2
2023-04-30,2
2023-05-01,1
2023-05-03,1
2023-05-05,1
2023-05-07,1
2023-05-09,2
2023-05-11,1
2023-05-12,1
2023-05-21,1
2023-05-24,1
2023-05-25,1
2023-05-26,1
2023-06-01,1
2023-06-04,1
2023-06-05,1
2023-06-06,2
2023-06-07,1
2023-06-08,1
2023-06-12,1
2023-06-14,1
2023-06-17,1
2023-06-28,1
2023-07-01,1
2023-07-06,1
2023-07-09,1
2023-07-10,3
2023-07-18,1
2023-07-22,1
2023-07-25,2
2023-07-26,1
2023-07-27,5
2023-07-30,1
2023-07-31,1
2023-08-01,2
2023-08-16,1
2023-08-19,1
2023-09-08,1
2023-09-10,2
2023-09-11,7
2023-09-12,4
2023-09-13,1
2023-09-15,1
2023-09-18,5
2023-09-28,2
2023-09-29,1
2023-10-01,2
2023-10-02,1
2023-10-03,1
2023-10-05,2
2023-10-06,3
2023-10-07,1
2023-10-08,1
2023-10-11,1
2023-10-12,1
2023-10-13,1
2023-10-15,1
2023-10-17,3
2023-10-19,1
2023-10-20,3
2023-10-21,2
2023-10-22,1
2023-10-23,1
2023-10-25,1
2023-10-27,2
2023-11-07,1
2023-11-17,1
2023-11-18,3
2023-11-19,1
2023-12-04,1
2023-12-08,1
2023-12-14,1
2023-12-18,2
2023-12-20,1
2023-12-22,1
2023-12-25,1
2023-12-27,1
2024-01-02,1
2024-01-16,1
2024-01-17,2
2024-01-28,1
2024-01-29,2
2024-01-30,2
2024-02-01,1
2024-02-13,2
2024-02-21,1
2024-02-22,2
2024-02-23,1
2024-02-25,1
