created_at,pull_requests
2013-08-07,12
2013-08-08,6
2013-08-09,3
2013-08-10,7
2013-08-11,5
2013-08-12,3
2013-09-09,3
2013-09-10,4
2013-09-11,5
2013-09-12,6
2013-09-13,1
2013-09-14,2
2013-09-15,2
2013-09-27,1
2013-09-28,1
2013-09-29,1
2013-09-30,3
2013-10-01,4
2013-10-02,1
2013-10-03,2
2013-10-04,3
2013-10-05,2
2013-10-06,5
2013-10-07,1
2013-10-08,1
2013-10-09,1
2013-10-12,2
2013-10-15,2
2013-10-16,6
2013-10-17,4
2013-10-18,17
2013-10-19,11
2013-10-20,9
2013-10-21,4
2013-10-22,10
2013-10-23,3
2013-10-24,6
2013-10-25,1
2013-10-26,3
2013-10-27,4
2013-10-28,2
2013-10-29,2
2013-10-30,7
2013-10-31,5
2013-11-01,4
2013-11-02,3
2013-11-03,3
2013-11-04,3
2013-11-05,2
2013-11-06,5
2013-11-07,2
2013-11-08,4
2013-11-09,1
2013-11-11,4
2013-11-12,8
2013-11-13,9
2013-11-16,3
2013-11-17,1
2013-11-18,5
2013-11-19,1
2013-11-20,2
2013-11-22,1
2013-11-23,1
2013-11-27,2
2013-12-04,5
2013-12-06,1
2013-12-07,1
2013-12-08,1
2013-12-09,2
2013-12-10,2
2013-12-12,6
2013-12-13,5
2013-12-14,3
2013-12-15,1
2013-12-16,1
2013-12-17,2
2013-12-18,2
2013-12-19,4
2013-12-20,1
2013-12-21,5
2013-12-22,2
2013-12-23,9
2013-12-24,5
2013-12-25,5
2013-12-26,2
2013-12-27,6
2013-12-28,9
2013-12-29,5
2013-12-30,2
2013-12-31,2
2014-01-01,5
2014-01-02,6
2014-01-03,5
2014-01-04,4
2014-01-05,3
2014-01-06,3
2014-01-07,3
2014-01-08,12
2014-01-09,8
2014-01-10,12
2014-01-11,3
2014-01-12,3
2014-01-14,1
2014-01-16,4
2014-01-17,5
2014-01-18,3
2014-01-19,4
2014-01-20,4
2014-01-21,3
2014-01-22,3
2014-01-23,6
2014-01-24,5
2014-01-25,1
2014-01-26,1
2014-01-27,4
2014-01-28,5
2014-01-29,10
2014-01-30,2
2014-01-31,3
2014-02-01,1
2014-02-02,5
2014-02-03,6
2014-02-04,4
2014-02-05,7
2014-02-06,5
2014-02-07,3
2014-02-08,5
2014-02-09,2
2014-02-10,2
2014-02-11,1
2014-02-12,8
2014-02-13,9
2014-02-14,4
2014-02-15,4
2014-02-16,5
2014-02-17,3
2014-02-18,6
2014-02-19,6
2014-02-20,13
2014-02-21,4
2014-02-22,7
2014-02-23,2
2014-02-24,7
2014-02-25,7
2014-02-26,1
2014-02-27,1
2014-02-28,4
2014-03-01,7
2014-03-02,5
2014-03-03,6
2014-03-04,7
2014-03-05,5
2014-03-06,5
2014-03-07,11
2014-03-08,3
2014-03-09,4
2014-03-10,5
2014-03-11,8
2014-03-12,2
2014-03-13,2
2014-03-14,3
2014-03-15,7
2014-03-16,8
2014-03-17,6
2014-03-18,4
2014-03-19,4
2014-03-21,2
2014-03-22,8
2014-03-24,1
2014-03-25,1
2014-03-26,2
2014-03-27,3
2014-03-28,3
2014-03-29,4
2014-03-30,4
2014-03-31,1
2014-04-01,3
2014-04-02,4
2014-04-03,5
2014-04-05,3
2014-04-06,4
2014-04-07,2
2014-04-08,8
2014-04-09,2
2014-04-10,1
2014-04-12,2
2014-04-13,1
2014-04-14,2
2014-04-15,7
2014-04-16,6
2014-04-18,3
2014-04-19,3
2014-04-20,3
2014-04-21,5
2014-04-22,4
2014-04-23,5
2014-04-24,5
2014-04-25,8
2014-04-27,1
2014-04-29,1
2014-04-30,5
2014-05-01,7
2014-05-02,8
2014-05-03,5
2014-05-04,5
2014-05-05,1
2014-05-06,3
2014-05-07,1
2014-05-08,2
2014-05-09,4
2014-05-11,1
2014-05-13,2
2014-05-15,3
2014-05-16,4
2014-05-17,5
2014-05-18,6
2014-05-19,1
2014-05-20,2
2014-05-21,4
2014-05-24,2
2014-05-25,1
2014-05-26,3
2014-05-27,2
2014-05-29,1
2014-05-30,1
2014-05-31,4
2014-06-01,2
2014-06-05,3
2014-06-06,4
2014-06-07,10
2014-06-08,2
2014-06-09,2
2014-06-10,1
2014-06-12,4
2014-06-13,2
2014-06-14,1
2014-06-15,1
2014-06-16,3
2014-06-17,1
2014-06-18,1
2014-06-19,1
2014-06-20,6
2014-06-21,3
2014-06-22,3
2014-06-23,4
2014-06-24,5
2014-06-25,5
2014-06-26,4
2014-06-27,2
2014-06-28,4
2014-06-29,5
2014-06-30,5
2014-07-01,1
2014-07-02,1
2014-07-03,1
2014-07-04,1
2014-07-05,1
2014-07-06,3
2014-07-07,3
2014-07-08,4
2014-07-09,6
2014-07-10,9
2014-07-11,3
2014-07-12,4
2014-07-13,1
2014-07-14,1
2014-07-15,2
2014-07-16,2
2014-07-18,4
2014-07-19,1
2014-07-22,1
2014-07-23,2
2014-07-25,1
2014-07-29,1
2014-07-30,1
2014-08-06,1
2014-08-07,2
2014-08-09,2
2014-08-10,1
2014-08-11,1
2014-08-13,1
2014-08-14,2
2014-08-15,1
2014-08-19,2
2014-08-20,1
2014-08-21,3
2014-08-24,3
2014-08-25,2
2014-09-06,1
2014-09-08,1
2014-09-11,2
2014-09-12,2
2014-09-15,1
2014-09-17,1
2014-09-23,1
2014-09-24,3
2014-09-25,3
2014-09-26,7
2014-09-27,4
2014-09-28,2
2014-09-29,3
2014-09-30,5
2014-10-01,4
2014-10-02,1
2014-10-03,1
2014-10-08,4
2014-10-09,1
2014-10-11,2
2014-10-13,1
2014-10-14,1
2014-10-15,8
2014-10-16,4
2014-10-18,1
2014-10-19,1
2014-10-20,7
2014-10-21,3
2014-10-22,4
2014-10-23,4
2014-10-24,4
2014-10-25,2
2014-10-26,1
2014-10-27,2
2014-10-28,2
2014-10-29,1
2014-10-30,3
2014-10-31,2
