created_at,pull_requests
2019-01-30,1
2019-04-04,1
2019-11-29,1
2019-12-28,1
2020-02-11,1
2020-03-10,1
2020-04-16,1
2020-04-29,1
2020-05-31,1
2020-07-17,1
2020-07-18,2
2020-07-25,1
2020-07-29,1
2020-08-02,1
2020-08-03,2
2020-08-05,2
2020-08-12,1
2020-08-16,2
2020-08-17,1
2020-08-22,2
2020-08-26,4
2020-09-02,2
2020-09-13,1
2020-09-17,2
2020-09-23,1
2020-09-27,1
2020-10-17,1
2020-11-09,1
2020-11-29,1
2020-12-03,1
2020-12-09,1
2020-12-11,1
2020-12-13,1
2020-12-14,1
2020-12-26,3
2021-01-25,1
2021-02-02,6
2021-02-03,1
2021-02-12,1
2021-02-14,2
2021-02-15,1
2021-02-16,2
2021-02-21,1
2021-02-22,1
2021-03-18,1
2021-03-29,1
2021-04-06,1
2021-04-18,1
2021-04-23,1
2021-04-29,1
2021-05-01,1
2021-05-07,1
2021-05-09,2
2021-05-17,2
2021-05-19,1
2021-05-30,1
2021-06-21,1
2021-06-24,1
2021-06-29,1
2021-07-11,1
2021-07-17,1
2021-07-21,1
2021-07-29,1
2021-08-01,1
2021-08-02,2
2021-08-04,5
2021-08-13,1
2021-08-15,2
2021-08-17,1
2021-08-23,1
2021-08-24,1
2021-08-25,2
2021-08-26,1
2021-08-28,1
2021-09-01,2
2021-09-02,1
2021-09-05,1
2021-09-09,1
2021-09-12,1
2021-09-13,2
2021-09-16,3
2021-09-19,1
2021-09-22,1
2021-09-24,1
2021-09-30,1
2021-10-02,2
2021-10-03,1
2021-10-09,1
2021-11-06,2
2021-11-15,1
2021-11-17,1
2021-11-21,1
2021-11-23,3
2021-11-24,1
2021-11-25,1
2021-11-30,2
2021-12-09,3
2021-12-14,2
2021-12-28,1
2021-12-30,1
2021-12-31,1
2022-01-04,1
2022-01-12,1
2022-01-13,1
2022-01-20,1
2022-02-01,2
2022-02-09,1
2022-02-13,2
2022-02-15,2
2022-03-02,1
2022-03-05,1
2022-03-18,1
2022-03-21,1
2022-03-24,1
2022-04-15,1
2022-04-24,1
2022-05-01,1
2022-06-07,1
2022-06-11,1
2022-06-14,1
2022-06-18,1
2022-06-21,2
2022-06-27,1
2022-07-21,1
2022-08-10,1
2022-08-11,1
2022-08-18,1
2022-08-22,1
2022-08-27,2
2022-09-02,2
2022-09-07,1
2022-09-09,3
2022-09-13,1
2022-09-21,1
2022-09-27,1
2022-10-24,1
2022-10-27,1
2022-11-12,1
2022-11-26,1
2022-11-27,1
2022-11-29,1
2022-12-01,1
2022-12-06,1
2022-12-08,1
2022-12-12,1
2022-12-18,1
2022-12-19,1
2022-12-20,1
2022-12-21,1
2023-01-02,1
2023-01-07,1
2023-01-09,1
2023-01-10,1
2023-01-11,1
2023-01-12,1
2023-01-13,2
2023-01-15,2
2023-01-19,1
2023-01-26,2
2023-01-31,1
2023-02-01,1
2023-02-03,1
2023-02-10,1
2023-02-18,1
2023-03-06,1
2023-03-07,2
2023-03-09,1
2023-03-19,1
2023-03-21,1
2023-03-24,1
2023-03-25,1
2023-03-28,2
2023-03-30,1
2023-03-31,1
2023-04-12,1
2023-04-20,1
2023-04-21,1
2023-04-22,1
2023-05-07,2
2023-05-08,1
2023-05-12,1
2023-05-15,1
2023-05-17,1
2023-05-25,2
2023-05-29,1
2023-06-13,1
2023-06-19,1
2023-06-20,1
2023-06-21,1
2023-07-05,1
2023-07-06,1
2023-07-28,2
2023-07-29,1
2023-07-30,1
2023-08-04,1
2023-08-07,1
2023-08-16,1
2023-08-31,1
2023-09-07,2
2023-09-15,1
2023-09-17,1
2023-09-22,2
2023-10-01,1
2023-10-07,3
2023-10-10,1
2023-10-12,1
2023-10-19,1
2023-11-06,1
2023-11-07,1
2023-11-11,1
2023-11-15,1
2023-11-28,1
2023-11-29,1
2023-12-07,1
2023-12-16,2
2024-01-05,1
2024-01-10,1
2024-01-26,1
2024-01-27,6
2024-01-31,3
2024-02-01,1
2024-02-09,3
2024-02-11,1
2024-02-15,1
2024-02-19,1
2024-02-20,1
2024-02-23,1
2024-02-29,1
2024-03-03,1
2024-03-05,2
