created_at,pull_requests
2011-12-12,1
2011-12-16,1
2011-12-19,3
2011-12-20,1
2012-01-04,1
2012-01-17,1
2012-01-24,1
2012-02-04,1
2012-02-10,1
2012-03-04,1
2012-03-19,1
2012-03-30,1
2012-04-07,1
2012-04-16,1
2012-04-17,1
2012-04-18,1
2012-04-19,1
2012-04-26,2
2012-05-14,1
2012-05-16,1
2012-05-19,1
2012-05-21,1
2012-05-25,1
2012-05-29,1
2012-05-30,1
2012-06-01,2
2012-06-02,1
2012-06-04,1
2012-06-07,2
2012-06-11,1
2012-06-12,1
2012-06-29,1
2012-07-06,1
2012-08-03,1
2012-08-10,1
2012-08-12,1
2012-08-22,1
2012-08-29,1
2012-09-06,1
2012-09-10,1
2012-10-01,1
2012-10-16,2
2012-10-23,1
2012-10-31,1
2012-11-05,1
2012-11-06,1
2012-11-08,1
2012-11-09,1
2012-11-13,2
2012-12-03,1
2012-12-16,1
2012-12-19,1
2012-12-21,1
2013-01-03,1
2013-01-07,1
2013-01-14,1
2013-01-26,1
2013-01-31,1
2013-02-13,3
2013-02-14,2
2013-02-15,1
2013-02-19,2
2013-02-24,1
2013-02-28,1
2013-03-07,1
2013-03-11,1
2013-03-27,1
2013-03-28,2
2013-04-01,1
2013-04-19,1
2013-04-30,1
2013-05-01,1
2013-05-02,3
2013-05-11,1
2013-05-14,1
2013-05-30,1
2013-06-07,1
2013-06-13,2
2013-06-18,1
2013-06-20,3
2013-06-26,2
2013-06-27,1
2013-06-28,1
2013-07-05,1
2013-07-09,1
2013-07-14,1
2013-07-16,1
2013-07-17,1
2013-07-20,1
2013-07-21,1
2013-07-22,1
2013-07-23,1
2013-07-24,1
2013-07-25,1
2013-08-08,1
2013-08-10,1
2013-08-14,1
2013-08-19,2
2013-08-22,1
2013-08-23,1
2013-08-26,1
2013-09-06,1
2013-09-20,1
2013-10-02,1
2013-10-03,1
2013-10-09,1
2013-10-15,3
2013-10-16,1
2013-10-17,4
2013-10-19,1
2013-10-29,1
2013-11-06,1
2013-11-13,1
2013-11-19,1
2013-11-27,1
2013-12-02,1
2013-12-30,1
2014-01-02,1
2014-01-14,1
2014-01-17,2
2014-01-24,1
2014-02-02,1
2014-02-05,1
2014-02-11,1
2014-02-12,3
2014-02-21,1
2014-02-23,1
2014-02-24,2
2014-02-25,1
2014-02-27,1
2014-03-02,1
2014-03-04,1
2014-03-06,1
2014-03-11,1
2014-03-24,1
2014-03-26,1
2014-03-27,2
2014-04-01,2
2014-04-02,1
2014-04-14,1
2014-05-30,1
2014-06-12,1
2014-06-30,1
2014-07-15,1
2014-07-22,2
2014-07-23,1
2014-07-26,1
2014-07-31,1
2014-08-03,1
2014-08-11,1
2014-08-26,3
2014-08-27,1
2014-09-05,1
2014-09-16,1
2014-10-08,1
2014-10-16,1
2014-10-29,1
2014-11-03,2
2014-11-06,1
2014-11-11,1
2014-11-12,1
2014-11-25,1
2014-12-11,1
2014-12-13,1
2014-12-31,1
2015-01-09,1
2015-01-10,1
2015-01-21,1
2015-01-23,1
2015-02-23,1
2015-02-24,1
2015-03-12,1
2015-05-26,1
2015-08-03,1
2015-09-29,1
2016-01-25,1
2016-03-04,1
2016-03-25,1
2016-03-26,2
2016-04-08,1
2016-08-23,1
2016-09-10,1
2016-11-06,2
2016-12-26,1
2017-02-14,1
2017-03-21,1
2017-04-20,1
2017-07-04,1
2017-07-08,1
2017-07-17,1
2017-07-19,1
2017-07-25,1
2017-07-26,2
2017-07-29,1
2017-07-30,1
2017-08-23,2
2017-08-24,1
2017-08-31,1
2017-09-01,1
2017-11-29,1
2018-01-10,1
2018-01-25,1
2018-02-03,1
2018-03-24,1
2018-04-20,1
2018-10-07,2
2019-10-14,2
2020-03-29,1
2020-03-30,1
2020-04-10,1
2021-04-24,1
2022-08-03,1
2023-04-05,1
