created_at,pull_requests
2018-04-07,5
2018-04-08,4
2018-04-09,8
2018-04-10,2
2018-04-11,3
2018-04-13,1
2018-04-16,1
2018-04-17,1
2018-04-18,1
2018-04-19,5
2018-04-20,4
2018-04-24,1
2018-04-26,2
2018-04-27,2
2018-05-02,1
2018-05-03,1
2018-05-10,1
2018-05-13,1
2018-05-14,1
2018-05-15,3
2018-05-17,1
2018-05-18,1
2018-05-22,1
2018-05-23,1
2018-05-29,3
2018-05-30,2
2018-06-04,2
2018-06-05,1
2018-06-14,1
2018-06-20,1
2018-06-27,1
2018-06-28,1
2018-06-29,5
2018-07-04,3
2018-07-05,1
2018-07-06,1
2018-07-07,3
2018-07-16,2
2018-07-17,5
2018-07-18,4
2018-07-20,3
2018-07-23,1
2018-07-24,1
2018-07-25,1
2018-07-26,2
2018-07-27,1
2018-07-28,4
2018-07-30,2
2018-08-01,1
2018-08-02,1
2018-08-03,1
2018-08-04,3
2018-08-06,1
2018-08-07,1
2018-08-09,1
2018-08-13,1
2018-08-16,1
2018-08-21,1
2018-08-22,1
2018-08-24,1
2018-08-27,2
2018-08-28,2
2018-08-29,2
2018-08-30,1
2018-09-01,1
2018-09-06,1
2018-09-07,1
2018-09-11,2
2018-09-13,1
2018-09-14,1
2018-09-17,3
2018-09-18,1
2018-09-20,3
2018-09-21,2
2018-09-23,1
2018-09-26,1
2018-09-27,1
2018-10-08,1
2018-10-09,1
2018-10-10,2
2018-10-11,1
2018-10-17,1
2018-10-18,3
2018-10-25,2
2018-10-30,2
2018-11-05,3
2018-11-06,1
2018-11-07,1
2018-11-08,4
2018-11-16,2
2018-11-20,1
2018-11-22,1
2018-11-23,1
2018-11-24,2
2018-12-01,1
2018-12-07,1
2018-12-18,2
2018-12-24,2
2018-12-25,1
2018-12-26,2
2018-12-28,3
2018-12-29,5
2019-01-02,2
2019-01-03,1
2019-01-04,1
2019-01-08,1
2019-01-09,1
2019-01-12,1
2019-01-17,1
2019-01-22,1
2019-01-23,1
2019-01-24,1
2019-01-25,1
2019-01-28,3
2019-01-29,1
2019-01-30,1
2019-01-31,1
2019-02-01,1
2019-02-22,3
2019-02-26,1
2019-03-04,1
2019-03-07,1
2019-03-08,1
2019-03-09,1
2019-03-18,1
2019-04-03,2
2019-04-12,1
2019-04-15,1
2019-04-18,1
2019-04-22,1
2019-05-14,1
2019-05-16,1
2019-05-22,2
2019-05-31,2
2019-06-06,2
2019-06-10,3
2019-07-01,1
2019-07-11,1
2019-07-16,1
2019-07-19,1
2019-08-02,1
2019-08-15,1
2019-08-20,1
2019-08-21,3
2019-08-22,1
2019-08-28,1
2019-08-30,1
2019-09-14,1
2019-09-26,3
2019-09-27,1
2019-09-28,3
2019-10-09,1
2019-10-10,1
2019-10-12,1
2019-10-17,1
2019-10-19,1
2019-10-25,1
2019-10-28,1
2019-11-01,3
2019-11-05,3
2019-11-08,1
2019-11-13,1
2019-11-18,3
2019-11-20,1
2019-11-26,1
2019-11-28,4
2019-11-29,1
2019-12-03,1
2019-12-11,1
2019-12-12,1
2019-12-13,3
2019-12-18,4
2019-12-19,1
2019-12-20,3
2019-12-24,1
2019-12-27,1
2019-12-28,1
2019-12-30,1
2020-01-01,1
2020-01-02,2
2020-01-03,3
2020-01-04,1
2020-01-08,1
2020-01-10,1
2020-01-16,1
2020-01-18,1
2020-02-04,1
2020-02-05,1
2020-02-18,1
2020-02-19,3
2020-02-21,1
2020-02-27,3
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-09,2
2020-03-10,3
2020-03-12,1
2020-03-17,1
2020-03-18,3
2020-03-19,2
2020-03-20,1
2020-03-21,1
2020-03-23,1
2020-03-24,1
2020-04-22,4
2020-04-29,2
2020-05-05,1
2020-05-08,1
2020-05-15,1
2020-05-18,1
2020-05-19,2
2020-06-01,1
2020-06-02,1
2020-06-03,3
2020-06-04,1
2020-06-10,2
2020-06-22,2
2020-06-29,1
2020-07-20,1
2020-07-23,3
2020-07-31,2
2020-08-10,3
2020-08-11,1
2020-08-18,1
2020-08-21,2
2020-08-28,2
2020-08-31,1
2020-09-07,2
2020-09-08,5
2020-09-09,4
2020-09-12,1
2020-09-23,1
2020-09-25,1
2020-09-26,1
2020-09-28,4
2020-10-10,2
