created_at,pull_requests
2018-04-11,2
2018-04-12,5
2018-04-13,2
2018-04-14,2
2018-04-15,1
2018-04-16,2
2018-04-17,3
2018-04-18,4
2018-04-19,1
2018-04-20,3
2018-04-23,1
2018-04-24,2
2018-04-25,1
2018-04-26,2
2018-04-27,3
2018-04-28,1
2018-05-01,1
2018-05-03,3
2018-05-04,2
2018-05-05,2
2018-05-06,1
2018-05-07,1
2018-05-08,1
2018-05-09,2
2018-05-10,2
2018-05-11,1
2018-05-12,1
2018-05-13,1
2018-05-15,3
2018-05-17,5
2018-05-22,3
2018-05-26,1
2018-05-27,2
2018-05-29,3
2018-05-30,4
2018-06-08,2
2018-06-13,7
2018-06-14,3
2018-06-18,1
2018-06-20,1
2018-06-21,1
2018-06-23,2
2018-06-25,2
2018-06-26,1
2018-06-27,1
2018-06-28,1
2018-06-29,7
2018-07-03,1
2018-07-04,2
2018-07-06,1
2018-07-11,1
2018-07-16,3
2018-07-17,1
2018-07-19,1
2018-07-20,3
2018-07-22,1
2018-07-31,1
2018-08-01,1
2018-08-04,2
2018-08-06,2
2018-08-07,2
2018-08-10,1
2018-08-12,2
2018-08-13,3
2018-08-14,2
2018-08-15,2
2018-08-17,1
2018-08-22,4
2018-08-23,1
2018-08-25,1
2018-08-27,1
2018-08-28,2
2018-08-29,3
2018-09-03,1
2018-09-06,1
2018-09-07,2
2018-09-08,1
2018-09-11,1
2018-09-14,2
2018-09-17,1
2018-09-18,2
2018-09-26,2
2018-09-28,1
2018-10-06,1
2018-10-11,1
2018-10-16,1
2018-10-17,3
2018-10-23,1
2018-10-25,3
2018-10-31,1
2018-11-06,1
2018-11-07,3
2018-11-08,2
2018-11-09,1
2018-11-18,1
2018-11-19,1
2018-11-24,1
2018-11-26,1
2018-11-29,1
2018-12-01,1
2018-12-02,1
2018-12-03,3
2018-12-05,3
2018-12-07,1
2018-12-08,3
2018-12-10,2
2018-12-11,4
2018-12-12,4
2018-12-14,2
2018-12-17,2
2018-12-18,1
2018-12-25,1
2018-12-26,2
2018-12-27,1
2018-12-29,3
2019-01-16,1
2019-01-18,1
2019-01-26,1
2019-01-28,10
2019-01-29,2
2019-01-30,1
2019-02-12,1
2019-02-19,1
2019-02-20,2
2019-02-22,1
2019-02-27,2
2019-03-02,1
2019-03-03,1
2019-03-11,1
2019-03-16,1
2019-03-18,1
2019-03-19,2
2019-03-21,1
2019-03-23,1
2019-03-24,1
2019-03-25,1
2019-03-26,1
2019-04-03,1
2019-04-04,2
2019-04-07,1
2019-04-10,1
2019-04-11,3
2019-04-12,2
2019-04-17,1
2019-04-18,1
2019-04-27,1
2019-04-28,1
2019-05-05,7
2019-05-09,1
2019-05-10,2
2019-05-13,4
2019-05-17,2
2019-05-18,1
2019-05-20,1
2019-05-22,1
2019-05-29,1
2019-05-30,1
2019-05-31,2
2019-06-03,1
2019-06-04,1
2019-06-05,2
2019-06-06,4
2019-06-09,1
2019-06-10,1
2019-06-11,2
2019-06-13,4
2019-06-15,1
2019-06-17,4
2019-06-18,1
2019-06-20,1
2019-06-21,5
2019-06-25,2
2019-06-27,7
2019-06-28,1
2019-07-03,3
2019-07-04,1
2019-07-05,1
2019-07-09,1
2019-07-11,1
2019-07-24,1
2019-07-26,1
2019-08-01,1
2019-08-12,2
2019-08-15,1
2019-08-17,1
2019-08-19,1
2019-08-20,1
2019-08-21,7
2019-08-22,1
2019-08-23,1
2019-08-29,1
2019-08-30,1
