created_at,pull_requests
2017-07-01,2
2017-07-06,1
2017-07-18,1
2017-07-19,2
2017-07-20,1
2017-07-22,2
2017-07-23,1
2017-07-24,1
2017-07-25,3
2017-07-31,2
2017-08-01,2
2017-08-08,1
2017-08-16,1
2017-08-24,4
2017-08-25,3
2017-08-27,1
2017-08-28,1
2017-08-30,1
2017-09-15,2
2017-09-19,1
2017-09-20,1
2017-09-23,1
2017-09-25,1
2017-09-26,1
2017-09-30,2
2017-10-01,4
2017-10-02,4
2017-10-04,1
2017-10-07,1
2017-10-10,1
2017-10-12,3
2017-10-13,1
2017-10-14,2
2017-10-18,1
2017-10-19,3
2017-10-20,2
2017-10-22,1
2017-10-23,1
2017-10-27,2
2017-10-29,1
2017-11-03,2
2017-11-08,4
2017-11-09,8
2017-11-10,1
2017-11-11,1
2017-11-13,1
2017-11-14,1
2017-11-20,2
2017-11-21,1
2017-11-22,2
2017-11-24,1
2017-11-25,2
2017-11-29,2
2017-11-30,1
2017-12-02,2
2017-12-05,1
2017-12-08,3
2017-12-12,2
2017-12-13,2
2017-12-16,1
2017-12-18,3
2017-12-19,4
2017-12-20,1
2017-12-21,1
2017-12-22,1
2017-12-23,1
2017-12-26,1
2017-12-27,2
2018-01-02,1
2018-01-07,1
2018-01-09,2
2018-01-11,2
2018-01-16,1
2018-01-22,1
2018-01-24,2
2018-01-30,1
2018-02-03,1
2018-02-10,1
2018-02-11,1
2018-02-12,3
2018-02-13,1
2018-02-24,1
2018-03-02,2
2018-03-07,6
2018-03-13,1
2018-04-04,1
2018-04-05,1
2018-04-11,1
2018-04-23,1
2018-04-28,1
2018-04-30,3
2018-05-02,1
2018-05-09,1
2018-05-18,1
2018-06-02,1
2018-06-10,1
2018-06-14,1
2018-06-15,2
2018-06-20,2
2018-06-25,1
2018-07-28,3
2018-08-09,3
2018-08-29,3
2018-09-07,2
2018-09-11,1
2018-09-13,2
2018-09-14,1
2018-09-18,4
2018-09-19,1
2018-09-20,1
2018-09-21,1
2018-09-23,4
2018-09-25,2
2018-10-03,3
2018-10-05,1
2018-10-09,3
2018-10-10,2
2018-10-11,3
2018-10-12,2
2018-10-15,2
2018-10-25,1
2018-11-10,1
2018-12-04,1
2018-12-06,1
2018-12-07,1
2018-12-10,1
2018-12-21,1
2019-01-05,1
2019-01-06,1
2019-01-24,1
2019-01-29,1
2019-02-03,1
2019-02-13,1
2019-02-14,1
2019-02-15,2
2019-02-19,2
2019-02-21,1
2019-02-24,1
2019-02-27,1
2019-02-28,2
2019-03-01,2
2019-03-06,1
2019-03-07,2
2019-03-14,1
2019-04-02,4
2019-04-03,1
2019-04-05,1
2019-04-07,1
2019-04-22,2
2019-04-24,1
2019-04-25,1
2019-04-29,1
2019-05-02,2
2019-05-03,2
2019-05-06,1
2019-05-10,1
2019-05-20,2
2019-05-21,2
2019-05-24,5
2019-05-31,1
2019-06-04,1
2019-06-06,1
2019-06-07,2
2019-06-10,1
2019-06-14,1
2019-06-17,1
2019-06-20,1
2019-06-23,2
2019-06-24,2
2019-07-01,1
2019-07-10,1
2019-07-15,1
2019-07-19,1
2019-07-22,2
2019-07-26,1
2019-07-28,1
2019-07-30,3
2019-09-08,1
2019-09-09,1
2019-09-10,1
2019-09-12,1
2019-09-13,1
2019-09-15,1
2019-09-16,2
2019-09-17,2
2019-09-24,2
2019-09-25,1
2019-09-27,3
2019-09-30,1
2019-10-07,1
2019-10-08,1
2019-10-10,2
2019-10-17,1
2019-10-27,4
2019-10-28,1
2019-10-29,1
2019-10-31,1
2019-11-06,1
2019-11-07,1
2019-11-11,1
2019-11-12,4
2019-11-13,1
2019-11-17,1
2019-12-11,1
2019-12-12,1
2020-01-08,1
2020-01-21,1
2020-01-23,2
2020-01-27,1
2020-02-01,1
2020-02-02,1
2020-02-03,1
2020-02-09,1
2020-02-14,1
2020-02-26,1
2020-03-10,1
2020-03-11,1
2020-03-25,2
2020-03-26,1
2020-04-02,1
2020-04-14,1
2020-04-16,1
2020-04-24,1
2020-04-27,1
2020-05-25,1
2020-06-01,3
2020-06-02,1
2020-06-03,1
2020-06-05,1
2020-06-15,1
2020-06-24,1
2020-07-04,1
2020-07-06,1
2020-07-17,1
2020-07-20,1
2020-07-21,1
2020-07-23,1
2020-07-24,1
2020-07-28,1
2020-08-25,1
2020-09-07,1
2020-09-16,1
2020-10-04,2
2020-10-08,1
2020-10-09,1
2020-10-21,1
2020-10-26,1
2020-10-28,6
2020-11-07,2
2020-11-08,1
2020-11-09,1
2020-11-10,1
2020-11-22,1
2020-11-26,1
2020-12-15,1
2020-12-16,1
2020-12-21,1
2021-01-08,1
2021-02-02,1
2021-02-15,1
2021-04-12,1
2021-04-19,1
2021-04-21,1
2021-04-26,1
2021-05-05,1
2021-05-06,1
2021-05-10,1
2021-05-12,1
2021-05-16,1
2021-05-18,1
2021-06-15,1
2021-06-16,1
2021-07-07,1
2021-07-08,1
2021-07-09,1
2021-07-12,1
2021-07-20,1
2021-07-29,2
2021-08-16,1
2021-08-23,2
2021-08-26,1
2021-09-02,1
2021-09-07,1
2021-09-12,1
2021-09-13,5
2021-09-14,2
2021-09-17,1
2021-09-20,1
2021-09-22,1
2021-09-23,2
2021-10-05,1
2021-10-08,1
2021-10-14,3
2021-11-27,2
2021-12-03,1
2021-12-13,1
2021-12-15,1
2021-12-16,2
2022-01-04,1
2022-02-23,1
2022-03-16,1
2022-03-18,1
2022-03-30,1
2022-03-31,1
2022-04-05,1
2022-04-06,2
2022-04-09,1
2022-04-23,1
2022-04-27,3
2022-04-29,1
2022-06-02,2
2022-06-13,1
2022-06-25,2
2022-06-29,1
2022-06-30,1
2022-07-02,1
2022-07-03,2
2022-07-06,1
2022-07-07,4
2022-07-09,1
2022-07-10,1
2022-07-14,2
2022-08-02,1
2022-08-08,1
2022-08-09,1
2022-08-10,2
2022-08-26,2
2022-08-30,1
2022-09-02,1
2022-09-06,1
2022-09-07,4
2022-10-06,1
2022-10-14,1
2022-10-30,1
2022-11-19,1
2022-12-01,1
2022-12-06,1
2022-12-08,2
