created_at,pull_requests
2017-08-07,1
2017-08-08,1
2017-08-09,2
2017-08-29,1
2017-11-10,5
2018-02-16,2
2019-04-29,1
2019-05-01,1
2020-01-09,1
2020-01-21,1
2020-01-23,1
2020-04-15,1
2020-04-23,1
2020-08-24,1
2020-11-24,1
2021-01-29,3
2021-02-01,1
2021-05-11,1
2021-05-25,2
2021-08-05,1
2022-01-04,1
2022-03-14,2
2022-03-29,1
2022-04-05,1
2022-04-06,2
2022-04-09,1
2022-04-11,1
2022-05-31,1
2022-08-23,1
2022-11-11,1
2022-12-16,1
2023-02-25,1
2023-03-03,1
2023-03-17,2
2023-05-10,2
2023-06-06,1
2023-07-01,1
2023-07-19,4
2023-10-12,1
2023-11-01,1
2023-11-14,1
