created_at,pull_requests
2017-08-29,1
2017-08-30,3
2017-08-31,4
2017-09-01,7
2017-09-02,7
2017-09-04,6
2017-09-05,4
2017-09-06,5
2017-09-07,9
2017-09-08,3
2017-09-09,2
2017-09-10,6
2017-09-11,1
2017-09-12,2
2017-09-15,3
2017-09-16,4
2017-09-17,3
2017-09-19,3
2017-09-20,4
2017-09-21,4
2017-09-22,3
2017-09-23,3
2017-09-27,2
2017-09-28,3
2017-09-29,1
2017-09-30,1
2017-10-01,1
2017-10-02,2
2017-10-03,2
2017-10-05,1
2017-10-10,7
2017-10-11,1
2017-11-18,1
2017-11-21,1
2017-11-29,1
2017-11-30,1
2017-12-01,1
2017-12-03,1
2017-12-06,2
2017-12-10,1
2017-12-16,1
2017-12-27,2
2018-01-05,1
2018-01-16,1
2018-01-18,2
2018-01-25,2
2018-01-31,1
2018-02-06,2
2018-02-28,1
2018-03-02,1
2018-03-13,3
2018-03-31,1
2018-05-13,1
2018-05-18,1
2018-05-24,2
2018-05-28,2
2018-06-04,1
2018-07-08,1
2018-07-15,1
2018-07-27,2
2018-09-11,1
2018-09-14,2
2018-09-17,1
2018-09-27,2
2018-09-30,2
2018-10-12,1
2018-10-17,1
2018-11-14,1
2018-11-15,1
2018-11-28,1
2018-12-18,1
2018-12-27,1
2019-02-20,1
2019-03-04,1
2019-03-25,1
2019-03-27,2
2019-03-29,2
2019-04-02,1
2019-04-03,1
2019-04-15,2
2019-04-29,1
2019-05-01,1
2019-05-04,2
2019-05-09,1
2019-05-11,1
2019-05-27,1
2019-06-06,1
2019-06-07,1
2019-06-10,1
2019-06-14,2
2019-06-21,1
2019-07-08,1
2019-07-11,1
2019-07-19,1
2019-07-23,1
2019-07-25,2
2019-08-02,1
2019-09-06,1
2019-10-01,1
2019-10-09,1
2019-10-10,1
2019-10-14,1
2019-10-23,1
2019-10-30,1
2019-11-07,1
2019-11-26,1
2019-12-03,1
2019-12-05,1
2019-12-09,1
2019-12-12,1
2019-12-16,1
2019-12-23,1
2019-12-30,1
2020-01-04,1
2020-01-10,1
2020-01-19,1
2020-01-30,1
2020-02-04,2
2020-02-25,1
2020-03-09,1
2020-04-13,1
2020-04-17,1
2020-04-27,1
2020-04-29,1
2020-05-06,1
2020-05-11,1
2020-05-12,1
2020-05-13,1
2020-05-18,1
2020-06-02,1
2020-06-03,2
2020-06-04,1
2020-06-12,1
2020-06-17,1
2020-06-18,1
2020-06-23,2
2020-06-30,4
2020-07-03,1
2020-07-05,2
2020-07-08,3
2020-07-16,1
2020-08-08,3
2020-08-15,1
2020-08-23,1
2020-08-31,1
2020-10-13,1
2020-11-09,1
2020-11-28,1
2020-12-17,1
2021-01-06,1
2021-03-16,1
2021-04-24,1
2021-05-31,1
2021-06-16,1
2021-07-30,1
2021-08-23,1
2021-09-22,1
2021-11-10,1
2022-01-15,1
2022-02-05,1
2022-02-25,1
2022-04-09,1
2022-06-27,1
2022-09-01,1
2022-12-06,1
2023-03-01,1
2023-04-15,1
2023-05-26,1
2023-06-10,1
2023-07-04,1
2023-08-06,1
2023-09-17,1
2023-12-13,1
2023-12-28,1
2024-02-17,1
