created_at,pull_requests
2016-01-28,1
2016-02-14,1
2016-02-18,1
2016-02-19,1
2016-02-22,1
2016-02-24,1
2016-02-29,1
2016-03-05,1
2016-03-11,4
2016-03-22,1
2016-03-26,1
2016-03-27,2
2016-05-02,1
2016-05-10,1
2016-05-11,1
2016-05-13,1
2016-05-14,2
2016-05-16,1
2016-05-18,3
2016-05-20,1
2016-05-27,1
2016-05-31,1
2016-06-08,1
2016-06-10,1
2016-06-20,1
2016-07-06,1
2016-07-19,1
2016-07-20,1
2016-07-22,2
2016-07-30,1
2016-07-31,1
2016-08-04,2
2016-08-05,2
2016-08-08,1
2016-08-22,1
2016-08-23,3
2016-08-25,1
2016-09-01,1
2016-09-08,1
2016-09-11,2
2016-09-12,3
2016-09-14,1
2016-09-20,1
2016-09-23,1
2016-09-28,1
2016-09-30,2
2016-10-06,1
2016-10-07,1
2016-10-09,1
2016-10-10,1
2016-10-11,3
2016-10-12,1
2016-10-13,4
2016-10-17,1
2016-10-18,1
2016-10-23,1
2016-10-25,1
2016-10-26,1
2016-11-07,1
2016-11-16,1
2016-11-28,1
2016-12-01,1
2016-12-19,1
2016-12-27,1
2016-12-28,1
2016-12-30,3
2017-01-02,3
2017-01-10,2
2017-01-18,1
2017-01-20,2
2017-02-01,1
2017-02-03,1
2017-02-04,1
2017-02-06,2
2017-02-07,2
2017-02-08,1
2017-02-10,1
2017-02-13,4
2017-02-14,4
2017-02-16,1
2017-02-17,1
2017-02-18,1
2017-02-20,2
2017-02-23,1
2017-02-24,2
2017-02-27,1
2017-02-28,2
2017-03-03,1
2017-03-09,1
2017-03-13,2
2017-03-14,1
2017-03-15,2
2017-03-17,1
2017-03-20,1
2017-03-25,1
2017-03-27,2
2017-03-28,2
2017-03-30,3
2017-04-04,1
2017-04-05,3
2017-04-06,1
2017-04-11,4
2017-04-12,1
2017-04-17,3
2017-04-19,1
2017-04-25,1
2017-04-26,2
2017-05-01,1
2017-05-07,1
2017-05-09,1
2017-05-10,4
2017-05-13,1
2017-05-17,1
2017-05-22,1
2017-05-23,1
2017-05-24,1
2017-05-25,1
2017-05-26,1
2017-06-02,1
2017-06-04,1
2017-06-05,2
2017-06-06,1
2017-06-08,1
2017-06-09,3
2017-06-16,1
2017-07-11,1
2017-07-20,1
2017-08-10,1
2017-08-12,1
2017-08-13,1
2017-08-18,1
2017-08-24,1
2017-08-29,1
2017-09-12,1
2017-09-14,1
2017-09-20,1
2017-10-14,1
2017-11-09,1
2017-11-14,1
2017-11-15,1
2017-11-23,1
2017-11-27,1
2017-12-07,1
2017-12-19,1
2017-12-21,1
2017-12-22,1
2017-12-24,1
2017-12-27,1
2018-01-08,1
2018-01-09,3
2018-01-11,1
2018-01-13,1
2018-01-16,1
2018-01-18,1
2018-01-21,1
2018-01-22,1
2018-01-31,2
2018-02-08,1
2018-02-10,1
2018-02-13,2
2018-02-14,1
2018-02-16,3
2018-02-21,1
2018-02-23,1
2018-02-28,1
2018-03-02,1
2018-03-03,1
2018-03-07,1
2018-03-08,4
2018-03-10,1
2018-03-13,1
2018-03-19,1
2018-03-20,1
2018-03-22,2
2018-03-23,4
2018-03-25,3
2018-03-26,2
2018-03-27,1
2018-04-01,1
2018-04-04,1
2018-04-11,1
2018-04-12,1
2018-04-17,1
2018-04-20,1
2018-04-21,1
2018-04-24,1
2018-04-25,1
2018-05-02,1
2018-05-03,1
2018-05-05,1
2018-05-09,1
2018-05-14,1
2018-05-23,2
2018-05-29,2
2018-06-13,1
2018-06-15,1
2018-06-19,3
2018-06-20,2
2018-06-22,4
2018-07-16,1
2018-07-17,1
2018-07-24,1
2018-07-26,1
2018-08-02,1
2018-09-13,1
2018-10-14,1
2018-10-17,1
2018-10-19,1
2018-10-23,1
2018-10-29,1
2018-10-30,1
2018-10-31,1
2018-11-06,1
2018-11-23,1
2018-12-02,2
2018-12-13,1
2018-12-14,1
2018-12-18,2
2019-02-12,1
2019-03-04,1
2019-03-22,2
2019-05-02,1
2019-05-14,1
2019-06-06,1
2019-06-08,1
2019-07-02,1
2019-08-29,1
2019-08-30,1
2019-10-22,1
2019-10-24,1
2019-11-20,1
2019-12-09,1
2020-01-16,1
2020-01-18,1
2020-01-21,1
2020-02-05,1
2020-02-26,2
2020-03-01,1
2020-03-11,1
2020-03-16,1
2020-03-20,1
2020-04-02,1
2020-04-07,1
2020-04-12,1
2020-04-14,1
2020-04-27,1
2020-05-29,1
2020-06-03,1
2020-06-07,1
2020-06-13,1
2020-07-12,2
2020-11-01,1
2020-11-16,1
2020-11-20,1
2020-12-04,1
2021-01-05,1
2021-01-24,1
2021-05-05,1
2021-06-03,1
2021-10-11,1
2022-03-07,1
2022-05-03,1
2022-05-13,1
2022-06-04,1
2022-08-16,1
2022-09-02,1
2022-09-06,1
2022-11-26,1
2023-02-12,1
2023-02-24,1
2023-03-19,1
2023-03-23,1
2023-04-13,1
2023-08-11,1
2024-01-10,1
