created_at,pull_requests
2016-06-03,3
2016-06-08,1
2016-06-09,1
2016-06-16,1
2016-07-08,2
2016-07-09,1
2016-07-10,2
2016-07-11,2
2016-07-22,1
2016-07-25,1
2016-07-27,2
2016-07-29,2
2016-08-02,1
2016-08-03,2
2016-08-04,1
2016-08-05,4
2016-08-06,3
2016-08-10,1
2016-08-15,1
2016-08-16,3
2016-08-19,1
2016-08-23,1
2016-08-24,4
2016-08-25,1
2016-08-26,1
2016-08-27,9
2016-08-28,5
2016-08-29,5
2016-08-30,10
2016-08-31,5
2016-09-01,7
2016-09-02,2
2016-09-03,2
2016-09-04,2
2016-09-06,1
2016-09-09,1
2016-09-10,3
2016-09-12,3
2016-09-13,1
2016-09-14,2
2016-09-15,1
2016-09-16,1
2016-09-18,3
2016-09-22,4
2016-09-23,1
2016-09-24,10
2016-09-25,2
2016-10-02,5
2016-10-12,8
2016-10-15,8
2016-10-20,1
2016-10-22,1
2016-10-24,2
2016-10-25,1
2016-11-03,1
2016-11-05,5
2016-11-06,9
2016-11-07,1
2016-11-15,2
2016-11-17,1
2016-11-20,4
2016-11-21,3
2016-11-22,1
2016-11-24,1
2016-11-27,8
2016-11-29,1
2016-11-30,1
2016-12-01,1
2016-12-03,3
2016-12-04,4
2016-12-05,1
2016-12-06,1
2016-12-10,4
2016-12-11,9
2016-12-12,8
2016-12-13,5
2016-12-14,5
2016-12-17,4
2016-12-18,11
2016-12-19,3
2016-12-20,1
2016-12-21,1
2016-12-22,6
2016-12-23,3
2016-12-24,4
2016-12-25,1
2016-12-30,3
2016-12-31,4
2017-01-01,3
2017-01-02,1
2017-01-03,1
2017-01-04,1
2017-01-07,3
2017-01-08,4
2017-01-09,4
2017-01-10,1
2017-01-11,1
2017-01-12,6
2017-01-13,2
2017-01-14,3
2017-01-15,5
2017-01-17,3
2017-01-21,3
2017-01-22,2
2017-01-23,6
2017-01-24,1
2017-01-25,2
2017-01-26,1
2017-01-27,1
2017-01-28,1
2017-01-29,1
2017-01-30,2
2017-01-31,3
2017-02-02,2
2017-02-03,1
2017-02-04,7
2017-02-05,4
2017-02-06,1
2017-02-07,1
2017-02-10,1
2017-02-11,1
2017-02-15,3
2017-02-16,2
2017-02-17,1
2017-02-18,1
2017-02-19,1
2017-02-20,1
2017-02-21,1
2017-02-24,1
2017-02-25,12
2017-02-26,3
2017-02-27,5
2017-02-28,5
2017-03-01,3
2017-03-04,1
2017-03-07,2
2017-03-08,1
2017-03-09,2
2017-03-10,3
2017-03-11,2
2017-03-14,1
2017-03-15,3
2017-03-18,2
2017-03-19,1
2017-03-20,1
2017-03-21,2
2017-03-23,1
2017-03-31,1
2017-04-01,3
2017-04-02,2
2017-04-03,3
2017-04-04,3
2017-04-05,1
2017-04-07,1
2017-04-08,2
2017-04-09,2
2017-04-16,1
2017-04-17,3
2017-04-23,8
2017-04-24,5
2017-04-30,1
2017-05-01,3
2017-05-02,2
2017-05-03,2
2017-05-04,1
2017-05-07,1
2017-05-08,1
2017-05-12,2
2017-05-13,1
2017-05-14,2
2017-05-15,1
2017-05-23,3
2017-05-25,1
2017-05-27,2
2017-05-28,9
2017-05-29,5
2017-05-30,4
2017-05-31,4
2017-06-01,1
2017-06-02,1
2017-06-03,5
2017-06-04,2
2017-06-05,1
2017-06-06,2
2017-06-07,5
2017-06-08,2
2017-06-09,1
2017-06-10,1
2017-06-13,1
2017-06-18,3
2017-06-19,2
2017-06-23,1
2017-06-25,2
2017-06-26,4
2017-06-27,2
2017-06-28,1
2017-06-30,1
2017-07-06,1
2017-07-08,5
2017-07-09,2
2017-07-10,1
2017-07-13,1
2017-07-14,1
2017-07-15,2
2017-07-16,4
2017-07-17,1
2017-07-21,1
2017-07-22,3
2017-07-23,1
2017-07-24,3
2017-07-26,2
2017-07-27,2
2017-07-29,2
2017-07-30,4
2017-08-01,2
2017-08-02,1
2017-08-03,1
2017-08-06,2
2017-08-08,2
2017-08-10,1
2017-08-14,1
2017-08-16,2
2017-08-17,1
2017-08-18,1
2017-08-23,7
2017-08-24,2
2017-08-25,1
2017-08-28,1
2017-08-29,1
2017-08-31,1
2017-09-01,3
2017-09-02,2
2017-09-03,1
2017-09-04,1
2017-09-06,1
2017-09-08,1
2017-09-10,1
2017-09-13,1
2017-09-18,2
2017-09-21,1
2017-09-23,3
2017-09-24,4
2017-09-25,2
2017-09-26,5
2017-09-27,2
2017-10-02,1
2017-10-03,1
2017-10-05,3
2017-10-06,5
2017-10-07,1
2017-10-08,7
2017-10-09,3
2017-10-12,2
2017-10-13,3
2017-10-15,7
2017-10-17,2
2017-10-18,1
2017-10-21,1
2017-10-22,2
2017-10-23,1
2017-10-25,11
2017-10-26,10
2017-10-27,5
2017-10-28,3
2017-10-29,1
2017-10-30,1
2017-10-31,1
2017-11-03,1
2017-11-04,2
2017-11-05,1
2017-11-08,1
2017-11-09,2
2017-11-10,1
2017-11-11,1
2017-11-13,6
2017-11-14,2
2017-11-15,3
2017-11-16,2
2017-11-17,1
2017-11-19,1
2017-11-22,3
2017-11-23,5
2017-11-24,1
2017-11-25,1
2017-11-26,2
2017-11-27,1
2017-11-30,1
2017-12-01,2
2017-12-02,2
2017-12-03,3
2017-12-09,1
2017-12-10,1
2017-12-15,1
2017-12-22,1
2018-01-02,5
2018-01-08,1
2018-01-13,2
2018-01-14,2
2018-01-15,1
2018-01-18,1
2018-01-24,1
2018-01-26,1
2018-01-27,2
2018-02-05,1
2018-02-06,2
2018-02-07,1
2018-02-08,1
2018-02-09,1
2018-02-11,1
2018-02-12,1
2018-02-13,6
2018-02-14,1
2018-02-15,2
2018-02-17,3
2018-02-18,10
