created_at,pull_requests
2013-08-26,3
2013-09-17,1
2013-09-24,1
2013-09-25,1
2013-10-05,1
2013-10-06,2
2013-10-07,2
2013-10-08,2
2013-10-11,3
2013-10-12,1
2013-10-14,3
2013-10-24,1
2013-10-25,1
2013-11-27,1
2014-01-22,1
2014-02-26,1
2014-08-06,1
2014-09-12,1
2015-03-04,1
2015-03-16,1
2015-03-17,1
2015-03-19,1
2015-04-20,1
2015-05-06,1
2015-06-12,1
2015-10-12,1
2016-01-05,3
2016-01-12,1
2016-05-02,1
2016-05-03,2
2016-06-04,1
2016-06-17,1
2016-07-24,1
2016-08-05,1
2016-08-17,1
2016-09-04,1
2016-10-18,1
2017-01-17,1
2017-03-30,1
2017-04-06,1
2017-04-18,1
2017-04-28,1
2017-11-26,1
2018-01-16,1
2018-03-11,1
2019-02-25,1
2019-11-19,1
2021-01-07,1
2021-09-01,1
2022-03-10,1
2024-02-15,1
