user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
kekekeks,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14808,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14808,open,2024-03-04,2024-03-04,,801bb63d3582636ed475fffa206c27a6821f6b28
kekekeks,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14806,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14806,open,2024-03-04,2024-03-04,,7b25b350f742f02dcae40cd2f738e28787d24efc
adirh3,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14804,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14804,open,2024-03-03,2024-03-04,,e7dbf90c106dcc8a57cde44ab34a241127bd3518
edwinbernadus,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14801,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14801,open,2024-03-03,2024-03-03,,075c4641c0c8c3d0dbd6d1e571d38038a27609c8
MrJul,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14793,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14793,closed,2024-03-02,2024-03-02,2024-03-02,0399137b2daa13d0f3ceeecdcb1c238af4cfa5bb
pos777,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14787,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14787,open,2024-03-02,2024-03-02,,5b81774dc52cbbe92afbef7420297f3d55ad0c5d
ltetak,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14783,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14783,open,2024-03-01,2024-03-01,,9c7683de32ee2c5ef550c01e031fa974db8deb96
ltetak,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14782,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14782,open,2024-03-01,2024-03-01,,4646f0bce22867d7870281c35e4db50e167929b5
MrJul,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14774,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14774,closed,2024-02-29,2024-03-01,2024-03-01,a63474300b535408a8ff36e3c0d7857bf166abb5
workgroupengineering,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14771,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14771,open,2024-02-29,2024-03-01,,9dfaab24ad810bb837e3c93d63dfa4fac54364b0
Gillibald,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14768,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14768,open,2024-02-29,2024-03-01,,090fdc737c49ab5eb6b259a1d637c5f76a3865d4
grokys,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14767,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14767,closed,2024-02-29,2024-02-29,2024-02-29,20ca1bfa646dd34f9781118b3f470fd3ebc9312c
MrJul,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14766,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14766,closed,2024-02-29,2024-03-01,2024-03-01,cac27ddfc07984c8554dab39f053221cd674a6d1
maxkatz6,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14762,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14762,open,2024-02-29,2024-02-29,,f7783fd0554267c1794d6ac76bcf718fc8ec0f69
maxkatz6,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14761,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14761,open,2024-02-29,2024-02-29,,5c1e459a982b1145da8494c6bcb36feef39fb4d7
TomEdwardsEnscape,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14757,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14757,closed,2024-02-28,2024-02-29,2024-02-28,16c5c24952c180d179a809e238ef385542f5933a
Gillibald,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14754,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14754,closed,2024-02-28,2024-02-28,2024-02-28,dcc66095b90982925768939d02cecc4146764ef3
workgroupengineering,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14744,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14744,closed,2024-02-27,2024-02-29,2024-02-29,04f43a5da6e206292a1808d987498c1f8b27f03e
Brubning,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14738,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14738,closed,2024-02-26,2024-02-29,2024-02-29,c466e960d1947d0adb745532faacbe9f97507f63
emmauss,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14736,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14736,closed,2024-02-26,2024-02-27,2024-02-27,4898757d305d39392761c436a943b05639fb76dd
TomEdwardsEnscape,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14729,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14729,open,2024-02-25,2024-03-01,,021f21e90e7e5363d283979982354b292d1eff53
MrJul,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14722,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14722,closed,2024-02-23,2024-02-29,2024-02-24,353dd1d5c8aa00681a8bbb22b0a1c1051540204b
Takoooooo,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14721,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14721,closed,2024-02-23,2024-02-26,,03c0fa5e36ab69a1010a6771ed498ea966247f92
MrJul,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14720,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14720,closed,2024-02-23,2024-02-29,2024-02-24,ca4a672be21f991ea85d2b175152ce4e86ce5ccc
MrJul,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14717,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14717,closed,2024-02-23,2024-03-01,2024-03-01,434cbac0552407c3251e02dd50ddcf7cf061b2aa
BAndysc,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14714,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14714,open,2024-02-23,2024-02-23,,19b3bd2890a9867e5eca4cbed097ee7542ed838f
Gillibald,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14705,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14705,closed,2024-02-23,2024-02-24,2024-02-23,e35e94902eb4eef415e205fa0ca7e911ac2aa2f4
maxkatz6,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14703,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14703,closed,2024-02-23,2024-03-01,2024-03-01,aeafbf9d3c46a459fc4803ecfdd05cbe2cffccfb
TomEdwardsEnscape,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14700,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14700,closed,2024-02-22,2024-02-23,2024-02-23,3194e3206eac90e172615048748d016145953fa3
dbriard,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14694,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14694,open,2024-02-22,2024-02-28,,2dd7fc446958d2d03d150414f113abf7ddde3b81
jmacato,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14684,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14684,open,2024-02-21,2024-02-23,,dff2134dce0dd9fd94bdcf2023253b014af3ff20
Gillibald,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14679,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14679,closed,2024-02-21,2024-02-22,2024-02-21,599cf1f2971fbbd998b412599e4d2081697da96c
maxkatz6,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14677,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14677,closed,2024-02-21,2024-02-27,2024-02-27,b6ee7b90d0a98caf5b008f0a4d7f4177ef5c6ece
Gillibald,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14669,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14669,closed,2024-02-20,2024-02-20,2024-02-20,8d446239cc1f27b18f37a07fb8312c25d3b14a34
Gillibald,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14668,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14668,closed,2024-02-20,2024-02-22,2024-02-21,9cb21ee6908e2478db4db48255a165be33b49752
gehongyan,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14664,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14664,closed,2024-02-20,2024-02-22,2024-02-21,175673fa1dcd13b9c07060319e57231601580202
maxkatz6,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14662,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14662,closed,2024-02-20,2024-02-20,2024-02-20,72aa43dbf89cba4d5ea2cbe082d1ea851ed9c95c
kekekeks,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14653,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14653,open,2024-02-19,2024-02-23,,fbfca3656fd9b7d90e914460c9e7fe3dbf4bc0a5
kekekeks,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14652,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14652,closed,2024-02-19,2024-02-20,2024-02-20,f3f26eb113ceec63e310115d34a8f02fe8e86b51
kekekeks,https://api.github.com/repos/AvaloniaUI/Avalonia/pulls/14651,https://api.github.com/repos/AvaloniaUI/Avalonia/issues/14651,closed,2024-02-19,2024-02-24,2024-02-20,7fb26639f5d7bcc5369651675d4c401e6406273d
