user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
meltsufin,https://api.github.com/repos/GoogleContainerTools/jib/pulls/4205,https://api.github.com/repos/GoogleContainerTools/jib/issues/4205,closed,2024-03-04,2024-03-04,2024-03-04,563aa7fd35284cb4d9cd0ee5f4c095f824c0ca14
izogfif,https://api.github.com/repos/GoogleContainerTools/jib/pulls/4204,https://api.github.com/repos/GoogleContainerTools/jib/issues/4204,open,2024-03-02,2024-03-04,,8c2012716eac74a205378e3e5003c9ec190cb08f
mpeddada1,https://api.github.com/repos/GoogleContainerTools/jib/pulls/4203,https://api.github.com/repos/GoogleContainerTools/jib/issues/4203,closed,2024-02-28,2024-02-28,2024-02-28,fd961511eca1817c4232db405e91bb0c0e1dbb5e
dependabot[bot],https://api.github.com/repos/GoogleContainerTools/jib/pulls/4200,https://api.github.com/repos/GoogleContainerTools/jib/issues/4200,open,2024-02-26,2024-02-26,,e0a1495f91e28796c0c17fff20cf34cdc404b425
mpeddada1,https://api.github.com/repos/GoogleContainerTools/jib/pulls/4197,https://api.github.com/repos/GoogleContainerTools/jib/issues/4197,closed,2024-02-23,2024-02-28,2024-02-28,414a2c04f186705ff391af6eb84cce38f45f39f2
mpeddada1,https://api.github.com/repos/GoogleContainerTools/jib/pulls/4195,https://api.github.com/repos/GoogleContainerTools/jib/issues/4195,closed,2024-02-23,2024-02-28,2024-02-28,3940572323ebe3bf44334aa4af7e040d682c3479
mpeddada1,https://api.github.com/repos/GoogleContainerTools/jib/pulls/4193,https://api.github.com/repos/GoogleContainerTools/jib/issues/4193,closed,2024-02-23,2024-02-28,2024-02-28,9d1e3f1e51bc721cb25be021abda97c09517aa35
mpeddada1,https://api.github.com/repos/GoogleContainerTools/jib/pulls/4192,https://api.github.com/repos/GoogleContainerTools/jib/issues/4192,open,2024-02-23,2024-02-28,,679ddeb4b9a0be7accee0786278046924007e0dd
dependabot[bot],https://api.github.com/repos/GoogleContainerTools/jib/pulls/4191,https://api.github.com/repos/GoogleContainerTools/jib/issues/4191,open,2024-02-23,2024-02-23,,995bd8f604d4ca4d5b86404f726b780e47cadaa2
dependabot[bot],https://api.github.com/repos/GoogleContainerTools/jib/pulls/4190,https://api.github.com/repos/GoogleContainerTools/jib/issues/4190,closed,2024-02-23,2024-02-23,2024-02-23,fb34ae43e614f228b62f355458f66a9d00640ce4
dependabot[bot],https://api.github.com/repos/GoogleContainerTools/jib/pulls/4189,https://api.github.com/repos/GoogleContainerTools/jib/issues/4189,open,2024-02-22,2024-02-23,,0d2c50a7e8e4095ce2583c6b9014515fb9a02248
kosi2801,https://api.github.com/repos/GoogleContainerTools/jib/pulls/4188,https://api.github.com/repos/GoogleContainerTools/jib/issues/4188,open,2024-02-16,2024-02-28,,1e770372173a45d4198f7bff053cb05ee4812261
dependabot[bot],https://api.github.com/repos/GoogleContainerTools/jib/pulls/4178,https://api.github.com/repos/GoogleContainerTools/jib/issues/4178,closed,2024-01-30,2024-02-23,,d291130248210681656323895c8941496a58fcca
stefan-prange,https://api.github.com/repos/GoogleContainerTools/jib/pulls/4177,https://api.github.com/repos/GoogleContainerTools/jib/issues/4177,open,2024-01-28,2024-01-28,,b9ee7b6e4f4a1ba85cde56e014fee1c9d6570eb9
Sineaggi,https://api.github.com/repos/GoogleContainerTools/jib/pulls/4173,https://api.github.com/repos/GoogleContainerTools/jib/issues/4173,open,2024-01-23,2024-01-23,,b5077c40a0ad963442115de6554eb6db739747cc
chanseokoh,https://api.github.com/repos/GoogleContainerTools/jib/pulls/4172,https://api.github.com/repos/GoogleContainerTools/jib/issues/4172,closed,2024-01-22,2024-02-21,2024-02-02,0df8ed9e0e6990321f1193d214915987127962b9
dependabot[bot],https://api.github.com/repos/GoogleContainerTools/jib/pulls/4170,https://api.github.com/repos/GoogleContainerTools/jib/issues/4170,open,2024-01-18,2024-02-23,,9a24d7b973a8b4b03f0ffe36f5955bddb37f14bd
blakeli0,https://api.github.com/repos/GoogleContainerTools/jib/pulls/4168,https://api.github.com/repos/GoogleContainerTools/jib/issues/4168,open,2024-01-16,2024-01-16,,9dad7836fc04f3ae044d1e8e69c92aae57f6f467
dependabot[bot],https://api.github.com/repos/GoogleContainerTools/jib/pulls/4167,https://api.github.com/repos/GoogleContainerTools/jib/issues/4167,closed,2024-01-15,2024-01-30,,c2f732f2c28b93b7992f301716fca799693b2e83
martinbonnin,https://api.github.com/repos/GoogleContainerTools/jib/pulls/4161,https://api.github.com/repos/GoogleContainerTools/jib/issues/4161,open,2024-01-05,2024-01-05,,edef0fe0ef08688d215cf25e365d12541c11613f
dependabot[bot],https://api.github.com/repos/GoogleContainerTools/jib/pulls/4160,https://api.github.com/repos/GoogleContainerTools/jib/issues/4160,closed,2023-12-28,2024-01-15,,a203a69bb79a95cf4375957679e756b7903dda6d
mpeddada1,https://api.github.com/repos/GoogleContainerTools/jib/pulls/4159,https://api.github.com/repos/GoogleContainerTools/jib/issues/4159,open,2023-12-21,2023-12-21,,15b656aba1c51dcbc1f1a0a43393efbc3eced03d
dependabot[bot],https://api.github.com/repos/GoogleContainerTools/jib/pulls/4157,https://api.github.com/repos/GoogleContainerTools/jib/issues/4157,open,2023-12-15,2024-02-23,,37ae1232a2b7d6a83c5ea4144a75a8323c4466cf
loosebazooka,https://api.github.com/repos/GoogleContainerTools/jib/pulls/4156,https://api.github.com/repos/GoogleContainerTools/jib/issues/4156,open,2023-12-14,2023-12-14,,3be1c68e63864a099e1571404327aea00945610c
dependabot[bot],https://api.github.com/repos/GoogleContainerTools/jib/pulls/4152,https://api.github.com/repos/GoogleContainerTools/jib/issues/4152,closed,2023-12-01,2023-12-28,,b7b01a9d27e7f1c075718e35f45301aa15b7a5b5
