user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
jasoniangreen,https://api.github.com/repos/ajv-validator/ajv/pulls/2390,https://api.github.com/repos/ajv-validator/ajv/issues/2390,open,2024-03-03,2024-03-03,,834e6a78ad44f1d2aa93db45aaedb8144b3a0956
benasher44,https://api.github.com/repos/ajv-validator/ajv/pulls/2389,https://api.github.com/repos/ajv-validator/ajv/issues/2389,open,2024-03-01,2024-03-03,,132c14ce4762bc3cf6b0aba4a8cdddbbdfec1cbb
jasoniangreen,https://api.github.com/repos/ajv-validator/ajv/pulls/2385,https://api.github.com/repos/ajv-validator/ajv/issues/2385,open,2024-02-25,2024-03-03,,0075b06acbb09e659a8b48f77dbf4170ce457a49
jasoniangreen,https://api.github.com/repos/ajv-validator/ajv/pulls/2383,https://api.github.com/repos/ajv-validator/ajv/issues/2383,closed,2024-02-18,2024-02-23,2024-02-23,95218d3327d2eb12a4dc5d0c8c74e840b1be7015
jasoniangreen,https://api.github.com/repos/ajv-validator/ajv/pulls/2382,https://api.github.com/repos/ajv-validator/ajv/issues/2382,closed,2024-02-18,2024-02-23,2024-02-23,0ca87765912aa12cb54f30d393eda31ad1dfd606
jasoniangreen,https://api.github.com/repos/ajv-validator/ajv/pulls/2380,https://api.github.com/repos/ajv-validator/ajv/issues/2380,closed,2024-02-16,2024-02-18,2024-02-18,e6d38cc40197aa0f711a6ff70563eccc8bbaef69
jasoniangreen,https://api.github.com/repos/ajv-validator/ajv/pulls/2379,https://api.github.com/repos/ajv-validator/ajv/issues/2379,closed,2024-02-15,2024-02-16,2024-02-16,3f8b64410dbc3e8a507b64afee2c8132209ab727
jasoniangreen,https://api.github.com/repos/ajv-validator/ajv/pulls/2378,https://api.github.com/repos/ajv-validator/ajv/issues/2378,closed,2024-02-14,2024-02-16,,27fb91dc33b59721397d367179a7f05f44612940
kibertoad,https://api.github.com/repos/ajv-validator/ajv/pulls/2377,https://api.github.com/repos/ajv-validator/ajv/issues/2377,open,2024-02-09,2024-02-22,,35114287e053112edc42c8055c6c33c270a3d6c6
jarqvi,https://api.github.com/repos/ajv-validator/ajv/pulls/2373,https://api.github.com/repos/ajv-validator/ajv/issues/2373,open,2024-01-28,2024-02-25,,04136d76848d21766585c71bd0270909991cc2b5
laurens,https://api.github.com/repos/ajv-validator/ajv/pulls/2366,https://api.github.com/repos/ajv-validator/ajv/issues/2366,closed,2024-01-10,2024-02-27,2024-02-27,27178f544fa8b037589f3e04055682b530e8c853
benasher44,https://api.github.com/repos/ajv-validator/ajv/pulls/2365,https://api.github.com/repos/ajv-validator/ajv/issues/2365,open,2024-01-08,2024-03-01,,d8c20bb64d5f5a5b8cb743f2c54a61234a13c50c
dsanders11,https://api.github.com/repos/ajv-validator/ajv/pulls/2362,https://api.github.com/repos/ajv-validator/ajv/issues/2362,open,2023-12-29,2024-02-27,,9864b0e9c419c40acb93766b2f1e2c444af27db5
swachter,https://api.github.com/repos/ajv-validator/ajv/pulls/2359,https://api.github.com/repos/ajv-validator/ajv/issues/2359,open,2023-12-20,2023-12-20,,1e530dbba92b185028f7c7386e665b57460262dc
egfx-notifications,https://api.github.com/repos/ajv-validator/ajv/pulls/2357,https://api.github.com/repos/ajv-validator/ajv/issues/2357,closed,2023-12-20,2024-02-22,,1d81317669725e8fe55f65578171c7a62495737d
egfx-notifications,https://api.github.com/repos/ajv-validator/ajv/pulls/2356,https://api.github.com/repos/ajv-validator/ajv/issues/2356,closed,2023-12-20,2024-02-16,2024-02-16,c0a130d7e5cc2e78c199520629fe25c6646f0163
cj-christoph-gysin,https://api.github.com/repos/ajv-validator/ajv/pulls/2352,https://api.github.com/repos/ajv-validator/ajv/issues/2352,open,2023-12-07,2023-12-07,,d4c1ec15e79ee3999be250a67ec96a4f7dfd4160
slont,https://api.github.com/repos/ajv-validator/ajv/pulls/2341,https://api.github.com/repos/ajv-validator/ajv/issues/2341,closed,2023-10-23,2023-10-23,,5055864582b2d1c301df0190f259d81612e13820
Sachin-chaurasiya,https://api.github.com/repos/ajv-validator/ajv/pulls/2336,https://api.github.com/repos/ajv-validator/ajv/issues/2336,open,2023-10-16,2023-10-26,,4bc7408a9dfd97fab8f614707e452454e20c3d5f
LDT-dream,https://api.github.com/repos/ajv-validator/ajv/pulls/2325,https://api.github.com/repos/ajv-validator/ajv/issues/2325,open,2023-08-31,2023-08-31,,cfb044ab309547887b0810efecbecc4273c17a31
erikbrinkman,https://api.github.com/repos/ajv-validator/ajv/pulls/2316,https://api.github.com/repos/ajv-validator/ajv/issues/2316,open,2023-07-29,2023-07-30,,7e8ce4a7c5340bd95ec0ae2d517f4442df00fa54
NitantP,https://api.github.com/repos/ajv-validator/ajv/pulls/2308,https://api.github.com/repos/ajv-validator/ajv/issues/2308,open,2023-07-20,2023-07-21,,60f6b69f086869f39c4863c9a9b68938541fdde4
wetneb,https://api.github.com/repos/ajv-validator/ajv/pulls/2305,https://api.github.com/repos/ajv-validator/ajv/issues/2305,open,2023-07-13,2024-02-24,,2770f23371100a6f384f7030a50a608416383154
vwong,https://api.github.com/repos/ajv-validator/ajv/pulls/2297,https://api.github.com/repos/ajv-validator/ajv/issues/2297,open,2023-06-27,2023-06-28,,547120808a356553e120fe95c355a6e07199f4b2
z6n9n,https://api.github.com/repos/ajv-validator/ajv/pulls/2263,https://api.github.com/repos/ajv-validator/ajv/issues/2263,open,2023-05-01,2024-03-01,,f1408a11cc56cdb94c396e88277049d356669d0e
z6n9n,https://api.github.com/repos/ajv-validator/ajv/pulls/2262,https://api.github.com/repos/ajv-validator/ajv/issues/2262,open,2023-05-01,2024-02-28,,a42442eb68be3e181a3a40203a63abba8d994a88
dependabot[bot],https://api.github.com/repos/ajv-validator/ajv/pulls/2252,https://api.github.com/repos/ajv-validator/ajv/issues/2252,open,2023-04-05,2023-08-28,,6137da4dfacd64c3bf87282291453e9b602aa233
dependabot[bot],https://api.github.com/repos/ajv-validator/ajv/pulls/2250,https://api.github.com/repos/ajv-validator/ajv/issues/2250,open,2023-04-03,2023-08-28,,e023f712f76b5a5ba12dcc525ca0b903a79378ce
dependabot[bot],https://api.github.com/repos/ajv-validator/ajv/pulls/2247,https://api.github.com/repos/ajv-validator/ajv/issues/2247,open,2023-03-31,2023-08-28,,0ea10d93d44831eb55a36bb49d67abb448567601
dependabot[bot],https://api.github.com/repos/ajv-validator/ajv/pulls/2244,https://api.github.com/repos/ajv-validator/ajv/issues/2244,closed,2023-03-23,2023-04-03,,4a1714d1d22c73bcc6c0802ad6ae3a50ebdafb60
dependabot[bot],https://api.github.com/repos/ajv-validator/ajv/pulls/2243,https://api.github.com/repos/ajv-validator/ajv/issues/2243,closed,2023-03-21,2023-03-23,,436abdb79b43790d6aeea8d8136ba3c480461a8f
