user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
renovate[bot],https://api.github.com/repos/babel/babel/pulls/16328,https://api.github.com/repos/babel/babel/issues/16328,open,2024-03-05,2024-03-05,,ac1fb2bea1af4a5da91d1fe1b4f0ffb108e42afc
liuxingbaoyu,https://api.github.com/repos/babel/babel/pulls/16327,https://api.github.com/repos/babel/babel/issues/16327,closed,2024-03-05,2024-03-05,2024-03-05,40110e9d707e2b2b81f6e2b99820722a7014132a
liuxingbaoyu,https://api.github.com/repos/babel/babel/pulls/16326,https://api.github.com/repos/babel/babel/issues/16326,open,2024-03-05,2024-03-05,,fc3a8dc7bbd0dec54daa93438dda197b181c4c92
JLHwung,https://api.github.com/repos/babel/babel/pulls/16325,https://api.github.com/repos/babel/babel/issues/16325,open,2024-03-05,2024-03-05,,489d0495fe1a72d4e58307a5da5ceb62739e4e88
liuxingbaoyu,https://api.github.com/repos/babel/babel/pulls/16323,https://api.github.com/repos/babel/babel/issues/16323,open,2024-03-01,2024-03-01,,0041f72a6f0cd79964cc28ced3d3c53fea5c54c8
babel-bot,https://api.github.com/repos/babel/babel/pulls/16322,https://api.github.com/repos/babel/babel/issues/16322,closed,2024-03-01,2024-03-01,2024-03-01,39fc34e63ac24d73d50e3be5542e8aaf6e2d40a7
nicolo-ribaudo,https://api.github.com/repos/babel/babel/pulls/16321,https://api.github.com/repos/babel/babel/issues/16321,open,2024-02-29,2024-03-05,,8a8d7b552622f5ced008e55ec030bc810d185496
JLHwung,https://api.github.com/repos/babel/babel/pulls/16320,https://api.github.com/repos/babel/babel/issues/16320,closed,2024-02-29,2024-03-01,2024-03-01,2a313fa24b13a6d1e8e4283aabaf2348c7cb3557
nicolo-ribaudo,https://api.github.com/repos/babel/babel/pulls/16319,https://api.github.com/repos/babel/babel/issues/16319,closed,2024-02-29,2024-02-29,2024-02-29,ad310c01cbdf3df00da055aac37a9bf713593e80
nicolo-ribaudo,https://api.github.com/repos/babel/babel/pulls/16318,https://api.github.com/repos/babel/babel/issues/16318,closed,2024-02-28,2024-03-01,2024-03-01,3f5aa8f9b7e917010ed5baadaefd3ea1de55f735
nicolo-ribaudo,https://api.github.com/repos/babel/babel/pulls/16317,https://api.github.com/repos/babel/babel/issues/16317,closed,2024-02-28,2024-02-28,2024-02-28,62756fea9f8c956a2cb9bd72b862ff75949f550f
liuxingbaoyu,https://api.github.com/repos/babel/babel/pulls/16313,https://api.github.com/repos/babel/babel/issues/16313,open,2024-02-28,2024-02-29,,a2ed179ed1628ddc9967e30d50999a3ccde0bf60
liuxingbaoyu,https://api.github.com/repos/babel/babel/pulls/16312,https://api.github.com/repos/babel/babel/issues/16312,closed,2024-02-28,2024-02-28,2024-02-28,3a12e201a9049560ed7373ed6e6ebe7c160476d2
nicolo-ribaudo,https://api.github.com/repos/babel/babel/pulls/16311,https://api.github.com/repos/babel/babel/issues/16311,open,2024-02-27,2024-02-27,,9da0f4dd1f107f0bd06dd533fd5cfa03188df750
nicolo-ribaudo,https://api.github.com/repos/babel/babel/pulls/16309,https://api.github.com/repos/babel/babel/issues/16309,closed,2024-02-27,2024-02-27,2024-02-27,7b1994b4fa1770b7331a468fbc1d211eb521d58c
liuxingbaoyu,https://api.github.com/repos/babel/babel/pulls/16307,https://api.github.com/repos/babel/babel/issues/16307,closed,2024-02-27,2024-02-27,2024-02-27,9905eb2ad4ec41e1195a9605568f43071111b24b
nicolo-ribaudo,https://api.github.com/repos/babel/babel/pulls/16306,https://api.github.com/repos/babel/babel/issues/16306,closed,2024-02-27,2024-02-27,2024-02-27,a5945dc74ea1af092f407906f04c23ad6f2c1007
JLHwung,https://api.github.com/repos/babel/babel/pulls/16305,https://api.github.com/repos/babel/babel/issues/16305,closed,2024-02-26,2024-02-28,2024-02-28,bd5abd5ea14a92c49ce736966382eb5c5fdbbe95
liuxingbaoyu,https://api.github.com/repos/babel/babel/pulls/16304,https://api.github.com/repos/babel/babel/issues/16304,closed,2024-02-26,2024-02-27,2024-02-27,6b5661646eef42683c37498b28d15a06c1dbd819
babel-bot,https://api.github.com/repos/babel/babel/pulls/16300,https://api.github.com/repos/babel/babel/issues/16300,closed,2024-02-23,2024-02-23,2024-02-23,5c246eaa1fe2c2bf4b56b2b0babb166215dbc132
liuxingbaoyu,https://api.github.com/repos/babel/babel/pulls/16299,https://api.github.com/repos/babel/babel/issues/16299,closed,2024-02-22,2024-02-27,2024-02-27,ccf1a67ff6d93b3ecd5be1b12378556332868aaf
liuxingbaoyu,https://api.github.com/repos/babel/babel/pulls/16297,https://api.github.com/repos/babel/babel/issues/16297,closed,2024-02-21,2024-02-26,2024-02-26,8c3f035a572cdbff5c52e2cb5611940996831301
nicolo-ribaudo,https://api.github.com/repos/babel/babel/pulls/16296,https://api.github.com/repos/babel/babel/issues/16296,closed,2024-02-21,2024-02-21,2024-02-21,458937c40473dfcfdc287c08207ba5297f27675b
nicolo-ribaudo,https://api.github.com/repos/babel/babel/pulls/16294,https://api.github.com/repos/babel/babel/issues/16294,closed,2024-02-20,2024-02-21,2024-02-21,0646bb4a669e743e74dce3caeab5e049aadcd2a9
JLHwung,https://api.github.com/repos/babel/babel/pulls/16289,https://api.github.com/repos/babel/babel/issues/16289,closed,2024-02-16,2024-02-16,,03ff483104dfb464a60e7ff9dc267399a1fd7a3d
JLHwung,https://api.github.com/repos/babel/babel/pulls/16288,https://api.github.com/repos/babel/babel/issues/16288,closed,2024-02-16,2024-02-16,2024-02-16,b36fdfc03ed4b013eddee9b64cba79c467d072b1
liuxingbaoyu,https://api.github.com/repos/babel/babel/pulls/16287,https://api.github.com/repos/babel/babel/issues/16287,closed,2024-02-16,2024-02-19,2024-02-19,6e79c0561a07fdd5f90e62ae38c7ea346740f685
babel-bot,https://api.github.com/repos/babel/babel/pulls/16286,https://api.github.com/repos/babel/babel/issues/16286,closed,2024-02-16,2024-02-16,2024-02-16,bf3d314880f48d3cbe99dcb08eeb1e742b9b67dc
liuxingbaoyu,https://api.github.com/repos/babel/babel/pulls/16284,https://api.github.com/repos/babel/babel/issues/16284,closed,2024-02-15,2024-02-27,2024-02-27,1332da5713beefef20473a45055186246bb87011
liuxingbaoyu,https://api.github.com/repos/babel/babel/pulls/16283,https://api.github.com/repos/babel/babel/issues/16283,closed,2024-02-15,2024-02-19,2024-02-19,fa48c7a125ac6b3d1c96ad35cd7a635cabb028ef
nicolo-ribaudo,https://api.github.com/repos/babel/babel/pulls/16281,https://api.github.com/repos/babel/babel/issues/16281,closed,2024-02-14,2024-02-18,2024-02-18,2061eaeb4104aaa50f327b454178c5eb75e7bd0b
JLHwung,https://api.github.com/repos/babel/babel/pulls/16280,https://api.github.com/repos/babel/babel/issues/16280,closed,2024-02-14,2024-02-14,2024-02-14,f56c8e68f6845f1f5dd9470accc815552af8e31f
JLHwung,https://api.github.com/repos/babel/babel/pulls/16279,https://api.github.com/repos/babel/babel/issues/16279,closed,2024-02-13,2024-02-14,2024-02-14,e9fd0711aa0db57d80dd776a084427c895d6c23c
liuxingbaoyu,https://api.github.com/repos/babel/babel/pulls/16278,https://api.github.com/repos/babel/babel/issues/16278,closed,2024-02-13,2024-02-14,2024-02-14,bfefe7001332ee000364a210b26afd822d17e97f
