user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
arcstur,https://api.github.com/repos/certbot/certbot/pulls/9907,https://api.github.com/repos/certbot/certbot/issues/9907,open,2024-02-28,2024-02-28,,5cabca670d632f888a8e889cf3788d642bd1bd73
Collins-Webdev,https://api.github.com/repos/certbot/certbot/pulls/9905,https://api.github.com/repos/certbot/certbot/issues/9905,closed,2024-02-22,2024-02-23,,44436beb657976ea1c28553a56b5087af860e3ed
marcokrikke,https://api.github.com/repos/certbot/certbot/pulls/9904,https://api.github.com/repos/certbot/certbot/issues/9904,open,2024-02-20,2024-02-20,,a71cf0a8d57172c599ab3cf08be189dd45c367fa
dotlambda,https://api.github.com/repos/certbot/certbot/pulls/9899,https://api.github.com/repos/certbot/certbot/issues/9899,open,2024-02-09,2024-02-09,,1d273ad6f13501520a28104e9eb2ce2f86713798
ohemorange,https://api.github.com/repos/certbot/certbot/pulls/9896,https://api.github.com/repos/certbot/certbot/issues/9896,closed,2024-02-08,2024-02-08,2024-02-08,f4e031f5055fc6bf8c87eb0b18f927f7f5ba36a8
ohemorange,https://api.github.com/repos/certbot/certbot/pulls/9895,https://api.github.com/repos/certbot/certbot/issues/9895,closed,2024-02-08,2024-02-08,2024-02-08,2844fdd74a4703bc80c200ed8d8adeca0e42ef12
bmw,https://api.github.com/repos/certbot/certbot/pulls/9893,https://api.github.com/repos/certbot/certbot/issues/9893,closed,2024-02-08,2024-02-08,2024-02-08,b8b759f1d28479deaef18cd347170ff61bf67b6e
ohemorange,https://api.github.com/repos/certbot/certbot/pulls/9891,https://api.github.com/repos/certbot/certbot/issues/9891,closed,2024-02-07,2024-02-08,2024-02-08,b7ef536ec39899de8cd36d13cf9eca1255ab9dc5
bmw,https://api.github.com/repos/certbot/certbot/pulls/9889,https://api.github.com/repos/certbot/certbot/issues/9889,closed,2024-02-07,2024-02-08,2024-02-08,8b5a017b0502016feeea95e9ecbabd068da63020
sheurich,https://api.github.com/repos/certbot/certbot/pulls/9887,https://api.github.com/repos/certbot/certbot/issues/9887,open,2024-02-06,2024-02-16,,d4c53e3bd4d0e62a4c1c3f09e3231b27b29c8e47
clarivatebrad,https://api.github.com/repos/certbot/certbot/pulls/9886,https://api.github.com/repos/certbot/certbot/issues/9886,open,2024-02-02,2024-02-02,,ce88df1939daf4cb39e1327350d1bd8888ed9515
Slm0n87,https://api.github.com/repos/certbot/certbot/pulls/9885,https://api.github.com/repos/certbot/certbot/issues/9885,closed,2024-02-01,2024-02-02,2024-02-02,282df74ee93b0631a0e9ef4b5d8de48324bb3afa
marton200472,https://api.github.com/repos/certbot/certbot/pulls/9884,https://api.github.com/repos/certbot/certbot/issues/9884,open,2024-01-30,2024-01-30,,ad592df56621ef38f93bd74c2f54493a33004b9c
lich-bot,https://api.github.com/repos/certbot/certbot/pulls/9883,https://api.github.com/repos/certbot/certbot/issues/9883,open,2024-01-24,2024-01-24,,da352928f80852104fd0b665151a128c7cc33ad9
