user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
gabe565,https://api.github.com/repos/fyne-io/fyne/pulls/4699,https://api.github.com/repos/fyne-io/fyne/issues/4699,open,2024-03-04,2024-03-04,,6ab2cee0a87ea9c9a95202e85c85663cf182fe2a
gabe565,https://api.github.com/repos/fyne-io/fyne/pulls/4698,https://api.github.com/repos/fyne-io/fyne/issues/4698,open,2024-03-04,2024-03-04,,53fcf066af8204fbd3993cf4970f53aec1f6e14c
ivoras,https://api.github.com/repos/fyne-io/fyne/pulls/4694,https://api.github.com/repos/fyne-io/fyne/issues/4694,open,2024-03-03,2024-03-04,,01af600d8465e54a327b6af053b38bc1fe4f857c
adamantike,https://api.github.com/repos/fyne-io/fyne/pulls/4693,https://api.github.com/repos/fyne-io/fyne/issues/4693,open,2024-03-03,2024-03-04,,5eec1e779a893b3ab679b1cc973227e6e9f50964
andydotxyz,https://api.github.com/repos/fyne-io/fyne/pulls/4691,https://api.github.com/repos/fyne-io/fyne/issues/4691,closed,2024-03-01,2024-03-04,2024-03-04,419da3961b940083327491345f529f0cccbd4e22
lostdusty,https://api.github.com/repos/fyne-io/fyne/pulls/4690,https://api.github.com/repos/fyne-io/fyne/issues/4690,open,2024-03-01,2024-03-01,,1e07ba7f453595ac5cbf9e2304528f8c6d79b9d2
andydotxyz,https://api.github.com/repos/fyne-io/fyne/pulls/4689,https://api.github.com/repos/fyne-io/fyne/issues/4689,open,2024-03-01,2024-03-01,,2d0fb283d2c1386cb38f32f37ee704bb58303639
andydotxyz,https://api.github.com/repos/fyne-io/fyne/pulls/4685,https://api.github.com/repos/fyne-io/fyne/issues/4685,closed,2024-02-28,2024-03-01,2024-03-01,4f9d61ba12098967e512ececa047cba0365273cd
Jacalz,https://api.github.com/repos/fyne-io/fyne/pulls/4682,https://api.github.com/repos/fyne-io/fyne/issues/4682,open,2024-02-27,2024-03-04,,5db867165f31046109f8ffc801b3a4a4bfbb1f0b
Jacalz,https://api.github.com/repos/fyne-io/fyne/pulls/4681,https://api.github.com/repos/fyne-io/fyne/issues/4681,open,2024-02-27,2024-03-01,,3a47381138c27ab81d525479d03775de7bf6ea8d
Jacalz,https://api.github.com/repos/fyne-io/fyne/pulls/4680,https://api.github.com/repos/fyne-io/fyne/issues/4680,closed,2024-02-27,2024-02-29,2024-02-29,2623683610499c1c405047e7fa0513a1807d3cb5
codesoap,https://api.github.com/repos/fyne-io/fyne/pulls/4677,https://api.github.com/repos/fyne-io/fyne/issues/4677,open,2024-02-26,2024-02-29,,2e92f8f002a5808cbd8b1b989feb1f03cfff611c
dweymouth,https://api.github.com/repos/fyne-io/fyne/pulls/4663,https://api.github.com/repos/fyne-io/fyne/issues/4663,closed,2024-02-22,2024-02-27,2024-02-27,bf0525c471c9f742ee6822ad96b5395cab076ab3
dweymouth,https://api.github.com/repos/fyne-io/fyne/pulls/4662,https://api.github.com/repos/fyne-io/fyne/issues/4662,open,2024-02-21,2024-02-21,,8184531fe83fd2e2a594b6ec84762b512da35ab0
dweymouth,https://api.github.com/repos/fyne-io/fyne/pulls/4659,https://api.github.com/repos/fyne-io/fyne/issues/4659,closed,2024-02-19,2024-02-20,2024-02-20,25d5202882d9a85f729fca28a215504ef6168950
andydotxyz,https://api.github.com/repos/fyne-io/fyne/pulls/4656,https://api.github.com/repos/fyne-io/fyne/issues/4656,open,2024-02-18,2024-03-01,,a1414daa3e987b2083f65700ca8cbd680cb2279e
codesoap,https://api.github.com/repos/fyne-io/fyne/pulls/4652,https://api.github.com/repos/fyne-io/fyne/issues/4652,closed,2024-02-18,2024-02-19,2024-02-19,858618216e8cef19a7c58c6c0b0262e6fcc4b716
codesoap,https://api.github.com/repos/fyne-io/fyne/pulls/4650,https://api.github.com/repos/fyne-io/fyne/issues/4650,closed,2024-02-18,2024-02-20,2024-02-20,29ee090ec4afc955e39fac3f9ff0bbddf0730493
Jacalz,https://api.github.com/repos/fyne-io/fyne/pulls/4649,https://api.github.com/repos/fyne-io/fyne/issues/4649,closed,2024-02-18,2024-02-23,2024-02-23,6b7246b89d98390ffbd082ea67255f3839d7af83
