user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
testwill,https://api.github.com/repos/gin-gonic/gin/pulls/3863,https://api.github.com/repos/gin-gonic/gin/issues/3863,open,2024-03-04,2024-03-04,,59027cc1182ec089237724efe3223bf685243e33
1911860538,https://api.github.com/repos/gin-gonic/gin/pulls/3859,https://api.github.com/repos/gin-gonic/gin/issues/3859,open,2024-02-29,2024-03-04,,1a6222e33d7c6c8e03d525c695beb0fbd72410e4
yashvardhan-kukreja,https://api.github.com/repos/gin-gonic/gin/pulls/3858,https://api.github.com/repos/gin-gonic/gin/issues/3858,open,2024-02-29,2024-02-29,,2b485e293a04f6aeeb055fb3c7e9216551d4d808
dependabot[bot],https://api.github.com/repos/gin-gonic/gin/pulls/3856,https://api.github.com/repos/gin-gonic/gin/issues/3856,open,2024-02-26,2024-02-26,,d80327ded3fbb4a5b0a60aa37efea37be8901ba4
demoManito,https://api.github.com/repos/gin-gonic/gin/pulls/3855,https://api.github.com/repos/gin-gonic/gin/issues/3855,open,2024-02-26,2024-02-26,,aa3103cc22f0de2a0ebb39ed5174eb9b4ee028be
sarveshhon,https://api.github.com/repos/gin-gonic/gin/pulls/3854,https://api.github.com/repos/gin-gonic/gin/issues/3854,open,2024-02-24,2024-02-24,,669618890e94c46386b557e1cd112e8cdfc5de07
milbmr,https://api.github.com/repos/gin-gonic/gin/pulls/3853,https://api.github.com/repos/gin-gonic/gin/issues/3853,open,2024-02-23,2024-02-27,,212e25dbe81711113c1dad6c8c7600118be650a1
vincentbernat,https://api.github.com/repos/gin-gonic/gin/pulls/3851,https://api.github.com/repos/gin-gonic/gin/issues/3851,open,2024-02-21,2024-02-21,,fceeb76ca96419b91829ae32347a544f225c857a
appleboy,https://api.github.com/repos/gin-gonic/gin/pulls/3848,https://api.github.com/repos/gin-gonic/gin/issues/3848,closed,2024-02-18,2024-02-19,2024-02-19,ecdbbbe9483dd12222f2085f717a2c7cb5ac55fe
evenboee,https://api.github.com/repos/gin-gonic/gin/pulls/3846,https://api.github.com/repos/gin-gonic/gin/issues/3846,closed,2024-02-17,2024-02-19,,19c3268db9392bfe3f3f613a81f58cde75e175f3
dependabot[bot],https://api.github.com/repos/gin-gonic/gin/pulls/3845,https://api.github.com/repos/gin-gonic/gin/issues/3845,closed,2024-02-12,2024-02-19,,fb60f4b3d2e9280a8e3b13c8bd28cc3413424c9b
dependabot[bot],https://api.github.com/repos/gin-gonic/gin/pulls/3844,https://api.github.com/repos/gin-gonic/gin/issues/3844,closed,2024-02-12,2024-02-19,,d125103ebd9cc97fe3c456ef18c82e68dcb94549
dependabot[bot],https://api.github.com/repos/gin-gonic/gin/pulls/3843,https://api.github.com/repos/gin-gonic/gin/issues/3843,closed,2024-02-12,2024-02-19,,abb6148f0b14aebd3f7b283df6cde0bcbbf6ac1c
appleboy,https://api.github.com/repos/gin-gonic/gin/pulls/3842,https://api.github.com/repos/gin-gonic/gin/issues/3842,closed,2024-02-12,2024-02-18,2024-02-18,000fdb3ac95c7c318440afbd98eaf60f7430a1db
ItalyPaleAle,https://api.github.com/repos/gin-gonic/gin/pulls/3841,https://api.github.com/repos/gin-gonic/gin/issues/3841,open,2024-02-11,2024-02-12,,1c7ccd6d102f14009f267bd382dce8903ab9d1dd
ab,https://api.github.com/repos/gin-gonic/gin/pulls/3839,https://api.github.com/repos/gin-gonic/gin/issues/3839,closed,2024-02-07,2024-02-07,2024-02-07,bb3519d26f52835cf00e5e430b52651a9c378c97
dependabot[bot],https://api.github.com/repos/gin-gonic/gin/pulls/3838,https://api.github.com/repos/gin-gonic/gin/issues/3838,closed,2024-02-05,2024-02-06,2024-02-06,e957d1abf13846e458956d8c97e7b7c76c7ee9a3
appleboy,https://api.github.com/repos/gin-gonic/gin/pulls/3835,https://api.github.com/repos/gin-gonic/gin/issues/3835,closed,2024-02-01,2024-02-01,2024-02-01,a64286a7760be2031209686ce4d36e99d42dd419
appleboy,https://api.github.com/repos/gin-gonic/gin/pulls/3834,https://api.github.com/repos/gin-gonic/gin/issues/3834,closed,2024-02-01,2024-02-01,2024-02-01,8ab47c694ea93fdb442b617961ce9b3171151749
chncaption,https://api.github.com/repos/gin-gonic/gin/pulls/3832,https://api.github.com/repos/gin-gonic/gin/issues/3832,closed,2024-01-31,2024-02-01,2024-02-01,4a40f8f1a49b9086b461d97e167c3b9628d8b923
dependabot[bot],https://api.github.com/repos/gin-gonic/gin/pulls/3828,https://api.github.com/repos/gin-gonic/gin/issues/3828,closed,2024-01-22,2024-02-01,,bebfbd5e5f799baca8ffec5f29787a92cc1ba565
nimrodishi,https://api.github.com/repos/gin-gonic/gin/pulls/3822,https://api.github.com/repos/gin-gonic/gin/issues/3822,closed,2024-01-10,2024-01-10,,cf79aa8cde6b65c48f7b20492d4c895cbb57abbf
nimrodishi,https://api.github.com/repos/gin-gonic/gin/pulls/3821,https://api.github.com/repos/gin-gonic/gin/issues/3821,closed,2024-01-10,2024-01-10,,cec91c64b40c7ca1b0d09817f8d74742fe59fefb
