user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
riskingh,https://api.github.com/repos/google/wire/pulls/402,https://api.github.com/repos/google/wire/issues/402,closed,2024-02-08,2024-02-08,,b57637a6d103a8aa3fb1af09d9dc3b10d7c7433d
toddtreece,https://api.github.com/repos/google/wire/pulls/401,https://api.github.com/repos/google/wire/issues/401,closed,2024-02-07,2024-02-07,2024-02-07,e57deea2f8bbe2386b756f2555e02de33e20a3f0
ProgrammingMuffin,https://api.github.com/repos/google/wire/pulls/397,https://api.github.com/repos/google/wire/issues/397,open,2023-12-15,2024-02-26,,41838c65158ea937aed3a2ec1e695c88f1f4ee5b
danielcondemarin,https://api.github.com/repos/google/wire/pulls/393,https://api.github.com/repos/google/wire/issues/393,closed,2023-09-26,2023-09-26,,5ae3799a40d1c80ddb5336a1d51d0f36b87bc981
danielcondemarin,https://api.github.com/repos/google/wire/pulls/391,https://api.github.com/repos/google/wire/issues/391,closed,2023-09-23,2023-09-24,,1c0a0140d1ec6db74229dafefc86878a23c86edd
taichimaeda,https://api.github.com/repos/google/wire/pulls/390,https://api.github.com/repos/google/wire/issues/390,closed,2023-09-18,2023-09-18,,e27a1e60b09c62ca63b1e5385fec2e679f2fb69e
Huoxi-any,https://api.github.com/repos/google/wire/pulls/388,https://api.github.com/repos/google/wire/issues/388,open,2023-09-05,2023-09-05,,6558072b01996c47ad1e75811bce99fca4577e67
aqaurius6666,https://api.github.com/repos/google/wire/pulls/385,https://api.github.com/repos/google/wire/issues/385,open,2023-07-10,2023-07-10,,09c3c610c5e308407f1ef501f7f4cd2aa8ba2d84
giautm,https://api.github.com/repos/google/wire/pulls/382,https://api.github.com/repos/google/wire/issues/382,open,2023-04-21,2024-02-08,,c2e0bf172f86dc0e12e4881b94cbf12a9f4827ba
dependabot[bot],https://api.github.com/repos/google/wire/pulls/380,https://api.github.com/repos/google/wire/issues/380,open,2023-02-25,2023-02-25,,fce223d2169fbd3de2f19f6c167927dc1779601d
px3303,https://api.github.com/repos/google/wire/pulls/372,https://api.github.com/repos/google/wire/issues/372,open,2022-08-24,2022-08-24,,06c3f29f691934266d6eab17453ecae999799096
psi59,https://api.github.com/repos/google/wire/pulls/368,https://api.github.com/repos/google/wire/issues/368,closed,2022-07-17,2023-05-26,,78aeb04d0793781fb7263318479879eab234db4a
tusharsoni,https://api.github.com/repos/google/wire/pulls/367,https://api.github.com/repos/google/wire/issues/367,closed,2022-07-03,2024-02-04,,2448c054f702971840e18b9655b4e6a86018219b
stytchiz,https://api.github.com/repos/google/wire/pulls/365,https://api.github.com/repos/google/wire/issues/365,closed,2022-06-20,2022-12-12,2022-06-20,0675cdc9191c85b3aeb6bc2529e7e28263d7e202
cglotr,https://api.github.com/repos/google/wire/pulls/363,https://api.github.com/repos/google/wire/issues/363,open,2022-06-11,2022-09-25,,1119b09b88e509709774406455e317add19b42bf
efueyo,https://api.github.com/repos/google/wire/pulls/360,https://api.github.com/repos/google/wire/issues/360,closed,2022-05-19,2022-06-20,2022-06-20,4aee85e4cee22a1d7ff1734b8bf7a26c1a215501
reillywatson,https://api.github.com/repos/google/wire/pulls/359,https://api.github.com/repos/google/wire/issues/359,open,2022-05-10,2022-05-10,,f7aa041747769c913a020900e26964f9c47d3ac0
wirekang,https://api.github.com/repos/google/wire/pulls/357,https://api.github.com/repos/google/wire/issues/357,closed,2022-04-22,2022-05-27,2022-05-27,79660af94317b9c466adc39f27f469f1079c779b
anthonyfok,https://api.github.com/repos/google/wire/pulls/356,https://api.github.com/repos/google/wire/issues/356,open,2022-04-12,2023-04-21,,ac99b993b2c703c8f2abc58d5f16f58e8d8845b8
giautm,https://api.github.com/repos/google/wire/pulls/353,https://api.github.com/repos/google/wire/issues/353,closed,2022-03-30,2023-03-27,2022-05-27,f5e937daa903d897e925a8cd6fdc12566cd7e4c5
Sam-Burns,https://api.github.com/repos/google/wire/pulls/347,https://api.github.com/repos/google/wire/issues/347,open,2022-02-26,2022-02-26,,bd62f733a66ccde17ef77b71615c3f6a847ac309
Codexiaoyi,https://api.github.com/repos/google/wire/pulls/345,https://api.github.com/repos/google/wire/issues/345,open,2022-01-26,2022-01-29,,b45b403b3b3e48f509b43ea3f33c6fa3e89a2959
leozz37,https://api.github.com/repos/google/wire/pulls/343,https://api.github.com/repos/google/wire/issues/343,open,2022-01-18,2022-01-18,,2e6ac59a03728c21c5b6594a416a70bebb6e97ef
lkebin,https://api.github.com/repos/google/wire/pulls/342,https://api.github.com/repos/google/wire/issues/342,closed,2022-01-17,2022-08-15,,116f59d9c80023897bab3a10053554948db770c9
dtomasi,https://api.github.com/repos/google/wire/pulls/340,https://api.github.com/repos/google/wire/issues/340,closed,2022-01-11,2023-04-15,,5da7828e41e1a3000dc1f094395f833b39458218
rsc,https://api.github.com/repos/google/wire/pulls/339,https://api.github.com/repos/google/wire/issues/339,closed,2022-01-06,2022-01-07,2022-01-07,9d78e0ad8cbeb6716fa6bdbca689bdb9ce0e8fe8
rexposadas,https://api.github.com/repos/google/wire/pulls/336,https://api.github.com/repos/google/wire/issues/336,open,2021-12-24,2021-12-24,,a0745798e796f5f9ec367e6e7a28f36250ec752e
apapsch,https://api.github.com/repos/google/wire/pulls/335,https://api.github.com/repos/google/wire/issues/335,open,2021-12-22,2021-12-22,,c460f9772d0c6bfdbc6b57a6e592177f4eb09012
dgolub,https://api.github.com/repos/google/wire/pulls/331,https://api.github.com/repos/google/wire/issues/331,open,2021-10-27,2021-11-11,,616fd29f5a00447ee31d79da48e7560f55be44ee
tdakkota,https://api.github.com/repos/google/wire/pulls/330,https://api.github.com/repos/google/wire/issues/330,open,2021-10-25,2021-10-25,,61208ba642f8cff85f7f0c404fbdd3127f694e86
koolay,https://api.github.com/repos/google/wire/pulls/329,https://api.github.com/repos/google/wire/issues/329,open,2021-10-19,2021-10-19,,2f4e9014fb051c24de04179501d7755c0afa5928
Code-Hex,https://api.github.com/repos/google/wire/pulls/326,https://api.github.com/repos/google/wire/issues/326,closed,2021-10-07,2022-11-03,,71501934b2232a4bdaaaaea1caabaa4c43a3f3ab
ranxx,https://api.github.com/repos/google/wire/pulls/324,https://api.github.com/repos/google/wire/issues/324,open,2021-09-17,2021-09-17,,a2a5f77717ce0a6c8a0e893ffff374b47f34e21e
huasx,https://api.github.com/repos/google/wire/pulls/322,https://api.github.com/repos/google/wire/issues/322,open,2021-09-07,2021-09-10,,fdce1ecfcad67f783beac066e446b8301dd5de28
huasx,https://api.github.com/repos/google/wire/pulls/321,https://api.github.com/repos/google/wire/issues/321,closed,2021-09-07,2021-09-07,,bc297b78c3a55b7e9c0f6e9a5999671ac0ddedf1
eliben,https://api.github.com/repos/google/wire/pulls/317,https://api.github.com/repos/google/wire/issues/317,closed,2021-08-31,2021-08-31,2021-08-31,2f70a008e2446b941cdeadb751ed6979ec49a29c
vangent,https://api.github.com/repos/google/wire/pulls/316,https://api.github.com/repos/google/wire/issues/316,closed,2021-08-31,2021-08-31,2021-08-31,3b6fb78a3fe4be519cebdd2469248b7cd8676ee1
vangent,https://api.github.com/repos/google/wire/pulls/315,https://api.github.com/repos/google/wire/issues/315,closed,2021-08-30,2021-08-30,2021-08-30,7e8af290485e932fe094c10f084c8f8df0c96d93
vangent,https://api.github.com/repos/google/wire/pulls/314,https://api.github.com/repos/google/wire/issues/314,closed,2021-08-30,2021-08-30,2021-08-30,233b341f94f2977f584e6bbbc3cb3660dcece516
vangent,https://api.github.com/repos/google/wire/pulls/313,https://api.github.com/repos/google/wire/issues/313,closed,2021-08-30,2021-08-30,2021-08-30,3fd3a427dd3f6aadd39c358d7266ece11e0f3b6d
vangent,https://api.github.com/repos/google/wire/pulls/312,https://api.github.com/repos/google/wire/issues/312,closed,2021-08-30,2021-08-30,2021-08-30,ae4e74aa6b9e49db3d5379be9d4775d62824f2f8
vangent,https://api.github.com/repos/google/wire/pulls/311,https://api.github.com/repos/google/wire/issues/311,closed,2021-08-30,2021-08-30,,1389670a351c4835a687bc05b440e59c4c5d1a62
vangent,https://api.github.com/repos/google/wire/pulls/310,https://api.github.com/repos/google/wire/issues/310,closed,2021-08-30,2021-08-30,2021-08-30,8b20581338ae25def597310313636a508b089c1c
vangent,https://api.github.com/repos/google/wire/pulls/309,https://api.github.com/repos/google/wire/issues/309,closed,2021-08-30,2021-08-30,2021-08-30,737d4615ed6064bb949e4cfa2ead194f8d2dec2c
vangent,https://api.github.com/repos/google/wire/pulls/308,https://api.github.com/repos/google/wire/issues/308,closed,2021-08-30,2021-08-30,2021-08-30,e23bb7109a344e77fceff6f9013bca55996808fe
vangent,https://api.github.com/repos/google/wire/pulls/307,https://api.github.com/repos/google/wire/issues/307,closed,2021-08-30,2021-08-30,2021-08-30,cb1364cdf16a6af6c6b181805f3f4d06b0177eab
mmorel-35,https://api.github.com/repos/google/wire/pulls/302,https://api.github.com/repos/google/wire/issues/302,closed,2021-08-09,2021-08-23,,372b6df78189239b91de3e309bd7e65d2174b73f
muyizixiu,https://api.github.com/repos/google/wire/pulls/298,https://api.github.com/repos/google/wire/issues/298,open,2021-06-14,2021-06-14,,cda99186845d1e0bb490ad105a4cb5633435bf7f
sysulq,https://api.github.com/repos/google/wire/pulls/297,https://api.github.com/repos/google/wire/issues/297,closed,2021-06-13,2021-06-13,,9bab0f7477c1097f81bb369e2a5049145e873b67
sin5th,https://api.github.com/repos/google/wire/pulls/295,https://api.github.com/repos/google/wire/issues/295,closed,2021-05-31,2021-05-31,,669f0c791efc4a1ea305cdc3604832dda8f7dd79
dabbertorres,https://api.github.com/repos/google/wire/pulls/285,https://api.github.com/repos/google/wire/issues/285,open,2021-04-22,2021-08-21,,56f93775e59992f05ebc6a685ca0a06a3cd069fd
natsuboy,https://api.github.com/repos/google/wire/pulls/284,https://api.github.com/repos/google/wire/issues/284,closed,2021-03-26,2021-04-02,,d012ffcad6c0adf430a744653c87f0ea8a804a90
vangent,https://api.github.com/repos/google/wire/pulls/281,https://api.github.com/repos/google/wire/issues/281,closed,2021-02-16,2021-02-17,2021-02-17,d07cde0df9c5edd46e05e21d29eb315e0b452cbc
jmillikin-stripe,https://api.github.com/repos/google/wire/pulls/279,https://api.github.com/repos/google/wire/issues/279,closed,2021-02-09,2021-02-24,,c16d3257117098a176744761304adf5be549d752
insidieux,https://api.github.com/repos/google/wire/pulls/278,https://api.github.com/repos/google/wire/issues/278,closed,2021-01-21,2021-01-26,,c2b5dc87f072347ee4affd540fc2d521693012bb
kzh125,https://api.github.com/repos/google/wire/pulls/277,https://api.github.com/repos/google/wire/issues/277,closed,2021-01-05,2021-01-26,2021-01-26,0ac845078ca01a1755571c53d7a8e7995b96e40d
zombiezen,https://api.github.com/repos/google/wire/pulls/273,https://api.github.com/repos/google/wire/issues/273,closed,2020-12-08,2020-12-09,2020-12-09,19bf7dafc5ff6522361358bea40736efd5095e2e
dmayle,https://api.github.com/repos/google/wire/pulls/271,https://api.github.com/repos/google/wire/issues/271,closed,2020-12-07,2021-01-26,,8577a8adbd25afb2d632c70dc3359f7fa17e5875
steebchen,https://api.github.com/repos/google/wire/pulls/268,https://api.github.com/repos/google/wire/issues/268,closed,2020-12-04,2021-01-26,2021-01-26,a58291c0b81576a6abe9702e597508e3be8bc80e
zombiezen,https://api.github.com/repos/google/wire/pulls/267,https://api.github.com/repos/google/wire/issues/267,closed,2020-11-28,2020-11-29,2020-11-29,d3585c5243e2b95cf9ede872d61a5034b555b942
eliben,https://api.github.com/repos/google/wire/pulls/264,https://api.github.com/repos/google/wire/issues/264,closed,2020-11-04,2020-11-04,2020-11-04,31708f3b2ee087e1a3d671a83e9b9e2dbe52b5b3
mwlazlo,https://api.github.com/repos/google/wire/pulls/261,https://api.github.com/repos/google/wire/issues/261,closed,2020-08-26,2020-08-26,,c779eabe323e3908caf90f8c01cd352061cae0b0
yashigani,https://api.github.com/repos/google/wire/pulls/255,https://api.github.com/repos/google/wire/issues/255,closed,2020-07-04,2020-07-04,2020-07-04,8d4ff5b1ae44f1f9b838d12aa603360c7af321ab
ghost,https://api.github.com/repos/google/wire/pulls/254,https://api.github.com/repos/google/wire/issues/254,closed,2020-06-11,2020-06-11,2020-06-11,4d5ab743af5c9fcce91fe18cb0f21be77bba111a
mwlazlo,https://api.github.com/repos/google/wire/pulls/252,https://api.github.com/repos/google/wire/issues/252,closed,2020-06-08,2020-07-09,2020-07-09,523d8fbe880bb310a188d472bccc0cef939c45b8
AdamKorcz,https://api.github.com/repos/google/wire/pulls/250,https://api.github.com/repos/google/wire/issues/250,closed,2020-06-03,2020-07-09,,8626ac54c99a74351ed0955988f4911032414a49
ernado,https://api.github.com/repos/google/wire/pulls/249,https://api.github.com/repos/google/wire/issues/249,closed,2020-05-18,2020-05-24,2020-05-24,978b7803d3d9add9e5845b7a0933f72b5d0cac55
wolfogre,https://api.github.com/repos/google/wire/pulls/248,https://api.github.com/repos/google/wire/issues/248,closed,2020-05-04,2020-05-04,2020-05-04,ff891bb6d87210f007cc770c077278020c68df4b
zeromake,https://api.github.com/repos/google/wire/pulls/245,https://api.github.com/repos/google/wire/issues/245,closed,2020-04-01,2020-04-04,,33183e720bceb76932eacf86b9afb314295bd4d2
dsxack,https://api.github.com/repos/google/wire/pulls/240,https://api.github.com/repos/google/wire/issues/240,closed,2020-02-18,2020-02-28,,a3bae4084c74c8bca492d5521bfc0382e65df3f3
ernado,https://api.github.com/repos/google/wire/pulls/239,https://api.github.com/repos/google/wire/issues/239,closed,2020-01-28,2020-01-31,,6aba75d47abe72177205681799d37a102d438bcc
dmitris,https://api.github.com/repos/google/wire/pulls/236,https://api.github.com/repos/google/wire/issues/236,closed,2020-01-08,2020-01-14,2020-01-10,fda113507a5479ee9f8afc6a4b6101244ebc7c0f
Clivern,https://api.github.com/repos/google/wire/pulls/228,https://api.github.com/repos/google/wire/issues/228,closed,2019-12-09,2019-12-11,2019-12-11,578b29ef42c1970b9853962dd1c4308fd7eb5387
zombiezen,https://api.github.com/repos/google/wire/pulls/223,https://api.github.com/repos/google/wire/issues/223,closed,2019-11-24,2019-11-27,2019-11-27,b730ad0fbf3e090612dd8ecf9f6228c8e9388391
zombiezen,https://api.github.com/repos/google/wire/pulls/220,https://api.github.com/repos/google/wire/issues/220,closed,2019-11-10,2019-11-11,2019-11-11,a5347c86bc64b3197959d0ed8bb902dfa17c38b8
zombiezen,https://api.github.com/repos/google/wire/pulls/218,https://api.github.com/repos/google/wire/issues/218,closed,2019-10-25,2019-10-25,2019-10-25,0d3b2ebd4aa5d6ebb8f5e9ea4e6b65cf637e383e
eliben,https://api.github.com/repos/google/wire/pulls/217,https://api.github.com/repos/google/wire/issues/217,closed,2019-10-04,2019-10-05,2019-10-05,f240b7ac70dd9bf46e5cb32f099f7f095633c344
josgilmo,https://api.github.com/repos/google/wire/pulls/213,https://api.github.com/repos/google/wire/issues/213,closed,2019-09-16,2019-09-25,2019-09-25,55a93fac1149d924aefa60866249a915468a8b70
vangent,https://api.github.com/repos/google/wire/pulls/212,https://api.github.com/repos/google/wire/issues/212,closed,2019-09-05,2019-09-05,2019-09-05,f85ec5c4a6841dd862bc4b7064e17ddef2811416
vangent,https://api.github.com/repos/google/wire/pulls/210,https://api.github.com/repos/google/wire/issues/210,closed,2019-09-04,2019-09-05,2019-09-05,c385f07c5d5b75e7eb81d1ca0f3505f19996f10b
vangent,https://api.github.com/repos/google/wire/pulls/209,https://api.github.com/repos/google/wire/issues/209,closed,2019-08-27,2019-09-03,2019-09-03,2b7d1205a17fe740404ddcba69fd806de0f4eb05
a8m,https://api.github.com/repos/google/wire/pulls/203,https://api.github.com/repos/google/wire/issues/203,closed,2019-07-16,2019-07-16,2019-07-16,66f78fc84606af0a8c4fa6bff8cebc488f1c0f86
eliben,https://api.github.com/repos/google/wire/pulls/199,https://api.github.com/repos/google/wire/issues/199,closed,2019-06-18,2019-06-18,2019-06-18,2f518a0d93e74fe01feae08ab4de62e664668a86
shantuo,https://api.github.com/repos/google/wire/pulls/198,https://api.github.com/repos/google/wire/issues/198,closed,2019-06-18,2019-06-18,2019-06-18,8c5af0eafa7ca976c3047b3e75dd0d6125b21e69
shantuo,https://api.github.com/repos/google/wire/pulls/197,https://api.github.com/repos/google/wire/issues/197,closed,2019-06-17,2019-06-18,2019-06-18,89cb901fdf9dfcf4292cbfe0c9ac90d98213be68
shantuo,https://api.github.com/repos/google/wire/pulls/195,https://api.github.com/repos/google/wire/issues/195,closed,2019-06-07,2019-06-11,2019-06-11,93b1ce745f8df27e20d69c9f78edae5247b5cc79
vangent,https://api.github.com/repos/google/wire/pulls/190,https://api.github.com/repos/google/wire/issues/190,closed,2019-05-29,2019-07-12,2019-05-29,b5d7d7864be4d7f4521e1cd5c74e46ae588c3171
vangent,https://api.github.com/repos/google/wire/pulls/186,https://api.github.com/repos/google/wire/issues/186,closed,2019-05-28,2019-05-29,2019-05-29,89bcaa23b9c8c97aa42f0cbf03803d6f499c6023
u5surf,https://api.github.com/repos/google/wire/pulls/181,https://api.github.com/repos/google/wire/issues/181,closed,2019-05-20,2019-06-03,2019-06-03,000df02f3d88562158e6ea669674d18d5ac41a76
zombiezen,https://api.github.com/repos/google/wire/pulls/177,https://api.github.com/repos/google/wire/issues/177,closed,2019-05-16,2019-05-16,2019-05-16,7d9ac45bea3442399f8806971d77afd17a98947d
vangent,https://api.github.com/repos/google/wire/pulls/175,https://api.github.com/repos/google/wire/issues/175,closed,2019-05-14,2019-05-16,2019-05-16,fe016541749767cf17789c9079961539e1ba5907
vangent,https://api.github.com/repos/google/wire/pulls/174,https://api.github.com/repos/google/wire/issues/174,closed,2019-05-13,2019-05-14,2019-05-14,c1be6ec0d8bfd4d0b83b3ea5a4a02f1ed0d7b481
vangent,https://api.github.com/repos/google/wire/pulls/173,https://api.github.com/repos/google/wire/issues/173,closed,2019-05-13,2019-05-14,2019-05-14,d76a979091d43d0ef3b61a05d2e367c664c515d7
vangent,https://api.github.com/repos/google/wire/pulls/167,https://api.github.com/repos/google/wire/issues/167,closed,2019-05-08,2019-05-10,2019-05-10,c1a359a7cafc2df5587321ef7fe3391ed7f383f5
shantuo,https://api.github.com/repos/google/wire/pulls/163,https://api.github.com/repos/google/wire/issues/163,closed,2019-05-03,2019-05-17,2019-05-17,cbfca74d8aab1cd313cfc183106aabe45e9b5c7a
jan-hajek,https://api.github.com/repos/google/wire/pulls/162,https://api.github.com/repos/google/wire/issues/162,closed,2019-05-02,2019-05-02,2019-05-02,2183ee4806cf1878e136fea26f06f9abef9375b6
shantuo,https://api.github.com/repos/google/wire/pulls/159,https://api.github.com/repos/google/wire/issues/159,closed,2019-04-26,2019-05-17,2019-05-17,ed1f30e1e8cc03225f15f4bb986f870c4c6dd394
shantuo,https://api.github.com/repos/google/wire/pulls/158,https://api.github.com/repos/google/wire/issues/158,closed,2019-04-23,2019-04-23,2019-04-23,d079521b6f51b37b7592b53d311f19d324a17e1a
vangent,https://api.github.com/repos/google/wire/pulls/156,https://api.github.com/repos/google/wire/issues/156,closed,2019-04-23,2019-04-23,2019-04-23,63cf8b9f27f4b0260f77e344354a0af983224201
shantuo,https://api.github.com/repos/google/wire/pulls/155,https://api.github.com/repos/google/wire/issues/155,closed,2019-04-19,2019-04-23,2019-04-23,b1c66a196d2983b0be2a05e14898f046c05fa645
shantuo,https://api.github.com/repos/google/wire/pulls/152,https://api.github.com/repos/google/wire/issues/152,closed,2019-04-11,2019-04-13,2019-04-13,e9e631cd71543a71285b5bacca14fca392c30721
shantuo,https://api.github.com/repos/google/wire/pulls/147,https://api.github.com/repos/google/wire/issues/147,closed,2019-03-19,2019-03-28,2019-03-28,65ae46b7eaa146e99673e290251ea26f28139362
shantuo,https://api.github.com/repos/google/wire/pulls/143,https://api.github.com/repos/google/wire/issues/143,closed,2019-03-06,2019-03-07,2019-03-07,aeaafca1a604de78994015be769bb4de48baf923
shantuo,https://api.github.com/repos/google/wire/pulls/142,https://api.github.com/repos/google/wire/issues/142,closed,2019-03-01,2019-03-01,2019-03-01,3f9f9c736313b879ec7d627c5202b53a3e2d8d73
shantuo,https://api.github.com/repos/google/wire/pulls/141,https://api.github.com/repos/google/wire/issues/141,closed,2019-02-28,2019-03-01,2019-03-01,58e5de342ae1286a6e20c4f674e96b8413e29325
shantuo,https://api.github.com/repos/google/wire/pulls/138,https://api.github.com/repos/google/wire/issues/138,closed,2019-02-27,2019-03-01,2019-03-01,327f42724cffcbb216a55a815f5c7600a24e76b3
vangent,https://api.github.com/repos/google/wire/pulls/137,https://api.github.com/repos/google/wire/issues/137,closed,2019-02-25,2019-12-13,2019-02-25,5a138ef49870c31f8082812ddb0aa11ad660a5ce
vangent,https://api.github.com/repos/google/wire/pulls/136,https://api.github.com/repos/google/wire/issues/136,closed,2019-02-25,2019-02-25,2019-02-25,aa93d6ea07e9eeca6b01f7eb220201488b26cfd2
vangent,https://api.github.com/repos/google/wire/pulls/135,https://api.github.com/repos/google/wire/issues/135,closed,2019-02-25,2019-02-25,2019-02-25,79169020743e764633543a49ce57a5ada7a31d4a
