user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
Dokter3228,https://api.github.com/repos/ianstormtaylor/slate/pulls/5614,https://api.github.com/repos/ianstormtaylor/slate/issues/5614,closed,2024-03-04,2024-03-04,,4e093803871d65ccad3dc7c31281dca78a6086b9
lujunji4113,https://api.github.com/repos/ianstormtaylor/slate/pulls/5609,https://api.github.com/repos/ianstormtaylor/slate/issues/5609,closed,2024-02-23,2024-02-27,2024-02-26,2fba2d93a1dabb93cf34b9ddfcc0244804cdeefb
dependabot[bot],https://api.github.com/repos/ianstormtaylor/slate/pulls/5607,https://api.github.com/repos/ianstormtaylor/slate/issues/5607,closed,2024-02-20,2024-02-25,2024-02-25,528e164b55bc7440681431f692c431cbb69e78d8
I-Iege,https://api.github.com/repos/ianstormtaylor/slate/pulls/5606,https://api.github.com/repos/ianstormtaylor/slate/issues/5606,closed,2024-02-14,2024-02-14,,0971956e2760cf9be9edebaf1345980d5af9c6c7
github-actions[bot],https://api.github.com/repos/ianstormtaylor/slate/pulls/5602,https://api.github.com/repos/ianstormtaylor/slate/issues/5602,closed,2024-02-07,2024-02-07,2024-02-07,b04b7e0e98aebf5558ed44bdad3149cdba61812b
CaptainCrouton89,https://api.github.com/repos/ianstormtaylor/slate/pulls/5598,https://api.github.com/repos/ianstormtaylor/slate/issues/5598,closed,2024-01-29,2024-02-09,2024-02-09,f0f477226402e8200a35c7244a637437a332e6c1
sunsheeppoplar,https://api.github.com/repos/ianstormtaylor/slate/pulls/5596,https://api.github.com/repos/ianstormtaylor/slate/issues/5596,closed,2024-01-24,2024-01-29,2024-01-28,cd93871ae69721f7361e17e8b28feab004a9c855
github-actions[bot],https://api.github.com/repos/ianstormtaylor/slate/pulls/5595,https://api.github.com/repos/ianstormtaylor/slate/issues/5595,closed,2024-01-24,2024-01-24,2024-01-24,f5253cdd4a8623f59ab1ee39e799877bb137681f
12joan,https://api.github.com/repos/ianstormtaylor/slate/pulls/5593,https://api.github.com/repos/ianstormtaylor/slate/issues/5593,closed,2024-01-22,2024-01-24,2024-01-24,54594d0f81627166d72c97256203c4b5642a82ff
ssshiiin,https://api.github.com/repos/ianstormtaylor/slate/pulls/5591,https://api.github.com/repos/ianstormtaylor/slate/issues/5591,closed,2024-01-15,2024-01-15,,3ede493b3a1c7cfa58fa8428f5138df5f8d983b4
ssshiiin,https://api.github.com/repos/ianstormtaylor/slate/pulls/5590,https://api.github.com/repos/ianstormtaylor/slate/issues/5590,closed,2024-01-15,2024-01-15,,6b28b065848ea4b4e17ca749e5ed9826d2d29faf
dependabot[bot],https://api.github.com/repos/ianstormtaylor/slate/pulls/5589,https://api.github.com/repos/ianstormtaylor/slate/issues/5589,closed,2024-01-11,2024-01-11,2024-01-11,8f2ad02db32f348eb9499e8db1e46d1b705d4d5d
Elvin7CF,https://api.github.com/repos/ianstormtaylor/slate/pulls/5584,https://api.github.com/repos/ianstormtaylor/slate/issues/5584,closed,2023-12-19,2023-12-21,2023-12-21,884ab4249485e5930f1f79abb939bf375ffd47c0
github-actions[bot],https://api.github.com/repos/ianstormtaylor/slate/pulls/5583,https://api.github.com/repos/ianstormtaylor/slate/issues/5583,closed,2023-12-16,2023-12-22,2023-12-22,cee8e7e421eaaf24567532507dfdd5f343a04f2b
github-actions[bot],https://api.github.com/repos/ianstormtaylor/slate/pulls/5581,https://api.github.com/repos/ianstormtaylor/slate/issues/5581,closed,2023-12-13,2023-12-13,2023-12-13,92a0cb3c7c09110ac6d4463cfa307d1e7c2bf768
