user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
aaharu,https://api.github.com/repos/ladjs/supertest/pulls/832,https://api.github.com/repos/ladjs/supertest/issues/832,open,2024-02-27,2024-02-27,,e230662398f851a1eddd99c58ddc73bd6b765eae
9renpoto,https://api.github.com/repos/ladjs/supertest/pulls/828,https://api.github.com/repos/ladjs/supertest/issues/828,closed,2023-12-08,2024-01-14,2024-01-14,0ff9c02d83253d26fee67e2032bad381aec8c60f
yunnysunny,https://api.github.com/repos/ladjs/supertest/pulls/821,https://api.github.com/repos/ladjs/supertest/issues/821,closed,2023-04-13,2023-04-14,2023-04-13,c1b8f9da7b58a5ffe6bf6a1b5056435a21d3c365
lamweili,https://api.github.com/repos/ladjs/supertest/pulls/818,https://api.github.com/repos/ladjs/supertest/issues/818,closed,2023-02-21,2023-02-21,2023-02-21,25920e7a1d246b590123417bfce33221db88e947
siddtheone,https://api.github.com/repos/ladjs/supertest/pulls/814,https://api.github.com/repos/ladjs/supertest/issues/814,closed,2023-01-25,2024-01-14,2024-01-14,6b41374e9891beeab5655f6832797eea8a1eb6b2
Jaykingamez,https://api.github.com/repos/ladjs/supertest/pulls/813,https://api.github.com/repos/ladjs/supertest/issues/813,closed,2023-01-25,2024-01-15,,60886fdf44893fda6ccd58d82cd1ffa5a838450d
dependabot[bot],https://api.github.com/repos/ladjs/supertest/pulls/811,https://api.github.com/repos/ladjs/supertest/issues/811,closed,2023-01-24,2024-01-14,2024-01-14,37017b3678c8f440867495e5bc89c6ebe04ecfd6
shernshiou,https://api.github.com/repos/ladjs/supertest/pulls/810,https://api.github.com/repos/ladjs/supertest/issues/810,closed,2023-01-24,2024-01-14,,8c86c9c1fe7a74a5ab0606d8604472e4090b82aa
dependabot[bot],https://api.github.com/repos/ladjs/supertest/pulls/809,https://api.github.com/repos/ladjs/supertest/issues/809,closed,2023-01-08,2023-01-18,,39285e672c4b4a91517cc3f8c7dc331cb30d21fb
lamweili,https://api.github.com/repos/ladjs/supertest/pulls/795,https://api.github.com/repos/ladjs/supertest/issues/795,closed,2022-10-03,2022-10-04,2022-10-04,a225e954ad2198186aceee49cdcddc7f26eecd3a
lamweili,https://api.github.com/repos/ladjs/supertest/pulls/794,https://api.github.com/repos/ladjs/supertest/issues/794,closed,2022-10-03,2022-10-04,2022-10-04,fa129dc6f106c0ce0852e2cef7f49f000f33317a
lamweili,https://api.github.com/repos/ladjs/supertest/pulls/793,https://api.github.com/repos/ladjs/supertest/issues/793,closed,2022-10-03,2022-10-04,2022-10-04,22b89b6516bc771ceca1d4d0ae132fec0e4ad7de
lamweili,https://api.github.com/repos/ladjs/supertest/pulls/792,https://api.github.com/repos/ladjs/supertest/issues/792,closed,2022-10-03,2022-10-03,2022-10-03,b8c2e299cbeefa553faca60125a36fe8ac415c47
lamweili,https://api.github.com/repos/ladjs/supertest/pulls/791,https://api.github.com/repos/ladjs/supertest/issues/791,closed,2022-10-03,2022-10-03,2022-10-03,1c8930d2b1e904af8f5c6a567c232d45ef881bc1
jmccure,https://api.github.com/repos/ladjs/supertest/pulls/774,https://api.github.com/repos/ladjs/supertest/issues/774,closed,2022-04-22,2022-10-03,2022-10-03,ba4b43b52b75d378e83548b9d528258bea39950f
