user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
kostasx,https://api.github.com/repos/mojs/mojs/pulls/277,https://api.github.com/repos/mojs/mojs/issues/277,closed,2023-12-26,2023-12-26,,
xavierfoucrier,https://api.github.com/repos/mojs/mojs/pulls/274,https://api.github.com/repos/mojs/mojs/issues/274,closed,2023-07-15,2023-07-17,2023-07-17,4e99ed9d2e099576ab21d155a849b8fd884fd571
dependabot[bot],https://api.github.com/repos/mojs/mojs/pulls/254,https://api.github.com/repos/mojs/mojs/issues/254,closed,2021-04-01,2021-04-01,,664e116a92a254e2b00796e815dc3a1f9dfac740
Sandstedt,https://api.github.com/repos/mojs/mojs/pulls/249,https://api.github.com/repos/mojs/mojs/issues/249,closed,2021-01-10,2021-01-10,2021-01-10,7a97654f8c61c87c64a67cc40bdf3f3f2cd300fe
xavierfoucrier,https://api.github.com/repos/mojs/mojs/pulls/248,https://api.github.com/repos/mojs/mojs/issues/248,closed,2020-12-10,2021-03-24,2021-03-24,ef9143d0ff23afee582fd684a6cf4b91392dd5d4
Sandstedt,https://api.github.com/repos/mojs/mojs/pulls/247,https://api.github.com/repos/mojs/mojs/issues/247,closed,2020-12-02,2020-12-30,2020-12-30,66673e94fae4502b4d9e6a3304b38c0682faf325
xavierfoucrier,https://api.github.com/repos/mojs/mojs/pulls/245,https://api.github.com/repos/mojs/mojs/issues/245,closed,2020-10-13,2021-03-24,2020-10-14,0166c5ef6106c800819983af876df760da3c3af4
H3RSKO,https://api.github.com/repos/mojs/mojs/pulls/242,https://api.github.com/repos/mojs/mojs/issues/242,closed,2020-08-17,2020-08-25,,9fc6e3d8f57aa635838c1fe9e35b5e44d427816d
xavierfoucrier,https://api.github.com/repos/mojs/mojs/pulls/241,https://api.github.com/repos/mojs/mojs/issues/241,closed,2020-07-22,2020-10-13,2020-10-13,b50da473fed7910b90dfaab6234c09c7236946ae
Sandstedt,https://api.github.com/repos/mojs/mojs/pulls/240,https://api.github.com/repos/mojs/mojs/issues/240,closed,2020-07-10,2020-10-14,2020-10-14,9e2f3d90cb6d1352937442acf6b8c2a57e657196
xavierfoucrier,https://api.github.com/repos/mojs/mojs/pulls/239,https://api.github.com/repos/mojs/mojs/issues/239,closed,2020-05-27,2020-07-08,2020-07-08,00190b129412e8c0474b55de083bb03d88ba5515
xavierfoucrier,https://api.github.com/repos/mojs/mojs/pulls/238,https://api.github.com/repos/mojs/mojs/issues/238,closed,2020-04-27,2020-04-30,2020-04-30,3e646fed95bc7d3784cb373f107431885b19c809
Sandstedt,https://api.github.com/repos/mojs/mojs/pulls/234,https://api.github.com/repos/mojs/mojs/issues/234,closed,2020-03-08,2020-03-09,2020-03-09,715fc8cc6420d58ce5ebd2df0f3ac01359221a00
thirschel,https://api.github.com/repos/mojs/mojs/pulls/224,https://api.github.com/repos/mojs/mojs/issues/224,closed,2020-02-09,2020-08-04,,24ee84385d99b92807c2e823ebba063a8fb6444e
Sandstedt,https://api.github.com/repos/mojs/mojs/pulls/215,https://api.github.com/repos/mojs/mojs/issues/215,closed,2019-07-11,2019-09-04,2019-07-12,74af6e8b441df044cd1919b8faa00c3e844361b1
xavierfoucrier,https://api.github.com/repos/mojs/mojs/pulls/214,https://api.github.com/repos/mojs/mojs/issues/214,closed,2019-07-01,2019-07-01,2019-07-01,aedc39004276389825e5ae5044c3474d88248cdd
Sandstedt,https://api.github.com/repos/mojs/mojs/pulls/210,https://api.github.com/repos/mojs/mojs/issues/210,closed,2019-04-30,2019-04-30,2019-04-30,e3595f2706aab3bc07db5926568104724f0411c5
xavierfoucrier,https://api.github.com/repos/mojs/mojs/pulls/209,https://api.github.com/repos/mojs/mojs/issues/209,closed,2019-03-21,2019-03-21,2019-03-21,291cee8795bb3498fc9bdb4dfe638141012fe2d0
xavierfoucrier,https://api.github.com/repos/mojs/mojs/pulls/208,https://api.github.com/repos/mojs/mojs/issues/208,closed,2019-03-18,2019-03-18,2019-03-18,7bb5a0dcb5479eb343c3e81483af3bcfcd466f69
and,https://api.github.com/repos/mojs/mojs/pulls/202,https://api.github.com/repos/mojs/mojs/issues/202,closed,2019-01-14,2019-03-18,2019-03-18,9bd67de8a03d8cfb68ccb82b6f7f1e044290441f
DanielRuf,https://api.github.com/repos/mojs/mojs/pulls/186,https://api.github.com/repos/mojs/mojs/issues/186,closed,2018-04-19,2020-04-04,,58474e12c7b9a665cc620052a6456da4a3870e6c
codetriage-readme-bot,https://api.github.com/repos/mojs/mojs/pulls/181,https://api.github.com/repos/mojs/mojs/issues/181,closed,2018-02-26,2019-03-18,,f595cdf3ec6d20289400a8c8dda889493ac8b422
kostasx,https://api.github.com/repos/mojs/mojs/pulls/176,https://api.github.com/repos/mojs/mojs/issues/176,closed,2017-12-31,2019-03-18,2019-03-18,c37e98dcdabc01c815e0eca2748e3e992877e5ee
xavierfoucrier,https://api.github.com/repos/mojs/mojs/pulls/173,https://api.github.com/repos/mojs/mojs/issues/173,closed,2017-12-21,2019-03-18,,b3c1c12d13951b0a9c92520f33b3c387e77ee681
DanielRuf,https://api.github.com/repos/mojs/mojs/pulls/165,https://api.github.com/repos/mojs/mojs/issues/165,closed,2017-10-21,2019-03-18,,421ce75bb8681a4e2055398a324ff6573a14a6fb
DanielRuf,https://api.github.com/repos/mojs/mojs/pulls/164,https://api.github.com/repos/mojs/mojs/issues/164,closed,2017-10-21,2019-03-19,2019-03-18,459a91c2e4b1dcc44b342acdfed69e1920d1ce02
tgrecojs,https://api.github.com/repos/mojs/mojs/pulls/155,https://api.github.com/repos/mojs/mojs/issues/155,closed,2017-10-09,2019-03-18,,09f2e4062c1952f88d910cce94c6d00bd80343c9
Daerik,https://api.github.com/repos/mojs/mojs/pulls/152,https://api.github.com/repos/mojs/mojs/issues/152,closed,2017-09-11,2019-07-05,,e0fa0fe0e302792fe0025408b45ef96ca5473b1c
indolering,https://api.github.com/repos/mojs/mojs/pulls/151,https://api.github.com/repos/mojs/mojs/issues/151,closed,2017-09-04,2019-03-26,2019-03-18,2a84a19680e70b9ae817c52ca5d5ad21df5d7e92
LukasDrgon,https://api.github.com/repos/mojs/mojs/pulls/150,https://api.github.com/repos/mojs/mojs/issues/150,closed,2017-09-04,2019-03-18,2019-03-18,f7db10e1a24c2d0904e32647e0888dcec9c61086
SudoCat,https://api.github.com/repos/mojs/mojs/pulls/146,https://api.github.com/repos/mojs/mojs/issues/146,closed,2017-07-13,2017-09-05,2017-08-30,b051d161afa82c814dcd854d97c0dc810e8bce64
