user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
SourceR85,https://api.github.com/repos/pouchdb/pouchdb/pulls/8871,https://api.github.com/repos/pouchdb/pouchdb/issues/8871,open,2024-03-04,2024-03-04,,576c9b20147c30bca9905a50ab22167646b0af0f
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8870,https://api.github.com/repos/pouchdb/pouchdb/issues/8870,open,2024-03-04,2024-03-04,,aa85011f5190016abf4e3f3863c3509240895f1f
SourceR85,https://api.github.com/repos/pouchdb/pouchdb/pulls/8867,https://api.github.com/repos/pouchdb/pouchdb/issues/8867,open,2024-02-28,2024-03-02,,67e7d3ae472a5b7800ed7378951fc8cb69d22156
SourceR85,https://api.github.com/repos/pouchdb/pouchdb/pulls/8866,https://api.github.com/repos/pouchdb/pouchdb/issues/8866,open,2024-02-27,2024-03-05,,df35934fca26b72cea84bc297e62d94afc6a6c73
SourceR85,https://api.github.com/repos/pouchdb/pouchdb/pulls/8863,https://api.github.com/repos/pouchdb/pouchdb/issues/8863,closed,2024-02-26,2024-03-02,2024-03-02,1a064d83be300cbb52201b434b74f5285667d8d8
SourceR85,https://api.github.com/repos/pouchdb/pouchdb/pulls/8862,https://api.github.com/repos/pouchdb/pouchdb/issues/8862,closed,2024-02-26,2024-03-02,2024-03-02,340635f4fc52013eb511a355d206557510346b54
SourceR85,https://api.github.com/repos/pouchdb/pouchdb/pulls/8861,https://api.github.com/repos/pouchdb/pouchdb/issues/8861,open,2024-02-26,2024-03-05,,282bd6d3c270a09d26eef1aaec62157b2dc33e39
SourceR85,https://api.github.com/repos/pouchdb/pouchdb/pulls/8860,https://api.github.com/repos/pouchdb/pouchdb/issues/8860,open,2024-02-23,2024-03-04,,5dec3426a5783ba4cb3fdbbeb7e5c1c5df6de320
daleharvey,https://api.github.com/repos/pouchdb/pouchdb/pulls/8859,https://api.github.com/repos/pouchdb/pouchdb/issues/8859,closed,2024-02-23,2024-02-23,2024-02-23,e14c547471df732d06568775317678a9fa41a8f4
SourceR85,https://api.github.com/repos/pouchdb/pouchdb/pulls/8858,https://api.github.com/repos/pouchdb/pouchdb/issues/8858,closed,2024-02-22,2024-02-28,,e43a917517fd24c0cc2ca706024f05125e7ce962
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8857,https://api.github.com/repos/pouchdb/pouchdb/issues/8857,closed,2024-02-22,2024-03-04,2024-03-04,99a642408cf7547eaa818e65e96f224389d46f2a
SourceR85,https://api.github.com/repos/pouchdb/pouchdb/pulls/8856,https://api.github.com/repos/pouchdb/pouchdb/issues/8856,open,2024-02-19,2024-03-04,,213c27da12fdf52b2dc4b9a9d892b9bada3e58d3
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8851,https://api.github.com/repos/pouchdb/pouchdb/issues/8851,closed,2024-01-26,2024-01-29,2024-01-29,1d1a08e477b8abcfc8361875036219ea29fcda4a
SourceR85,https://api.github.com/repos/pouchdb/pouchdb/pulls/8849,https://api.github.com/repos/pouchdb/pouchdb/issues/8849,closed,2024-01-23,2024-01-31,2024-01-31,7278ae4e42e0b152a5bef3d83ee0556e17b0adc6
an9949an,https://api.github.com/repos/pouchdb/pouchdb/pulls/8847,https://api.github.com/repos/pouchdb/pouchdb/issues/8847,closed,2024-01-08,2024-01-23,2024-01-23,5ea26d55f41d236c4df65a58214ab73a222191d2
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8846,https://api.github.com/repos/pouchdb/pouchdb/issues/8846,closed,2024-01-04,2024-01-07,2024-01-07,154440f0889398c787ca0f0808e9f8c627da5973
an9949an,https://api.github.com/repos/pouchdb/pouchdb/pulls/8845,https://api.github.com/repos/pouchdb/pouchdb/issues/8845,closed,2024-01-04,2024-01-26,2024-01-26,def06b03adbf72413750d23911590a42f4d4119f
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8844,https://api.github.com/repos/pouchdb/pouchdb/issues/8844,closed,2023-12-31,2024-01-04,2024-01-04,c7054c294543b7db784d5f03bece9a8fabdd9be3
codesmith-emmy,https://api.github.com/repos/pouchdb/pouchdb/pulls/8843,https://api.github.com/repos/pouchdb/pouchdb/issues/8843,closed,2023-12-30,2024-01-23,,a3e701b8df7e4e58fec6b4970249f4d3f183dd8b
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8841,https://api.github.com/repos/pouchdb/pouchdb/issues/8841,open,2023-12-09,2024-03-04,,ed53f107f77f8c9c65727d6369d8d60c4a68c78c
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8840,https://api.github.com/repos/pouchdb/pouchdb/issues/8840,closed,2023-12-05,2024-01-07,2024-01-07,5054bf8236a33d20533c6c811af51755768ed9af
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8838,https://api.github.com/repos/pouchdb/pouchdb/issues/8838,closed,2023-12-05,2023-12-30,2023-12-30,a6b47e291ff210c05d2e767b6ca70c2eb7467e66
JMounier,https://api.github.com/repos/pouchdb/pouchdb/pulls/8837,https://api.github.com/repos/pouchdb/pouchdb/issues/8837,closed,2023-12-05,2023-12-18,2023-12-17,e90267b69a76e39c3675ddc770fdd6e6f09d5fc0
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8836,https://api.github.com/repos/pouchdb/pouchdb/issues/8836,closed,2023-12-04,2023-12-30,2023-12-30,519e33168e27f8e44eb6e56a9facdcaae2d19cea
H--o-l,https://api.github.com/repos/pouchdb/pouchdb/pulls/8834,https://api.github.com/repos/pouchdb/pouchdb/issues/8834,closed,2023-11-23,2024-02-07,2024-02-07,34cb69117931d4b520ee8d7a6208eb0f33da8ec7
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8832,https://api.github.com/repos/pouchdb/pouchdb/issues/8832,closed,2023-11-22,2023-11-23,2023-11-23,b0879cb5945e67f05198f9e88f422aec3efec539
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8831,https://api.github.com/repos/pouchdb/pouchdb/issues/8831,closed,2023-11-21,2023-11-22,2023-11-22,4a05b53659ea59a3e1167e8daeb18a44eb34b68a
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8830,https://api.github.com/repos/pouchdb/pouchdb/issues/8830,closed,2023-11-21,2023-11-22,2023-11-22,741fcc1e44b8c9c60c3b90232057892a9cc6affd
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8829,https://api.github.com/repos/pouchdb/pouchdb/issues/8829,closed,2023-11-20,2023-11-21,2023-11-21,c469b04203e93cc5e0165bfd97e15719aceda9ac
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8828,https://api.github.com/repos/pouchdb/pouchdb/issues/8828,closed,2023-11-20,2023-11-21,2023-11-21,dabd30ac84cf64b491026fa83e2b862a4106dce6
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8827,https://api.github.com/repos/pouchdb/pouchdb/issues/8827,closed,2023-11-20,2023-11-21,2023-11-21,6f3e8ab29e6c0c0107710e59b85a1bdd255d450c
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8826,https://api.github.com/repos/pouchdb/pouchdb/issues/8826,open,2023-11-20,2023-11-20,,46b648528788e3b967d6632030dee982a5ab28b0
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8825,https://api.github.com/repos/pouchdb/pouchdb/issues/8825,closed,2023-11-20,2024-01-25,2024-01-25,75070d6c1cf67f04fc4aa5ebef810aa07af23138
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8824,https://api.github.com/repos/pouchdb/pouchdb/issues/8824,closed,2023-11-19,2024-01-25,2024-01-25,366e86a4c77fad6623471faf1730b617172b861f
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8823,https://api.github.com/repos/pouchdb/pouchdb/issues/8823,closed,2023-11-17,2023-11-22,2023-11-22,dc97aedf449a94b87f074f3aa975b5412415706a
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8822,https://api.github.com/repos/pouchdb/pouchdb/issues/8822,closed,2023-11-16,2023-11-19,2023-11-19,a480a5253cfaa03fd62c948b0ee2cf73d473123b
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8821,https://api.github.com/repos/pouchdb/pouchdb/issues/8821,open,2023-11-16,2024-03-04,,b061d7fcca721553008901a0a2a36877282762f7
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8818,https://api.github.com/repos/pouchdb/pouchdb/issues/8818,closed,2023-11-07,2023-11-08,2023-11-08,26e339609ad392e642dd921cdd4e93731d2f18ff
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8817,https://api.github.com/repos/pouchdb/pouchdb/issues/8817,closed,2023-11-07,2023-11-08,2023-11-08,9618a0429406b2742670b214451c8fe920a9e064
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8816,https://api.github.com/repos/pouchdb/pouchdb/issues/8816,closed,2023-11-07,2024-01-31,,cbf48f4820ac095962f0f7ca0bb595d92624a41e
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8815,https://api.github.com/repos/pouchdb/pouchdb/issues/8815,closed,2023-11-07,2023-11-07,2023-11-07,102a1e39efafa31ca1d21fc8f73ef2c950f4dd3b
SCdF,https://api.github.com/repos/pouchdb/pouchdb/pulls/8812,https://api.github.com/repos/pouchdb/pouchdb/issues/8812,closed,2023-10-30,2023-10-31,2023-10-31,c91d5eae36e40a618f5cdbe3489a3f7912ed36a6
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8809,https://api.github.com/repos/pouchdb/pouchdb/issues/8809,closed,2023-10-25,2023-10-25,2023-10-25,04a1735cef289c2dd6f4dd05b6e65ae6bfac1267
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8807,https://api.github.com/repos/pouchdb/pouchdb/issues/8807,closed,2023-10-25,2023-11-01,2023-11-01,d9ee8e0f502561937fd827de45fc3cdf06d2c63d
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8805,https://api.github.com/repos/pouchdb/pouchdb/issues/8805,closed,2023-10-23,2024-01-26,2024-01-26,d1f6cddabba2bf27a9a3165e4000d2f630e712c1
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8804,https://api.github.com/repos/pouchdb/pouchdb/issues/8804,closed,2023-10-23,2023-11-22,2023-11-22,15cd6a03bc9888991b4904d2be793273aa50bdb7
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8802,https://api.github.com/repos/pouchdb/pouchdb/issues/8802,closed,2023-10-23,2023-11-08,2023-11-08,a630555f9ab7164f4c442b11a016479f3cf9b20f
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8801,https://api.github.com/repos/pouchdb/pouchdb/issues/8801,open,2023-10-20,2023-10-24,,1387752fb161649cf81d6e27005c6f895355e8a8
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8800,https://api.github.com/repos/pouchdb/pouchdb/issues/8800,closed,2023-10-19,2023-10-19,2023-10-19,1c697dc27ff5ebf1341a7e19eb2aa6cd68bc158f
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8798,https://api.github.com/repos/pouchdb/pouchdb/issues/8798,closed,2023-10-19,2023-11-06,2023-11-06,bae22f1aa594e0f1c777d0f292d9fd1e5990d7ec
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8797,https://api.github.com/repos/pouchdb/pouchdb/issues/8797,closed,2023-10-19,2023-10-20,2023-10-20,70bd2afcdc908bc4cb964dde15544ca1eb1f1654
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8796,https://api.github.com/repos/pouchdb/pouchdb/issues/8796,closed,2023-10-19,2023-10-19,2023-10-19,288714dcc3fea36466d934dfcabfa9a46b80cd2d
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8795,https://api.github.com/repos/pouchdb/pouchdb/issues/8795,closed,2023-10-18,2023-10-19,2023-10-19,74d295079191c3928c49685b6a6d484d3079ea20
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8794,https://api.github.com/repos/pouchdb/pouchdb/issues/8794,closed,2023-10-16,2023-11-01,2023-11-01,14a566f2e7bb780c1af37fd468f419f029a0adc5
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8793,https://api.github.com/repos/pouchdb/pouchdb/issues/8793,closed,2023-10-16,2023-10-16,2023-10-16,1e69c31b7c2dd434e60ab713c44883884c1bd0d8
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8792,https://api.github.com/repos/pouchdb/pouchdb/issues/8792,closed,2023-10-16,2023-10-17,2023-10-17,2b6219afa9b75a036362ca6e1b00e3593e704b9e
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8791,https://api.github.com/repos/pouchdb/pouchdb/issues/8791,closed,2023-10-16,2023-11-01,2023-11-01,85ec16ca145a78f153b34759197432cbf7a966c5
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8790,https://api.github.com/repos/pouchdb/pouchdb/issues/8790,closed,2023-10-16,2023-10-16,2023-10-16,10d9edc749129465b13b7a90384afaf20056ad4e
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8789,https://api.github.com/repos/pouchdb/pouchdb/issues/8789,closed,2023-10-15,2023-10-16,,a120fd36f5df3bc522e730b6670680393ec0a6b3
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8787,https://api.github.com/repos/pouchdb/pouchdb/issues/8787,closed,2023-10-12,2023-10-14,2023-10-14,9f01e63766299310d011b81298d0e84bfcae3cab
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8786,https://api.github.com/repos/pouchdb/pouchdb/issues/8786,closed,2023-10-11,2023-10-14,2023-10-14,99f20e52016c311251ab1df2f3b58e503f7e3449
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8785,https://api.github.com/repos/pouchdb/pouchdb/issues/8785,closed,2023-10-11,2023-10-12,2023-10-12,105b735f66f566acbbb2515c541cc8227b71070b
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8784,https://api.github.com/repos/pouchdb/pouchdb/issues/8784,closed,2023-10-11,2023-10-12,2023-10-12,48bef766b529a684b2c726f43a4f4164e36fe135
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8783,https://api.github.com/repos/pouchdb/pouchdb/issues/8783,closed,2023-10-11,2023-10-12,2023-10-12,e3a5f83e44d3f0f7574bcbab6d4c86ef2625378e
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8782,https://api.github.com/repos/pouchdb/pouchdb/issues/8782,closed,2023-10-11,2023-10-15,2023-10-15,2f5a5f668590f4518ac03266388f7d3ef825274f
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8781,https://api.github.com/repos/pouchdb/pouchdb/issues/8781,closed,2023-10-11,2023-10-12,2023-10-12,72a9b94c26c4bf41e4b8e7cb36941edf7e72f361
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8780,https://api.github.com/repos/pouchdb/pouchdb/issues/8780,closed,2023-10-11,2023-10-16,2023-10-16,43e6160af35c94564056ea4ce0c7148f80bd0e22
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8779,https://api.github.com/repos/pouchdb/pouchdb/issues/8779,closed,2023-10-11,2023-10-14,2023-10-14,4f45948f53bd100e7c3365eee1e9adb10ce993f5
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8777,https://api.github.com/repos/pouchdb/pouchdb/issues/8777,closed,2023-10-10,2023-11-08,2023-11-08,24e6400bd705752189e7030afe58b1a0b270f2bf
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8776,https://api.github.com/repos/pouchdb/pouchdb/issues/8776,closed,2023-10-10,2023-11-06,2023-11-06,b8a298528b0ecf179467c1cfe63863d631aa67a1
SourceR85,https://api.github.com/repos/pouchdb/pouchdb/pulls/8775,https://api.github.com/repos/pouchdb/pouchdb/issues/8775,closed,2023-10-09,2023-11-01,2023-11-01,60bf1021bb7725308291a9078c574f073b8d5dc9
alxndrsn,https://api.github.com/repos/pouchdb/pouchdb/pulls/8773,https://api.github.com/repos/pouchdb/pouchdb/issues/8773,closed,2023-10-09,2023-10-11,2023-10-11,2b05059497ff0e05b9cab7fd8765ac1432139177
