user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
renovate[bot],https://api.github.com/repos/trpc/trpc/pulls/5543,https://api.github.com/repos/trpc/trpc/issues/5543,closed,2024-03-05,2024-03-05,2024-03-05,80aa50aa6f241a8057999d329a71c6fe63e51f75
nicu-chiciuc,https://api.github.com/repos/trpc/trpc/pulls/5542,https://api.github.com/repos/trpc/trpc/issues/5542,closed,2024-03-04,2024-03-05,2024-03-05,da2cec3e4ef0f119b92c56440f159a531f8e563b
renovate[bot],https://api.github.com/repos/trpc/trpc/pulls/5539,https://api.github.com/repos/trpc/trpc/issues/5539,closed,2024-03-04,2024-03-04,2024-03-04,ceb1b4dea3473ce3efd43ec3c82f348f2cf3c739
dalechyn,https://api.github.com/repos/trpc/trpc/pulls/5537,https://api.github.com/repos/trpc/trpc/issues/5537,open,2024-03-04,2024-03-04,,9b327f235b5bddcddf1732dcf6272fe53cd981a3
overra,https://api.github.com/repos/trpc/trpc/pulls/5536,https://api.github.com/repos/trpc/trpc/issues/5536,open,2024-03-04,2024-03-04,,9d6ce35503b19a317d29e5d15db0bbb4f27568d1
KATT,https://api.github.com/repos/trpc/trpc/pulls/5533,https://api.github.com/repos/trpc/trpc/issues/5533,closed,2024-03-02,2024-03-04,2024-03-03,0a3c261bd712dd84bf19c6d378a0ea92e1674e1a
mat-sz,https://api.github.com/repos/trpc/trpc/pulls/5532,https://api.github.com/repos/trpc/trpc/issues/5532,closed,2024-03-02,2024-03-04,2024-03-02,1724978f1aa05be40413cd7ca0859b74d6971b68
juliusmarminge,https://api.github.com/repos/trpc/trpc/pulls/5531,https://api.github.com/repos/trpc/trpc/issues/5531,open,2024-03-02,2024-03-02,,eed159e78e4bee154e2a820954181cc02628451b
KATT,https://api.github.com/repos/trpc/trpc/pulls/5527,https://api.github.com/repos/trpc/trpc/issues/5527,closed,2024-03-01,2024-03-02,2024-03-01,cdf215127a172e497468dec04acb8ea12e840e84
KATT,https://api.github.com/repos/trpc/trpc/pulls/5526,https://api.github.com/repos/trpc/trpc/issues/5526,closed,2024-03-01,2024-03-02,2024-03-01,95ed0a569aa4ba8a0a5867f7df92f746f0d11f15
brian-bourdon,https://api.github.com/repos/trpc/trpc/pulls/5525,https://api.github.com/repos/trpc/trpc/issues/5525,closed,2024-02-29,2024-03-02,2024-02-29,3d8650c65001fb5acfff388a30c8510b302974e0
Jaaneek,https://api.github.com/repos/trpc/trpc/pulls/5523,https://api.github.com/repos/trpc/trpc/issues/5523,open,2024-02-29,2024-03-04,,81f63b77603865e3dfa32e002311ff92b5497e39
KATT,https://api.github.com/repos/trpc/trpc/pulls/5520,https://api.github.com/repos/trpc/trpc/issues/5520,closed,2024-02-29,2024-03-01,2024-02-29,2486831f7c6b8718c474b152a5396b2d854408b9
ergusto,https://api.github.com/repos/trpc/trpc/pulls/5518,https://api.github.com/repos/trpc/trpc/issues/5518,closed,2024-02-27,2024-03-01,2024-02-29,04fded9cb96087c8656d62c3e8a785e356ea7264
brian-bourdon,https://api.github.com/repos/trpc/trpc/pulls/5516,https://api.github.com/repos/trpc/trpc/issues/5516,closed,2024-02-26,2024-03-01,2024-02-29,7fa5c443266d525f5742596c1cfa4683fa30dc2a
renovate[bot],https://api.github.com/repos/trpc/trpc/pulls/5513,https://api.github.com/repos/trpc/trpc/issues/5513,closed,2024-02-25,2024-02-26,2024-02-25,466e6ca1de358a2ce99a6a57d5711bb11a772371
Nick-Lucas,https://api.github.com/repos/trpc/trpc/pulls/5512,https://api.github.com/repos/trpc/trpc/issues/5512,closed,2024-02-24,2024-03-01,,416c1532d6a87e9cf98f7c101a91a2813c5317c9
ergusto,https://api.github.com/repos/trpc/trpc/pulls/5510,https://api.github.com/repos/trpc/trpc/issues/5510,closed,2024-02-22,2024-02-24,2024-02-23,e37efadc0b3004b57142277e44c6fe61066173ed
ahkhanjani,https://api.github.com/repos/trpc/trpc/pulls/5509,https://api.github.com/repos/trpc/trpc/issues/5509,open,2024-02-22,2024-02-22,,8fb662939719bafd6855c9f37656e872b0bb6e22
decs,https://api.github.com/repos/trpc/trpc/pulls/5507,https://api.github.com/repos/trpc/trpc/issues/5507,closed,2024-02-22,2024-02-23,2024-02-22,1e32ff91b8a63ea770da928d02c253a4b5d6693e
KATT,https://api.github.com/repos/trpc/trpc/pulls/5506,https://api.github.com/repos/trpc/trpc/issues/5506,closed,2024-02-21,2024-03-01,2024-02-29,20872e248cdc4fac08db26c6a5882610bbe2e58a
renovate[bot],https://api.github.com/repos/trpc/trpc/pulls/5501,https://api.github.com/repos/trpc/trpc/issues/5501,closed,2024-02-20,2024-02-21,2024-02-20,955d2af08b91c91feb4de589c5c616280a451fbe
jeffberry,https://api.github.com/repos/trpc/trpc/pulls/5500,https://api.github.com/repos/trpc/trpc/issues/5500,open,2024-02-19,2024-03-02,,f6aa1b94a8bdcc7ba658e8983d793356dd50bbc8
renovate[bot],https://api.github.com/repos/trpc/trpc/pulls/5499,https://api.github.com/repos/trpc/trpc/issues/5499,closed,2024-02-19,2024-02-21,,f1480e0a07d557bc715b582abfb4d9d5e9d68611
KATT,https://api.github.com/repos/trpc/trpc/pulls/5498,https://api.github.com/repos/trpc/trpc/issues/5498,open,2024-02-19,2024-03-03,,f1ff720d5fd9ca135e33194df36e71fbe8d8d1ab
ymc9,https://api.github.com/repos/trpc/trpc/pulls/5497,https://api.github.com/repos/trpc/trpc/issues/5497,open,2024-02-19,2024-02-19,,3b084f436c1fe0e95f52fa3f8bd497c27511421a
jonnelaaglandwinder,https://api.github.com/repos/trpc/trpc/pulls/5496,https://api.github.com/repos/trpc/trpc/issues/5496,open,2024-02-19,2024-02-19,,6f211e6d9e5d71c6ea3828715d0ada8de3ca890f
KATT,https://api.github.com/repos/trpc/trpc/pulls/5494,https://api.github.com/repos/trpc/trpc/issues/5494,closed,2024-02-18,2024-02-19,2024-02-18,f0e545ebb96a61bf9177bdd3a807ee89be84554d
dBianchii,https://api.github.com/repos/trpc/trpc/pulls/5491,https://api.github.com/repos/trpc/trpc/issues/5491,closed,2024-02-17,2024-02-18,2024-02-17,eaaff36b86e2c172524fafe1f394088cc4fd9c00
KATT,https://api.github.com/repos/trpc/trpc/pulls/5489,https://api.github.com/repos/trpc/trpc/issues/5489,open,2024-02-16,2024-03-03,,08d110942f6337312c50343ab4a8b059316c0275
