user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
WltrMrks4S,https://api.github.com/repos/winsw/winsw/pulls/1075,https://api.github.com/repos/winsw/winsw/issues/1075,open,2024-02-06,2024-02-06,,fcc57945009b3085eb6b3f5513019f9c8019d679
ghost1face,https://api.github.com/repos/winsw/winsw/pulls/1068,https://api.github.com/repos/winsw/winsw/issues/1068,open,2023-12-19,2023-12-19,,1e179157f7f07654fcd15be989264b4c29d7800d
sisrfeng,https://api.github.com/repos/winsw/winsw/pulls/1053,https://api.github.com/repos/winsw/winsw/issues/1053,open,2023-08-20,2023-08-20,,45fb4cdaeb4f50d9b4382d6b412e301241d9c0df
YiuRULE,https://api.github.com/repos/winsw/winsw/pulls/1045,https://api.github.com/repos/winsw/winsw/issues/1045,open,2023-06-30,2023-06-30,,21ed5e186d2c4baf8430961636aed068b2bae785
YiuRULE,https://api.github.com/repos/winsw/winsw/pulls/1044,https://api.github.com/repos/winsw/winsw/issues/1044,open,2023-06-30,2023-09-28,,27f4e1ca17d0c2054a958c8e2b05a4b22ccf4671
g-chauvel,https://api.github.com/repos/winsw/winsw/pulls/1040,https://api.github.com/repos/winsw/winsw/issues/1040,open,2023-06-12,2023-06-12,,50d0d8f87fc1127c7a6283de993cb0e140e1c807
g-chauvel,https://api.github.com/repos/winsw/winsw/pulls/1039,https://api.github.com/repos/winsw/winsw/issues/1039,open,2023-06-12,2023-06-12,,1605db8dd0fe5d61200d583cdd95970a3db91011
dependabot[bot],https://api.github.com/repos/winsw/winsw/pulls/1036,https://api.github.com/repos/winsw/winsw/issues/1036,open,2023-04-14,2023-04-14,,89ab199aac32ec431a927eda610b207a997c6629
dependabot[bot],https://api.github.com/repos/winsw/winsw/pulls/1035,https://api.github.com/repos/winsw/winsw/issues/1035,closed,2023-04-13,2023-04-14,,37478d4d191f30534b2c18a495dd768adadf9a5d
dependabot[bot],https://api.github.com/repos/winsw/winsw/pulls/1032,https://api.github.com/repos/winsw/winsw/issues/1032,closed,2023-03-24,2023-04-13,,9fe0758c8acc0836daef6d968af299a2415024fc
dependabot[bot],https://api.github.com/repos/winsw/winsw/pulls/1030,https://api.github.com/repos/winsw/winsw/issues/1030,closed,2023-03-16,2023-03-24,,bb93ca1aa6c8927850f761fa90b9b127551bd180
valainisgt,https://api.github.com/repos/winsw/winsw/pulls/1028,https://api.github.com/repos/winsw/winsw/issues/1028,open,2023-03-14,2023-03-14,,26f22e714fc0145157a3a16fe428d8abbe13b8d3
dependabot[bot],https://api.github.com/repos/winsw/winsw/pulls/1026,https://api.github.com/repos/winsw/winsw/issues/1026,open,2023-03-13,2023-03-13,,0c17cf160a42c3750736ce0dfd9d61d3aab6ce2d
dependabot[bot],https://api.github.com/repos/winsw/winsw/pulls/1025,https://api.github.com/repos/winsw/winsw/issues/1025,open,2023-03-13,2023-03-13,,2518c905b0bbf6572076225e33d43f123295c0f6
dependabot[bot],https://api.github.com/repos/winsw/winsw/pulls/1018,https://api.github.com/repos/winsw/winsw/issues/1018,open,2023-02-22,2023-02-22,,67b75e5720c3d562ac96dcf1549e07665ec8c9f9
dependabot[bot],https://api.github.com/repos/winsw/winsw/pulls/1017,https://api.github.com/repos/winsw/winsw/issues/1017,open,2023-02-22,2023-02-22,,5af8ba9b7261f391ccf18f5a487dbdbf2efc25a4
viceice,https://api.github.com/repos/winsw/winsw/pulls/1010,https://api.github.com/repos/winsw/winsw/issues/1010,open,2023-02-01,2023-02-01,,1b1590885f491d4d49818e4a70b065bdba875f6a
dependabot[bot],https://api.github.com/repos/winsw/winsw/pulls/1008,https://api.github.com/repos/winsw/winsw/issues/1008,closed,2023-01-30,2023-03-13,,7eeb0dedf0863a451465b202ff0d67821a3730fe
dependabot[bot],https://api.github.com/repos/winsw/winsw/pulls/1007,https://api.github.com/repos/winsw/winsw/issues/1007,open,2023-01-30,2023-01-30,,90258249b15ecdb07a9a51af283e8bb0305b3727
nxtn,https://api.github.com/repos/winsw/winsw/pulls/1006,https://api.github.com/repos/winsw/winsw/issues/1006,closed,2023-01-30,2023-01-30,2023-01-30,e4cf507bae5981363a9cdc0f7301c1aa892af401
nxtn,https://api.github.com/repos/winsw/winsw/pulls/1004,https://api.github.com/repos/winsw/winsw/issues/1004,closed,2023-01-29,2023-01-30,2023-01-30,6cf303c1d3fbe1069d95af230b8efa117d29cdf2
nxtn,https://api.github.com/repos/winsw/winsw/pulls/1003,https://api.github.com/repos/winsw/winsw/issues/1003,closed,2023-01-29,2023-01-29,2023-01-29,f8d2ae567c8c2d30f6bfed66b1ceef181b9855ae
nxtn,https://api.github.com/repos/winsw/winsw/pulls/1002,https://api.github.com/repos/winsw/winsw/issues/1002,closed,2023-01-29,2023-01-29,2023-01-29,a370d70e0bb1002024c402d324fb3381564f8e9d
nxtn,https://api.github.com/repos/winsw/winsw/pulls/1001,https://api.github.com/repos/winsw/winsw/issues/1001,closed,2023-01-28,2023-01-28,2023-01-28,a6ba41681d84d84d95eb7a377c369d709e32225b
dependabot[bot],https://api.github.com/repos/winsw/winsw/pulls/1000,https://api.github.com/repos/winsw/winsw/issues/1000,closed,2023-01-20,2023-01-28,,957c3f73b56b2cf58f5af4af4cc4f5db91c6f6ad
nxtn,https://api.github.com/repos/winsw/winsw/pulls/999,https://api.github.com/repos/winsw/winsw/issues/999,closed,2023-01-19,2023-01-29,2023-01-19,eef5bade59fca0254e387ac73ed7625ba6aa7147
nxtn,https://api.github.com/repos/winsw/winsw/pulls/998,https://api.github.com/repos/winsw/winsw/issues/998,closed,2023-01-19,2023-01-29,2023-01-19,9fbb7297134ed1937103098961bf6a62f67784a7
dependabot[bot],https://api.github.com/repos/winsw/winsw/pulls/996,https://api.github.com/repos/winsw/winsw/issues/996,closed,2023-01-06,2023-01-28,2023-01-28,cf6ddcd29960ba100e2545667fdb5ec4cf97606a
