created_at,pull_requests
2017-04-23,1
2017-06-09,1
2017-06-15,1
2017-09-30,1
2017-10-01,6
2017-10-02,3
2017-10-03,3
2017-10-04,1
2017-10-08,1
2017-10-09,1
2017-10-11,1
2017-10-20,1
2017-10-21,1
2017-10-29,2
2017-10-31,1
2017-11-01,1
2018-03-28,2
2018-06-07,1
2018-09-25,1
2018-10-01,1
2018-10-09,1
2018-10-17,2
2018-10-31,1
2018-11-26,1
2019-01-08,1
2019-01-12,1
2019-03-06,1
2019-05-04,1
2019-07-01,1
2019-07-14,1
2019-07-22,1
2019-09-30,2
2019-10-01,3
2019-10-02,2
2019-10-04,1
2019-10-07,1
2019-10-09,1
2019-10-12,2
2019-10-15,1
2019-10-20,3
2019-10-21,3
2019-10-22,1
2019-10-23,2
2019-10-26,4
2019-10-27,4
2019-10-28,3
2019-10-29,3
2019-10-31,2
2019-11-03,1
2019-11-08,1
2019-11-23,1
2019-11-28,1
2019-11-29,1
2019-12-01,1
2019-12-26,1
2019-12-31,1
2020-01-04,1
2020-01-07,1
2020-01-16,1
2020-02-17,1
2020-03-06,1
2020-03-07,1
2020-03-09,1
2020-03-10,2
2020-03-12,1
2020-03-14,1
2020-03-21,1
2020-03-25,1
2020-04-08,3
2020-04-10,2
2020-05-04,1
2020-05-12,1
2020-05-19,1
2020-05-20,1
2020-05-23,4
2020-05-25,1
2020-06-04,2
2020-06-06,1
2020-06-07,2
2020-06-08,2
2020-06-10,1
2020-06-14,3
2020-06-15,1
2020-06-18,3
2020-06-21,1
2020-06-23,1
2020-07-02,1
2020-07-10,3
2020-07-11,2
2020-07-13,1
2020-07-14,2
2020-07-15,1
2020-07-16,1
2020-07-22,1
2020-08-03,2
2020-08-12,1
2020-08-25,1
2020-09-04,1
2020-09-05,1
2020-09-10,1
2020-09-14,1
2020-09-15,1
2020-09-29,2
2020-09-30,1
2020-10-01,6
2020-10-02,3
2020-10-03,4
2020-10-04,1
2020-10-05,1
2020-10-06,4
2020-10-07,4
2020-10-08,4
2020-10-10,2
2020-10-11,11
2020-10-12,2
2020-10-14,1
2020-10-15,2
2020-10-16,2
2020-10-17,6
2020-10-18,1
2020-10-19,5
2020-10-20,1
2020-10-21,1
2020-10-25,6
2020-10-27,2
2020-10-28,1
2020-11-01,3
2020-11-06,1
2020-11-14,1
2021-01-14,1
2021-01-16,1
2021-01-17,3
2021-01-18,2
2021-02-03,1
2021-02-17,1
2021-02-18,3
2021-02-19,1
2021-02-24,3
2021-02-25,2
2021-02-27,1
2021-02-28,2
2021-03-03,1
2021-03-04,2
2021-03-07,4
2021-03-09,3
2021-03-12,1
2021-03-21,1
2021-03-26,1
2021-03-30,1
2021-04-02,1
2021-04-10,1
2021-04-19,1
2021-04-26,1
2021-05-02,1
2021-05-28,1
2021-05-29,2
2021-06-06,1
2021-07-13,1
2021-07-24,1
2021-08-08,1
2021-08-14,1
2021-08-20,1
2021-08-21,1
2021-08-25,3
2021-08-27,1
2021-08-28,1
2021-08-29,1
2021-09-02,2
2021-09-03,1
2021-09-04,3
2021-09-05,5
2021-09-07,1
2021-09-08,3
2021-09-10,1
2021-09-13,1
2021-09-16,1
2021-09-17,1
2021-09-19,1
2021-09-23,3
2021-09-24,3
2021-09-25,1
2021-09-26,1
2021-09-27,1
2021-09-29,1
2021-09-30,2
2021-10-01,4
2021-10-02,4
