user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
melohagan,https://api.github.com/repos/Budibase/budibase/pulls/13193,https://api.github.com/repos/Budibase/budibase/issues/13193,open,2024-03-05,2024-03-05,,8055db452fdfb1b3116b7c164f6d8f3c18955473
adrinr,https://api.github.com/repos/Budibase/budibase/pulls/13192,https://api.github.com/repos/Budibase/budibase/issues/13192,open,2024-03-05,2024-03-05,,8d6f7ebf995e78f25a0c2fcf980783c1e35eb70c
samwho,https://api.github.com/repos/Budibase/budibase/pulls/13191,https://api.github.com/repos/Budibase/budibase/issues/13191,open,2024-03-05,2024-03-05,,8aa13003ef3b2c9f4e207e886906d113409603ba
samwho,https://api.github.com/repos/Budibase/budibase/pulls/13188,https://api.github.com/repos/Budibase/budibase/issues/13188,open,2024-03-04,2024-03-05,,ba034ad6c5c3fedfdc2656fa2e9fde33a599ac1d
mike12345567,https://api.github.com/repos/Budibase/budibase/pulls/13187,https://api.github.com/repos/Budibase/budibase/issues/13187,closed,2024-03-04,2024-03-04,2024-03-04,6ba1930816e34bb6879e2d1527edef91242a9e76
melohagan,https://api.github.com/repos/Budibase/budibase/pulls/13186,https://api.github.com/repos/Budibase/budibase/issues/13186,closed,2024-03-04,2024-03-04,2024-03-04,ee0f0abad25d9e1bcfc499eb2e8b7d4ed3d7b38f
samwho,https://api.github.com/repos/Budibase/budibase/pulls/13185,https://api.github.com/repos/Budibase/budibase/issues/13185,closed,2024-03-04,2024-03-04,2024-03-04,a33e5248424435c2a52338fff9b9fa6cee3c4e55
melohagan,https://api.github.com/repos/Budibase/budibase/pulls/13184,https://api.github.com/repos/Budibase/budibase/issues/13184,closed,2024-03-04,2024-03-04,2024-03-04,5fabe14f6261e2ef7c75129ffa2b34941eae4305
PClmnt,https://api.github.com/repos/Budibase/budibase/pulls/13183,https://api.github.com/repos/Budibase/budibase/issues/13183,open,2024-03-04,2024-03-04,,9de849df7a939ba844b346ae11cbfc62cd23ba74
aptkingston,https://api.github.com/repos/Budibase/budibase/pulls/13182,https://api.github.com/repos/Budibase/budibase/issues/13182,open,2024-03-04,2024-03-04,,d922d919f2698770fa531ae4eeb79bb3fa605981
Ghrehh,https://api.github.com/repos/Budibase/budibase/pulls/13180,https://api.github.com/repos/Budibase/budibase/issues/13180,open,2024-03-04,2024-03-04,,4337df39078a1df2f85c67fe5d0ed930567b8dcc
Ghrehh,https://api.github.com/repos/Budibase/budibase/pulls/13179,https://api.github.com/repos/Budibase/budibase/issues/13179,open,2024-03-04,2024-03-04,,2eea03bc2297a53150025b64170abc1a0e683f03
melohagan,https://api.github.com/repos/Budibase/budibase/pulls/13175,https://api.github.com/repos/Budibase/budibase/issues/13175,closed,2024-03-01,2024-03-05,2024-03-05,8694b8d772d0d6ac855a2167080400bc16dda3fb
aptkingston,https://api.github.com/repos/Budibase/budibase/pulls/13174,https://api.github.com/repos/Budibase/budibase/issues/13174,open,2024-03-01,2024-03-01,,18f2cdbe0d779b12c0f18d2ece56547c8e5377cd
