user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
oxBinaryBrain,https://api.github.com/repos/Ciphey/Ciphey/pulls/794,https://api.github.com/repos/Ciphey/Ciphey/issues/794,open,2024-02-28,2024-02-28,,79cffb56059a4e7d27a3750db772d0973cef51fd
er43567,https://api.github.com/repos/Ciphey/Ciphey/pulls/792,https://api.github.com/repos/Ciphey/Ciphey/issues/792,open,2024-01-05,2024-01-05,,29110bc40deb68942f49d0bb81d96d09434babed
R3hankhan123,https://api.github.com/repos/Ciphey/Ciphey/pulls/784,https://api.github.com/repos/Ciphey/Ciphey/issues/784,open,2023-09-18,2023-10-12,,447fd3963540c86fc658865842d389b5694533b8
Kazgangap,https://api.github.com/repos/Ciphey/Ciphey/pulls/782,https://api.github.com/repos/Ciphey/Ciphey/issues/782,open,2023-09-08,2023-09-08,,2ce2b08f37612bb859cff561cfbe3304c9a4a9ac
D3vil0p3r,https://api.github.com/repos/Ciphey/Ciphey/pulls/777,https://api.github.com/repos/Ciphey/Ciphey/issues/777,closed,2023-07-01,2023-07-01,,92cc44c170e2477c63c58033a515c282010a7136
PunGrumpy,https://api.github.com/repos/Ciphey/Ciphey/pulls/773,https://api.github.com/repos/Ciphey/Ciphey/issues/773,closed,2023-05-30,2023-10-12,2023-10-12,5dfbe9330070d4aefc997e5d2648155a136a3757
dependabot[bot],https://api.github.com/repos/Ciphey/Ciphey/pulls/767,https://api.github.com/repos/Ciphey/Ciphey/issues/767,open,2023-02-06,2023-02-06,,6619ba41f9b469809d9819b9d82b3b94dc686098
dependabot[bot],https://api.github.com/repos/Ciphey/Ciphey/pulls/766,https://api.github.com/repos/Ciphey/Ciphey/issues/766,open,2022-12-29,2022-12-29,,1071f11703357f52aa8c26b68ce0020562b21c76
mklarz,https://api.github.com/repos/Ciphey/Ciphey/pulls/757,https://api.github.com/repos/Ciphey/Ciphey/issues/757,open,2022-10-20,2022-10-20,,801a581eb595324001a88357d9afb8b00514bc43
gwo0d,https://api.github.com/repos/Ciphey/Ciphey/pulls/756,https://api.github.com/repos/Ciphey/Ciphey/issues/756,closed,2022-10-01,2023-06-07,,b5db4fca13b657d30b15be61e0fd560d39e700c1
dependabot[bot],https://api.github.com/repos/Ciphey/Ciphey/pulls/755,https://api.github.com/repos/Ciphey/Ciphey/issues/755,open,2022-09-29,2022-09-29,,9e309c664e2d4e81c1808e1f449b05583c623bf3
dependabot[bot],https://api.github.com/repos/Ciphey/Ciphey/pulls/752,https://api.github.com/repos/Ciphey/Ciphey/issues/752,open,2022-08-19,2022-08-19,,63b49dbb325668edc7d349f3a83da8f53a91149a
KOLANICH,https://api.github.com/repos/Ciphey/Ciphey/pulls/744,https://api.github.com/repos/Ciphey/Ciphey/issues/744,closed,2022-06-27,2022-06-28,2022-06-28,aec8a74e07ba8d71ecd37553b7735353625ae169
dependabot[bot],https://api.github.com/repos/Ciphey/Ciphey/pulls/739,https://api.github.com/repos/Ciphey/Ciphey/issues/739,closed,2022-06-03,2022-06-10,2022-06-10,aa94cf5b11e21106012a94706fb46bed72f7ef99
dependabot[bot],https://api.github.com/repos/Ciphey/Ciphey/pulls/738,https://api.github.com/repos/Ciphey/Ciphey/issues/738,closed,2022-05-30,2022-06-03,,408a30ef46cd68054afde1a4a39acc377dfb0710
mjh316,https://api.github.com/repos/Ciphey/Ciphey/pulls/736,https://api.github.com/repos/Ciphey/Ciphey/issues/736,closed,2022-05-12,2022-06-10,,df35e9578c1a9241e14a7c9c7446369ec2dd469f
dependabot[bot],https://api.github.com/repos/Ciphey/Ciphey/pulls/735,https://api.github.com/repos/Ciphey/Ciphey/issues/735,closed,2022-05-02,2022-05-18,2022-05-18,762166204428a7eec7b7232c1b1f0615dcfc9265
dependabot[bot],https://api.github.com/repos/Ciphey/Ciphey/pulls/734,https://api.github.com/repos/Ciphey/Ciphey/issues/734,closed,2022-04-25,2022-05-18,2022-05-18,dacee1bd50b1a61e1e1dc9d5e1babfc585f05dcc
code-review-doctor,https://api.github.com/repos/Ciphey/Ciphey/pulls/733,https://api.github.com/repos/Ciphey/Ciphey/issues/733,closed,2022-04-23,2022-04-23,,567ea93009dc79c7ad7e552d0a7c115e39a19b15
dependabot[bot],https://api.github.com/repos/Ciphey/Ciphey/pulls/731,https://api.github.com/repos/Ciphey/Ciphey/issues/731,closed,2022-03-18,2022-04-25,,5506bda8c098f76372fe5febdb270c7048877602
dependabot[bot],https://api.github.com/repos/Ciphey/Ciphey/pulls/729,https://api.github.com/repos/Ciphey/Ciphey/issues/729,closed,2022-03-14,2022-03-18,,63d1bc3399f514386ba15ad45a20f1f4b3c57b48
dependabot[bot],https://api.github.com/repos/Ciphey/Ciphey/pulls/725,https://api.github.com/repos/Ciphey/Ciphey/issues/725,closed,2022-02-14,2022-03-14,,52379ba8444347227c57c3899a654ed00aac81c0
dependabot[bot],https://api.github.com/repos/Ciphey/Ciphey/pulls/723,https://api.github.com/repos/Ciphey/Ciphey/issues/723,closed,2022-02-07,2022-02-14,,13e77b5cf30614b2b8ab057a5a83e32712601244
dependabot[bot],https://api.github.com/repos/Ciphey/Ciphey/pulls/716,https://api.github.com/repos/Ciphey/Ciphey/issues/716,open,2021-12-06,2022-05-18,,5ce57ab3dbf63b36b11c6ce01dff111096a48e04
oleksadobush,https://api.github.com/repos/Ciphey/Ciphey/pulls/707,https://api.github.com/repos/Ciphey/Ciphey/issues/707,closed,2021-10-31,2022-04-26,,cf30607cb43c30c0aad064efa6efcce5408cc643
dependabot[bot],https://api.github.com/repos/Ciphey/Ciphey/pulls/706,https://api.github.com/repos/Ciphey/Ciphey/issues/706,closed,2021-10-29,2021-12-06,,5203cce5afdb2cd4f83a28c389ac1ae63db4e4b7
XinyiXiang,https://api.github.com/repos/Ciphey/Ciphey/pulls/704,https://api.github.com/repos/Ciphey/Ciphey/issues/704,closed,2021-10-25,2022-05-18,,c72eb377c87e417b0bd4422f82ca8beab25c1b50
dependabot[bot],https://api.github.com/repos/Ciphey/Ciphey/pulls/702,https://api.github.com/repos/Ciphey/Ciphey/issues/702,closed,2021-10-14,2022-05-18,2022-05-18,414e0e47dbcff5c7baffe216b2e1cc9cb9136739
dependabot[bot],https://api.github.com/repos/Ciphey/Ciphey/pulls/701,https://api.github.com/repos/Ciphey/Ciphey/issues/701,closed,2021-10-11,2021-11-03,2021-11-03,4e5cc80a3cfdd5361ddb2d99322ed9b3ba54dc90
dependabot[bot],https://api.github.com/repos/Ciphey/Ciphey/pulls/700,https://api.github.com/repos/Ciphey/Ciphey/issues/700,closed,2021-10-11,2021-10-29,,7b4b4d6160937d4a2e38fec0f3ca4463ea502356
AlexandruValeanu,https://api.github.com/repos/Ciphey/Ciphey/pulls/699,https://api.github.com/repos/Ciphey/Ciphey/issues/699,open,2021-10-09,2022-05-18,,85d921d03a27c78b9946afb6340e0eae4717da26
dependabot[bot],https://api.github.com/repos/Ciphey/Ciphey/pulls/698,https://api.github.com/repos/Ciphey/Ciphey/issues/698,closed,2021-10-06,2021-10-11,,11edcc3a73ea3e8bd766a803db4ade3dfa9d4e0a
AABur,https://api.github.com/repos/Ciphey/Ciphey/pulls/697,https://api.github.com/repos/Ciphey/Ciphey/issues/697,closed,2021-10-05,2021-11-03,2021-11-03,b480dcc3a927900ab004bb19b82a57d9864a2a37
dependabot[bot],https://api.github.com/repos/Ciphey/Ciphey/pulls/696,https://api.github.com/repos/Ciphey/Ciphey/issues/696,closed,2021-10-04,2022-05-18,2022-05-18,1c661f3b810efec5ff17ab1020635cbd5fad3467
dependabot[bot],https://api.github.com/repos/Ciphey/Ciphey/pulls/695,https://api.github.com/repos/Ciphey/Ciphey/issues/695,closed,2021-10-04,2021-10-06,,848559a33efbe3f1c73ed47b54a97524f69f2db0
SkeletalDemise,https://api.github.com/repos/Ciphey/Ciphey/pulls/694,https://api.github.com/repos/Ciphey/Ciphey/issues/694,closed,2021-10-03,2021-10-06,2021-10-06,58323db4443b0d29d7797dadab88955a02da8812
yezz123,https://api.github.com/repos/Ciphey/Ciphey/pulls/693,https://api.github.com/repos/Ciphey/Ciphey/issues/693,closed,2021-10-01,2022-05-18,,dd870f4afe6c89b57c8f872b08e88a6df804e452
DavidRomanovizc,https://api.github.com/repos/Ciphey/Ciphey/pulls/690,https://api.github.com/repos/Ciphey/Ciphey/issues/690,closed,2021-09-16,2021-12-14,,4374a1d0ab6a30a124d5ada7a77c2d6fabeb1159
dependabot[bot],https://api.github.com/repos/Ciphey/Ciphey/pulls/687,https://api.github.com/repos/Ciphey/Ciphey/issues/687,closed,2021-08-30,2021-10-04,,6a0dde9ce6c0119ab6b0357b4916cc30cd006a79
allcontributors[bot],https://api.github.com/repos/Ciphey/Ciphey/pulls/686,https://api.github.com/repos/Ciphey/Ciphey/issues/686,closed,2021-08-28,2021-08-28,2021-08-28,798ac461d87b98344ff965e8078667e466e3c784
cclauss,https://api.github.com/repos/Ciphey/Ciphey/pulls/685,https://api.github.com/repos/Ciphey/Ciphey/issues/685,closed,2021-08-15,2021-08-19,2021-08-19,6f325073674e899b81340a9890ab9234146277be
