user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
SbloodyS,https://api.github.com/repos/apache/dolphinscheduler/pulls/15664,https://api.github.com/repos/apache/dolphinscheduler/issues/15664,closed,2024-03-04,2024-03-04,2024-03-04,f8919c0509f6037bae4c898016607e1d98905ec2
ruanwenjun,https://api.github.com/repos/apache/dolphinscheduler/pulls/15662,https://api.github.com/repos/apache/dolphinscheduler/issues/15662,closed,2024-03-02,2024-03-04,2024-03-04,04a6b0d2814c69b056639f65546ffd62ead22321
pegasas,https://api.github.com/repos/apache/dolphinscheduler/pulls/15660,https://api.github.com/repos/apache/dolphinscheduler/issues/15660,closed,2024-03-02,2024-03-04,2024-03-04,040ab34bafa25c5fd17f4ca172f05f55aa2ab446
abzymeinsjtu,https://api.github.com/repos/apache/dolphinscheduler/pulls/15659,https://api.github.com/repos/apache/dolphinscheduler/issues/15659,closed,2024-03-01,2024-03-04,2024-03-04,502b49a1cb845c04c6b754e88748d2de8ef84508
followjump,https://api.github.com/repos/apache/dolphinscheduler/pulls/15655,https://api.github.com/repos/apache/dolphinscheduler/issues/15655,closed,2024-02-29,2024-02-29,,8872e824e7bd7003c84061eef28fa88b15f8d9b2
zhongjiajie,https://api.github.com/repos/apache/dolphinscheduler/pulls/15654,https://api.github.com/repos/apache/dolphinscheduler/issues/15654,closed,2024-02-29,2024-03-04,2024-03-04,48ea8f387a3a008541d0b2c069e1fab793e3f682
ruanwenjun,https://api.github.com/repos/apache/dolphinscheduler/pulls/15652,https://api.github.com/repos/apache/dolphinscheduler/issues/15652,closed,2024-02-28,2024-03-01,2024-03-01,88a8f06b1d42da00faf992b3542624f4c3590563
bajiaolong,https://api.github.com/repos/apache/dolphinscheduler/pulls/15647,https://api.github.com/repos/apache/dolphinscheduler/issues/15647,open,2024-02-28,2024-03-04,,005b060815a59e043073a78379e32a2bfcb80143
yangyanh,https://api.github.com/repos/apache/dolphinscheduler/pulls/15645,https://api.github.com/repos/apache/dolphinscheduler/issues/15645,open,2024-02-28,2024-03-04,,806516a52d6feb46d321d3b7e1f2398288a16444
pegasas,https://api.github.com/repos/apache/dolphinscheduler/pulls/15640,https://api.github.com/repos/apache/dolphinscheduler/issues/15640,open,2024-02-27,2024-03-03,,ddcd3f624434b0c67e9922de40e4ba2519008528
