user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
renovate[bot],https://api.github.com/repos/appium/appium/pulls/19853,https://api.github.com/repos/appium/appium/issues/19853,open,2024-03-04,2024-03-04,,2968e8340bba053ec4df6a1bf718301689d6c3b0
renovate[bot],https://api.github.com/repos/appium/appium/pulls/19852,https://api.github.com/repos/appium/appium/issues/19852,closed,2024-03-04,2024-03-04,2024-03-04,7516d4135a1eec37ba298f407254d825961795af
KazuCocoa,https://api.github.com/repos/appium/appium/pulls/19851,https://api.github.com/repos/appium/appium/issues/19851,open,2024-03-04,2024-03-04,,19ca4daffc4afeaa28f99b8e1b2c88ca9268d2fe
renovate[bot],https://api.github.com/repos/appium/appium/pulls/19847,https://api.github.com/repos/appium/appium/issues/19847,closed,2024-02-29,2024-02-29,2024-02-29,917084ccca23c5483e7d83ce97721061dd2fe345
renovate[bot],https://api.github.com/repos/appium/appium/pulls/19846,https://api.github.com/repos/appium/appium/issues/19846,closed,2024-02-29,2024-02-29,2024-02-29,c4ef218006f2485a0853c57a54a33520765cf2b3
renovate[bot],https://api.github.com/repos/appium/appium/pulls/19845,https://api.github.com/repos/appium/appium/issues/19845,closed,2024-02-29,2024-02-29,2024-02-29,e1ccdd2d483e78e2e8f55508d80b712bd6a33b38
renovate[bot],https://api.github.com/repos/appium/appium/pulls/19844,https://api.github.com/repos/appium/appium/issues/19844,closed,2024-02-29,2024-02-29,2024-02-29,c905be032fd97fcce726097e4f861b142a355f0d
renovate[bot],https://api.github.com/repos/appium/appium/pulls/19843,https://api.github.com/repos/appium/appium/issues/19843,closed,2024-02-29,2024-02-29,2024-02-29,dcf58168d6f653c647a6e26d89981579a2704031
renovate[bot],https://api.github.com/repos/appium/appium/pulls/19842,https://api.github.com/repos/appium/appium/issues/19842,closed,2024-02-29,2024-02-29,2024-02-29,7bee9ccc897c50c514e1cc32222ee1eee6178384
renovate[bot],https://api.github.com/repos/appium/appium/pulls/19839,https://api.github.com/repos/appium/appium/issues/19839,closed,2024-02-28,2024-02-28,2024-02-28,e4ae2772acf6cd1c2119dd7f8c1f7804e3a2394f
renovate[bot],https://api.github.com/repos/appium/appium/pulls/19838,https://api.github.com/repos/appium/appium/issues/19838,closed,2024-02-28,2024-02-28,2024-02-28,ef673786f47a24a166db2485ad77136e94e25835
renovate[bot],https://api.github.com/repos/appium/appium/pulls/19835,https://api.github.com/repos/appium/appium/issues/19835,closed,2024-02-27,2024-02-28,2024-02-28,98017937f7b96ae886b98822e98a4d8828cda43e
renovate[bot],https://api.github.com/repos/appium/appium/pulls/19832,https://api.github.com/repos/appium/appium/issues/19832,closed,2024-02-26,2024-02-27,2024-02-27,26ded7a4cce1fa9bca28521e4b60cad0edacbe96
renovate[bot],https://api.github.com/repos/appium/appium/pulls/19831,https://api.github.com/repos/appium/appium/issues/19831,closed,2024-02-25,2024-02-25,2024-02-25,d1705e2818d435b4c37cb70753af1de5427378e2
