user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
better629,https://api.github.com/repos/geekan/MetaGPT/pulls/961,https://api.github.com/repos/geekan/MetaGPT/issues/961,closed,2024-03-05,2024-03-05,2024-03-05,b7ec9fef28f8e474f21787d1a3d4406c1aae410c
iorisa,https://api.github.com/repos/geekan/MetaGPT/pulls/960,https://api.github.com/repos/geekan/MetaGPT/issues/960,closed,2024-03-05,2024-03-05,2024-03-05,5cae13fd0a9b6e5a6f3f39c798cf693675795d89
orange-crow,https://api.github.com/repos/geekan/MetaGPT/pulls/959,https://api.github.com/repos/geekan/MetaGPT/issues/959,open,2024-03-05,2024-03-05,,c3a416c15e60ef124b33792f614c1a1c594f2299
better629,https://api.github.com/repos/geekan/MetaGPT/pulls/953,https://api.github.com/repos/geekan/MetaGPT/issues/953,closed,2024-03-02,2024-03-02,2024-03-02,1012896afdf2d60e44f23d7b6290d17acbfab0e0
garylin2099,https://api.github.com/repos/geekan/MetaGPT/pulls/952,https://api.github.com/repos/geekan/MetaGPT/issues/952,closed,2024-03-01,2024-03-05,2024-03-05,684ca961c33c350162891a01d5eba5ac749949d3
garylin2099,https://api.github.com/repos/geekan/MetaGPT/pulls/951,https://api.github.com/repos/geekan/MetaGPT/issues/951,closed,2024-03-01,2024-03-05,2024-03-05,26252e68bd961874641db60a2235e0b41e06b119
voidking,https://api.github.com/repos/geekan/MetaGPT/pulls/950,https://api.github.com/repos/geekan/MetaGPT/issues/950,closed,2024-02-29,2024-03-01,2024-03-01,db8048698eee59fde5df221956b0149c8f4bca98
voidking,https://api.github.com/repos/geekan/MetaGPT/pulls/949,https://api.github.com/repos/geekan/MetaGPT/issues/949,closed,2024-02-29,2024-02-29,,7d39415152f97ac592cc31095372bb95ebdcacad
mannaandpoem,https://api.github.com/repos/geekan/MetaGPT/pulls/948,https://api.github.com/repos/geekan/MetaGPT/issues/948,closed,2024-02-29,2024-03-05,2024-03-05,1e5656df975cfb521156144c4caffbb8efda8c97
wubinhao,https://api.github.com/repos/geekan/MetaGPT/pulls/947,https://api.github.com/repos/geekan/MetaGPT/issues/947,open,2024-02-29,2024-03-05,,1b881f8beb00ca7004b88b6ee604cbd91e8a085c
YangQianli92,https://api.github.com/repos/geekan/MetaGPT/pulls/946,https://api.github.com/repos/geekan/MetaGPT/issues/946,closed,2024-02-29,2024-03-04,2024-03-01,dacc8aa06df6720046880a2ef2dcfd9239c0d934
UDITHVISHNU,https://api.github.com/repos/geekan/MetaGPT/pulls/945,https://api.github.com/repos/geekan/MetaGPT/issues/945,closed,2024-02-28,2024-02-28,,5f3c012a46193fb6af0c87c7d4245916a0fbdcfd
mannaandpoem,https://api.github.com/repos/geekan/MetaGPT/pulls/944,https://api.github.com/repos/geekan/MetaGPT/issues/944,closed,2024-02-28,2024-02-29,2024-02-29,a204d99e4f44c1e1b287944aa62e0d20e112c9ac
mannaandpoem,https://api.github.com/repos/geekan/MetaGPT/pulls/943,https://api.github.com/repos/geekan/MetaGPT/issues/943,closed,2024-02-28,2024-02-28,,7471787e3b86b76491520ab8e3a27516604403d0
better629,https://api.github.com/repos/geekan/MetaGPT/pulls/942,https://api.github.com/repos/geekan/MetaGPT/issues/942,closed,2024-02-28,2024-03-01,2024-02-28,0f919c517276e93203feff91eefea2ec52ad154c
better629,https://api.github.com/repos/geekan/MetaGPT/pulls/940,https://api.github.com/repos/geekan/MetaGPT/issues/940,closed,2024-02-28,2024-02-28,2024-02-28,d3961a630edc5bcf2da197efc5f4c9e0e3271c4f
better629,https://api.github.com/repos/geekan/MetaGPT/pulls/939,https://api.github.com/repos/geekan/MetaGPT/issues/939,closed,2024-02-27,2024-03-01,2024-02-28,b17cc3fa03b39fc272797ad5f21a66cdd49a0e7f
revupst,https://api.github.com/repos/geekan/MetaGPT/pulls/938,https://api.github.com/repos/geekan/MetaGPT/issues/938,closed,2024-02-26,2024-02-28,2024-02-28,df63f2d2093e3fc710fbd978310903df25a3d7fe
LinightKira,https://api.github.com/repos/geekan/MetaGPT/pulls/935,https://api.github.com/repos/geekan/MetaGPT/issues/935,open,2024-02-26,2024-03-01,,c1f91413649c7e407a4917c0fe5604da61144067
Abhishek0075,https://api.github.com/repos/geekan/MetaGPT/pulls/933,https://api.github.com/repos/geekan/MetaGPT/issues/933,closed,2024-02-24,2024-02-28,2024-02-28,19b91b4d51186949523673c14a5f9f9046af9e45
Abhishek0075,https://api.github.com/repos/geekan/MetaGPT/pulls/932,https://api.github.com/repos/geekan/MetaGPT/issues/932,closed,2024-02-24,2024-02-24,,
ghost,https://api.github.com/repos/geekan/MetaGPT/pulls/931,https://api.github.com/repos/geekan/MetaGPT/issues/931,closed,2024-02-23,2024-02-23,,3fa457818e31e138dd816c170892c08b955d043b
BaoLiqi,https://api.github.com/repos/geekan/MetaGPT/pulls/930,https://api.github.com/repos/geekan/MetaGPT/issues/930,closed,2024-02-23,2024-02-28,2024-02-28,5713526ab6dbe6817bb41733485e95deabe68d7d
better629,https://api.github.com/repos/geekan/MetaGPT/pulls/929,https://api.github.com/repos/geekan/MetaGPT/issues/929,closed,2024-02-23,2024-03-01,,be6d18aa7293bfbd32bd136ac320b9fe82dc1e41
shenchucheng,https://api.github.com/repos/geekan/MetaGPT/pulls/928,https://api.github.com/repos/geekan/MetaGPT/issues/928,closed,2024-02-23,2024-02-23,2024-02-23,45dd352bf09a9d84902a7fc3908d44d2d9d83075
Abhishek0075,https://api.github.com/repos/geekan/MetaGPT/pulls/927,https://api.github.com/repos/geekan/MetaGPT/issues/927,closed,2024-02-22,2024-02-24,,58a3dbdd07bf37ed33fe78803e6d3338f44d2001
YangQianli92,https://api.github.com/repos/geekan/MetaGPT/pulls/923,https://api.github.com/repos/geekan/MetaGPT/issues/923,closed,2024-02-22,2024-02-29,,0da6acfaddefc9355b6897a86e4ecdb922c8396a
lixiangtiandashen,https://api.github.com/repos/geekan/MetaGPT/pulls/922,https://api.github.com/repos/geekan/MetaGPT/issues/922,closed,2024-02-21,2024-02-28,2024-02-28,04cd506df4a1bd03fd6e41deaa072f031208206a
shenchucheng,https://api.github.com/repos/geekan/MetaGPT/pulls/920,https://api.github.com/repos/geekan/MetaGPT/issues/920,open,2024-02-21,2024-02-21,,7222eb6e2b5f8a521a2b37c1b1c08f2cbe181aa1
garylin2099,https://api.github.com/repos/geekan/MetaGPT/pulls/919,https://api.github.com/repos/geekan/MetaGPT/issues/919,closed,2024-02-21,2024-02-21,2024-02-21,b684576e9b3dd6b0a337bd6ce8e134f7867db8d6
orange-crow,https://api.github.com/repos/geekan/MetaGPT/pulls/918,https://api.github.com/repos/geekan/MetaGPT/issues/918,closed,2024-02-21,2024-02-28,2024-02-28,79262f392e2dd478577640ed04bbc6ee2d2f6cbd
