user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
Chaknith,https://api.github.com/repos/infinitered/ignite/pulls/2650,https://api.github.com/repos/infinitered/ignite/issues/2650,closed,2024-02-27,2024-02-28,2024-02-28,a9ebe8dc1e4283e4174293f54b06f6c8dfbee114
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2649,https://api.github.com/repos/infinitered/ignite/issues/2649,closed,2024-02-24,2024-02-28,2024-02-28,92b4b5dbf7037eca1d09bfc733d898419f3483d3
Jpoliachik,https://api.github.com/repos/infinitered/ignite/pulls/2647,https://api.github.com/repos/infinitered/ignite/issues/2647,open,2024-02-21,2024-02-23,,70642a9233f66ab11853ea16c1eb860fbe905f85
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2646,https://api.github.com/repos/infinitered/ignite/issues/2646,closed,2024-02-21,2024-02-21,2024-02-21,45aabb28766e35bdac710791da40114f894f364c
kolyad3v,https://api.github.com/repos/infinitered/ignite/pulls/2643,https://api.github.com/repos/infinitered/ignite/issues/2643,open,2024-02-20,2024-02-28,,21d5fb9101ee68cbb516ef30386891864f21e7b7
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2642,https://api.github.com/repos/infinitered/ignite/issues/2642,closed,2024-02-19,2024-02-21,2024-02-21,c0dcc6da1f7c8286dfac8424e69dde6bf9f834d1
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2641,https://api.github.com/repos/infinitered/ignite/issues/2641,open,2024-02-16,2024-02-16,,3ebed37e1017e9f342e571387b844fecb49466a4
Jpoliachik,https://api.github.com/repos/infinitered/ignite/pulls/2640,https://api.github.com/repos/infinitered/ignite/issues/2640,closed,2024-02-16,2024-02-16,2024-02-16,088cf19673c5e5a78e8c7bf9459abf71055116d5
markrickert,https://api.github.com/repos/infinitered/ignite/pulls/2636,https://api.github.com/repos/infinitered/ignite/issues/2636,open,2024-02-13,2024-03-05,,a4af96631276f35303ea55f938a3ddd0efcf111a
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2635,https://api.github.com/repos/infinitered/ignite/issues/2635,closed,2024-02-13,2024-02-21,2024-02-21,f669a322bc728ec727106000c1e63b6092770beb
Jpoliachik,https://api.github.com/repos/infinitered/ignite/pulls/2634,https://api.github.com/repos/infinitered/ignite/issues/2634,closed,2024-02-12,2024-02-16,2024-02-16,218a671acf4d882b1b543606d1d5006d5eb09d19
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2632,https://api.github.com/repos/infinitered/ignite/issues/2632,closed,2024-02-11,2024-02-21,2024-02-21,22c7afc29397d013248c8b6c9025539f2d0afa12
douglowder,https://api.github.com/repos/infinitered/ignite/pulls/2631,https://api.github.com/repos/infinitered/ignite/issues/2631,closed,2024-02-09,2024-02-09,2024-02-09,74ff24f98ad252d552d70693ef85b2654634afbe
Jpoliachik,https://api.github.com/repos/infinitered/ignite/pulls/2630,https://api.github.com/repos/infinitered/ignite/issues/2630,closed,2024-02-08,2024-02-09,2024-02-08,b4f2185df0f4bcd9b5dc1aa015948b4b0333a7c1
Jpoliachik,https://api.github.com/repos/infinitered/ignite/pulls/2629,https://api.github.com/repos/infinitered/ignite/issues/2629,closed,2024-02-07,2024-02-08,2024-02-08,a972fd662c767290aba9b228f32ad9a620211eb9
Jpoliachik,https://api.github.com/repos/infinitered/ignite/pulls/2628,https://api.github.com/repos/infinitered/ignite/issues/2628,closed,2024-02-06,2024-02-08,2024-02-06,24c181ed99c66711a845a16f721401f91351fd2c
markrickert,https://api.github.com/repos/infinitered/ignite/pulls/2627,https://api.github.com/repos/infinitered/ignite/issues/2627,closed,2024-02-06,2024-02-08,2024-02-06,1fd1ec1a5ca20ecc708ac6b27298ec743f46460e
markrickert,https://api.github.com/repos/infinitered/ignite/pulls/2626,https://api.github.com/repos/infinitered/ignite/issues/2626,closed,2024-02-06,2024-02-08,2024-02-06,3dbb62340ec7ed9f2a81486035a94ea20bc7a9b6
markrickert,https://api.github.com/repos/infinitered/ignite/pulls/2625,https://api.github.com/repos/infinitered/ignite/issues/2625,closed,2024-02-06,2024-02-08,2024-02-06,370a493163ee26230d6ce3ef77cd4709cb54c246
Jpoliachik,https://api.github.com/repos/infinitered/ignite/pulls/2624,https://api.github.com/repos/infinitered/ignite/issues/2624,closed,2024-02-06,2024-02-06,2024-02-06,da6c924649f4ba7b4cb2ad8646ae1a6b02e14108
Jpoliachik,https://api.github.com/repos/infinitered/ignite/pulls/2623,https://api.github.com/repos/infinitered/ignite/issues/2623,closed,2024-02-05,2024-02-06,2024-02-05,ef8d69ba9323a250b7eaa9234a1554f7ab4f5c09
bi3ri,https://api.github.com/repos/infinitered/ignite/pulls/2622,https://api.github.com/repos/infinitered/ignite/issues/2622,closed,2024-02-01,2024-02-05,2024-02-05,6789ae2e46f00e5484b0323c540f972e30f5d4b0
jamonholmgren,https://api.github.com/repos/infinitered/ignite/pulls/2619,https://api.github.com/repos/infinitered/ignite/issues/2619,closed,2024-01-31,2024-02-08,2024-02-06,9c955c94d93ccdddd4a35697f64d68f95740432e
Dax911,https://api.github.com/repos/infinitered/ignite/pulls/2618,https://api.github.com/repos/infinitered/ignite/issues/2618,closed,2024-01-29,2024-02-21,2024-02-21,d0b2b2df3241115609626fba5af10155ee9aa326
markrickert,https://api.github.com/repos/infinitered/ignite/pulls/2617,https://api.github.com/repos/infinitered/ignite/issues/2617,closed,2024-01-25,2024-01-26,2024-01-25,b8ac23fd5991edfad4f6862112ba5cde77987d4a
Jpoliachik,https://api.github.com/repos/infinitered/ignite/pulls/2616,https://api.github.com/repos/infinitered/ignite/issues/2616,closed,2024-01-25,2024-01-26,2024-01-26,0ecfe66d42f890bb0bb99cde809725795f9a9291
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2612,https://api.github.com/repos/infinitered/ignite/issues/2612,closed,2024-01-19,2024-02-09,2024-02-09,ff8df47cfc70c13306bd43e6a88bae02e967af44
mazenchami,https://api.github.com/repos/infinitered/ignite/pulls/2611,https://api.github.com/repos/infinitered/ignite/issues/2611,closed,2024-01-19,2024-01-23,2024-01-23,0f2892a5db96dd04d4b3370eed1c1d15d6ec8e45
RhyG,https://api.github.com/repos/infinitered/ignite/pulls/2610,https://api.github.com/repos/infinitered/ignite/issues/2610,closed,2024-01-18,2024-01-23,2024-01-18,9efddf07ce651d2a4712f066c10f54d9ef761152
Jpoliachik,https://api.github.com/repos/infinitered/ignite/pulls/2607,https://api.github.com/repos/infinitered/ignite/issues/2607,closed,2024-01-11,2024-01-15,2024-01-12,1b40712c125642a14e50b4b9bff85ed35245f193
morganick,https://api.github.com/repos/infinitered/ignite/pulls/2602,https://api.github.com/repos/infinitered/ignite/issues/2602,closed,2024-01-05,2024-01-06,2024-01-06,3fec7beab41d57648942f3fb597ff0be82619180
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2601,https://api.github.com/repos/infinitered/ignite/issues/2601,closed,2024-01-05,2024-01-06,2024-01-06,cf6154e413b3a5ecf26a26d40b149cfe95959e67
softwarebyze,https://api.github.com/repos/infinitered/ignite/pulls/2597,https://api.github.com/repos/infinitered/ignite/issues/2597,closed,2024-01-03,2024-01-04,2024-01-04,49818e7bca424746ce2e8ef47fe82c7050522da8
ahinkle,https://api.github.com/repos/infinitered/ignite/pulls/2594,https://api.github.com/repos/infinitered/ignite/issues/2594,closed,2023-12-29,2024-01-04,2024-01-04,0ebd3ab43b54a96009dabbd8582e6714e7902df1
coolsoftwaretyler,https://api.github.com/repos/infinitered/ignite/pulls/2593,https://api.github.com/repos/infinitered/ignite/issues/2593,closed,2023-12-27,2024-01-04,2024-01-04,d715f0a9c42f25a092ec13a846b28cf0d073c30d
mateoguzmana,https://api.github.com/repos/infinitered/ignite/pulls/2591,https://api.github.com/repos/infinitered/ignite/issues/2591,closed,2023-12-16,2024-01-04,2023-12-20,8ba15031cb50677d7d8fe30d2eec2d24b7269bd4
joshuayoes,https://api.github.com/repos/infinitered/ignite/pulls/2590,https://api.github.com/repos/infinitered/ignite/issues/2590,closed,2023-12-15,2024-01-04,2023-12-20,095286e461f5b83ed4539a3bf559bb099724512c
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2589,https://api.github.com/repos/infinitered/ignite/issues/2589,closed,2023-12-14,2023-12-15,2023-12-15,5227b89ab69c57ab7c6d99019b8fc5c41d863493
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2588,https://api.github.com/repos/infinitered/ignite/issues/2588,closed,2023-12-14,2023-12-15,2023-12-15,370698da18524577e5437aca4d330e41315faa62
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2587,https://api.github.com/repos/infinitered/ignite/issues/2587,closed,2023-12-14,2023-12-15,2023-12-15,ae512aa8516ac49b91c7e656203eaecc2ecaf5cd
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2586,https://api.github.com/repos/infinitered/ignite/issues/2586,closed,2023-12-13,2023-12-13,2023-12-13,872972d6e9ece6b1d1f1ff0e8b6ddc6dba8c0cfa
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2585,https://api.github.com/repos/infinitered/ignite/issues/2585,closed,2023-12-13,2023-12-13,2023-12-13,698a387e95fc7f885773477ebba41efdab2dd0a6
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2584,https://api.github.com/repos/infinitered/ignite/issues/2584,closed,2023-12-13,2023-12-13,2023-12-13,4d3d925a24681b01567db4e4b73fb8373609dd1a
abtonc,https://api.github.com/repos/infinitered/ignite/pulls/2583,https://api.github.com/repos/infinitered/ignite/issues/2583,open,2023-12-09,2023-12-14,,908eabf142dd560bb79c26685a15c1839cd7eb5b
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2582,https://api.github.com/repos/infinitered/ignite/issues/2582,closed,2023-12-08,2023-12-13,2023-12-13,b561489aedb0625c51c6ec18dfdce100c237744d
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2581,https://api.github.com/repos/infinitered/ignite/issues/2581,closed,2023-12-07,2023-12-15,2023-12-15,6206e22a2f787160adc8eaf0dd05a86ae078d436
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2580,https://api.github.com/repos/infinitered/ignite/issues/2580,closed,2023-12-07,2023-12-13,2023-12-13,68d033489f3ca5ef424674fba8f68760f5010323
abdulbasithqb,https://api.github.com/repos/infinitered/ignite/pulls/2578,https://api.github.com/repos/infinitered/ignite/issues/2578,closed,2023-12-05,2023-12-06,2023-12-06,00209bb7850b5e3d220b18438dd55fab07f71b7b
joshuayoes,https://api.github.com/repos/infinitered/ignite/pulls/2574,https://api.github.com/repos/infinitered/ignite/issues/2574,closed,2023-12-02,2023-12-02,2023-12-02,2e4053e53dd44c52ee110888ed785238661a7ec3
joshuayoes,https://api.github.com/repos/infinitered/ignite/pulls/2573,https://api.github.com/repos/infinitered/ignite/issues/2573,closed,2023-11-30,2023-11-30,2023-11-30,b38763c797b1dd78549c8ffb09f5d4f05d94ccb9
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2572,https://api.github.com/repos/infinitered/ignite/issues/2572,closed,2023-11-29,2023-12-06,2023-12-06,4d45ae00545079343f81f1c7312b4475b57c79dd
Amarpsp10,https://api.github.com/repos/infinitered/ignite/pulls/2569,https://api.github.com/repos/infinitered/ignite/issues/2569,closed,2023-11-24,2023-11-28,2023-11-28,200063f4c00b7043bc5fe203e373e81f4b4aad52
JenimDacket,https://api.github.com/repos/infinitered/ignite/pulls/2568,https://api.github.com/repos/infinitered/ignite/issues/2568,closed,2023-11-22,2023-11-28,2023-11-28,c9311d16a1878b799d02ed4b7eead9fd2e95730b
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2565,https://api.github.com/repos/infinitered/ignite/issues/2565,closed,2023-11-21,2023-11-21,2023-11-21,888d9d5ce04edf33871e15c05307b9e8862ad9bb
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2563,https://api.github.com/repos/infinitered/ignite/issues/2563,closed,2023-11-18,2023-11-20,2023-11-20,b5133a3b76d1e62bc7fbc420ed516aa204389696
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2561,https://api.github.com/repos/infinitered/ignite/issues/2561,closed,2023-11-17,2023-11-20,2023-11-20,4ae5c0b4f36ec35bf382989b4c796eec64f81fd1
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2560,https://api.github.com/repos/infinitered/ignite/issues/2560,closed,2023-11-17,2023-11-28,2023-11-28,e9ad8b8fbca97c41aed27cecaee883f9d538d7f0
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2556,https://api.github.com/repos/infinitered/ignite/issues/2556,closed,2023-11-16,2023-11-16,2023-11-16,db31deaef11b9d21b78c0f7d9b219cc37e2ced0c
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2555,https://api.github.com/repos/infinitered/ignite/issues/2555,closed,2023-11-16,2023-11-16,2023-11-16,b03e91cbfb6fe36ef8aeaff41bfec476962c5f5a
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2554,https://api.github.com/repos/infinitered/ignite/issues/2554,closed,2023-11-16,2023-11-16,2023-11-16,4dca1bb45dd3c1db1d3442448a01b13bea7125b9
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2550,https://api.github.com/repos/infinitered/ignite/issues/2550,closed,2023-11-10,2023-11-14,2023-11-14,1ec7e64e0ec8f915e35634afe6a9c76c9b6d2734
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2549,https://api.github.com/repos/infinitered/ignite/issues/2549,closed,2023-11-10,2023-11-10,2023-11-10,83cfb9b92d6ff60e19e086c5b55d1f62b1901555
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2548,https://api.github.com/repos/infinitered/ignite/issues/2548,closed,2023-11-08,2023-11-10,2023-11-10,21945e8997576563ea86600992c0daab131a55ac
jamonholmgren,https://api.github.com/repos/infinitered/ignite/pulls/2546,https://api.github.com/repos/infinitered/ignite/issues/2546,closed,2023-11-08,2023-11-10,2023-11-10,ca36ac7b76b6846e5659810df5a9b34b1b8ca262
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2543,https://api.github.com/repos/infinitered/ignite/issues/2543,closed,2023-11-03,2023-11-08,2023-11-08,b231ae8bc8546920e06a171ed4f1545e6eab7290
markrickert,https://api.github.com/repos/infinitered/ignite/pulls/2541,https://api.github.com/repos/infinitered/ignite/issues/2541,closed,2023-11-01,2023-11-01,2023-11-01,cb7dd1f881efeb276f8e4441e90fcedf4eacf8d7
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2540,https://api.github.com/repos/infinitered/ignite/issues/2540,closed,2023-11-01,2023-11-03,2023-11-03,ebdc55a89a49fef2643f7fd2248b81c0aa499b07
cuetrigg,https://api.github.com/repos/infinitered/ignite/pulls/2539,https://api.github.com/repos/infinitered/ignite/issues/2539,closed,2023-10-25,2023-11-08,2023-11-08,592e08065c6dbd1794570f5038aa8058bf836977
ludocourbin,https://api.github.com/repos/infinitered/ignite/pulls/2536,https://api.github.com/repos/infinitered/ignite/issues/2536,closed,2023-10-23,2023-10-30,2023-10-30,a6bc80225016206fb1cd18ad2983b11edc95a270
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2534,https://api.github.com/repos/infinitered/ignite/issues/2534,closed,2023-10-22,2023-10-30,2023-10-30,775c751604f977d9310c523af00a46fd8a777cbe
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2532,https://api.github.com/repos/infinitered/ignite/issues/2532,closed,2023-10-21,2023-10-26,2023-10-26,924a624e012715e5e7b81aba062fc5c3902dcf32
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2530,https://api.github.com/repos/infinitered/ignite/issues/2530,closed,2023-10-19,2023-12-13,2023-12-13,26614c54bb1ba865119c0516ac314a5603f9715c
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2529,https://api.github.com/repos/infinitered/ignite/issues/2529,closed,2023-10-18,2023-10-19,2023-10-19,4dcb1c11c1f2a1e99dc77c2677aa4c149ac74efe
markrickert,https://api.github.com/repos/infinitered/ignite/pulls/2528,https://api.github.com/repos/infinitered/ignite/issues/2528,closed,2023-10-16,2023-10-17,2023-10-17,d1968de9029b9e61178c2d4a1b3d9b28a8f1f013
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2526,https://api.github.com/repos/infinitered/ignite/issues/2526,closed,2023-10-14,2023-10-17,2023-10-17,c484e3dd91a25fefe4c9909032d021dd21e6147b
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2524,https://api.github.com/repos/infinitered/ignite/issues/2524,open,2023-10-12,2023-11-16,,6e50e997a0fffdbd6cd45333274ebd412258fa01
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2523,https://api.github.com/repos/infinitered/ignite/issues/2523,closed,2023-10-12,2023-10-26,2023-10-26,4d30729d90238170b6ae7a9642e6f95c067dab12
markrickert,https://api.github.com/repos/infinitered/ignite/pulls/2519,https://api.github.com/repos/infinitered/ignite/issues/2519,closed,2023-10-10,2023-10-11,2023-10-11,cd1cfafd323f92eaba59fcce650d594605201279
markrickert,https://api.github.com/repos/infinitered/ignite/pulls/2517,https://api.github.com/repos/infinitered/ignite/issues/2517,closed,2023-10-10,2023-10-10,2023-10-10,b1b33c2f542acfab6a80b48f6b4a498deb5920ef
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2516,https://api.github.com/repos/infinitered/ignite/issues/2516,closed,2023-10-09,2023-10-10,2023-10-10,a7b1bf670b871c620940fe7b6cdb38186ef7a4b6
markrickert,https://api.github.com/repos/infinitered/ignite/pulls/2513,https://api.github.com/repos/infinitered/ignite/issues/2513,closed,2023-10-05,2023-10-11,2023-10-11,1ac287046619d900d3c3d3b79b141ca2cff761e7
cuetrigg,https://api.github.com/repos/infinitered/ignite/pulls/2511,https://api.github.com/repos/infinitered/ignite/issues/2511,closed,2023-10-04,2023-10-10,2023-10-08,181b7fa8519f447fb5800005124e27397da9b638
markrickert,https://api.github.com/repos/infinitered/ignite/pulls/2510,https://api.github.com/repos/infinitered/ignite/issues/2510,closed,2023-10-03,2023-10-03,2023-10-03,5eec8c71ccff8f43a5f31b1bded801d3fb40bcb0
frankcalise,https://api.github.com/repos/infinitered/ignite/pulls/2508,https://api.github.com/repos/infinitered/ignite/issues/2508,closed,2023-10-01,2023-10-03,2023-10-03,fce89e1f875e12d825a0e28bc556bc909c536c8e
markrickert,https://api.github.com/repos/infinitered/ignite/pulls/2505,https://api.github.com/repos/infinitered/ignite/issues/2505,closed,2023-09-27,2023-09-28,2023-09-28,eecac882540487b6d1e9d09c44b9d33799fa2b03
